id,model,answer,confidence,latency_ms,raw,error
1,openai/gpt-4.1-mini,3,4,1729,"{""answer"":""3"",""confidence"":4}",
2,openai/gpt-4.1-mini,1,4,1548,"{""answer"":""1"",""confidence"":4}",
3,openai/gpt-4.1-mini,4,4,894,"{""answer"":""4"",""confidence"":4}",
4,openai/gpt-4.1-mini,2,4,617,"{""answer"":""2"",""confidence"":4}",
5,openai/gpt-4.1-mini,3,4,852,"{""answer"":""3"",""confidence"":4}",
6,openai/gpt-4.1-mini,2,4,959,"{""answer"":""2"",""confidence"":4}",
7,openai/gpt-4.1-mini,1,4,907,"{""answer"":""1"",""confidence"":4}",
8,openai/gpt-4.1-mini,2,4,822,"{""answer"":""2"",""confidence"":4}",
9,openai/gpt-4.1-mini,4,4,683,"{""answer"":""4"",""confidence"":4}",
10,openai/gpt-4.1-mini,4,4,663,"{""answer"":""4"",""confidence"":4}",
11,openai/gpt-4.1-mini,2,4,686,"{""answer"":""2"",""confidence"":4}",
12,openai/gpt-4.1-mini,4,4,720,"{""answer"":""4"",""confidence"":4}",
13,openai/gpt-4.1-mini,2,4,1038,"{""answer"":""2"",""confidence"":4}",
14,openai/gpt-4.1-mini,4,4,1077,"{""answer"":""4"",""confidence"":4}",
15,openai/gpt-4.1-mini,2,4,926,"{""answer"":""2"",""confidence"":4}",
16,openai/gpt-4.1-mini,4,4,898,"{""answer"":""4"",""confidence"":4}",
17,openai/gpt-4.1-mini,2,4,931,"{""answer"":""2"",""confidence"":4}",
18,openai/gpt-4.1-mini,3,4,603,"{""answer"":""3"",""confidence"":4}",
19,openai/gpt-4.1-mini,3,4,984,"{""answer"":""3"",""confidence"":4}",
20,openai/gpt-4.1-mini,4,4,1039,"{""answer"":""4"",""confidence"":4}",
21,openai/gpt-4.1-mini,4,4,586,"{""answer"":""4"",""confidence"":4}",
22,openai/gpt-4.1-mini,4,4,780,"{""answer"":""4"",""confidence"":4}",
23,openai/gpt-4.1-mini,4,4,743,"{""answer"":""4"",""confidence"":4}",
24,openai/gpt-4.1-mini,1,4,2653,"{""answer"":""1"",""confidence"":4}",
25,openai/gpt-4.1-mini,3,4,2160,"{""answer"":""3"",""confidence"":4}",
26,openai/gpt-4.1-mini,3,4,1010,"{""answer"":""3"",""confidence"":4}",
27,openai/gpt-4.1-mini,2,4,736,"{""answer"":""2"",""confidence"":4}",
28,openai/gpt-4.1-mini,3,4,894,"{""answer"":""3"",""confidence"":4}",
29,openai/gpt-4.1-mini,1,4,799,"{""answer"":""1"",""confidence"":4}",
30,openai/gpt-4.1-mini,1,4,824,"{""answer"":""1"",""confidence"":4}",
31,openai/gpt-4.1-mini,3,4,1008,"{""answer"":""3"",""confidence"":4}",
32,openai/gpt-4.1-mini,2,4,717,"{""answer"":""2"",""confidence"":4}",
33,openai/gpt-4.1-mini,1,4,631,"{""answer"":""1"",""confidence"":4}",
34,openai/gpt-4.1-mini,1,4,819,"{""answer"":""1"",""confidence"":4}",
35,openai/gpt-4.1-mini,1,4,731,"{""answer"":""1"",""confidence"":4}",
36,openai/gpt-4.1-mini,1,4,1348,"{""answer"":""1"",""confidence"":4}",
37,openai/gpt-4.1-mini,2,4,891,"{""answer"":""2"",""confidence"":4}",
38,openai/gpt-4.1-mini,4,4,684,"{""answer"":""4"",""confidence"":4}",
39,openai/gpt-4.1-mini,3,4,1320,"{""answer"":""3"",""confidence"":4}",
40,openai/gpt-4.1-mini,2,4,641,"{""answer"":""2"",""confidence"":4}",
41,openai/gpt-4.1-mini,1,4,965,"{""answer"":""1"",""confidence"":4}",
42,openai/gpt-4.1-mini,1,4,754,"{""answer"":""1"",""confidence"":4}",
43,openai/gpt-4.1-mini,4,4,968,"{""answer"":""4"",""confidence"":4}",
44,openai/gpt-4.1-mini,3,4,825,"{""answer"":""3"",""confidence"":4}",
45,openai/gpt-4.1-mini,2,4,1763,"{""answer"":""2"",""confidence"":4}",
46,openai/gpt-4.1-mini,1,4,1548,"{""answer"":""1"",""confidence"":4}",
47,openai/gpt-4.1-mini,3,4,1257,"{""answer"":""3"",""confidence"":4}",
48,openai/gpt-4.1-mini,2,4,1136,"{""answer"":""2"",""confidence"":4}",
49,openai/gpt-4.1-mini,3,4,951,"{""answer"":""3"",""confidence"":4}",
50,openai/gpt-4.1-mini,3,4,835,"{""answer"":""3"",""confidence"":4}",
51,openai/gpt-4.1-mini,3,4,740,"{""answer"":""3"",""confidence"":4}",
52,openai/gpt-4.1-mini,4,5,924,"{""answer"":""4"",""confidence"":5}",
