Model,ExplainLenMean_Correct0,ExplainLenMedian_Correct0,ExplainLenMean_Correct1,ExplainLenMedian_Correct1,PromptTok_Correct0,CompletionTok_Correct0,TotalTok_Correct0,PromptTok_Correct1,CompletionTok_Correct1,TotalTok_Correct1,SummaryPromptTok_Mean,SummaryCompletionTok_Mean,SummaryTotalTok_Mean
claude haiku 4.5,64.96,61,57.54,56,6276.38,235.48,6511.87,5587.1,213.37,5800.48,5888.3,223.03,6111.34
deepseek r1t2 chimera,39.78,39,35.96,35,4031,676.46,4707.46,3600.25,577.38,4177.62,3781.24,619.01,4400.24
deepSeek v32 exp,42.56,41,38.53,38,3969.16,94.16,4063.33,3622.23,86.62,3708.86,3782.58,90.11,3872.69
gemini 2.5 flash,40.09,39,36.22,34,3531.7,76.67,3608.37,3215.7,71.66,3287.36,3329.88,73.47,3403.35
gemini 2.5 flash lite,46.03,41,44.69,41,3513.74,87.77,3601.51,3247.31,84,3331.31,3383.88,85.93,3469.82
gpt 4.1 mini,43.34,43,39.75,38,3452.85,82.95,3535.81,3149.19,77.26,3226.46,3307.4,80.23,3387.63
gpt 4o mini,36.93,35,35,34,3426.03,71.34,3497.38,3221.87,70.07,3291.93,3321.38,70.69,3392.07
gpt oss 20,33.24,31,32.77,32,3596.19,1798.89,5395.08,3152.73,941.71,4094.45,3387.5,1395.51,4783.02
gpt oss 120,41.88,42,39.76,36,3461.65,854.75,4316.4,3340.63,718.17,4058.8,3389.45,773.26,4162.71
grok 4 fast,49.74,51,45.49,45,3608.85,1597.65,5206.5,3252.62,909.48,4162.1,3390.32,1175.5,4565.82
llama 4 maverick,46,40,47.39,45,3407,132.26,3539.26,3148.68,99.81,3248.49,3257.22,113.45,3370.66
llama 4 scout,64.5,58,58.2,52,3455.24,114.19,3569.43,3101.14,102.91,3204.05,3261.82,108.03,3369.85
qwen3 80,45.83,43.5,42.11,41,5164,145.17,5309.17,4950.72,136.32,5087.04,5036.75,139.89,5176.64
qwen3 235,48.84,44,43.28,38.5,5353.37,152.12,5505.49,4799.28,138.25,4937.53,5036.75,144.19,5180.94
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
