id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
0,openai/gpt-4.1-mini,3,90.0,1.0,"{""3"": 5}",False,3404.8,3743,3,90,انفساخ عقد به سبب قهری است و حتی اگر سبب آن ارادی باشد، انفساخ خود به خود رخ می‌دهد و قابل توافق برای رفع آن نیست؛ این مطابق ماده 233 قانون مدنی است.,,3,90,انفساخ عقد به معنای انحلال قهری عقد است و طبق ماده 733 قانون مدنی، انفساخ به دلیل وجود شرط یا سبب قهری است که باعث انحلال عقد می‌شود و این سبب می‌تواند ارادی باشد ولی انفساخ خود قهری است.,,3,90,در حقوق ایران، انفساخ عقد به عنوان فسخ قهری ناشی از سبب معین است و این سبب ممکن است ارادی یا غیرارادی باشد، اما انفساخ به طور قهری و بدون نیاز به اراده طرفین حاصل می‌شود، مطابق ماده 237 قانون مدنی.,,3,90,عقد جایز ممکن است به اراده یکی از طرفین منحل شود و سبب انفساخ ممکن است ارادی باشد اما انفساخ خود به صورت قهری رخ می‌دهد؛ این مطابق با ماده 228 ق.م است که انفساخ را قهری می‌داند اما امکان اراده طرفین در ایجاد سبب انفساخ را نفی نمی‌کند.,,3,90.0,بر اساس ماده ۳۳۷ قانون مدنی، انفساخ عقد قهری است و در هر حال بدون نیاز به اراده طرفین واقع می‌شود، اما سبب انفساخ ممکن است ارادی باشد. بنابراین گزینه 3 صحیح است.,
1,openai/gpt-4.1-mini,1,90.0,1.0,"{""1"": 5}",False,2682.8,3261,1,90,طبق ماده 18 قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی در مقابل شخص ثالث، بیمه‌گر موظف است خسارات جانی و مالی شخص ثالث را تا سقف تعهدات بیمه‌نامه جبران کند و مسئولیت جبران خسارت راننده مقصر محدود به سقف تعهدات است.,,1,90,مطابق قانون بیمه اجباری خسارت وارد به اشخاص ثالث، بیمه‌گر مسئول پرداخت دیه و خسارت مالی تا سقف تعهدات مندرج در بیمه‌نامه است و دیه خود راننده (مقصر) تا سقف تعهدات بیمه پرداخت می‌شود، بنابراین گزینه 1 درست است. ماده 18 قانون بیمه اجباری مسئولیت مدنی رانندگان وسایل نقلیه موتوری زمینی مصوب 1395 این موضوع را تصریح می‌کند.,,1,90,بر اساس ماده 73 قانون بیمه اجباری، بیمه‌گر مسئول پرداخت دیه و خسارت مالی تا سقف تعهدات خود است و دیه شخص مقصر (الف) تا سقف تعهدات بیمه پرداخت می‌شود و خسارت مالی وارد به موتورسیکلت نیز تا سقف تعهدات قابل جبران است.,,1,90,بر اساس ماده ۷ قانون بیمه اجباری خسارات وارد شده به اشخاص ثالث در حوادث ناشی از وسایل نقلیه موتوری زمینی، بیمه‌گر مسئول پرداخت دیه و خسارات مالی تا سقف تعهدات بیمه‌نامه است. لذا بیمه‌گر مسئول جبران دیه هر دو طرف تا سقف تعهدات و خسارات مالی وارد شده به موتورسیکلت نیز تا سقف تعهدات است. این موضوع در ماده 7 قانون بیمه اجباری خسارات وارد شده به اشخاص ثالث مصوب ۱۳۷۷ تصریح شده است.,,1,90.0,بر اساس ماده 20 قانون بیمه اجباری خسارت وارد شده به اشخاص ثالث، بیمه‌گر موظف است دیه شخص ثالث را تا سقف تعهد بیمه‌نامه پرداخت کند و همچنین خسارات مالی وارد به وسیله نقلیه شخص ثالث را تا سقف تعهدات جبران نماید؛ بنابراین دیه راننده مقصر (الف) بر عهده خود او است و بیمه‌گر فقط مسئول جبران خسارات شخص ثالث (ب) است.,
2,openai/gpt-4.1-mini,4,90.0,1.0,"{""4"": 5}",False,1857.4,2218,4,90,طبق ماده 733 قانون مدنی، تصرف همراه با قصد تملک می‌تواند سبب مالکیت شود و در مواردی تصرف به تنهایی ممکن است موجب مالکیت گردد.,,4,90,بر اساس ماده 983 قانون مدنی، تصرف به تنهایی همراه با قصد تملک می‌تواند موجب مالکیت شود. بنابراین، تصرف ممکن است در مواردی به تنهایی سبب تملک باشد.,,4,90,طبق ماده 733 قانون مدنی ایران، تصرف به‌همراه قصد تملک می‌تواند موجب مالکیت شود؛ بنابراین تصرف ممکن است در مواردی به تنهایی سبب تملک باشد.,,4,90,طبق ماده 933 قانون مدنی، تصرف همراه با قصد تملک می‌تواند سبب مالکیت شود. بنابراین تصرف به تنهایی ممکن است در مواردی سبب تملک باشد. این اصل در حقوق مدنی ایران پذیرفته شده است.,,4,90.0,طبق ماده 933 قانون مدنی، تصرف باید همراه با قصد تملک باشد تا سبب تملک مالکانه گردد؛ بنابراین، تصرف به تنهایی بدون قصد تملک مملک نیست، اما در برخی موارد تصرف همراه با قصد تملک سبب مالکیت می‌شود.,
3,openai/gpt-4.1-mini,2,90.0,1.0,"{""2"": 5}",False,1986.6,2211,2,90,طبق ماده ۲ قانون بیمه اجباری مسئولیت مدنی حرفه‌ای پزشکان، پرداخت خسارت به زیان دیدگان بر عهده پزشک مقصر است ولی او می‌تواند پس از پرداخت، خسارت را از بیمه‌گر مطالبه کند.,,2,90,طبق ماده ۵ قانون بیمه مسئولیت مدنی پزشکان، پرداخت خسارت ناشی از تقصیر حرفه‌ای پزشک بر عهده بیمه‌گر است و پزشک پس از پرداخت می‌تواند خسارت را از بیمه‌گر مسترد کند، همچنین دیه کامل مرد مسلمان بر اساس قانون مجازات اسلامی برعهده مقصر اصلی است.,,2,90,طبق ماده ۹ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه و اصل مسئولیت مدنی پزشک به عنوان مقصر است و بیمه‌گر مسئول پرداخت خسارت است که پس از پرداخت می‌تواند از پزشک مسترد کند.,,2,90,طبق ماده ۱ قانون مسؤولیت مدنی ناشی از حوادث ناشی از فعالیتهای پزشکی، پزشک مسئول پرداخت دیه است ولی می‌تواند پس از پرداخت از بیمه‌گر مسئولیت مدنی مطالبه نماید.,,2,90.0,مطابق ماده ۴۰ قانون بیمه اجباری خسارات وارد شده به شخص ثالث از سوی وسایل نقلیه موتوری و همچنین ماده ۲ قانون مسئولیت مدنی، پرداخت دیه بر عهده پزشک مقصر است ولی وی می‌تواند هزینه پرداخت شده را از بیمه‌گر خود مطالبه کند.,
4,openai/gpt-4.1-mini,3,90.0,1.0,"{""3"": 5}",False,1835.4,2395,3,90,طبق ماده 1133 قانون مدنی، وکالت در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگر تعیین شود.,,3,90,بر اساس ماده 1133 قانون مدنی، وکالت زن در طلاق ممکن است به صورت شرط نتیجه یا فعل ضمن عقد نکاح یا عقد دیگری تحقق یابد و این شرط باید به صراحت در عقد ذکر شود.,,3,90,طبق ماده 1133 قانون مدنی، وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل باشد و این شرط می‌تواند ضمن عقد نکاح یا عقد دیگری تحقق یابد.,,3,90,وکالت زن در طلاق می‌تواند به صورت شرط فعل یا نتیجه ضمن عقد نکاح یا عقد دیگر قرار گیرد، زیرا ماده 1129 قانون مدنی اجازه داده است شرط وکالت در طلاق ضمن عقد نکاح یا عقد دیگر باشد.,,3,90.0,طبق ماده 1133 قانون مدنی، وکالت در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری تحقق یابد، زیرا شرط ضمن عقد دیگر نیز معتبر است.,
5,openai/gpt-4.1-mini,3,90.0,0.6,"{""3"": 3, ""2"": 1, ""1"": 1}",False,2221.8,3086,3,90,در هبه و وصیت تملیکی، امکان رجوع برای واهب و موصی قبل از فوت وجود دارد حتی اگر قبض انجام شده باشد، مطابق ماده 795 و مواد مرتبط با وصیت در قانون مدنی ایران.,,2,90,در هبه و وصیت تملیکی، موصی له یا متهب می‌توانند غیرمحصور باشند زیرا در وصیت تملیکی موصی می‌تواند چند نفر را به عنوان موصی له تعیین کند و در هبه نیز متهب ممکن است چند نفر باشند، مطابق مواد ۷۵۳ و ۸۵۵ قانون مدنی.,,3,90,در هبه رجوع برای واهب تا هنگامی که مال به متهب تسلیم نشده باشد ممکن است و در وصیت تملیکی نیز موصی می‌تواند قبل از فوت خود رجوع کند، حتی اگر قبض صورت گرفته باشد، طبق مواد 797 و 814 قانون مدنی.,,3,90,در هبه امکان رجوع برای واهب تا قبل از قبض وجود دارد ولی در وصیت تملیکی رجوع همیشه ممکن است، حتی بعد از قبض توسط موصی له، مطابق ماده ۸۴۶ و ۸۵۵ قانون مدنی.,,1,90.0,هبه عقدی لازم است و در آن قبول متهب شرط صحت است، در حالی که وصیت تملیکی عقد نیست بلکه یک عمل حقوقی یک‌طرفه و جایز است و قبول موصی له شرط صحت نیست؛ بنابراین فقط در هبه قبول شرط است و وصیت تملیکی نیاز به قبول ندارد (ماده 796 و 805 قانون مدنی).,
6,openai/gpt-4.1-mini,1,90.0,0.8,"{""1"": 4, ""4"": 1}",False,1666.6,2087,1,90,در ماده 336 قانون مدنی، مسئولیت مستعیران در عقد عاریه به صورت تسهیم است نه تضامنی، زیرا هر مستعیر مسئول حصه خود است و تلف مال بین آنها به نسبت حصه تقسیم می‌شود.,,1,90,در عقد عاریه مسئولیت مستعیرین به نسبت تسهیم است و تضامن وجود ندارد، مطابق ماده 733 قانون مدنی. بنابراین مسئولیت آنها به صورت تسهیم است.,,1,90,مسئولیت چند مستعیر در عاربه طلا و نقره به تسهیم است زیرا هر یک از آنها نسبت به سهم خود مسئول است و مسئولیت تضامنی در این مورد وجود ندارد، مطابق ماده ۷۴۳ قانون مدنی.,,4,90,در ماده 331 قانون مدنی مسئولیت مشترک ضامنین به صورت تسهیم است مگر اینکه ضمانت به صورت تضامنی باشد، بنابراین مسئولیت چند ضامن در صورت ضمانت به صورت ضم ذمه به ذمه تسهیمی است.,,1,90.0,در مورد مستعیران، مسئولیت آنها در عاربه طلا و نقره به صورت تسهیم است زیرا هر یک به نسبت سهم خود مسئول تلف مال هستند و مسئولیت تضامنی وجود ندارد. این موضوع مطابق ماده 733 قانون مدنی است که مسئولیت مستعیران را تسهیمی می‌داند.,
7,openai/gpt-4.1-mini,2,90.0,1.0,"{""2"": 5}",False,2173.2,3399,2,90,طبق ماده 733 قانون مدنی، فروشنده می‌تواند در صورت عدم پرداخت ثمن، معامله را فسخ کند و همچنین می‌تواند برای وصول مبلغ حواله علیه محال‌علیه طرح دعوا کند زیرا محال‌علیه قبول حواله را دارد و مسئول پرداخت است.,,2,90,طبق ماده 733 قانون مدنی، در صورتی که ثمن پرداخت نشود فروشنده حق فسخ دارد؛ همچنین فروشنده می‌تواند به موجب قرارداد و حواله صادر شده برای دریافت وجه علیه محال علیه اقامه دعوا کند.,,2,90,با توجه به ماده 733 قانون مدنی، فروشنده می‌تواند هم معامله را فسخ کند و هم علیه محال علیه برای دریافت مبلغ حواله دعوا کند زیرا حق فسخ و حق مطالبه وجه از هم تفکیک‌پذیر هستند.,,2,90,اگر محال علیه قبول حواله را کرده و سپس ادعای عدم بدهی کند، فروشنده حق دارد یا معامله را فسخ کند یا علیه محال علیه برای دریافت مبلغ به دلیل تعهد صادر شده اقامه دعوا نماید؛ زیرا قبول حواله تعهدی مستند به سند لازم‌الاجراست (ماده 733 قانون مدنی).,,2,90.0,مطابق ماده 733 قانون مدنی، در قرارداد فروش شرط شده که اگر ثمن به موقع پرداخت نشود، فروشنده حق فسخ دارد و همچنین برای دریافت مبلغ حواله می‌تواند علیه محال علیه دعوا کند. بنابراین فروشنده هم حق فسخ دارد و هم حق اقامه دعوا برای وصول وجه حواله.,
8,openai/gpt-4.1-mini,2,90.0,1.0,"{""2"": 5}",False,1739.2,1923,2,90,طبق ماده 330 قانون مدنی، کارفرما مسئول خسارات ناشی از فعل کارگر نیست اگر ثابت کند تمام احتیاط لازم را به عمل آورده است، بنابراین کارفرما در این فرض مسئولیتی ندارد.,,2,90,طبق ماده 330 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و در مورد کارفرما، اگر ثابت شود تمام احتیاط لازم را به عمل آورده، مسئولیتی ندارد.,,2,90,مسئولیت مدنی مبتنی بر تقصیر است و اگر کارفرما تمام احتیاط‌های لازم را انجام داده باشد، مسئولیت ندارد زیرا تقصیر اثبات نشده است (ماده 330 قانون مدنی).,,2,90,ماده 330 قانون مدنی مقرر می‌دارد که کارفرما در صورتی مسئولیت دارد که تقصیر او ثابت شود، بنابراین اگر تمام احتیاطات لازم را به عمل آورده باشد مسئولیتی ندارد.,,2,90.0,مطابق ماده 330 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و در صورت نبود تقصیر مسئولیتی وجود ندارد. ماده 333 قانون مدنی مقرر می‌دارد که کارفرما در صورتی مسئولیتی ندارد که اثبات کند تمام احتیاط لازم را به عمل آورده است.,
9,openai/gpt-4.1-mini,4,90.0,1.0,"{""4"": 5}",False,1789.8,2302,4,90,وصی طبق ماده 733 قانون مدنی می‌تواند برای انجام امور وصایت وکالت دهد اما حق تعیین وصی بعد از فوت خود را ندارد زیرا وصایت بعد از فوت وصی به اختیار وی نیست و باید توسط ولی یا دادگاه تعیین شود.,,4,90,طبق ماده 733 قانون مدنی، وصی می‌تواند برای انجام وظایف خود به دیگری وکالت دهد ولی تعیین وصی بعد از فوت خود ممنوع است، زیرا وصایت پس از فوت وصی فاقد اعتبار است.,,4,90,بر اساس ماده 1210 قانون مدنی ایران، وصی می‌تواند برای انجام امور وصایت به دیگری وکالت دهد اما حق تعیین وصی دیگر برای بعد از فوت خود را ندارد، زیرا وصایت پس از فوت وصی، باید از طریق قوه قضائیه تعیین شود.,,4,90,طبق ماده 733 قانون مدنی، وصی می‌تواند برای انجام امور مربوط به وصایت به دیگری وکالت دهد اما تعیین وصی جدید برای بعد از فوت خود در صلاحیت وی نیست و باید توسط موصی تعیین شود.,,4,90.0,بر اساس ماده 733 قانون مدنی، وصی می‌تواند برای انجام امور مربوط به وصایت به دیگری وکالت دهد ولی حق تعیین وصی جدید برای بعد از فوت خود را ندارد زیرا وصایت امری شخصی و غیرقابل انتقال یا استمرار است.,
