id,model,rag_top_k,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,qwen/qwen3-next-80b-a3b-instruct,5,3,5,بر اساس ماده 224 قانون مدنی، سبب انفساخ عقد می‌تواند ارادی باشد (مانند شرط فاسخ در قرارداد)، و انفساخ به‌خودی‌خود ناشی از تحقق آن شرط، قهری محسوب نمی‌شود، بلکه نتیجه اراده طرفین است.,3737,6229,116,6345,182,33,"results{explanation,answer,confidence}:
بر اساس ماده 224 قانون مدنی، سبب انفساخ عقد می‌تواند ارادی باشد (مانند شرط فاسخ در قرارداد)، و انفساخ به‌خودی‌خود ناشی از تحقق آن شرط، قهری محسوب نمی‌شود، بلکه نتیجه اراده طرفین است.,3,5",
2,qwen/qwen3-next-80b-a3b-instruct,5,2,5,بر اساس ماده 14 قانون بیمه اجباری، بیمه‌گر مکلف به پرداخت خسارت به شخص ثالث (در اینجا شخص «ب») بدون هیچ شرطی است و این پرداخت تا سقف تعهدات بیمه‌نامه محدود می‌شود؛ همچنین دیه راننده مقصر («الف») از جمله خساراتی است که بیمه‌گر مسئولیت پرداخت آن را ندارد، چون راننده مقصر شخص ثالث محسوب نمی‌شود.,5127,7110,180,7290,293,55,"results{explanation,answer,confidence}:
بر اساس ماده 14 قانون بیمه اجباری، بیمه‌گر مکلف به پرداخت خسارت به شخص ثالث (در اینجا شخص «ب») بدون هیچ شرطی است و این پرداخت تا سقف تعهدات بیمه‌نامه محدود می‌شود؛ همچنین دیه راننده مقصر («الف») از جمله خساراتی است که بیمه‌گر مسئولیت پرداخت آن را ندارد، چون راننده مقصر شخص ثالث محسوب نمی‌شود.,2,5",
3,qwen/qwen3-next-80b-a3b-instruct,5,4,5,مطابق ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود؛ بنابراین تصرف همراه با قصد تملک می‌تواند به تنهایی سبب تملک شود.,2844,3494,101,3595,155,30,"results{explanation,answer,confidence}:
مطابق ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود؛ بنابراین تصرف همراه با قصد تملک می‌تواند به تنهایی سبب تملک شود.,4,5",
4,qwen/qwen3-next-80b-a3b-instruct,5,4,5,براساس ماده 2 قانون مسئولیت مدنی، مسئولیت جبران خسارت ناشی از تقصیر حرفه‌ای بر عهده مقصر است، اما در صورت وجود بیمه مسئولیت مدنی، بیمه‌گر به جای مقصر پرداخت می‌کند و پس از پرداخت، حق مسترد کردن خسارت از مقصر را دارد؛ همچنین دادنامه‌های مرتبط تأیید کرده‌اند که بیمه‌گر مسئول پرداخت دیه به بازماندگان است.,3910,6690,184,6874,303,55,"results{explanation,answer,confidence}:
براساس ماده 2 قانون مسئولیت مدنی، مسئولیت جبران خسارت ناشی از تقصیر حرفه‌ای بر عهده مقصر است، اما در صورت وجود بیمه مسئولیت مدنی، بیمه‌گر به جای مقصر پرداخت می‌کند و پس از پرداخت، حق مسترد کردن خسارت از مقصر را دارد؛ همچنین دادنامه‌های مرتبط تأیید کرده‌اند که بیمه‌گر مسئول پرداخت دیه به بازماندگان است.,4,5",
5,qwen/qwen3-next-80b-a3b-instruct,5,3,5,مطابق ماده 1119 قانون مدنی و تأیید دیوان عالی کشور در منابع 2، 3 و 4، وکالت زن در طلاق می‌تواند به‌صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا حتی عقد دیگری (مانند عقد موقت یا تفویض اختیار) تحقق یابد.,3093,6779,132,6911,198,42,"results{explanation,answer,confidence}:
مطابق ماده 1119 قانون مدنی و تأیید دیوان عالی کشور در منابع 2، 3 و 4، وکالت زن در طلاق می‌تواند به‌صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا حتی عقد دیگری (مانند عقد موقت یا تفویض اختیار) تحقق یابد.,3,5",
6,qwen/qwen3-next-80b-a3b-instruct,5,2,5,مطابق ماده 795 قانون مدنی، هبه عقدی مجانی است که در زمان حیات واهب انجام می‌شود و تملیک فوری دارد، در حالی که وصیت تملیکی (ماده 826) پس از فوت موصی اثر می‌کند؛ بنابراین در هر دو، موصی‌له یا متهب می‌توانند غیرمحصور (غیرمشخص) باشند، چرا که قانون اجازه داده است مال به اشخاص نامشخص یا گروهی هبه یا وصیت شود.,3119,4880,194,5074,304,60,"results{explanation,answer,confidence}:
مطابق ماده 795 قانون مدنی، هبه عقدی مجانی است که در زمان حیات واهب انجام می‌شود و تملیک فوری دارد، در حالی که وصیت تملیکی (ماده 826) پس از فوت موصی اثر می‌کند؛ بنابراین در هر دو، موصی‌له یا متهب می‌توانند غیرمحصور (غیرمشخص) باشند، چرا که قانون اجازه داده است مال به اشخاص نامشخص یا گروهی هبه یا وصیت شود.,2,5",
7,qwen/qwen3-next-80b-a3b-instruct,5,4,5,براساس ماده 721 قانون مدنی، در ضمانت به صورت ضم ذمه به ذمه، هر ضامن فقط به نسبت سهم خود مسئول است و مسئولیت تسهیمی است، نه تضامنی.,1795,3701,85,3786,130,28,"results{explanation,answer,confidence}:
براساس ماده 721 قانون مدنی، در ضمانت به صورت ضم ذمه به ذمه، هر ضامن فقط به نسبت سهم خود مسئول است و مسئولیت تسهیمی است، نه تضامنی.,4,5",
8,qwen/qwen3-next-80b-a3b-instruct,5,2,5,بر اساس ماده 454 قانون مدنی، شرط فسخ در قرارداد بیع، به شرطی که در قرارداد مندرج باشد، حق فروشنده را برای استرداد مال در صورت عدم پرداخت ثمن محفوظ می‌سازد؛ و انتقال ثمن از طریق حواله، اگر محال علیه آن را قبول کرده باشد، تحقق پرداخت محسوب نمی‌شود مگر اینکه واقعاً پرداخت شود، بنابراین فروشنده هم حق فسخ را دارد و هم می‌تواند علیه محال علیه برای دریافت مبلغ حواله دعوی کند.,4496,5523,219,5742,371,73,"results{explanation,answer,confidence}:
بر اساس ماده 454 قانون مدنی، شرط فسخ در قرارداد بیع، به شرطی که در قرارداد مندرج باشد، حق فروشنده را برای استرداد مال در صورت عدم پرداخت ثمن محفوظ می‌سازد؛ و انتقال ثمن از طریق حواله، اگر محال علیه آن را قبول کرده باشد، تحقق پرداخت محسوب نمی‌شود مگر اینکه واقعاً پرداخت شود، بنابراین فروشنده هم حق فسخ را دارد و هم می‌تواند علیه محال علیه برای دریافت مبلغ حواله دعوی کند.,2,5",
9,qwen/qwen3-next-80b-a3b-instruct,5,2,5,براساس ماده 353 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و اگر کارفرما تمام احتیاط‌های لازم را به عمل آورده باشد، تقصیر از او ناشی نشده و مسئولیت مدنی نخواهد داشت.,3018,6756,104,6860,166,32,"results{explanation,answer,confidence}:
براساس ماده 353 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و اگر کارفرما تمام احتیاط‌های لازم را به عمل آورده باشد، تقصیر از او ناشی نشده و مسئولیت مدنی نخواهد داشت.,2,5",
10,qwen/qwen3-next-80b-a3b-instruct,5,2,5,مطابق ماده 856 قانون مدنی، وصی تعیین‌شده برای صغیر، وظیفه اجرای وصیت را تا بلوغ او بر عهده دارد و این وظیفه شخصی و غیرقابل تفویض است؛ بنابراین نمی‌تواند وکالت دهد و نه می‌تواند وصی دیگری تعیین کند.,3192,4148,130,4278,197,38,"results{explanation,answer,confidence}:
مطابق ماده 856 قانون مدنی، وصی تعیین‌شده برای صغیر، وظیفه اجرای وصیت را تا بلوغ او بر عهده دارد و این وظیفه شخصی و غیرقابل تفویض است؛ بنابراین نمی‌تواند وکالت دهد و نه می‌تواند وصی دیگری تعیین کند.,2,5",
11,qwen/qwen3-next-80b-a3b-instruct,5,2,4,تعلیق در مرحله انعقاد قرارداد (مانند شرط معلق) ناشی از اراده طرفین است و اثر عقد تا تحقق شرط واقع نمی‌شود، اما تعلیق در مرحله اجرا (مانند تعلیق اجرای حکم) ناشی از قانون یا دستور دادگاه است و اراده طرفین تنها در شرایط خاص مؤثر است؛ بنابراین گزینه ۲ که ادعا می‌کند در هر دو مورد تعلیق ناشی از اراده است، نادرست است.,4233,4755,184,4939,313,63,"results{explanation,answer,confidence}:
تعلیق در مرحله انعقاد قرارداد (مانند شرط معلق) ناشی از اراده طرفین است و اثر عقد تا تحقق شرط واقع نمی‌شود، اما تعلیق در مرحله اجرا (مانند تعلیق اجرای حکم) ناشی از قانون یا دستور دادگاه است و اراده طرفین تنها در شرایط خاص مؤثر است؛ بنابراین گزینه ۲ که ادعا می‌کند در هر دو مورد تعلیق ناشی از اراده است، نادرست است.,2,4",
12,qwen/qwen3-next-80b-a3b-instruct,5,4,5,مطابق ماده 341 قانون مدنی، اجل در بیع (و به طور کلی در تعهدات قراردادی) می‌تواند ناشی از اراده طرفین باشد و هیچ محدودیتی در قانون برای منع اجل ناشی از حکم دادگاه یا قانون خاص وجود ندارد؛ همچنین در عمل قضایی، دیوان عالی کشور اجل ناشی از قانون یا حکم دادگاه را در موارد خاص پذیرفته است.,3224,3713,168,3881,284,58,"results{explanation,answer,confidence}:
مطابق ماده 341 قانون مدنی، اجل در بیع (و به طور کلی در تعهدات قراردادی) می‌تواند ناشی از اراده طرفین باشد و هیچ محدودیتی در قانون برای منع اجل ناشی از حکم دادگاه یا قانون خاص وجود ندارد؛ همچنین در عمل قضایی، دیوان عالی کشور اجل ناشی از قانون یا حکم دادگاه را در موارد خاص پذیرفته است.,4,5",
