id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,deepseek/deepseek-v3.2-exp,3,4.0,مطابق ماده ۱۸۶ قانون مدنی، انفساخ عقد قهری است اما سبب آن می‌تواند ارادی باشد مانند فسخ که سبب ارادی انفساخ عقد جایز است.,5136,1543.0,61.0,1604.0,121.0,24.0,"{""explanation"":""مطابق ماده ۱۸۶ قانون مدنی، انفساخ عقد قهری است اما سبب آن می‌تواند ارادی باشد مانند فسخ که سبب ارادی انفساخ عقد جایز است."",""answer"":""3"",""confidence"":4}",
2,deepseek/deepseek-v3.2-exp,1,4.0,مطابق ماده 10 قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری، بیمه‌گر فقط مسئول جبران خسارت‌های وارد به اشخاص ثالث است و خسارت‌های وارد به راننده مقصر و وسیله نقلیه او را پرداخت نمی‌کند.,5934,1695.0,96.0,1791.0,198.0,35.0,"{""explanation"":""مطابق ماده 10 قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری، بیمه‌گر فقط مسئول جبران خسارت‌های وارد به اشخاص ثالث است و خسارت‌های وارد به راننده مقصر و وسیله نقلیه او را پرداخت نمی‌کند."",""answer"":""1"",""confidence"":4}",
3,deepseek/deepseek-v3.2-exp,4,4.0,بر اساس ماده ۳۵ قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است مگر آنکه خلاف آن ثابت شود. بنابراین تصرف همراه با قصد تملک می‌تواند به تنهایی سبب تملک باشد.,4004,1541.0,70.0,1611.0,157.0,31.0,"{""explanation"":""بر اساس ماده ۳۵ قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است مگر آنکه خلاف آن ثابت شود. بنابراین تصرف همراه با قصد تملک می‌تواند به تنهایی سبب تملک باشد."",""answer"":""4"",""confidence"":4}",
4,deepseek/deepseek-v3.2-exp,3,4.0,بر اساس ماده 10 قانون بیمه مسئولیت مدنی، مسئولیت اولیه پرداخت خسارت با پزشک مقصر است و بیمه‌گر فقط در صورت عدم پرداخت توسط پزشک مستقیماً مسئول خواهد بود.,3894,1638.0,66.0,1704.0,153.0,29.0,"{""explanation"":""بر اساس ماده 10 قانون بیمه مسئولیت مدنی، مسئولیت اولیه پرداخت خسارت با پزشک مقصر است و بیمه‌گر فقط در صورت عدم پرداخت توسط پزشک مستقیماً مسئول خواهد بود."",""answer"":""3"",""confidence"":4}",
5,deepseek/deepseek-v3.2-exp,3,4.0,بر اساس ماده ۱۱۱۹ قانون مدنی، زن می‌تواند در ضمن عقد نکاح یا عقد دیگری هر شرطی را که مخالف با مقتضای عقد مزبور نباشد بکند، بنابراین شرط وکالت در طلاق هم به صورت شرط نتیجه و هم شرط فعل در هر عقدی قابل گنجاندن است.,4659,1535.0,98.0,1633.0,212.0,46.0,"{""explanation"":""بر اساس ماده ۱۱۱۹ قانون مدنی، زن می‌تواند در ضمن عقد نکاح یا عقد دیگری هر شرطی را که مخالف با مقتضای عقد مزبور نباشد بکند، بنابراین شرط وکالت در طلاق هم به صورت شرط نتیجه و هم شرط فعل در هر عقدی قابل گنجاندن است."",""answer"":""3"",""confidence"":4}",
6,deepseek/deepseek-v3.2-exp,4,4.0,بر اساس ماده ۸۲۶ قانون مدنی، وصیت تملیکی با فوت موصی قطعی می‌شود و قبض بعد از فوت نیز صحیح است، در حالی که هبه با فوت واهب قبل از قبض باطل می‌شود. بنابراین گزینه ۴ صحیح است زیرا در هر دو عقد، فوت واهب یا موصی قبل از قبض موجب بطلان است.,5550,1592.0,113.0,1705.0,235.0,53.0,"{""explanation"":""بر اساس ماده ۸۲۶ قانون مدنی، وصیت تملیکی با فوت موصی قطعی می‌شود و قبض بعد از فوت نیز صحیح است، در حالی که هبه با فوت واهب قبل از قبض باطل می‌شود. بنابراین گزینه ۴ صحیح است زیرا در هر دو عقد، فوت واهب یا موصی قبل از قبض موجب بطلان است."",""answer"":""4"",""confidence"":4}",
7,deepseek/deepseek-v3.2-exp,4,5.0,بر اساس ماده ۳۰۳ قانون مدنی، مسئولیت چند ضامن در صورت ضم ذمه به ذمه به صورت تسهیمی است نه تضامنی، زیرا هر یک به نسبت تعهد خود مسئولیت دارند.,3775,1578.0,64.0,1642.0,140.0,30.0,"{""explanation"":""بر اساس ماده ۳۰۳ قانون مدنی، مسئولیت چند ضامن در صورت ضم ذمه به ذمه به صورت تسهیمی است نه تضامنی، زیرا هر یک به نسبت تعهد خود مسئولیت دارند."",""answer"":""4"",""confidence"":5}",
8,deepseek/deepseek-v3.2-exp,2,4.0,مطابق ماده ۷۲۴ قانون مدنی، حواله تعهد محال علیه را به نفع محتال ایجاد می‌کند و محتال می‌تواند مستقیماً علیه محال علیه برای دریافت مبلغ طرح دعوا کند. همچنین با توجه به شرط فسخ در قرارداد، اختیار فسخ نیز برای فروشنده محفوظ است.,4946,1682.0,103.0,1785.0,225.0,43.0,"{""explanation"":""مطابق ماده ۷۲۴ قانون مدنی، حواله تعهد محال علیه را به نفع محتال ایجاد می‌کند و محتال می‌تواند مستقیماً علیه محال علیه برای دریافت مبلغ طرح دعوا کند. همچنین با توجه به شرط فسخ در قرارداد، اختیار فسخ نیز برای فروشنده محفوظ است."",""answer"":""2"",""confidence"":4}",
9,deepseek/deepseek-v3.2-exp,2,4.0,بر اساس ماده 328 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و کارفرما در صورت اثبات عدم تقصیر و رعایت کلیه احتیاط‌های لازم، مسئولیتی نخواهد داشت.,4201,1625.0,68.0,1693.0,146.0,27.0,"{""explanation"":""بر اساس ماده 328 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و کارفرما در صورت اثبات عدم تقصیر و رعایت کلیه احتیاط‌های لازم، مسئولیتی نخواهد داشت."",""answer"":""2"",""confidence"":4}",
10,deepseek/deepseek-v3.2-exp,4,4.0,مطابق ماده ۱۲۳۵ قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه موصی به او این اختیار را داده باشد. همچنین وصی می‌تواند برای انجام امور وصایت به دیگری وکالت دهد.,4285,1646.0,81.0,1727.0,189.0,37.0,"{""explanation"":""مطابق ماده ۱۲۳۵ قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه موصی به او این اختیار را داده باشد. همچنین وصی می‌تواند برای انجام امور وصایت به دیگری وکالت دهد."",""answer"":""4"",""confidence"":4}",
11,deepseek/deepseek-v3.2-exp,1,4.0,بر اساس ماده ۱۹۰ قانون مدنی، تعلیق در مرحله انعقاد قرارداد به معنای عدم وقوع عقد است و اثر عقد جریان ندارد، اما در تعلیق در مرحله اجرا عقد منعقد شده و فقط اجرای آن به تعلیق درآمده است. بنابراین گزینه ۱ صحیح نیست زیرا در تعلیق اجرا، عقد موجود است و اثر آن جریان دارد.,5159,1570.0,110.0,1680.0,266.0,56.0,"{""explanation"":""بر اساس ماده ۱۹۰ قانون مدنی، تعلیق در مرحله انعقاد قرارداد به معنای عدم وقوع عقد است و اثر عقد جریان ندارد، اما در تعلیق در مرحله اجرا عقد منعقد شده و فقط اجرای آن به تعلیق درآمده است. بنابراین گزینه ۱ صحیح نیست زیرا در تعلیق اجرا، عقد موجود است و اثر آن جریان دارد."",""answer"":""1"",""confidence"":4}",
12,deepseek/deepseek-v3.2-exp,4,5.0,مطابق ماده ۲۲۶ قانون مدنی، اجل می‌تواند ناشی از اراده طرفین، حکم دادگاه یا قانون خاص باشد. این ماده به صراحت امکان تعیین اجل از طریق این سه منبع را پیش‌بینی کرده است.,3826,1547.0,75.0,1622.0,166.0,33.0,"{""explanation"":""مطابق ماده ۲۲۶ قانون مدنی، اجل می‌تواند ناشی از اراده طرفین، حکم دادگاه یا قانون خاص باشد. این ماده به صراحت امکان تعیین اجل از طریق این سه منبع را پیش‌بینی کرده است."",""answer"":""4"",""confidence"":5}",
13,deepseek/deepseek-v3.2-exp,1,4.0,بر اساس ماده 191 قانون مدنی، عقد نیاز به دو اراده دارد در حالی که ایقاع با یک اراده محقق می‌شود. ایقاع نیز می‌تواند مملک باشد مانند طلاق که مالکیت را منتقل می‌کند، بنابراین گزینه اول که ادعا می‌کند ایقاع هیچگاه مملک نیست صحیح نمی‌باشد.,5237,1530.0,108.0,1638.0,235.0,45.0,"{""explanation"":""بر اساس ماده 191 قانون مدنی، عقد نیاز به دو اراده دارد در حالی که ایقاع با یک اراده محقق می‌شود. ایقاع نیز می‌تواند مملک باشد مانند طلاق که مالکیت را منتقل می‌کند، بنابراین گزینه اول که ادعا می‌کند ایقاع هیچگاه مملک نیست صحیح نمی‌باشد."",""answer"":""1"",""confidence"":4}",
