id,model,answer,confidence,latency_ms,raw,error
1,tngtech/deepseek-r1t2-chimera:free,3,4,14129,"{""answer"":""3"",""confidence"":4}",
2,tngtech/deepseek-r1t2-chimera:free,2,3,19786,"{""answer"":""2"",""confidence"":3}",
3,tngtech/deepseek-r1t2-chimera:free,4,4,16504,"{""answer"":""4"",""confidence"":4}",
4,tngtech/deepseek-r1t2-chimera:free,1,3,18737,"{""answer"":""1"",""confidence"":3}",
5,tngtech/deepseek-r1t2-chimera:free,3,3,15682,"{""answer"":""3"",""confidence"":3}",
6,tngtech/deepseek-r1t2-chimera:free,2,4,17495,"{""answer"":""2"",""confidence"":4}",
7,tngtech/deepseek-r1t2-chimera:free,1,3,32951,"{""answer"":""1"",""confidence"":3}",
8,tngtech/deepseek-r1t2-chimera:free,2,3,17525,"{""answer"":""2"",""confidence"":3}",
9,tngtech/deepseek-r1t2-chimera:free,2,3,22929,"{""answer"":""2"",""confidence"":3}",
10,tngtech/deepseek-r1t2-chimera:free,3,3,13106,"{""answer"":""3"",""confidence"":3}",
11,tngtech/deepseek-r1t2-chimera:free,2,3,13257,"{""answer"":""2"",""confidence"":3}",
12,tngtech/deepseek-r1t2-chimera:free,4,4,12304,"{""answer"":""4"",""confidence"":4}",
13,tngtech/deepseek-r1t2-chimera:free,1,3,13454,"{""answer"":""1"",""confidence"":3}",
14,tngtech/deepseek-r1t2-chimera:free,4,4,19754,"{""answer"":""4"",""confidence"":4}",
15,tngtech/deepseek-r1t2-chimera:free,2,4,11854,"{""answer"":""2"",""confidence"":4}",
16,tngtech/deepseek-r1t2-chimera:free,4,4,14888,"{""answer"":""4"",""confidence"":4}",
17,tngtech/deepseek-r1t2-chimera:free,2,3,16572,"{""answer"":""2"",""confidence"":3}",
18,tngtech/deepseek-r1t2-chimera:free,1,4,30061,"{""answer"":""1"",""confidence"":4}",
19,tngtech/deepseek-r1t2-chimera:free,2,4,22176,"{""answer"":""2"",""confidence"":4}",
20,tngtech/deepseek-r1t2-chimera:free,4,3,12232,"{""answer"":""4"",""confidence"":3}",
21,tngtech/deepseek-r1t2-chimera:free,2,4,15685,"{""answer"":""2"",""confidence"":4}",
22,tngtech/deepseek-r1t2-chimera:free,1,3,28197,"{""answer"":""1"",""confidence"":3}",
23,tngtech/deepseek-r1t2-chimera:free,2,3,32634,"{""answer"":""2"",""confidence"":3}",
24,tngtech/deepseek-r1t2-chimera:free,1,3,15674,"{""answer"":""1"",""confidence"":3}",
25,tngtech/deepseek-r1t2-chimera:free,4,3,52368,"{""answer"":""4"",""confidence"":3}",
