id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,meta-llama/llama-4-maverick,3,4.0,انفساخ به معنی از بین رفتن خودبه‌خودی عقد است و قهری بودن آن به این معنی است که اراده طرفین در آن نقشی ندارد. سبب انفساخ می‌تواند ارادی باشد اما خود انفساخ قهری است.,3182,1395.0,69.0,1464.0,165.0,34.0,"{""explanation"":""انفساخ به معنی از بین رفتن خودبه‌خودی عقد است و قهری بودن آن به این معنی است که اراده طرفین در آن نقشی ندارد. سبب انفساخ می‌تواند ارادی باشد اما خود انفساخ قهری است."",""answer"":""3"",""confidence"":4}",
2,meta-llama/llama-4-maverick,2,4.0,بر اساس قانون بیمه اجباری، بیمه‌گر مسئولیت شخص ثالث موظف است خسارات وارده به اشخاص ثالث (شخص «ب») را جبران کند. در این مورد، بیمه‌گر موظف است دیه شخص «ب» را به هر میزان که باشد پرداخت کند و همچنین خسارات مالی وارد شده به موتورسیکلت را تا سقف تعهدات بیمه‌نامه جبران کند. برای شخص «الف»، بیمه‌گر دیه را تا سقف تعهدات بیمه‌نامه پرداخت می‌کند.,3254,1521.0,127.0,1648.0,339.0,65.0,"{""explanation"":""بر اساس قانون بیمه اجباری، بیمه‌گر مسئولیت شخص ثالث موظف است خسارات وارده به اشخاص ثالث (شخص «ب») را جبران کند. در این مورد، بیمه‌گر موظف است دیه شخص «ب» را به هر میزان که باشد پرداخت کند و همچنین خسارات مالی وارد شده به موتورسیکلت را تا سقف تعهدات بیمه‌نامه جبران کند. برای شخص «الف»، بیمه‌گر دیه را تا سقف تعهدات بیمه‌نامه پرداخت می‌کند."",""answer"":""2"",""confidence"":4}",
3,meta-llama/llama-4-maverick,4,4.0,مطابق ماده 142 قانون مدنی، تصرف همراه با قصد تملک می‌تواند سبب تملک باشد.,738,1395.0,39.0,1434.0,73.0,14.0,"{""explanation"":""مطابق ماده 142 قانون مدنی، تصرف همراه با قصد تملک می‌تواند سبب تملک باشد."",""answer"":""4"",""confidence"":4}",
4,meta-llama/llama-4-maverick,1,4.0,بر اساس قانون بیمه اجباری مسئولیت مدنی و قانون تأمین خسارت‌های بدنی، ابتدا بیمه‌گر مسئولیت مدنی تا سقف تعهدات بیمه‌نامه مسئول است و مازاد بر آن توسط صندوق تأمین خسارت‌های بدنی جبران می‌شود.,2397,1464.0,71.0,1535.0,189.0,33.0,"{""explanation"":""بر اساس قانون بیمه اجباری مسئولیت مدنی و قانون تأمین خسارت‌های بدنی، ابتدا بیمه‌گر مسئولیت مدنی تا سقف تعهدات بیمه‌نامه مسئول است و مازاد بر آن توسط صندوق تأمین خسارت‌های بدنی جبران می‌شود."",""answer"":""1"",""confidence"":4}",
5,meta-llama/llama-4-maverick,3,4.0,طبق قانون مدنی و رویه قضایی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری درج شود.,862,1378.0,49.0,1427.0,121.0,27.0,"{""explanation"":""طبق قانون مدنی و رویه قضایی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری درج شود."",""answer"":""3"",""confidence"":4}",
6,meta-llama/llama-4-maverick,4,4.0,در حقوق ایران، هبه و وصیت تملیکی هر دو از اعمال حقوقی هستند که در آن‌ها مالک می‌تواند مالی را به دیگری تملیک کند. مطابق ماده 795 قانون مدنی، هبه عقدی است که با قبض متهب کامل می‌شود و ماده 796 بیان می‌دارد که هبه با قبض متهب لازم می‌شود مگر در مواردی که خیار فسخ وجود دارد. همچنین طبق ماده 799 قانون مدنی، واهب می‌تواند از هبه رجوع کند. در خصوص وصیت تملیکی نیز طبق ماده 829 قانون مدنی، موصی می‌تواند تا قبل از قبول موصی‌له، وصیت را فسخ کند. بنابراین امکان رجوع برای واهب و موصی وجود دارد.,855,1442.0,177.0,1619.0,487.0,100.0,"{""explanation"":""در حقوق ایران، هبه و وصیت تملیکی هر دو از اعمال حقوقی هستند که در آن‌ها مالک می‌تواند مالی را به دیگری تملیک کند. مطابق ماده 795 قانون مدنی، هبه عقدی است که با قبض متهب کامل می‌شود و ماده 796 بیان می‌دارد که هبه با قبض متهب لازم می‌شود مگر در مواردی که خیار فسخ وجود دارد. همچنین طبق ماده 799 قانون مدنی، واهب می‌تواند از هبه رجوع کند. در خصوص وصیت تملیکی نیز طبق ماده 829 قانون مدنی، موصی می‌تواند تا قبل از قبول موصی‌له، وصیت را فسخ کند. بنابراین امکان رجوع برای واهب و موصی وجود دارد."",""answer"":""4"",""confidence"":4}",
7,meta-llama/llama-4-maverick,2,4.0,مسئولیت چند قیم در مقابل شخص تحت قیمومت به تسهیم است نه تضامنی، زیرا هر قیم به نسبت سهم خود مسئول است. این موضوع در حقوق ایران مورد پذیرش است.,587,1430.0,58.0,1488.0,142.0,30.0,"{""explanation"":""مسئولیت چند قیم در مقابل شخص تحت قیمومت به تسهیم است نه تضامنی، زیرا هر قیم به نسبت سهم خود مسئول است. این موضوع در حقوق ایران مورد پذیرش است."",""answer"":""2"",""confidence"":4}",
8,meta-llama/llama-4-maverick,2,4.0,بر اساس ماده 249 قانون تجارت، اگر محال علیه (کسی که حواله به او صادر شده) قبول کند، دیگر حق ندارد به بهانه عدم بدهکاری به محیل (صادرکننده حواله) از پرداخت وجه خودداری کند. بنابراین محتال (فروشنده) می‌تواند علیه محال علیه برای دریافت وجه حواله شکایت کند.,704,1489.0,88.0,1577.0,253.0,47.0,"{""explanation"":""بر اساس ماده 249 قانون تجارت، اگر محال علیه (کسی که حواله به او صادر شده) قبول کند، دیگر حق ندارد به بهانه عدم بدهکاری به محیل (صادرکننده حواله) از پرداخت وجه خودداری کند. بنابراین محتال (فروشنده) می‌تواند علیه محال علیه برای دریافت وجه حواله شکایت کند."",""answer"":""2"",""confidence"":4}",
9,meta-llama/llama-4-maverick,,,,2194,,,,,,"""explanation"": ""در این سؤال، گزینه‌های مختلف بر اساس شرایط و قوانین مرتبط با مسئولیت مدنی و شرایطی که در آن فرد مسئول شناخته می‌شود، بررسی می‌شوند. در حقوق ایران، اگر شخصی به‌عنوان سرپرست یا مباشر عمل کند و در نتیجه عمل او، خسارتی به دیگری وارد شود، مسئول جبران خسارت شناخته می‌شود. در این سؤال، گزینه 4 اشاره به شرایطی دارد که در آن اکراه‌کننده (مکره) مسئولیتی ندارد، زیرا اکراه مادی بر او واقع شده است. در حقوق ایران، چنانچه اکراه مادی باشد و منجر به اضرار به غیر شود، مسئولیت بر عهده اکراه‌کننده است. در این سؤال، توضیح‌دهنده باید بر اساس اصول حقوقی و با توجه به شرایط مسئله، پاسخ مناسب را انتخاب کند."",
""answer"": ""4"",
""confidence"": 4",unterminated character set at position 36
10,meta-llama/llama-4-maverick,3,4.0,طبق ماده 278 قانون امور حسبی، وصی می‌تواند به دیگری وکالت دهد اما حق تعیین وصی دیگری برای بعد از فوت خود را ندارد مگر آنکه حق امضاء به وی تفویض شده باشد.,1486,1490.0,61.0,1551.0,153.0,33.0,"{""explanation"":""طبق ماده 278 قانون امور حسبی، وصی می‌تواند به دیگری وکالت دهد اما حق تعیین وصی دیگری برای بعد از فوت خود را ندارد مگر آنکه حق امضاء به وی تفویض شده باشد."",""answer"":""3"",""confidence"":4}",
