id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,anthropic/claude-haiku-4.5,3,4,براساس اصول حقوق قراردادها، سبب انفساخ عقد (مانند شرط فسخ یا اختیار فسخ) می‌تواند ارادی باشد، اما خود انفساخ (اعمال اختیار) عمل قهری است که به محض تحقق سبب یا اعمال اختیار، قرارداد منحل می‌شود. گزینه 3 این تمایز را صحیح بیان می‌کند.,4211,2228,166,2394,232,43,"{""explanation"":""براساس اصول حقوق قراردادها، سبب انفساخ عقد (مانند شرط فسخ یا اختیار فسخ) می‌تواند ارادی باشد، اما خود انفساخ (اعمال اختیار) عمل قهری است که به محض تحقق سبب یا اعمال اختیار، قرارداد منحل می‌شود. گزینه 3 این تمایز را صحیح بیان می‌کند."",""answer"":""3"",""confidence"":4}",
2,anthropic/claude-haiku-4.5,2,4,براساس ماده 3 قانون بیمه اجباری مسئولیت مدنی، بیمهگر مسئول جبران دیه و خسارات وارد شده به طرف ثالث (شخص «ب») تا سقف تعهدات خود است، اما دیه شخص «الف» (راننده خودروی بیمه‌شده) تنها تا سقف تعهدات پوشش داده می‌شود، در حالی که دیه شخص «ب» به هر میزان که طبق قانون تعلق گیرد جبران می‌شود و خسارات مالی موتورسیکلت نیز تا سقف تعهدات پوشش داده می‌شود.,2984,2446,241,2687,343,67,"{""explanation"":""براساس ماده 3 قانون بیمه اجباری مسئولیت مدنی، بیمهگر مسئول جبران دیه و خسارات وارد شده به طرف ثالث (شخص «ب») تا سقف تعهدات خود است، اما دیه شخص «الف» (راننده خودروی بیمه‌شده) تنها تا سقف تعهدات پوشش داده می‌شود، در حالی که دیه شخص «ب» به هر میزان که طبق قانون تعلق گیرد جبران می‌شود و خسارات مالی موتورسیکلت نیز تا سقف تعهدات پوشش داده می‌شود."",""answer"":""2"",""confidence"":4}",
3,anthropic/claude-haiku-4.5,4,4,براساس اصول حقوق مدنی ایران، تصرف مستمر و آشکار بر ملک غیر به مدت معین (مثلاً 10 سال برای منقول و 20 سال برای عقار) همراه با قصد تملک می‌تواند به تنهایی سبب تملک شود. این اصل در ماده 934 قانون مدنی و نظریات فقهی مستند است.,1910,2221,151,2372,222,47,"{""explanation"":""براساس اصول حقوق مدنی ایران، تصرف مستمر و آشکار بر ملک غیر به مدت معین (مثلاً 10 سال برای منقول و 20 سال برای عقار) همراه با قصد تملک می‌تواند به تنهایی سبب تملک شود. این اصل در ماده 934 قانون مدنی و نظریات فقهی مستند است."",""answer"":""4"",""confidence"":4}",
4,anthropic/claude-haiku-4.5,1,4,براساس ماده 238 قانون بیمه و ماده 3 قانون تأمین خسارتهای بدنی، بیمه‌گر مسئولیت مدنی مسئول پرداخت خسارت‌های ناشی از تقصیر حرفه‌ای است و در صورتی که خسارت از حد پوشش بیمه تجاوز کند، صندوق تأمین خسارتهای بدنی مسئول پرداخت مابقی است. در این پرونده، پزشک تحت پوشش کامل بیمه است، بنابراین پرداخت دیه کامل بر عهده بیمه‌گر و صندوق است.,2319,2382,235,2617,327,61,"{""explanation"":""براساس ماده 238 قانون بیمه و ماده 3 قانون تأمین خسارتهای بدنی، بیمه‌گر مسئولیت مدنی مسئول پرداخت خسارت‌های ناشی از تقصیر حرفه‌ای است و در صورتی که خسارت از حد پوشش بیمه تجاوز کند، صندوق تأمین خسارتهای بدنی مسئول پرداخت مابقی است. در این پرونده، پزشک تحت پوشش کامل بیمه است، بنابراین پرداخت دیه کامل بر عهده بیمه‌گر و صندوق است."",""answer"":""1"",""confidence"":4}",
5,anthropic/claude-haiku-4.5,3,4,براساس ماده 1119 قانون مدنی، زن می‌تواند وکالت طلاق را به دو صورت شرط نتیجه (طلاق به وقوع بپیوندد) یا شرط فعل (زن خود طلاق را انجام دهد) در عقد نکاح یا هر عقد دیگری شرط کند. بنابراین هر دو نوع شرط در هر دو قالب عقدی قابل تحقق است.,2806,2220,167,2387,230,50,"{""explanation"":""براساس ماده 1119 قانون مدنی، زن می‌تواند وکالت طلاق را به دو صورت شرط نتیجه (طلاق به وقوع بپیوندد) یا شرط فعل (زن خود طلاق را انجام دهد) در عقد نکاح یا هر عقد دیگری شرط کند. بنابراین هر دو نوع شرط در هر دو قالب عقدی قابل تحقق است."",""answer"":""3"",""confidence"":4}",
6,anthropic/claude-haiku-4.5,1,4,براساس قانون مدنی، هبه و وصیت تملیکی هر دو از عقود عینی هستند که قبول و قبض شخص ذی‌نفع برای صحت آنها ضروری است. در هبه، قبض فوری شرط است و در وصیت تملیکی نیز قبول موصی‌له پس از فوت موصی لازم است. این تشابه اساسی در ماهیت عقدی و شرایط صحت هر دو را مشخص می‌کند.,3482,2272,180,2452,259,57,"{""explanation"":""براساس قانون مدنی، هبه و وصیت تملیکی هر دو از عقود عینی هستند که قبول و قبض شخص ذی‌نفع برای صحت آنها ضروری است. در هبه، قبض فوری شرط است و در وصیت تملیکی نیز قبول موصی‌له پس از فوت موصی لازم است. این تشابه اساسی در ماهیت عقدی و شرایط صحت هر دو را مشخص می‌کند."",""answer"":""1"",""confidence"":4}",
7,anthropic/claude-haiku-4.5,3,4,براساس ماده 305 قانون مدنی، مسئولیت چند عامل زیان در حوادث کار به صورت تسهیم است نه تضامنی، زیرا قانون حوادث کار برای توزیع مسئولیت بین عوامل متعدد، اصل تسهیم را برقرار کرده است. در مقابل، مستعیران در عاریه، قیمان و ضامنان با ضمانت ذمه‌ای، مسئولیت تضامنی دارند.,2807,2273,182,2455,261,48,"{""explanation"":""براساس ماده 305 قانون مدنی، مسئولیت چند عامل زیان در حوادث کار به صورت تسهیم است نه تضامنی، زیرا قانون حوادث کار برای توزیع مسئولیت بین عوامل متعدد، اصل تسهیم را برقرار کرده است. در مقابل، مستعیران در عاریه، قیمان و ضامنان با ضمانت ذمه‌ای، مسئولیت تضامنی دارند."",""answer"":""3"",""confidence"":4}",
8,anthropic/claude-haiku-4.5,2,4,براساس ماده 468 قانون مدنی، محتال (فروشنده) حق دارد علیه محال علیه برای دریافت مبلغ حواله دعوا کند؛ همچنین طبق شرط معامله، در صورت عدم پرداخت ثمن ظرف یک ماه، حق فسخ معامله را دارد. بنابراین محتال دارای دو اختیار متوازی است: فسخ معامله یا طرح دعوا علیه محال علیه.,1876,2442,180,2622,262,50,"{""explanation"":""براساس ماده 468 قانون مدنی، محتال (فروشنده) حق دارد علیه محال علیه برای دریافت مبلغ حواله دعوا کند؛ همچنین طبق شرط معامله، در صورت عدم پرداخت ثمن ظرف یک ماه، حق فسخ معامله را دارد. بنابراین محتال دارای دو اختیار متوازی است: فسخ معامله یا طرح دعوا علیه محال علیه."",""answer"":""2"",""confidence"":4}",
9,anthropic/claude-haiku-4.5,3,4,براساس ماده 348 قانون مدنی، مضطر در صورت تلف کردن مال غیر برای نجات جان خود یا دیگری از خطر، مسئولیت مدنی ندارد زیرا عمل او فاقد تقصیر است و بر اساس اضطرار معاف می‌شود. در حالی‌که در سایر گزینه‌ها، تقصیر یا عدم احتیاط موجب مسئولیت می‌شود.,1982,2359,173,2532,238,47,"{""explanation"":""براساس ماده 348 قانون مدنی، مضطر در صورت تلف کردن مال غیر برای نجات جان خود یا دیگری از خطر، مسئولیت مدنی ندارد زیرا عمل او فاقد تقصیر است و بر اساس اضطرار معاف می‌شود. در حالی‌که در سایر گزینه‌ها، تقصیر یا عدم احتیاط موجب مسئولیت می‌شود."",""answer"":""3"",""confidence"":4}",
10,anthropic/claude-haiku-4.5,3,4,براساس ماده 1181 قانون مدنی، وصی می‌تواند در امور روزمره به دیگری وکالت دهد، اما تعیین وصی جدید برای بعد از فوت خود تنها در صورتی مجاز است که حق امضاء و تفویض اختیار به وی داده شده باشد. بدون چنین اختیاری، وصی نمی‌تواند جانشین خود را معین کند.,1656,2429,160,2589,243,49,"{""explanation"":""براساس ماده 1181 قانون مدنی، وصی می‌تواند در امور روزمره به دیگری وکالت دهد، اما تعیین وصی جدید برای بعد از فوت خود تنها در صورتی مجاز است که حق امضاء و تفویض اختیار به وی داده شده باشد. بدون چنین اختیاری، وصی نمی‌تواند جانشین خود را معین کند."",""answer"":""3"",""confidence"":4}",
