idx,model_predict
1,3
2,1
3,4
4,4
5,3
6,2
7,2
8,2
9,3
10,4
11,1
12,4
13,1
14,4
15,2
16,1
17,2
18,1
19,3
20,1
21,4
22,3
23,3
24,3
25,2
26,3
27,2
28,3
29,1
30,2
31,1
32,1
33,2
34,4
35,1
36,1
37,2
38,3
39,3
40,1
41,1
42,1
43,2
44,3
45,3
46,1
47,4
48,2
49,3
50,3
51,3
52,2
53,4
54,1
55,4
56,2
57,3
58,2
59,3
60,2
81,1
82,3
83,1
84,1
85,2
86,1
87,3
88,1
89,1
90,3
91,1
92,3
93,1
94,3
95,4
96,3
97,2
98,1
99,4
100,3
101,2
102,2
103,4
104,1
105,4
106,3
107,2
108,4
109,4
110,2
111,1
112,2
113,2
114,3
115,2
116,1
117,2
118,1
119,4
120,2
121,2
122,4
123,2
124,2
125,1
126,2
127,3
128,3
129,4
130,3
131,2
132,3
133,3
134,3
135,1
136,3
137,1
138,1
139,1
140,1
