idx,explanation,model_predict
1,"براساس ماده 733 قانون مدنی، اگر بیع به واسطه فسخ یا اقاله منفسخ شود، عقد حواله باطل نمی‌گردد. در این حالت محال‌علیه بری می‌شود و بایع یا مشتری می‌توانند به یکدیگر رجوع کنند. بنابراین در فرض سؤال، حواله همچنان معتبر است و مسئولیت استرداد ثمن بر عهده «ب» خواهد بود.",3
2,"براساس قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه (مصوب 1395)، بیمه‌گر مسئولیت دارد که دیه شخص ثالث (شخص «ب») را به هر میزان که باشد، به طور کامل جبران کند (ماده 16). همچنین، بیمه‌گر موظف است دیه راننده مقصر (شخص «الف») را نیز تا سقف تعهدات بیمه‌نامه (حداقل میزان مقرر در قانون) پرداخت کند (ماده 13). خسارات مالی وارد شده به موتورسیکلت نیز تا سقف تعهدات بیمه‌نامه جبران می‌شود.",2
3,"تصرف به تنهایی اماره مالکیت است (ماده 35 قانون مدنی) و نه سبب تملک. با این حال، در مواردی مانند حیازت مباحات، تصرف همراه با قصد تملک، خود به تنهایی سبب تملک محسوب می‌شود (ماده 142 قانون مدنی).",4
4,"در فرض سؤال، پزشک تحت پوشش کامل بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای است. در بیمه مسئولیت مدنی، بیمه‌گر متعهد است خساراتی را که مسئولیت آن بر عهده بیمه‌گذار است، جبران نماید. بنابراین، در مقابل زیان‌دیدگان، بیمه‌گر مسئولیت مدنی پزشک، مسئول پرداخت دیه کامل مرد مسلمان (که میزان دیه زن متوفی در این فرض است) خواهد بود.",4
5,"وکالت زن در طلاق می‌تواند به صورت شرط نتیجه (مانند اینکه زن وکیل زوج باشد) یا شرط فعل (مانند اینکه زوج متعهد شود وکالت در طلاق را به زن بدهد) باشد. همچنین، این شرط می‌تواند ضمن عقد نکاح یا ضمن هر عقد لازم دیگری (مانند صلح یا بیع) درج شود (ماده 1119 قانون مدنی).",3
6,"یکی از شباهت‌های هبه و وصیت تملیکی این است که در هر دو مورد، ذی‌نفع (متهب یا موصی‌له) می‌تواند غیر محصور باشد؛ مانند هبه به فقرا یا وصیت به امور خیریه (ماده 827 قانون مدنی).",2
7,"براساس ماده 1247 قانون مدنی، اگر چند نفر به سمت قیمومت معین شوند، مسئولیت آن‌ها در قبال زیان‌های وارده به مولی‌علیه، تسهیمی است، مگر اینکه در سند قیمومت خلاف آن تصریح شده باشد. در سایر موارد ذکر شده (ضمان ضم ذمه، عاریه طلا و نقره، و عوامل زیان در حوادث کار)، مسئولیت اصولاً تضامنی است.",2
8,"با صدور حواله و قبول محال‌علیه، ذمه محیل (خریدار) در برابر محتال (فروشنده) بری می‌شود و ثمن معامله پرداخت شده تلقی می‌گردد (ماده 724 قانون مدنی). همچنین، حواله عقدی لازم است و محال‌علیه نمی‌تواند به دلیل عدم بدهکاری به محیل از پرداخت امتناع کند (ماده 720 قانون مدنی). از آنجا که ثمن پرداخت شده است، شرط فسخ به دلیل عدم پرداخت ثمن محقق نشده و فروشنده حق فسخ معامله را ندارد و تنها می‌تواند برای وصول مبلغ حواله به محال‌علیه مراجعه کند.",4
9,"براساس ماده 12 قانون مسئولیت مدنی، کارفرما مسئول جبران خسارات ناشی از تقصیر کارگر است، مگر اینکه ثابت کند تمام احتیاط‌هایی را که اوضاع و احوال قضیه ایجاب می‌نموده به عمل آورده است. در این صورت، مسئولیت کارفرما منتفی می‌شود. در سایر موارد، مسئولیت مدنی (حتی در مورد مضطر و مکره) وجود دارد، هرچند مبنای آن ممکن است تقصیر نباشد.",2
10,"براساس ماده 1193 قانون مدنی، وصی نمی‌تواند اجرای وصایت را به دیگری واگذار کند، مگر اینکه موصی (پدر) به او اذن داده باشد. همچنین، براساس ماده 1194 قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، مگر اینکه موصی به او اذن داده باشد. چون در فرض سؤال اذن صریحی داده نشده است، وصی حق وکالت دادن یا تعیین وصی برای بعد از فوت خود را ندارد.",2
