id,model,answer,confidence,latency_ms,raw,error
1,meta-llama/llama-4-maverick,4,4,1430,"""answer"":""4"",""confidence"":4}",
2,meta-llama/llama-4-maverick,2,4,1032,"{""answer"":""2"",""confidence"":4}",
3,meta-llama/llama-4-maverick,4,4,513,"{""answer"":""4"",""confidence"":4}",
4,meta-llama/llama-4-maverick,1,4,1060,"{""answer"":""1"",""confidence"":4}",
5,meta-llama/llama-4-maverick,3,4,836,"{""answer"":""3"",""confidence"":4}",
6,meta-llama/llama-4-maverick,2,4,447,"{""answer"":""2"",""confidence"":4}",
7,meta-llama/llama-4-maverick,2,4,994,"{""answer"":""2"",""confidence"":4}",
8,meta-llama/llama-4-maverick,2,4,568,"{""answer"":""2"",""confidence"":4}",
9,meta-llama/llama-4-maverick,2,4,443,"{""answer"":""2"",""confidence"":4}",
10,meta-llama/llama-4-maverick,4,3,730,"{""answer"":""4"",""confidence"":3}",
11,meta-llama/llama-4-maverick,2,4,1387,"{""answer"":""2"",""confidence"":4}",
12,meta-llama/llama-4-maverick,4,4,485,"{""answer"":""4"",""confidence"":4}",
13,meta-llama/llama-4-maverick,1,4,781,"{""answer"":""1"",""confidence"":4}",
14,meta-llama/llama-4-maverick,4,4,618,"{""answer"":""4"",""confidence"":4}",
15,meta-llama/llama-4-maverick,2,4,1346,"{""answer"":""2"",""confidence"":4}",
16,meta-llama/llama-4-maverick,2,4,566,"{""answer"":""2"",""confidence"":4}",
17,meta-llama/llama-4-maverick,3,4,582,"{""answer"":""3"",""confidence"":4}",
18,meta-llama/llama-4-maverick,2,4,489,"{""answer"":""2"",""confidence"":4}",
19,meta-llama/llama-4-maverick,2,4,784,"{""answer"":""2"",""confidence"":4}",
20,meta-llama/llama-4-maverick,1,4,610,"{""answer"":""1"",""confidence"":4}",
21,meta-llama/llama-4-maverick,4,4,1242,"{""answer"":""4"",""confidence"":4}",
22,meta-llama/llama-4-maverick,4,4,630,"{""answer"":""4"",""confidence"":4}",
23,meta-llama/llama-4-maverick,3,4,1265,"{""answer"":""3"",""confidence"":4}",
24,meta-llama/llama-4-maverick,1,4,1244,"{""answer"":""1"",""confidence"":4}",
25,meta-llama/llama-4-maverick,2,4,621,"{""answer"":""2"",""confidence"":4}",
26,meta-llama/llama-4-maverick,3,4,399,"{""answer"":""3"",""confidence"":4}",
27,meta-llama/llama-4-maverick,2,4,437,"{""answer"":""2"",""confidence"":4}",
28,meta-llama/llama-4-maverick,2,4,518,"{""answer"":""2"",""confidence"":4}",
29,meta-llama/llama-4-maverick,3,4,991,"{""answer"":""3"",""confidence"":4}",
30,meta-llama/llama-4-maverick,1,4,866,"{""answer"":""1"",""confidence"":4}",
31,meta-llama/llama-4-maverick,1,4,606,"{""answer"":""1"",""confidence"":4}",
32,meta-llama/llama-4-maverick,4,4,624,"{""answer"":""4"",""confidence"":4}",
33,meta-llama/llama-4-maverick,2,4,416,"{""answer"":""2"",""confidence"":4}",
34,meta-llama/llama-4-maverick,4,3,350,"{""answer"":""4"",""confidence"":3}",
35,meta-llama/llama-4-maverick,3,4,414,"{""answer"":""3"",""confidence"":4}",
36,meta-llama/llama-4-maverick,3,4,415,"{""answer"":""3"",""confidence"":4}",
37,meta-llama/llama-4-maverick,2,4,625,"{""answer"":""2"",""confidence"":4}",
38,meta-llama/llama-4-maverick,3,4,635,"{""answer"":""3"",""confidence"":4}",
39,meta-llama/llama-4-maverick,4,4,1365,"{""answer"":""4"",""confidence"":4}",
40,meta-llama/llama-4-maverick,2,4,1258,"{""answer"":""2"",""confidence"":4}",
41,meta-llama/llama-4-maverick,1,4,1198,"{""answer"":""1"",""confidence"":4}",
42,meta-llama/llama-4-maverick,2,4,463,"{""answer"":""2"",""confidence"":4}",
43,meta-llama/llama-4-maverick,1,4,450,"{""answer"":""1"",""confidence"":4}",
