id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
0,tngtech/deepseek-r1t2-chimera:free,3,86.0,1.0,"{""3"": 5}",False,14136.8,15138,3,90.0,سبب انفساخ ممکن است ارادی باشد، مانند فوت در وكالت طبق ماده 678 ق.م.، اما خود انفساخ به صورت قهری و بدون نیاز به اراده طرفین واقع می‌شود. این موضوع در ماده 189 ق.م. نیز با تعریف حادثه قهری هماهنگ است.,,3,80.0,بنا بر ماده 189 ق.م. انفساخ عقد ممکن است ناشی از شرط یا سبب ارادی باشد، اما خود انفساخ یک عمل قهری و بدون نیاز به اراده طرفین محقق می‌شود. همچنین ماده 219 ق.م. امکان شروط انفساخ را به عنوان یکی از شروط ضمن عقد به رسمیت شناخته است.,,3,80.0,بر اساس ماده 954 ق.م. سبب انفساخ ممکن است ارادی باشد (مثل شرط فسخ) اما وقوع انفساخ به صورت قهری و بدون نیاز به اراده طرفین محقق می‌شود. این ماده تصریح می‌کند انفساخ عقد به محض تحقق سبب، خودبخود واقع می‌گردد.,,3,90.0,بر اساس ماده 232 ق.م. طرفین می‌توانند سبب انفساخ قرارداد را به صورت ارادی تعیین کنند، اما خود انفساخ به حکم قانون و به صورت قهری محقق می‌شود. همچنین ماده 959 ق.م. اصل آزادی اراده در قراردادها را تأیید می‌کند.,,3,90.0,بر اساس ماده ۹۵۴ قانون مدنی ایران، سبب انفساخ عقد ممکن است ارادی باشد (مانند شرط انفساخ) اما انفساخ خود به خود و قهری محقق می‌شود. بنابراین انفساخ عقد حتی با وجود سبب ارادی، ماهیتاً قهری است.,
1,tngtech/deepseek-r1t2-chimera:free,2,90.0,0.2,"{""2"": 1}",False,15490.6,20174,2,90.0,طبق ماده 10 قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری، بیمهگر شخص ثالث (ب) را به طور کامل تحت پوشش دیه قرار می‌دهد. در مورد خسارات مالی نیز تا سقف تعهدات بیمه‌نامه عمل می‌شود. دیه راننده مقصر (الف) فقط تا سقف بیمه‌نامه پرداخت می‌گردد.,,,,,No valid JSON in response,,,,Empty response from model,,,,Empty response from model,,,,No valid JSON in response
2,tngtech/deepseek-r1t2-chimera:free,4,85.0,0.8,"{""4"": 4}",False,15579.6,17182,4,90.0,تصرف با قصد تملک ممکن است در شرایط خاصی به تنهایی سبب تملک شود. ماده 35 قانون مدنی مقرر می‌دارد: «تصرفی که سبب مملوک شدن شیء می‌گردد باید بلاشرط و بدون منازع بوده و به قصد تملک باشد». این بدان معناست که در صورت وجود شرایط قانونی، تصرف به تنهایی می‌تواند موجب تملک گردد.,,4,90.0,تصرف همراه با قصد تملک می‌تواند به تنهایی سبب تملک گردد، زیرا ماده ۳۵ قانون مدنی ایران مقرر می‌دارد: «تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود». این حکم در صورت وجود شرایط قانونی از جمله قصد تملک جاری می‌شود.,,4,80.0,بر اساس ماده 140 قانون مدنی، تصرف به قصد مالکیت اگر با شرایط قانونی از جمله استمرار همراه باشد، می‌تواند سبب تملک شود. همچنین ماده 35 ق.م. تصرف را از اسباب تملک دانسته است. بنابراین تصرف در مواردی با قصد تملک و شرایط قانونی می‌تواند سبب تملک باشد.,,4,80.0,طبق ماده ۳۵ قانون مدنی، تصرفی که حاکی از مالکیت باشد دلیل مالکیت است مگر اینکه خلاف آن ثابت شود. همچنین ماده ۱۵۷ ق.م. تصرف را از اسباب تملک دانسته است. بنابراین تصرف همراه با قصد تملک می‌تواند به تنهایی سبب تملک شود.,,,,,No valid JSON in response
3,tngtech/deepseek-r1t2-chimera:free,,0.0,0.0,{},False,16824.4,17341,,,,Empty response from model,,,,Empty response from model,,,,Empty response from model,,,,No valid JSON in response,,,,Empty response from model
4,tngtech/deepseek-r1t2-chimera:free,3,90.0,0.6,"{""3"": 3}",False,19004.4,25526,3,90.0,شرط وکالت زن در طلاق می‌تواند هم به صورت شرط نتیجه (اعطای حق طلاق به طور مستقیم) و هم شرط فعل (الزام به انجام عملی برای اعمال حق) باشد. این شرط ضمن عقد نکاح (ماده 1119 ق.م.) یا حتی در قالب عقد جداگانه (ماده 10 ق.م.) قابل درج است. این رویه در رویه قضایی ایران نیز مورد تائید قرار گرفته است.,,,,,Empty response from model,3,90.0,شرط وکالت در طلاق می‌تواند هم به صورت شرط نتیجه (تحقق خودطلاق) و هم شرط فعل (اعطای حق وکالت) منعقد شود. این شرط ضمن عقد نکاح یا هر عقد دیگری حتی پس از آن قابل درج است (ماده 1119 ق.م.). قانون مدنی ایران چنین شروطی را در هر دو قالب و در هر عقدی معتبر می‌داند.,,,,,No valid JSON in response,3,90.0,شرط وکالت در طلاق می‌تواند به صورت شرط نتیجه (تحقق خودبخود وکالت) یا شرط فعل (نیازمند اقدام خاص) باشد و طبق ماده 1119 ق.م. ضمن عقد نکاح یا در قرارداد مستقل دیگری شرط گردد.,
5,tngtech/deepseek-r1t2-chimera:free,4,90.0,0.17,"{""2"": 1, ""4"": 1}",True,18254.3,42052,2,80.0,در وصیت تملیکی، موصی له می‌تواند غیرمحصور باشد (ماده 826 ق.م.)، در حالی که در هبه، متهب باید معین و مشخص باشد. این تشابه در گزینه ۲ صحیح است.,,4,90.0,طبق ماده 803 ق.م. هبه با فوت واهب قبل از قبض باطل می‌شود. در وصیت تملیکی نیز مطابق ماده 827 ق.م. قبول موصی له باید پس از فوت موصی باشد و در صورت فوت موصی قبل از قبض، وصیت منتفی می‌شود.,,,,,No valid JSON in response,,,,No valid JSON in response,,,,Empty response from model
6,tngtech/deepseek-r1t2-chimera:free,1,95.0,0.33,"{""1"": 2, ""2"": 1, ""4"": 1}",False,15888.8,35682,1,100.0,بر اساس ماده ۶۳۴ قانون مدنی، در صورت تلف مال عاریه بدون تعدی و تفریط مستعیر، مسئولیت چند مستعیر به صورت تسهیمی است نه تضامنی زیرا عاریه چند نفر محسوب می‌شود.,,2,80.0,مسئولیت اَنداد قیم بر اساس تقصیر شخصی آنهاست و طبق ماده ۱۲۱۸ قانون مدنی، هر کدام به اندازه تقصیر خود مسئول جبران خسارت هستند نه به صورت تضامنی.,,,,,Empty response from model,,,,No valid JSON in response,1,90.0,بر اساس ماده ۶۳۳ قانون مدنی، در صورت تلف مال عاریه بدون تقصیر مستعیرین، مسئولیت آنها به نسبت منافع آنها از عین معیر تقسیم می‌شود. این ماده مسئولیت را تسهیمی می‌داند نه تضامنی.,
7,tngtech/deepseek-r1t2-chimera:free,2,80.0,0.2,"{""2"": 1}",False,21793.4,28393,,,,No valid JSON in response,2,80.0,بر اساس ماده ۷۲۴ قانون مدنی، با قبول حواله توسط محالعلیه، وی متعهد به پرداخت به محتال می‌شود و محتال می‌تواند علیه وی طرح دعوا کند. همچنین طبق شرط ضمن عقد، فروشنده حق فسخ معامله را نیز دارد (ماده ۴۰۱ ق.م.). بنابراین اختیار انتخاب بین فسخ یا طرح دعوا وجود دارد.,,,,,Empty response from model,,,,No valid JSON in response,,,,No valid JSON in response
8,tngtech/deepseek-r1t2-chimera:free,2,85.0,0.4,"{""2"": 2}",False,24387.8,40740,,,,No valid JSON in response,,,,Empty response from model,2,90.0,بر اساس ماده 12 قانون مسئولیت مدنی و قوانین کار، کارفرما در صورت اثبات رعایت کلیه اقدامات احتیاطی لازم، مسئولیتی در قبال خسارات ناشی از فعل کارگر ندارد. این استثنا ناشی از اصل عدم مسئولیت در فقدان تقصیر (اصل 40 ق.ا.) است.,,2,80.0,بر اساس ماده ۱۲ قانون مسئولیت مدنی، کارفرما در صورت اثبات انجام کلیه احتیاط‌های متعارف و لازم در پیشگیری از خسارت، مسئولیتی نخواهد داشت. این مورد در خصوص کارگران مشمول قانون کار نیز اعمال می‌شود.,,,,,Empty response from model
9,tngtech/deepseek-r1t2-chimera:free,4,80.0,0.2,"{""4"": 1}",False,22329.6,33546,,,,Empty response from model,,,,No valid JSON in response,,,,No valid JSON in response,,,,No valid JSON in response,4,80.0,طبق ماده 1188 ق.م. وصی می‌تواند در موارد اداره امور به دیگری وکالت دهد، مگر اینکه ممنوع شده باشد. اما تعیین وصی جدید در ماده 1189 ق.م. منوط به اختیار صریح از سوی موصی است که در این سوال وجود ندارد.,
10,tngtech/deepseek-r1t2-chimera:free,1,85.0,0.4,"{""1"": 2}",False,21538.6,26852,1,90.0,در تعلیق مرحله اجرای قرارداد (ماده 190 ق.م.) عقد منعقد شده ولی اثر تعهدی آن معلق است، برخلاف تعلیق در انعقاد که اصل وجود عقد منوط به شرط است. بنابراین گزینه 1 نادرست است زیرا در تعلیق اجرا، عقد موجود است اما اثر آن جریان ندارد.,,,,,Empty response from model,,,,Empty response from model,,,,No valid JSON in response,1,80.0,در تعلیق مرحله اجرا اثر عقد از زمان انعقاد جریان دارد ولی اجرای تعهدات به آینده موکول می‌شود (ماده ۲۱۹ ق.م.)، برخلاف تعلیق در انعقاد که اثر عقد به طور کلی معلق است.,
11,tngtech/deepseek-r1t2-chimera:free,4,95.0,0.8,"{""4"": 4}",False,15221.2,20898,4,100.0,طبق ماده 733 قانون مدنی، أجَل می‌تواند ناشی از تراضی طرفین، حکم دادگاه یا قانون خاص باشد. این ماده صراحتاً هر سه منبع اراده طرفین، حکم قضایی و قانون خاص را به عنوان مبنای تعیین أجل برمی‌شمارد. بنابراین گزینه 4 با نص قانون مطابقت دارد.,,4,100.0,بر اساس ماده 733 قانون مدنی ایران، اجل ممکن است ناشی از اراده طرفین قرارداد، حکم دادگاه یا حکم قانون خاص باشد. این ماده صراحتاً هر سه منبع را به رسمیت شناخته است. بنابراین گزینه 4 که همه این موارد را دربرمی‌گیرد صحیح است.,,4,100.0,طبق ماده 733 قانون مدنی ایران، اجل می‌تواند ناشی از اراده طرفین، حکم دادگاه یا قانون خاص باشد. این ماده صراحتاً تمامی این موارد را به عنوان منابع تعیین اجل برمی‌شمرد. بنابراین گزینه 4 با صراحت قانونی مطابقت دارد.,,,,,No valid JSON in response,4,80.0,أجل در تعهدات قراردادی می‌تواند ناشی از اراده طرفین باشد (ماده 10 ق.م.)، حکم دادگاه بر اساس اصول حقوقی عمومی (اصل 173 ق.ا.) یا مقررات خاص قانونی برای قراردادهای ویژه (مانند ماده 733 ق.م.).,
12,tngtech/deepseek-r1t2-chimera:free,1,86.7,0.6,"{""1"": 3}",False,25524.4,54798,1,90.0,بر اساس ماده 733 قانون مدنی، برخی ایقاعات مانند اقاله می‌تواند اثر انتقالی (مملک) داشته باشد، بنابراین عبارت «ایقاع هیچگاه مملک نیست» نادرست است.,,1,90.0,بر اساس ماده 1135 ق.م. ایقاع نیز مانند عقد می‌تواند معلق یا مشروط باشد، بنابراین عبارت «ایقاع هیچگاه مملک نیست» نادرست است.,,,,,No valid JSON in response,1,80.0,ایقاع نیز می‌تواند مملک باشد مانند طلاق رجعی که مطابق ماده 1143 ق.م. قابل رجوع است. بنابراین گزینه اول نادرست است زیرا ایقاع در برخی موارد مملک محسوب می‌شود.,,,,,Empty response from model
13,tngtech/deepseek-r1t2-chimera:free,4,90.0,0.8,"{""4"": 4}",False,21119.0,36909,4,90.0,بر اساس ماده 6 قانون روابط موجر و مستأجر 1376، مستأجر حق انتقال سرقفلی را دارد مگر اینکه در عقد اجاره به طور صریح این حق از وی سلب شده باشد. این ماده صراحتاً حق انتقال سرقفلی را برای مستأجر به رسمیت می‌شناسد مگر در موارد استثناء قراردادی.,,4,90.0,مطابق ماده 6 قانون روابط موجر و مستأجر 1376، مستأجر صاحب سرقفلی حق انتقال حق خود به غیر را دارد مگر اینکه در قرارداد اجاره حق انتقال از وی سلب شده باشد. این ماده صراحتاً حق انتقال سرقفلی را به مستأجر اعطا نموده است.,,,,,Empty response from model,4,90.0,بر اساس ماده 9 قانون روابط موجر و مستأجر 1376، مستأجر حق انتقال سرقفلی به غیر را دارد مگر اینکه در ضمن عقد اجاره به نحو صریح از این حق صرف نظر شده باشد. این حق انتقال شامل دریافت مابه‌ازای مالی نیز می‌شود.,,4,90.0,مستأجر صاحب سرقفلی حق انتقال سرقفلی را دارد مگر اینکه در ضمن عقد اجاره از این حق صرف نظر شده باشد. این حکم صراحتاً در ماده 6 قانون روابط موجر و مستأجر مصوب 1376 مقرر شده است.,
14,tngtech/deepseek-r1t2-chimera:free,2,84.0,1.0,"{""2"": 5}",False,13563.4,14905,2,80.0,مطابق ماده 22 قانون حمایت از حقوق مؤلفان، نقل آثار برای مقاصد علمی مشروط به ذکر منبع و عدم تغییر اثر است. بنابراین نقل بدون هیچ قید و شرطی مجاز نیست.,,2,90.0,بر اساس ماده 22 قانون حمایت از حقوق مؤلفان، نقل آثار برای مقاصد علمی و آموزشی تنها در حد متعارف و با ذکر منبع مجاز است و بدون قید و شرط نیست.,,2,80.0,بر اساس ماده ۲۲ قانون حمایت از حقوق مؤلفان، نقل آثار برای مقاصد علمی و آموزشی مشروط به ذکر منبع و نام پدیدآورنده و رعایت حدود متعارف است. بنابراین نقل اثر بدون هیچ قید و شرطی مجاز نیست.,,2,90.0,بر اساس ماده ۲۲ قانون حمایت از حقوق مؤلفان، نقل آثار برای مقاصد آموزشی و علمی تنها در حدود متعارف و با ذکر منبع مجاز است و بدون قید و شرط نیست.,,2,80.0,بر اساس ماده ۱۲ قانون حمایت حقوق مؤلفان، نقل آثار برای مقاصد علمی مشروط به ذکر منبع و عدم اخلال در بهره‌برداری عادی اثر است. هرگونه استفاده بدون قید و شرط مجاز نیست.,
15,tngtech/deepseek-r1t2-chimera:free,,0.0,0.0,{},False,18996.6,27009,,,,Empty response from model,,,,Empty response from model,,,,No valid JSON in response,,,,No valid JSON in response,,,,No valid JSON in response
16,tngtech/deepseek-r1t2-chimera:free,2,86.7,0.5,"{""2"": 3, ""3"": 1}",False,18290.3,48335,2,90.0,ماده 828 قانون مدنی تصریح می‌کند حق رد ترکه قائم به شخص وارث بوده و قابل انتقال به وراث دیگر نیست. این حق از حقوق شخصی محسوب شده و با فوت وارث منتقل نمی‌شود.,,,,,Empty response from model,,,,No valid JSON in response,2,80.0,ماده ۸۵۳ قانون مدنی ایران مقرر می‌دارد حق رد ترکه قائم به شخص وارث بوده و قابل انتقال به وراث دیگر نیست. این حق از جمله حقوق مربوط به شخص محسوب شده و به ورثه دیگر منتقل نمی‌شود.,,3,80.0,بر اساس ماده 867 قانون مدنی، مهلت رد ترکه از تاریخ ابلاغ خاتمه تحریر ترکه محاسبه می‌شود. این ماده صراحتاً به شروع مهلت یکماهه پس از ابلاغ تحریر ترکه اشاره دارد. همچنین تحریر ترکه به عنوان مبدأ محاسبه مهلت رد، شرط اساسی است.,
17,tngtech/deepseek-r1t2-chimera:free,2,90.0,0.4,"{""2"": 2}",False,21608.8,41719,2,90.0,مطابق ماده 875 ق.م. جنین در صورت زنده متولد شدن واجد حق ارث می‌شود ولی با فوت بلافاصله، سهم وی به سایر وراث بازمی‌گردد. سهم همسر متوفی یک هشتم است (ماده 913 ق.م.) و باقی ماترک به خواهر و برادر متوفی می‌رسد (ماده 933 ق.م.).,,2,90.0,طبق ماده 913 ق.م. همسر متوفی یک هشتم ارث می‌برد و با توجه به حیات جنین هنگام فوت مورث (ماده 878 ق.م.)، سهم جنین پس از تولد و فوت بلافاصله به وراث جنین منتقل می‌شود که در اینجا خواهر و برادر متوفی خواهند بود (ماده 930 ق.م.).,,,,,Empty response from model,,,,No valid JSON in response,,,,Empty response from model
