id,model,answer,confidence,latency_ms,raw,error
1,meta-llama/llama-4-scout,3,4,1583,"{""answer"":""3"",""confidence"":4}",
2,meta-llama/llama-4-scout,2,4,594,"{""answer"":""2"",""confidence"":4}",
3,meta-llama/llama-4-scout,4,4,586,"{""answer"":""4"",""confidence"":4}",
4,meta-llama/llama-4-scout,1,5,758,"{""answer"":""1"",""confidence"":5}",
5,meta-llama/llama-4-scout,4,5,600,"{""answer"":""4"",""confidence"":5}",
6,meta-llama/llama-4-scout,2,4,771,"{""answer"":""2"",""confidence"":4}",
7,meta-llama/llama-4-scout,1,4,652,"{""answer"":""1"",""confidence"":4}",
8,meta-llama/llama-4-scout,2,4,2036,"{""answer"":""2"",""confidence"":4}",
9,meta-llama/llama-4-scout,2,4,702,"{""answer"":""2"",""confidence"":4}",
10,meta-llama/llama-4-scout,3,4,482,"{""answer"":""3"",""confidence"":4}",
11,meta-llama/llama-4-scout,2,4,386,"{""answer"":""2"",""confidence"":4}",
12,meta-llama/llama-4-scout,4,5,426,"{""answer"":""4"",""confidence"":5}",
13,meta-llama/llama-4-scout,4,4,767,"{""answer"":""4"",""confidence"":4}",
14,meta-llama/llama-4-scout,4,5,432,"{""answer"":""4"",""confidence"":5}",
15,meta-llama/llama-4-scout,2,4,722,"{""answer"":""2"",""confidence"":4}",
16,meta-llama/llama-4-scout,2,4,499,"{""answer"":""2"",""confidence"":4}",
17,meta-llama/llama-4-scout,1,4,583,"{""answer"":""1"",""confidence"":4}",
18,meta-llama/llama-4-scout,2,5,657,"{""answer"":""2"",""confidence"":5}",
19,meta-llama/llama-4-scout,2,5,502,"{""answer"":""2"",""confidence"":5}",
20,meta-llama/llama-4-scout,2,5,614,"{""answer"":""2"",""confidence"":5}",
21,meta-llama/llama-4-scout,2,5,588,"{""answer"":""2"",""confidence"":5}",
22,meta-llama/llama-4-scout,4,5,326,"{""answer"":""4"",""confidence"":5}",
23,meta-llama/llama-4-scout,3,4,658,"{""answer"":""3"",""confidence"":4}",
24,meta-llama/llama-4-scout,3,4,663,"{""answer"":""3"",""confidence"":4}",
25,meta-llama/llama-4-scout,3,4,407,"{""answer"":""3"",""confidence"":4}",
26,meta-llama/llama-4-scout,4,5,625,"{""answer"":""4"",""confidence"":5}",
27,meta-llama/llama-4-scout,2,5,496,"{""answer"":""2"",""confidence"":5}",
28,meta-llama/llama-4-scout,2,5,338,"{""answer"":""2"",""confidence"":5}",
29,meta-llama/llama-4-scout,1,5,481,"{""answer"":""1"",""confidence"":5}",
30,meta-llama/llama-4-scout,3,4,670,"{""answer"":""3"",""confidence"":4}",
31,meta-llama/llama-4-scout,1,4,1005,"{""answer"":""1"",""confidence"":4}",
32,meta-llama/llama-4-scout,2,4,325,"{""answer"":""2"",""confidence"":4}",
33,meta-llama/llama-4-scout,2,4,1041,"{""answer"":""2"",""confidence"":4}",
34,meta-llama/llama-4-scout,4,3,443,"{""answer"":""4"",""confidence"":3}",
35,meta-llama/llama-4-scout,1,4,1040,"{""answer"":""1"",""confidence"":4}",
36,meta-llama/llama-4-scout,1,5,844,"{""answer"":""1"",""confidence"":5}",
37,meta-llama/llama-4-scout,2,4,485,"{""answer"":""2"",""confidence"":4}",
38,meta-llama/llama-4-scout,4,5,701,"{""answer"":""4"",""confidence"":5}",
39,meta-llama/llama-4-scout,3,5,482,"{""answer"":""3"",""confidence"":5}",
40,meta-llama/llama-4-scout,2,4,347,"{""answer"":""2"",""confidence"":4}",
41,meta-llama/llama-4-scout,1,4,685,"{""answer"":""1"",""confidence"":4}",
42,meta-llama/llama-4-scout,1,4,644,"{""answer"":""1"",""confidence"":4}",
43,meta-llama/llama-4-scout,2,4,945,"{""answer"":""2"",""confidence"":4}",
44,meta-llama/llama-4-scout,3,4,454,"{""answer"":""3"",""confidence"":4}",
