id,model,answer,confidence,latency_ms,raw,error
1,openai/gpt-4o-mini,3,4,2062,"{""answer"":""3"",""confidence"":4}",
2,openai/gpt-4o-mini,2,4,767,"{""answer"":""2"",""confidence"":4}",
3,openai/gpt-4o-mini,4,4,926,"{""answer"":""4"",""confidence"":4}",
4,openai/gpt-4o-mini,2,4,2044,"{""answer"":""2"",""confidence"":4}",
5,openai/gpt-4o-mini,3,4,705,"{""answer"":""3"",""confidence"":4}",
6,openai/gpt-4o-mini,2,4,590,"{""answer"":""2"",""confidence"":4}",
7,openai/gpt-4o-mini,1,4,664,"{""answer"":""1"",""confidence"":4}",
8,openai/gpt-4o-mini,2,4,586,"{""answer"":""2"",""confidence"":4}",
9,openai/gpt-4o-mini,2,4,503,"{""answer"":""2"",""confidence"":4}",
10,openai/gpt-4o-mini,4,4,684,"{""answer"":""4"",""confidence"":4}",
11,openai/gpt-4o-mini,2,3,747,"{""answer"":""2"",""confidence"":3}",
12,openai/gpt-4o-mini,4,4,592,"{""answer"":""4"",""confidence"":4}",
13,openai/gpt-4o-mini,1,4,673,"{""answer"":""1"",""confidence"":4}",
14,openai/gpt-4o-mini,4,4,616,"{""answer"":""4"",""confidence"":4}",
15,openai/gpt-4o-mini,2,4,799,"{""answer"":""2"",""confidence"":4}",
16,openai/gpt-4o-mini,2,4,693,"{""answer"":""2"",""confidence"":4}",
17,openai/gpt-4o-mini,3,4,688,"{""answer"":""3"",""confidence"":4}",
18,openai/gpt-4o-mini,2,4,672,"{""answer"":""2"",""confidence"":4}",
19,openai/gpt-4o-mini,3,4,837,"{""answer"":""3"",""confidence"":4}",
20,openai/gpt-4o-mini,4,4,507,"{""answer"":""4"",""confidence"":4}",
21,openai/gpt-4o-mini,2,4,637,"{""answer"":""2"",""confidence"":4}",
22,openai/gpt-4o-mini,1,4,807,"{""answer"":""1"",""confidence"":4}",
23,openai/gpt-4o-mini,4,4,768,"{""answer"":""4"",""confidence"":4}",
24,openai/gpt-4o-mini,1,4,695,"{""answer"":""1"",""confidence"":4}",
25,openai/gpt-4o-mini,2,4,1512,"{""answer"":""2"",""confidence"":4}",
