id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,google/gemini-2.5-flash-lite,3,4,طبق ماده ۲۱۹ قانون مدنی، عقد لازم، عقدی است که هیچ یک از طرفین، حق فسخ آن را ندارند مگر در موارد معینه. انفساخ به معنای انحلال قهری عقد است و سبب آن می‌تواند ارادی یا غیر ارادی باشد، اما خود انفساخ همیشه قهری است.,1306,533,83,616,213,45,"{""explanation"":""طبق ماده ۲۱۹ قانون مدنی، عقد لازم، عقدی است که هیچ یک از طرفین، حق فسخ آن را ندارند مگر در موارد معینه. انفساخ به معنای انحلال قهری عقد است و سبب آن می‌تواند ارادی یا غیر ارادی باشد، اما خود انفساخ همیشه قهری است."",""answer"":""3"",""confidence"":4}",
2,google/gemini-2.5-flash-lite,4,5,طبق ماده ۲ قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان در حوادث رانندگی اعم از صدمات بدنی و مالی توسط شرکت بیمه جبران می‌شود و در صورت تقصیر راننده مقصر، بیمهگر مکلف به پرداخت دیه و خسارات مالی تا سقف تعهدات مندرج در بیمه‌نامه است.,826,648,90,738,236,46,"{""explanation"":""طبق ماده ۲ قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان در حوادث رانندگی اعم از صدمات بدنی و مالی توسط شرکت بیمه جبران می‌شود و در صورت تقصیر راننده مقصر، بیمهگر مکلف به پرداخت دیه و خسارات مالی تا سقف تعهدات مندرج در بیمه‌نامه است."",""answer"":""4"",""confidence"":5}",
3,google/gemini-2.5-flash-lite,4,4,طبق ماده ۳۱ قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت شناخته می‌شود و در مواردی که تصرف همراه با قصد تملک باشد، می‌تواند سبب تملک قرار گیرد.,746,535,59,594,143,28,"{""explanation"":""طبق ماده ۳۱ قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت شناخته می‌شود و در مواردی که تصرف همراه با قصد تملک باشد، می‌تواند سبب تملک قرار گیرد."",""answer"":""4"",""confidence"":4}",
4,google/gemini-2.5-flash-lite,2,4,مطابق ماده ۵۶۲ قانون مجازات اسلامی، در جنایت غیرعمدی، اولیای دم حق مطالبه دیه از مرتکب یا عاقله او را دارند. در فرض سوال، پزشک مقصر مسئول پرداخت دیه است و بیمه‌گر مسئولیت مدنی او نیز طبق قرارداد بیمه ملزم به جبران خسارت است.,1022,594,87,681,224,44,"{""explanation"":""مطابق ماده ۵۶۲ قانون مجازات اسلامی، در جنایت غیرعمدی، اولیای دم حق مطالبه دیه از مرتکب یا عاقله او را دارند. در فرض سوال، پزشک مقصر مسئول پرداخت دیه است و بیمه‌گر مسئولیت مدنی او نیز طبق قرارداد بیمه ملزم به جبران خسارت است."",""answer"":""2"",""confidence"":4}",
5,google/gemini-2.5-flash-lite,1,4,مطابق ماده ۱۱۳۳ قانون مدنی و رویه قضایی، وکالت زن در طلاق می‌تواند به صورت شرط ضمن عقد نکاح (شرط فعل یا شرط نتیجه) گنجانده شود. این شرط به زن این اختیار را می‌دهد که خود را مطلقه سازد.,712,512,72,584,184,39,"{""explanation"":""مطابق ماده ۱۱۳۳ قانون مدنی و رویه قضایی، وکالت زن در طلاق می‌تواند به صورت شرط ضمن عقد نکاح (شرط فعل یا شرط نتیجه) گنجانده شود. این شرط به زن این اختیار را می‌دهد که خود را مطلقه سازد."",""answer"":""1"",""confidence"":4}",
6,google/gemini-2.5-flash-lite,1,3,هبه عقدی عینی است و قبض شرط صحت آن است (ماده 798 قانون مدنی). وصیت تملیکی نیز با قبول موصی له محقق می‌شود (ماده 826 قانون مدنی) و قبض در آن شرط صحت نیست.,831,579,74,653,153,34,"{""explanation"":""هبه عقدی عینی است و قبض شرط صحت آن است (ماده 798 قانون مدنی). وصیت تملیکی نیز با قبول موصی له محقق می‌شود (ماده 826 قانون مدنی) و قبض در آن شرط صحت نیست."",""answer"":""1"",""confidence"":3}",
7,google/gemini-2.5-flash-lite,1,4,طبق ماده ۲۴۷ قانون مدنی، در صورتی که چند نفر در یک عاریه شریک باشند و مال عاریه نزد یکی از آنها تلف شود، مسئولیت او در مقابل عاریه دهنده تسهیمی است.,891,567,61,628,148,32,"{""explanation"":""طبق ماده ۲۴۷ قانون مدنی، در صورتی که چند نفر در یک عاریه شریک باشند و مال عاریه نزد یکی از آنها تلف شود، مسئولیت او در مقابل عاریه دهنده تسهیمی است."",""answer"":""1"",""confidence"":4}",
8,google/gemini-2.5-flash-lite,2,4,طبق ماده ۷۰۵ قانون مدنی، حواله عقدی است که به موجب آن طلب شخصی از ذمه مدیون به ذمه شخص ثالثی منتقل می‌شود. در اینجا، فروشنده (محتال) می‌تواند هم به دلیل عدم پرداخت ثمن و اعمال حق فسخ قرارداد اصلی و هم به دلیل عدم پرداخت وجه حواله علیه محال علیه اقامه دعوا کند.,887,645,96,741,260,54,"{""explanation"":""طبق ماده ۷۰۵ قانون مدنی، حواله عقدی است که به موجب آن طلب شخصی از ذمه مدیون به ذمه شخص ثالثی منتقل می‌شود. در اینجا، فروشنده (محتال) می‌تواند هم به دلیل عدم پرداخت ثمن و اعمال حق فسخ قرارداد اصلی و هم به دلیل عدم پرداخت وجه حواله علیه محال علیه اقامه دعوا کند."",""answer"":""2"",""confidence"":4}",
9,google/gemini-2.5-flash-lite,4,4,طبق ماده ۱۲ قانون مسئولیت مدنی، کسی که به دلیل اکراه در انجام عملیات زیان بار مجبور شده باشد، مسئول جبران خسارت وارده نیست. در گزینه ۴، اکراه غیر مادی موجب می‌شود که شخص مکره مسئولیت نداشته باشد.,772,602,68,670,195,38,"{""explanation"":""طبق ماده ۱۲ قانون مسئولیت مدنی، کسی که به دلیل اکراه در انجام عملیات زیان بار مجبور شده باشد، مسئول جبران خسارت وارده نیست. در گزینه ۴، اکراه غیر مادی موجب می‌شود که شخص مکره مسئولیت نداشته باشد."",""answer"":""4"",""confidence"":4}",
10,google/gemini-2.5-flash-lite,2,4,طبق ماده ۸۳۱ قانون مدنی، وصی نمی‌تواند کسی را به جای خود تعیین کند مگر اینکه در وصیت‌نامه صراحتاً به او اجازه داده شده باشد. همچنین، وصی نمی‌تواند انجام مورد وصایت را به دیگری واگذار کند مگر در مواردی که عرفاً یا قانوناً اجازه داشته باشد.,843,626,86,712,238,46,"{""explanation"":""طبق ماده ۸۳۱ قانون مدنی، وصی نمی‌تواند کسی را به جای خود تعیین کند مگر اینکه در وصیت‌نامه صراحتاً به او اجازه داده شده باشد. همچنین، وصی نمی‌تواند انجام مورد وصایت را به دیگری واگذار کند مگر در مواردی که عرفاً یا قانوناً اجازه داشته باشد."",""answer"":""2"",""confidence"":4}",
