id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,google/gemini-2.5-flash-lite,4,4,انفساخ به معنای انحلال قهری عقد است و سبب آن می‌تواند ارادی یا قهری باشد؛ اما خود انفساخ همواره قهری است و اراده طرفین در آن نقشی ندارد.,2186,1432,58,1490,136,28,"{""explanation"":""انفساخ به معنای انحلال قهری عقد است و سبب آن می‌تواند ارادی یا قهری باشد؛ اما خود انفساخ همواره قهری است و اراده طرفین در آن نقشی ندارد."",""answer"":""4"",""confidence"":4}",
2,google/gemini-2.5-flash-lite,4,5,طبق ماده 10 قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان اعم از صدمات بدنی و مالی ناشی از حوادث رانندگی تحت پوشش بیمه اجباری است و بیمه‌گر مکلف به جبران آن تا سقف تعهدات مندرج در بیمه‌نامه می‌باشد.,1871,1547,82,1629,201,39,"{""explanation"":""طبق ماده 10 قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان اعم از صدمات بدنی و مالی ناشی از حوادث رانندگی تحت پوشش بیمه اجباری است و بیمه‌گر مکلف به جبران آن تا سقف تعهدات مندرج در بیمه‌نامه می‌باشد."",""answer"":""4"",""confidence"":5}",
3,google/gemini-2.5-flash-lite,4,4,مطابق ماده 307 قانون مدنی، تصرفی که به نحو احداث یا اشغال یا تقویم یا ابداع یا احیای اراضی موات یا مباحه باشد، در صورتی که با قصد تملک باشد، سبب تملک است.,1523,1434,72,1506,154,33,"{""explanation"":""مطابق ماده 307 قانون مدنی، تصرفی که به نحو احداث یا اشغال یا تقویم یا ابداع یا احیای اراضی موات یا مباحه باشد، در صورتی که با قصد تملک باشد، سبب تملک است."",""answer"":""4"",""confidence"":4}",
4,google/gemini-2.5-flash-lite,2,4,مطابق ماده 592 قانون مجازات اسلامی، در صورت فوت ناشی از تقصیر پزشک، دیه بر عهده پزشک مقصر است و در صورت داشتن بیمه مسئولیت، بیمه‌گر نیز ملزم به پرداخت آن است.,837,1493,64,1557,158,32,"{""explanation"":""مطابق ماده 592 قانون مجازات اسلامی، در صورت فوت ناشی از تقصیر پزشک، دیه بر عهده پزشک مقصر است و در صورت داشتن بیمه مسئولیت، بیمه‌گر نیز ملزم به پرداخت آن است."",""answer"":""2"",""confidence"":4}",
5,google/gemini-2.5-flash-lite,3,4,مطابق ماده 1119 قانون مدنی، شرط وکالت زن در طلاق، چه به صورت شرط فعل (انجام دادن کاری) و چه به صورت شرط نتیجه (تحقق یافتن امری)، می‌تواند ضمن عقد نکاح یا عقد لازم دیگری گنجانده شود.,788,1411,73,1484,181,37,"{""explanation"":""مطابق ماده 1119 قانون مدنی، شرط وکالت زن در طلاق، چه به صورت شرط فعل (انجام دادن کاری) و چه به صورت شرط نتیجه (تحقق یافتن امری)، می‌تواند ضمن عقد نکاح یا عقد لازم دیگری گنجانده شود."",""answer"":""3"",""confidence"":4}",
6,google/gemini-2.5-flash-lite,2,4,وصیت تملیکی، عقدی است که به موجب آن یک نفر (موصی) تمام یا بخشی از دارایی خود را برای بعد از فوتش به دیگری (موصی له) تملیک می‌کند و موصی له می‌تواند غیر محصور باشد، مانند وقف.,980,1478,72,1550,174,37,"{""explanation"":""وصیت تملیکی، عقدی است که به موجب آن یک نفر (موصی) تمام یا بخشی از دارایی خود را برای بعد از فوتش به دیگری (موصی له) تملیک می‌کند و موصی له می‌تواند غیر محصور باشد، مانند وقف."",""answer"":""2"",""confidence"":4}",
7,google/gemini-2.5-flash-lite,4,5,در ضمان به صورت ضم ذمه به ذمه، هر ضامن به تنهایی مسئول کل دین است و متعهدله می‌تواند به هر یک از ضامنین رجوع کند، لذا مسئولیت تضامنی است.,823,1466,60,1526,137,30,"{""explanation"":""در ضمان به صورت ضم ذمه به ذمه، هر ضامن به تنهایی مسئول کل دین است و متعهدله می‌تواند به هر یک از ضامنین رجوع کند، لذا مسئولیت تضامنی است."",""answer"":""4"",""confidence"":5}",
8,google/gemini-2.5-flash-lite,4,4,مطابق ماده 284 قانون مدنی، قبول حواله از سوی محال علیه، دین محیل را ساقط می‌کند و محال علیه نمی‌تواند به بهانه عدم بدهی به محیل از پرداخت امتناع کند؛ لذا محتال می‌تواند برای وصول وجه حواله علیه محال علیه اقامه دعوا نماید.,1340,1544,87,1631,221,43,"{""explanation"":""مطابق ماده 284 قانون مدنی، قبول حواله از سوی محال علیه، دین محیل را ساقط می‌کند و محال علیه نمی‌تواند به بهانه عدم بدهی به محیل از پرداخت امتناع کند؛ لذا محتال می‌تواند برای وصول وجه حواله علیه محال علیه اقامه دعوا نماید."",""answer"":""4"",""confidence"":4}",
9,google/gemini-2.5-flash-lite,2,4,در مسئولیت مدنی مبتنی بر تقصیر، اگر کارفرما ثابت کند که تمام احتیاط‌های لازم را به عمل آورده است، مسئولیت او در قبال خسارات ناشی از فعل کارگر منتفی می‌شود.,841,1501,62,1563,155,30,"{""explanation"":""در مسئولیت مدنی مبتنی بر تقصیر، اگر کارفرما ثابت کند که تمام احتیاط‌های لازم را به عمل آورده است، مسئولیت او در قبال خسارات ناشی از فعل کارگر منتفی می‌شود."",""answer"":""2"",""confidence"":4}",
10,google/gemini-2.5-flash-lite,4,4,مطابق ماده 831 قانون مدنی، وصی نمی‌تواند کسی را به جای خود وصی قرار دهد مگر اینکه صراحتاً مجاز شده باشد، اما می‌تواند در امور مربوط به وصایت به دیگری وکالت دهد.,884,1525,65,1590,160,32,"{""explanation"":""مطابق ماده 831 قانون مدنی، وصی نمی‌تواند کسی را به جای خود وصی قرار دهد مگر اینکه صراحتاً مجاز شده باشد، اما می‌تواند در امور مربوط به وصایت به دیگری وکالت دهد."",""answer"":""4"",""confidence"":4}",
11,google/gemini-2.5-flash-lite,2,3,تعلیق در مرحله انعقاد به اراده طرفین بستگی دارد و ممکن است ناشی از قانون باشد، اما تعلیق در مرحله اجرا عمدتاً ناشی از اراده طرفین است و در هر دو صورت، اثر عقد تا رفع تعلیق یا تحقق شرط جریان نمی‌یابد.,1547,1448,79,1527,199,42,"{""explanation"":""تعلیق در مرحله انعقاد به اراده طرفین بستگی دارد و ممکن است ناشی از قانون باشد، اما تعلیق در مرحله اجرا عمدتاً ناشی از اراده طرفین است و در هر دو صورت، اثر عقد تا رفع تعلیق یا تحقق شرط جریان نمی‌یابد."",""answer"":""2"",""confidence"":3}",
12,google/gemini-2.5-flash-lite,4,4,طبق ماده 224 قانون مدنی، اجل در تعهدات، چه ناشی از اراده طرفین باشد، چه حکم دادگاه یا قانون، معتبر است.,823,1437,54,1491,103,21,"{""explanation"":""طبق ماده 224 قانون مدنی، اجل در تعهدات، چه ناشی از اراده طرفین باشد، چه حکم دادگاه یا قانون، معتبر است."",""answer"":""4"",""confidence"":4}",
13,google/gemini-2.5-flash-lite,1,5,ایقاع مانند طلاق، ابراء و وصیت، یک عمل حقوقی یک‌طرفه است که با اراده یک شخص اثر حقوقی ایجاد می‌کند و برخلاف عقد، نیازمند توافق دو اراده نیست و نمی‌تواند مملک باشد.,1675,1420,69,1489,163,32,"{""explanation"":""ایقاع مانند طلاق، ابراء و وصیت، یک عمل حقوقی یک‌طرفه است که با اراده یک شخص اثر حقوقی ایجاد می‌کند و برخلاف عقد، نیازمند توافق دو اراده نیست و نمی‌تواند مملک باشد."",""answer"":""1"",""confidence"":5}",
14,google/gemini-2.5-flash-lite,3,4,مطابق ماده 6 قانون روابط موجر و مستاجر مصوب 1376، مستاجر صاحب سرقفلی در اثنای مدت اجاره نمی‌تواند سرقفلی را به غیر واگذار کند مگر با اجازه موجر.,844,1493,66,1559,144,28,"{""explanation"":""مطابق ماده 6 قانون روابط موجر و مستاجر مصوب 1376، مستاجر صاحب سرقفلی در اثنای مدت اجاره نمی‌تواند سرقفلی را به غیر واگذار کند مگر با اجازه موجر."",""answer"":""3"",""confidence"":4}",
15,google/gemini-2.5-flash-lite,2,4,بر اساس ماده 3 قانون حمایت حقوق مؤلفان، مصنفان و هنرمندان، نقل از آثار انتشار یافته و استناد به آنها برای مقاصد علمی، ادبی و آموزشی با ذکر منبع و بدون هیچ قید و شرطی مجاز نیست و نیازمند رعایت شرایطی است.,863,1451,72,1523,203,42,"{""explanation"":""بر اساس ماده 3 قانون حمایت حقوق مؤلفان، مصنفان و هنرمندان، نقل از آثار انتشار یافته و استناد به آنها برای مقاصد علمی، ادبی و آموزشی با ذکر منبع و بدون هیچ قید و شرطی مجاز نیست و نیازمند رعایت شرایطی است."",""answer"":""2"",""confidence"":4}",
16,google/gemini-2.5-flash-lite,1,4,طبق ماده 127 قانون مدنی، وکیل در انجام اموری که صراحتاً به او وکالت داده شده، می‌تواند اقدام کند و در صورت عدم رعایت غبطه موکل، معامله غیرنافذ و قابل رد است.,902,1527,67,1594,157,32,"{""explanation"":""طبق ماده 127 قانون مدنی، وکیل در انجام اموری که صراحتاً به او وکالت داده شده، می‌تواند اقدام کند و در صورت عدم رعایت غبطه موکل، معامله غیرنافذ و قابل رد است."",""answer"":""1"",""confidence"":4}",
17,google/gemini-2.5-flash-lite,4,3,مطابق ماده 243 قانون امور حسبی، رد ترکه از سوی وارث، حق اوست و در صورت رد، ترکه بلاوارث محسوب نمی‌شود بلکه به وراث بعدی منتقل می‌شود.,967,1448,58,1506,133,27,"{""explanation"":""مطابق ماده 243 قانون امور حسبی، رد ترکه از سوی وارث، حق اوست و در صورت رد، ترکه بلاوارث محسوب نمی‌شود بلکه به وراث بعدی منتقل می‌شود."",""answer"":""4"",""confidence"":3}",
18,google/gemini-2.5-flash-lite,1,4,با توجه به اینکه جنین پس از تولد فوت کرده، فرض بر زنده متولد شدن اوست و در این صورت، همسر یک هشتم و جنین مابقی ارث را می‌برد.,878,1483,54,1537,125,29,"{""explanation"":""با توجه به اینکه جنین پس از تولد فوت کرده، فرض بر زنده متولد شدن اوست و در این صورت، همسر یک هشتم و جنین مابقی ارث را می‌برد."",""answer"":""1"",""confidence"":4}",
19,google/gemini-2.5-flash-lite,3,4,طبق ماده 284 قانون مدنی، وفای به عهد زمانی محقق می‌شود که متعهد عین تعهد را انجام دهد و اگر چیزی غیر از آن را بدهد، با رضایت متعهدله، وفای به عهد محسوب می‌شود.,877,1438,70,1508,159,34,"{""explanation"":""طبق ماده 284 قانون مدنی، وفای به عهد زمانی محقق می‌شود که متعهد عین تعهد را انجام دهد و اگر چیزی غیر از آن را بدهد، با رضایت متعهدله، وفای به عهد محسوب می‌شود."",""answer"":""3"",""confidence"":4}",
20,google/gemini-2.5-flash-lite,1,4,طبق ماده 637 قانون مدنی، مستعیر مسئول خساراتی است که در اثر عدم رعایت امانت وارد شود و سپردن مال به غیر بدون اذن مالک، معمولاً خلاف امانت است مگر در موارد ضرورت.,843,1512,67,1579,161,33,"{""explanation"":""طبق ماده 637 قانون مدنی، مستعیر مسئول خساراتی است که در اثر عدم رعایت امانت وارد شود و سپردن مال به غیر بدون اذن مالک، معمولاً خلاف امانت است مگر در موارد ضرورت."",""answer"":""1"",""confidence"":4}",
21,google/gemini-2.5-flash-lite,4,5,طبق ماده 43 قانون دیوان عدالت اداری، ابطال آیین‌نامه‌ها توسط هیئت عمومی دیوان، اثرات آن از زمان صدور رأی است، مگر اینکه در رأی خلاف آن تصریح شده باشد.,780,1518,63,1581,150,29,"{""explanation"":""طبق ماده 43 قانون دیوان عدالت اداری، ابطال آیین‌نامه‌ها توسط هیئت عمومی دیوان، اثرات آن از زمان صدور رأی است، مگر اینکه در رأی خلاف آن تصریح شده باشد."",""answer"":""4"",""confidence"":5}",
22,google/gemini-2.5-flash-lite,4,4,طبق ماده 481 قانون آیین دادرسی مدنی، رأی داور در صورتی معتبر است که با اتفاق آراء صادر شده باشد، مگر اینکه در قرارداد شرط دیگری شده باشد.,755,1506,56,1562,137,28,"{""explanation"":""طبق ماده 481 قانون آیین دادرسی مدنی، رأی داور در صورتی معتبر است که با اتفاق آراء صادر شده باشد، مگر اینکه در قرارداد شرط دیگری شده باشد."",""answer"":""4"",""confidence"":4}",
