question_number,category,question,options
1,حقوق مدنی,کدام یک از موارد زیر صحیح است؟,1) با توافق طرفین امکان از بین بردن سبب انفساخ قرارداد وجود ندارد. | 2) به سبب انفساخ عقد جایز نمی تواند ارادی باشد . | 3) سبب انفساخ عقد ممکن است ارادی باشد اما انفساخ در هر حال قهری است. | 4) با توجه به قهری بودن انفساخ ،عقد، سبب انفساخ عقد نمی تواند ارادی باشد.
2,حقوق مدنی,شخص «الف» حین رانندگی با خودرو سواری با شخص «ب» (موتورسوار) تصادف می کند شخص «الف» که دارای پوشش بیمه اجباری است صد درصد مقصر حادثه تشخیص داده می شود. بیمهگر مسئولیت، تکلیف به جبران کدام دسته از خسارات و تا چه میزانی دارد؟,1) دیه هر دو راننده صرفاً تا میزان دیه کامل و خسارات مالی وارد شده به موتورسیکلت تا سقف تعهدات | 2) دیه شخص «الف» تا سقف تعهدات خود و دیه شخص «ب» به هر میزان که طبق قانون تعلق گیرد و خسارات مالی وارده به موتورسیکلت تا سقف تعهدات خود | 3) دیه هر دو راننده تا هر میزان که باشد و خسارت وارد شده به هر دو وسیله نقلیه به صورت کامل | 4) دیه هر دو راننده تا هر میزان که باشد و خسارت وارد شده به هر دو وسیله نقلیه تا سقف تعهدات
3,حقوق مدنی,کدام مورد در خصوص تصرفی که همراه با قصد تملک باشد صحیح است؟,1) تصرف در مواردی مملک است حتی اگر همراه با قصد تملک نباشد. | 2) تصرف به تنهایی حتی اگر همراه با قصد تملک باشد هیچگاه مملک نیست. | 3) تصرف نمی تواند جزء سبب مملک باشد. | 4) تصرف ممکن است در مواردی به تنهایی سبب تملک باشد.
4,حقوق مدنی,شخص «الف» (جراح پلاستیک زیبایی) که تحت پوشش کامل بیمه مسئولیت مدنی ناشی از تقصیر حرفه ای است، حین عمل مرتکب تقصیر می شود و در نتیجه بیمار زن فوت می کند پرداخت خسارت متعلق به بازماندگان واجد شرایط متوفی به میزان دیه کامل مرد مسلمان در نهایت برعهده چه شخص یا اشخاصی است؟,1) بیمه‌گر مسئولیت مدنی و صندوق تأمین خسارتهای بدنی | 2) در مقابل زیان دیدگان پزشک مقصر مسئول پرداخت دیه کامل مرد مسلمان است و پس از پرداخت می تواند آن را از بیمه‌گر مسئولیت مدنی مسترد کند. | 3) پزشک مقصر | 4) بیمه‌گر مسئولیت مدنی
5,حقوق مدنی,شرط وکالت زن در طلاق در چه قالب هایی قابل تحقق است؟,1) به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح | 2) به شکل شرط فعل، ضمن عقد نکاح یا عقد دیگری | 3) به شکل شرط نتیجه یا فعل ضمن عقد نکاح یا عقد دیگری | 4) به شکل شرط نتیجه ضمن عقد نکاح یا عقد دیگری
6,حقوق مدنی,کدام مورد در خصوص تشابه »هبه« و »وصیت تملیکی«، صحیح است؟,1) هر دو جزو عقود عینی محسوب می شوند و قبول و قیض شخص ذی نفع شرط صحت است. | 2) در هر دو موصی له یا متهب ممکن است غیر محصور باشد. | 3) در هر دو امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له با متهب قبض شده باشد. | 4) در هر دو، در صورت فوت واهب یا موصی قبل از قبول متهب یا موصی له عقد باطل می شود.
7,حقوق مدنی,مسئولیت کدام یک از اشخاص زیر در مقابل متعهدله یا زیان دیده به تسهیم است نه تضامنی؟,1) چند مستعیر در عاربه طلا و نقره که مال عاریه نزد آنها تلف شده باشد. | 2) چند قیم چنانچه مرتکب تقصیر شوند و به شخص تحت قیمومت زیانی وارد آورند | 3) چند عامل زیان در حوادث کار چنانچه مجتمعا زیانی وارد آورند. | 4) چند ضامن، چنانچه ضمانت آنان به صورت ضم ذمه به ذمه باشد.
8,حقوق مدنی,در قرارداد فروش مالی شرط می شود که چنانچه ثمن معامله ظرف مدت یک ماه پرداخت نشود فروشنده حق فسخ معامله و استرداد اموال فروخته شده را دارد خریدار قبل از یک ماه به منظور پرداخت ثمن حواله ای به سود فروشنده و بر ذمه شخصی صادر می کند. محال علیه حواله را قبول می کند اما بعدا مدعی می شود که چون به محیل بدهکار نیست حاضر به پرداخت وجه حواله نیست فروشنده (محتال) چه اقدام حقوقی می تواند انجام دهد؟,1) چنانچه ثابت شود محال علیه به محیل بدهکار نیست می تواند معامله را فسخ کند. | 2) اختیار دارد معامله را فسخ کند یا برای گرفتن مبلغ حواله علیه محال علیه طرح دعوا کند. | 3) فقط می تواند معامله را فسخ کند | 4) برای گرفتن مبلغ حواله تنها می تواند علیه محال علیه طرح دعوا کند.
9,حقوق مدنی,چنانچه مسئولیت مدنی مبتنی بر تقصیر باشد کدام یک از اشخاص زیر در برابر زیان دیده مسئولیت مدنی نخواهد داشت؟,1) کودک، چنانچه به دیگری خسارتی وارد کند و معلوم شود که سرپرست کودک در نگهداری از وی تقصیر کرده، اما سرپرست توانایی جبران خسارت نداشته باشد. | 2) کارفرمای مشمول قانون کار در قبال خسارات ناشی از فعل ،کارگر چنانچه ثابت شود تمام احتیاط هایی را که اوضاع و احوال قضیه ایجاب می نموده به عمل آورده است. | 3) مضطر، چنانچه مال غیر را تلف کند . | 4) مکره در اکراه غیر مادی چنانچه مال دیگری را تلف کند.
10,حقوق مدنی,پدر برای اداره اموال فرزندان صغیرش بعد از فوت خود برادرش را به عنوان وصی تعیین می کند. آیا وصی تعیین شده از طرف پدر می تواند برای انجام مورد وصایت در زمان حیات خود به دیگری وکالت دهد یا برای بعد از فوت خود وصی دیگری تعیین کند؟,1) هم می تواند به دیگری وکالت دهد و هم مطلقاً می تواند برای بعد از فوت خود وصی دیگری تعیین کند . | 2) نه می تواند به دیگری وکالت دهد و نه می تواند برای بعد از فوت خود وصی دیگری تعیین کند. | 3) می تواند به دیگری وکالت دهد و چنانچه حق امضاء به وی تفویض شده باشد می تواند برای بعد از فوت خود وصی دیگری را هم تعیین کند. | 4) به دیگری می تواند وکالت دهد اما تحت هیچ شرایطی نمی تواند برای بعد از فوت خود وصی دیگری تعیین کند.
