idx,Gold
1,3
2,2
3,2
4,4
5,3
6,3
7,1
8,4
9,1
10,3
11,4
12,4
13,1
14,4
15,2
16,1
17,3
18,1
19,2
20,4
21,2
22,3
23,3
24,1
25,4
26,4
27,4
28,1
29,3
30,1
31,1
32,1
33,4
34,2
35,1
36,1
37,4
38,2
39,3
40,1
41,4
42,2
43,1
44,3
45,4
46,1
47,2
48,1
49,1
50,3
51,3
52,2-4
53,2
54,3
55,4
56,2
57,3
58,4
59,2
60,1
81,1
82,3
83,1
84,4
85,2
86,3
87,3
88,1
89,0
90,3
91,1
92,3
93,1
94,2
95,2
96,1
97,3
98,4
99,2
100,4
101,1
102,2
103,4
104,1
105,1
106,3
107,2
108,4
109,3
110,1
111,2
112,4
113,1
114,3
115,2
116,4
117,3
118,2
119,4
120,3
121,2
122,4
123,3
124,1
125,1
126,2
127,3
128,4
129,4
130,2
131,1
132,3
133,2
134,4
135,1
136,3
137,2
138,3
139,1
140,4
