law_code	law_name	article_number	text
sodur_check	قانون صدور چک یا اصلاحات بعدی	1	ماده 1- انواع چک عبارتند از: 1- چک عادی،‌ چکی است که اشخاص عهده بانک‌ها به حساب جاری خود صادر می‌کنند و دارنده آن تضمینی جز اعتبار صادرکننده آن ندارد. 2- چک تایید شده، چکی است که اشخاص عهده بانک‌ها به حساب جاری خود صادر و توسط بانک محال‌علیه پرداخت وجه آن تایید می‌شود. 3- چک تضمین‌شده، چکی است که توسط بانک به عهده همان بانک به درخواست مشتری صادر و پرداخت وجه آن توسط بانک تضمین می‌شود. 4- چک مسافرتی، چکی است که توسط بانک صادر و وجه آن در هریک از شعب آن بانک توسط نمایندگان و کارگزاران آن پرداخت می‌گردد. تبصره (الحاقی 1397)- قوانین و مقررات مرتبط با چک حسب مورد، راجع به چک‌هایی که به شکل الکترونیکی (داده پیام) صادر می‌شوند نیز لازم‌الرعایه است. بانک مرکزی مکلف است ظرف مدت یک‌سال پس از لازم‌الاجراء شدن این قانون، اقدامات لازم در خصوص چک‌های الکترونیکی (داده پیام) را انجام داده و دستورالعمل‌های لازم را صادر نماید.
sodur_check	قانون صدور چک یا اصلاحات بعدی	2	ماده 2- چک‌‌های صادر عهده بانک‌هایی که طبق قوانین ایران در داخل کشور دایر شده یا می‌شوند همچنین شعب آنها در خارج از کشور در حکم اسناد لازم‌الاجرا است و دارنده چک در صورت مراجعه به بانک و عدم دریافت تمام یا قسمتی از وجه آن به علت نبودن محل یا به هر دلیل دیگری که منتهی به برگشت چک و عدم پرداخت گردد می‌تواند طبق قوانین و آیین‌نامه‌های مربوط به اجرای اسناد رسمی وجه چک یا باقی‌مانده آن را از صادرکننده وصول نماید. برای صدور اجراییه دارنده چک باید عین چک و گواهی‌نامه مذکور در ماده 4 و یا گواهی‌‌نامه مندرج در ماده 5 را به اجرای ثبت اسناد محل تسلیم نماید. اجراء ثبت در صورتی دستور اجرا صادر می‌کند که مطابقت امضای چک به نمونه امضای صادرکننده در بانک از طرف بانک گواهی شده باشد. دارنده چک اعم از کسی که چک در وجه او صادر گردیده یا به نام او پشت‌نویسی شده یا حامل چک (در مورد چک‌های در وجه حامل) یا قائم مقام قانونی آنان. تبصره (الحاقی 1376 مصوب مجمع تشخیص مصلحت نظام)- دارنده چک می‌تواند محکومیت صادرکننده را نسبت به پرداخت کلیه خسارات و هزینه‌های وارد شده که مستقیما و به طور متعارف در جهت وصول طلب خود از ناحیه وی متحمل شده است، اعم از آنکه قبل از صدور حکم یا پس از آن باشد، از دادگاه تقاضا نماید. در صورتی که دارنده چک جبران خسارت و هزینه‌های مزبور را پس از صدور حکم درخواست کند، باید درخواست خود را به همان دادگاه صادرکننده حکم تقدیم نماید. قانون استفساریه تبصرۀ الحاقی به ماده 2 قانون اصلاح موادی از قانون صدور چک مصوب مورخ 1376/3/10 مجمع تشخیص مصلحت نظام موضوع استفسار : آیا مراد از خسارت و هزینه های مقرر در تبصرۀ الحاقی به ماده (2) قانون اصلاح موادی از قانون صدور چک مصوب 1376/10/3 ، کلیه خسارات و هزینه های لازم از قبیل هزینه های دادرسی، حق الوکاله، ضمان ناشی از تسبیب، خسارات تاخیر تأدیه و امثال آن می باشد؟ در این صورت مبنای مناسب خسارت مبنای محاسبه خسارات، مقررات بانکی است یا مبنای آن عرف می باشد که قاضی به استناد نظریه کارشناسی یا سایر طرق نسبت به استخراج خسارات اقدام می‌نماید. نظر مجمع تشخیص مصلحت نظام: ماده واحده : منظور از عبارت «کلیه خسارات و هزینه های وارد شده …» مذکور در تبصرۀ الحاقی به ماده (2) قانون اصلاح موادی از قانون صدور چک مصوب 10 /3 /1376 مجمع تشخیص مصلحت نظام، خسارات تاخیر تأدیه بر مبنای نرخ تورم از تاریخ چک تا زمان وصول آن که توسط بانک مرکزی جمهوری اسلامی ایران اعلام شده و هزینه دادرسی و حق الوکاله بر اساس تعرفه های قانونی است.
sodur_check	قانون صدور چک یا اصلاحات بعدی	3	ماده 3- صادرکننده چک باید در تاریخ مندرج در آن معادل مبلغ مذکور در بانک محال‌علیه وجه نقد داشته باشد و نباید تمام یا قسمتی از وجهی را که به اعتبار آن چک صادر کرده، به صورتی از بانک خارج نماید یا دستور عدم پرداخت وجه چک را بدهد و نیز نباید چک را به صورتی تنظیم نماید که بانک به عللی از قبیل عدم مطابقت امضا یا قلم خوردگی در متن چک، یا اختلاف در مندرجات چک و امثال آن از پرداخت وجه چک خودداری نماید. هرگاه در متن چک شرطی برای پرداخت ذکر شده باشد، بانک به آن شرط ترتیب اثر نخواهد داد.
sodur_check	قانون صدور چک یا اصلاحات بعدی	3	ماده 3- مکرر (الحاقی 1382) چک فقط در تاریح مندرج در آن و با پس از تاریخ مذکور قابل وصول از بانک خواهد بود.
sodur_check	قانون صدور چک یا اصلاحات بعدی	4	ماده 4- هرگاه وجه چک به علتی از علل مندرج در ماده (2) پرداخت نگردد، بانک مکلف است بنا بر درخواست دارنده چک فوراً غیرقابل پرداخت بودن آن را در سامانه یکپارچه بانک مرکزی ثبت نماید و با دریافت کد رهگیری و درج آن در گواهینامه‌ای که مشخصات چک و هویت و نشانی کامل صادرکننده در آن ذکر شده باشد، علت یا علل عدم پرداخت را صریحاً قید و آن را امضاء و مهر و به متقاضی تسلیم نماید. به گواهینامه فاقد کد رهگیری و فاقد مهر شخص حقوقی در مراجع قضایی و ثبتی ترتیب اثر داده نمی شود. در برگ مزبور باید مطابقت یا عدم مطابقت امضای صادرکننده با نمونه امضای موجود در بانک (در حدود عرف بانک‌داری) از طرف بانک گواهی شود. بانک مکلف است به منظور اطلاع صادرکننده چک، فوراً نسخه دوم این برگ را به آخرین نشانی صاحب حساب که در بانک موجود است، ارسال دارد. در برگ مزبور باید نام و نام خانوادگی و نشانی کامل دارنده چک نیز قید گردد.
sodur_check	قانون صدور چک یا اصلاحات بعدی	5	ماده 5- در صورتی که موجودی حساب صادرکننده چک نزد بانک کمتر از مبلغ چک باشد، به تقاضای دارنده چک بانک مکلف است مبلغ موجودی در حساب را به دارنده چک بپردازد و دارنده با قید مبلغ دریافت‌شده پشت چک، آن را به بانک تسلیم نماید. بانک مکلف است بنابه درخواست دارنده چک فوراَ کسری مبلغ چک را در سامانه یکپارچه بانک مرکزی وارد نماید و با دریافت کد رهگیری و درج آن در گواهینامه‌ای با مشخصات مذکور در ماده قبل، آن را به متقاضی تحویل دهد. به گواهینامه فاقد کد رهگیری در مراجع قضایی و ثبتی ترتیب اثر داده نمی‌شود. چک مزبور نسبت به مبلغی که پرداخت نگردیده، بی‌محل محسوب و گواهینامه بانک در این مورد برای دارنده چک، جانشین اصل چک می‌شود. در مورد این ماده نیز بانک مکلف است اعلامیه مذکور در ماده قبل را برای صاحب حساب ارسال نماید.
sodur_check	قانون صدور چک یا اصلاحات بعدی	5	ماده 5- مکرر (الحاقی 1397) بعد از ثبت غیرقابل پرداخت بودن یا کسری مبلغ چک در سامانه یکپارچه بانک مرکزی، این سامانه مراتب را به صورت برخط به تمام بانک‌ها و مؤسسات اعتباری اطلاع می‌دهد. پس از گذشت بیست و چهار ساعت کلیه بانک‌ها و مؤسسات اعتباری حسب مورد مکلفند تا هنگام رفع سوء اثر از چک، اقدامات زیر را نسبت به صاحب حساب اعمال نمایند: الف- عدم افتتاح هرگونه حساب و صدور کارت بانکی جدید؛ ب- مسدود کردن وجوه کلیه حساب‌ها و کارت‌های بانکی و هر مبلغ متعلق به صادرکننده که تحت هر عنوان نزد بانک یا مؤسسه اعتباری دارد به میزان کسری مبلغ چک به ترتیب اعلامی از سوی بانک مرکزی؛ ج- عدم پرداخت هرگونه تسهیلات بانکی یا صدور ضمانت نامه‌های ارزی یا ریالی؛ د- عدم گشایش اعتبار اسنادی ارزی یا ریالی. تبصره 1- چنانچه اعمال محرومیت‌های مذکور در بندهای (الف)، (ج) و (د) در خصوص بنگاه‌های اقتصادی با توجه به شرایط، اوضاع و احوال اقتصادی موجب اخلال در امنیت اقتصادی استان مربوط شود، به تشخیص شورای تأمین استان موارد مذکور به مدت یک سال به حالت تعلیق در می‌آید. آیین‌نامه اجرایی این تبصره با در نظر گرفتن معیارهایی مانند میزان تولید و صادرات بنگاه و تعداد افراد شاغل در آن ظرف مدت سه ماه از لازم‌الاجراء‌شدن این قانون به پیشنهاد مشترک وزارت امور اقتصادی و دارایی و بانک مرکزی به تصویب هیأت وزیران می رسد. (آیین‌نامه اجرایی تبصره (1) ماده (5) مکرر قانون صدور چک) تبصره 2- در صورتی که چک به وکالت یا نمایندگی از طرف صاحب حساب اعم از شخص حقیقی یا حقوقی صادر شود، اقدامات موضوع این ماده علاوه بر صاحب حساب، در مورد وکیل یا نماینده نیز اعمال می‌گردد مگر اینکه در مرجع قضایی صالح اثبات نماید عدم پرداخت مستند به عمل صاحب حساب یا وکیل یا نماینده بعدی او است. بانک‌ها مکلفند به هنگام صدور گواهینامه عدم پرداخت، در صورتی که چک به نمایندگی صادر شده باشد، مشخصات نماینده را نیز در گواهینامه مذکور درج نمایند. تبصره 3- در هر یک از موارد زیر، بانک مکلف است مراتب را در سامانه یکپارچه بانک مرکزی اعلام کند تا فورا و به صورت برخط از چک رفع سوءاثر شود: الف- واریز کسری مبلغ چک به حساب جاری نزد بانک محال‌علیه و ارائه درخواست مسدودی که در این صورت بانک مکلف است ضمن مسدود کردن مبلغ مذکور تا زمان مراجعه دارنده چک و حداکثر به مدت یک سال، ظرف مدت سه روز واریز مبلغ را به شیوه‌ای اطمینان‌بخش و قابل استناد به اطلاع دارنده چک برساند. ب- ارائه لاشه چک به بانک محال‌علیه؛ ج- ارائه رضایت‌نامه رسمی (تنظیم‌شده در دفاتر اسناد رسمی) از دارنده چک یا نامه رسمی از شخص حقوقی دولتی یا عمومی غیردولتی دارنده چک؛ د- ارائه نامه رسمی از مرجع قضایی یا ثبتی ذی‌صلاح مبنی بر اتمام عملیات اجرایی در خصوص چک؛ ه- ارائه حکم قضایی مبنی بر برائت ذمه صاحب حساب در خصوص چک؛ و- سپری شدن مدت سه‌سال از تاریخ صدور گواهینامه عدم پرداخت مشروط به عدم طرح دعوای حقوقی یا کیفری در خصوص چک توسط دارنده. تبصره 4- چنانچه صدور گواهینامه عدم پرداخت به دلیل دستور عدم پرداخت طبق ماده (14) این قانون و تبصره های آن باشد، سوءاثر محسوب نخواهد شد. تبصره 5- بانک یا موسسه اعتباری حسب مورد مسؤول جبران خساراتی خواهند بود که از عدم انجام تکالیف مقرر در این ماده و تبصره های آن به اشخاص ثالث وارد گردیده است.
sodur_check	قانون صدور چک یا اصلاحات بعدی	6	ماده 6- (اصلاحی 1397) (اصلاحی 1400/1/29) بانک‌ها مکلفند برای ارائه دسته چک به مشتریان خود، صرفاً از طریق سامانه صدور یکپارچه چک (صیاد) نزد بانک مرکزی اقدام نمایند. این سامانه پس از اطمینان از صحت مشخصات متقاضی با استعلام از سامانه نظام هویت‌سنجی الکترونیکی بانکی و نبود ممنوعیت قانونی، حسب مورد نسبت به دریافت گزارش اعتباری از سامانه ملی اعتبارسنجی موضوع ماده (5) «قانون تسهیل اعطای تسهیلات و کاهش هزینه های طرح و تسریع در اجرای طرح‌های تولیدی و افزایش منابع مالی و کارایی بانک‌ها مصوب 5/ 4/ 1386» یا رتبه‌بندی اعتباری از مؤسسات موضوع بند (21) ماده (1) «قانون بازار اوراق بهادار جمهوری اسلامی ایران مصوب 1384/9/1» اقدام نموده و متناسب با نتایج دریافتی، سقف اعتبار مجاز متقاضی را محاسبه و به هر برگه چک شناسه یکتا اختصاص می‌دهد. ضوابط این ماده از جمله شرایط دریافت دسته چک، نحوه محاسبه سقف اعتبار و موارد مندرج در برگه چک مانند هویت صاحب حساب مطابق دستورالعملی است که ظرف مدت یک‌سال پس از لازم‌الاجراء شدن این قانون توسط بانک مرکزی تهیه می‌شود و به تصویب شورای پول و اعتبار می‌رسد. تبصره 1 (الحاقی 1397)- بانک‌ها و سایر اشخاصی که طبق قوانین یا مقررات مربوط، اطلاعات مورد نیاز اعتبارسنجی یا رتبه‌بندی اعتباری را در اختیار مؤسسات مربوط قرار می‌دهند، مکلف به ارائه اطلاعات صحیح و کامل می‌باشند. تبصره 2 (الحاقی 1397)- به منظور کاهش تقاضا برای دسته چک و رفع نیاز اشخاص به ابزار پرداخت وعده‌دار، بانک مرکزی مکلف است ظرف مدت یک سال پس از لازم‌الاجراء شدن این قانون، ضوابط و زیرساخت خدمات برداشت مستقیم را به صورت چک موردی برای اشخاصی که دسته چک ندارند، به صورت یکپارچه در نظام بانکی تدوین و راه‌اندازی نماید تا بدون نیاز به اعتبارسنجی، رتبه‌بندی اعتباری و استفاده از دسته چک، امکان برداشت از حساب این اشخاص برای ذی‌نفعان معین فراهم شود. در صورت عدم موجودی کافی برای پرداخت چک موردی، صاحب حساب تا زمان پرداخت دین، مشمول موارد مندرج در بندهای (الف) تا (د) ماده (5) مکرر این قانون و نیز محرومیت از دریافت دسته چک، صدور چک جدید و استفاده از چک موردی می‌باشد. تبصره 3 (الحاقی 1397)- هر شخصی که با توسل به شیوه های متقلبانه مبادرت به دریافت دسته چکی غیرمتناسب با اوضاع مالی و اعتباری خود کرده یا دریافت آن توسط دیگری را تسهیل نماید، به مدت سه سال از دریافت دسته چک، صدور چک جدید و استفاده از چک موردی محروم و به جزای نقدی درجه پنج قانون مجازات اسلامی محکوم می‌شود و در صورتی که عمل ارتکابی منطبق با عنوان مجرمانه دیگری با مجازات شدیدتر باشد، مرتکب به مجازات آن جرم محکوم می‌شود.
sodur_check	قانون صدور چک یا اصلاحات بعدی	7	ماده 7- هرکس بزه صدور چک بلامحل گردد به شرح ذیل محکوم خواهد شد: الف- چنانچه مبلغ مندرج در متن چک کمتر از ده میلیون ریال باشد به حبس تا حداکثر شش ماه محکوم خواهد شد. مبلغ مندرج در این بند به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 780,000,000 ریال تعدیل شد. ب- چنانچه مبلغ مندرج در متن چک از ده میلیون ریال تا پنجاه میلیون ریال باشد از شش‌ماه تا یک‌سال حبس محکوم خواهد شد. مبلغ مندرج در این بند به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 780,000,000 تا 3,900,000,000 ریال تعدیل شد. ج- چنانچه مبلغ مندرج در متن چک از پنجاه میلیون ریال بیشتر باشد به حبس از یک سال تا دو سال و ممنوعیت از داشتن دسته‌چک به مدت دوسال محکوم خواهد شد و در صورتی که که صادر کننده چک اقدام به صدور چکهای بلامحل نموده باشد مجموع مبالغ مندرج در متون چک‌ها ملاک عمل خواهد بود. مبلغ مندرج در این بند به موجب مصوبه مورخ 1403/4/4 هیات وزیران به 3,900,000,000 ریال تعدیل شد. تبصره (الحاقی 1382)- این مجازات شامل مواردی که ثابت شود چک‌های بلامحل بابت معاملات نامشروع و یا بهره ربوی صادر شده، نمی‌باشد.
sodur_check	قانون صدور چک یا اصلاحات بعدی	8	ماده 8- چک‌هایی که در ایران عهده بانک‌های خارج از کشور صادر شده باشند از لحاظ کیفری مشمول مقررات این قانون خواهند بود.
sodur_check	قانون صدور چک یا اصلاحات بعدی	9	ماده 9- در صورتی که صادرکننده چک قبل از تاریخ شکایت کیفری، وجه چک را نقدا به دارنده آن پرداخته یا به موافقت شاکی خصوصی ترتیبی برای پرداخت آن داده باشد یا موجبات پرداخت آن را در بانک محال‌علیه فراهم نماید قابل تعقیب کیفری نیست. در مورد اخیر بانک مذکور مکلف است تا میزان وجه چک حساب صادرکننده را مسدود نماید و به محض مراجه دارنده و تسلیم چک وجه آن را بپردازد.
