id,model,answer,confidence,latency_ms,raw,error
1,anthropic/claude-haiku-4.5,3,4,2506,"{""answer"":""3"",""confidence"":4}",
2,anthropic/claude-haiku-4.5,2,4,1262,"{""answer"":""2"",""confidence"":4}",
3,anthropic/claude-haiku-4.5,4,4,696,"{""answer"":""4"",""confidence"":4}",
4,anthropic/claude-haiku-4.5,1,4,1172,"{""answer"":""1"",""confidence"":4}",
5,anthropic/claude-haiku-4.5,3,4,700,"{""answer"":""3"",""confidence"":4}",
6,anthropic/claude-haiku-4.5,2,4,886,"{""answer"":""2"",""confidence"":4}",
7,anthropic/claude-haiku-4.5,3,4,1868,"{""answer"":""3"",""confidence"":4}",
8,anthropic/claude-haiku-4.5,2,3,915,"{""answer"":""2"",""confidence"":3}",
9,anthropic/claude-haiku-4.5,2,4,1029,"{""answer"":""2"",""confidence"":4}",
10,anthropic/claude-haiku-4.5,3,4,931,"{""answer"":""3"",""confidence"":4}",
11,anthropic/claude-haiku-4.5,1,4,1049,"{""answer"":""1"",""confidence"":4}",
12,anthropic/claude-haiku-4.5,4,4,877,"{""answer"":""4"",""confidence"":4}",
13,anthropic/claude-haiku-4.5,1,4,923,"{""answer"":""1"",""confidence"":4}",
14,anthropic/claude-haiku-4.5,4,4,1037,"{""answer"":""4"",""confidence"":4}",
15,anthropic/claude-haiku-4.5,2,4,1205,"{""answer"":""2"",""confidence"":4}",
16,anthropic/claude-haiku-4.5,2,4,664,"{""answer"":""2"",""confidence"":4}",
17,anthropic/claude-haiku-4.5,3,4,833,"{""answer"":""3"",""confidence"":4}",
18,anthropic/claude-haiku-4.5,2,4,969,"{""answer"":""2"",""confidence"":4}",
19,anthropic/claude-haiku-4.5,1,4,1286,"{""answer"":""1"",""confidence"":4}",
20,anthropic/claude-haiku-4.5,4,4,1054,"{""answer"":""4"",""confidence"":4}",
21,anthropic/claude-haiku-4.5,2,4,675,"{""answer"":""2"",""confidence"":4}",
22,anthropic/claude-haiku-4.5,4,4,993,"{""answer"":""4"",""confidence"":4}",
23,anthropic/claude-haiku-4.5,3,4,1417,"{""answer"":""3"",""confidence"":4}",
24,anthropic/claude-haiku-4.5,3,4,687,"{""answer"":""3"",""confidence"":4}",
25,anthropic/claude-haiku-4.5,2,3,1189,"{""answer"":""2"",""confidence"":3}",
26,anthropic/claude-haiku-4.5,3,4,1915,"{""answer"":""3"",""confidence"":4}",
27,anthropic/claude-haiku-4.5,2,4,1031,"{""answer"":""2"",""confidence"":4}",
28,anthropic/claude-haiku-4.5,1,3,893,"{""answer"":""1"",""confidence"":3}",
29,anthropic/claude-haiku-4.5,2,3,902,"{""answer"":""2"",""confidence"":3}",
30,anthropic/claude-haiku-4.5,3,4,2025,"{""answer"":""3"",""confidence"":4}",
31,anthropic/claude-haiku-4.5,3,4,1610,"{""answer"":""3"",""confidence"":4}",
32,anthropic/claude-haiku-4.5,1,3,1076,"{""answer"":""1"",""confidence"":3}",
33,anthropic/claude-haiku-4.5,2,3,1151,"{""answer"":""2"",""confidence"":3}",
34,anthropic/claude-haiku-4.5,2,3,1895,"{""answer"":""2"",""confidence"":3}",
35,anthropic/claude-haiku-4.5,4,4,678,"{""answer"":""4"",""confidence"":4}",
36,anthropic/claude-haiku-4.5,3,4,663,"{""answer"":""3"",""confidence"":4}",
37,anthropic/claude-haiku-4.5,2,4,1184,"{""answer"":""2"",""confidence"":4}",
38,anthropic/claude-haiku-4.5,4,4,1045,"{""answer"":""4"",""confidence"":4}",
39,anthropic/claude-haiku-4.5,1,4,1259,"{""answer"":""1"",""confidence"":4}",
40,anthropic/claude-haiku-4.5,2,4,924,"{""answer"":""2"",""confidence"":4}",
41,anthropic/claude-haiku-4.5,1,4,1312,"{""answer"":""1"",""confidence"":4}",
42,anthropic/claude-haiku-4.5,2,4,1509,"{""answer"":""2"",""confidence"":4}",
43,anthropic/claude-haiku-4.5,2,4,1151,"{""answer"":""2"",""confidence"":4}",
44,anthropic/claude-haiku-4.5,3,4,688,"{""answer"":""3"",""confidence"":4}",
45,anthropic/claude-haiku-4.5,4,3,892,"{""answer"":""4"",""confidence"":3}",
46,anthropic/claude-haiku-4.5,1,4,1657,"{""answer"":""1"",""confidence"":4}",
47,anthropic/claude-haiku-4.5,3,4,1510,"{""answer"":""3"",""confidence"":4}",
48,anthropic/claude-haiku-4.5,2,4,1349,"{""answer"":""2"",""confidence"":4}",
49,anthropic/claude-haiku-4.5,3,4,1209,"{""answer"":""3"",""confidence"":4}",
50,anthropic/claude-haiku-4.5,3,4,893,"{""answer"":""3"",""confidence"":4}",
51,anthropic/claude-haiku-4.5,3,3,1711,"{""answer"":""3"",""confidence"":3}",
52,anthropic/claude-haiku-4.5,2,4,1727,"{""answer"":""2"",""confidence"":4}",
53,anthropic/claude-haiku-4.5,1,4,731,"{""answer"":""1"",""confidence"":4}",
54,anthropic/claude-haiku-4.5,2,4,905,"{""answer"":""2"",""confidence"":4}",
55,anthropic/claude-haiku-4.5,2,4,787,"{""answer"":""2"",""confidence"":4}",
56,anthropic/claude-haiku-4.5,3,4,877,"{""answer"":""3"",""confidence"":4}",
57,anthropic/claude-haiku-4.5,2,4,1607,"{""answer"":""2"",""confidence"":4}",
58,anthropic/claude-haiku-4.5,3,4,1094,"{""answer"":""3"",""confidence"":4}",
59,anthropic/claude-haiku-4.5,3,4,1255,"{""answer"":""3"",""confidence"":4}",
60,anthropic/claude-haiku-4.5,1,4,1100,"{""answer"":""1"",""confidence"":4}",
81,anthropic/claude-haiku-4.5,3,4,1037,"{""answer"":""3"",""confidence"":4}",
82,anthropic/claude-haiku-4.5,3,4,870,"{""answer"":""3"",""confidence"":4}",
83,anthropic/claude-haiku-4.5,2,3,1890,"{""answer"":""2"",""confidence"":3}",
84,anthropic/claude-haiku-4.5,1,4,923,"{""answer"":""1"",""confidence"":4}",
85,anthropic/claude-haiku-4.5,1,4,1267,"{""answer"":""1"",""confidence"":4}",
86,anthropic/claude-haiku-4.5,1,4,712,"{""answer"":""1"",""confidence"":4}",
87,anthropic/claude-haiku-4.5,3,4,781,"{""answer"":""3"",""confidence"":4}",
88,anthropic/claude-haiku-4.5,1,4,1577,"{""answer"":""1"",""confidence"":4}",
89,anthropic/claude-haiku-4.5,1,4,915,"{""answer"":""1"",""confidence"":4}",
90,anthropic/claude-haiku-4.5,4,3,696,"{""answer"":""4"",""confidence"":3}",
91,anthropic/claude-haiku-4.5,3,4,1050,"{""answer"":""3"",""confidence"":4}",
92,anthropic/claude-haiku-4.5,1,4,812,"{""answer"":""1"",""confidence"":4}",
93,anthropic/claude-haiku-4.5,4,4,1655,"{""answer"":""4"",""confidence"":4}",
94,anthropic/claude-haiku-4.5,3,4,1032,"{""answer"":""3"",""confidence"":4}",
95,anthropic/claude-haiku-4.5,1,3,951,"{""answer"":""1"",""confidence"":3}",
96,anthropic/claude-haiku-4.5,3,4,1961,"{""answer"":""3"",""confidence"":4}",
97,anthropic/claude-haiku-4.5,1,4,819,"{""answer"":""1"",""confidence"":4}",
98,anthropic/claude-haiku-4.5,1,3,1174,"{""answer"":""1"",""confidence"":3}",
99,anthropic/claude-haiku-4.5,4,4,1093,"{""answer"":""4"",""confidence"":4}",
100,anthropic/claude-haiku-4.5,2,3,855,"{""answer"":""2"",""confidence"":3}",
101,anthropic/claude-haiku-4.5,2,4,922,"{""answer"":""2"",""confidence"":4}",
102,anthropic/claude-haiku-4.5,4,3,840,"{""answer"":""4"",""confidence"":3}",
103,anthropic/claude-haiku-4.5,4,4,755,"{""answer"":""4"",""confidence"":4}",
104,anthropic/claude-haiku-4.5,2,4,990,"{""answer"":""2"",""confidence"":4}",
105,anthropic/claude-haiku-4.5,2,4,779,"{""answer"":""2"",""confidence"":4}",
106,anthropic/claude-haiku-4.5,3,4,916,"{""answer"":""3"",""confidence"":4}",
107,anthropic/claude-haiku-4.5,2,4,1677,"{""answer"":""2"",""confidence"":4}",
108,anthropic/claude-haiku-4.5,4,4,918,"{""answer"":""4"",""confidence"":4}",
109,anthropic/claude-haiku-4.5,3,4,717,"{""answer"":""3"",""confidence"":4}",
110,anthropic/claude-haiku-4.5,2,4,1217,"{""answer"":""2"",""confidence"":4}",
111,anthropic/claude-haiku-4.5,1,4,873,"{""answer"":""1"",""confidence"":4}",
112,anthropic/claude-haiku-4.5,2,4,786,"{""answer"":""2"",""confidence"":4}",
113,anthropic/claude-haiku-4.5,3,4,656,"{""answer"":""3"",""confidence"":4}",
114,anthropic/claude-haiku-4.5,3,4,1675,"{""answer"":""3"",""confidence"":4}",
115,anthropic/claude-haiku-4.5,2,4,1245,"{""answer"":""2"",""confidence"":4}",
116,anthropic/claude-haiku-4.5,4,4,809,"{""answer"":""4"",""confidence"":4}",
117,anthropic/claude-haiku-4.5,2,4,1640,"{""answer"":""2"",""confidence"":4}",
118,anthropic/claude-haiku-4.5,2,4,1091,"{""answer"":""2"",""confidence"":4}",
119,anthropic/claude-haiku-4.5,4,4,1112,"{""answer"":""4"",""confidence"":4}",
120,anthropic/claude-haiku-4.5,3,4,745,"{""answer"":""3"",""confidence"":4}",
121,anthropic/claude-haiku-4.5,2,5,916,"{""answer"":""2"",""confidence"":5}",
122,anthropic/claude-haiku-4.5,4,4,728,"{""answer"":""4"",""confidence"":4}",
123,anthropic/claude-haiku-4.5,3,4,1741,"{""answer"":""3"",""confidence"":4}",
124,anthropic/claude-haiku-4.5,2,4,906,"{""answer"":""2"",""confidence"":4}",
125,anthropic/claude-haiku-4.5,1,5,769,"{""answer"":""1"",""confidence"":5}",
126,anthropic/claude-haiku-4.5,2,4,1046,"{""answer"":""2"",""confidence"":4}",
127,anthropic/claude-haiku-4.5,4,4,830,"{""answer"":""4"",""confidence"":4}",
128,anthropic/claude-haiku-4.5,2,4,1504,"{""answer"":""2"",""confidence"":4}",
129,anthropic/claude-haiku-4.5,4,5,1715,"{""answer"":""4"",""confidence"":5}",
130,anthropic/claude-haiku-4.5,3,4,1408,"{""answer"":""3"",""confidence"":4}",
131,anthropic/claude-haiku-4.5,1,4,879,"{""answer"":""1"",""confidence"":4}",
132,anthropic/claude-haiku-4.5,3,4,952,"{""answer"":""3"",""confidence"":4}",
133,anthropic/claude-haiku-4.5,4,3,855,"{""answer"":""4"",""confidence"":3}",
134,anthropic/claude-haiku-4.5,4,5,1103,"{""answer"":""4"",""confidence"":5}",
135,anthropic/claude-haiku-4.5,1,4,1183,"{""answer"":""1"",""confidence"":4}",
136,anthropic/claude-haiku-4.5,3,4,1614,"{""answer"":""3"",""confidence"":4}",
137,anthropic/claude-haiku-4.5,4,4,679,"{""answer"":""4"",""confidence"":4}",
138,anthropic/claude-haiku-4.5,3,4,911,"{""answer"":""3"",""confidence"":4}",
139,anthropic/claude-haiku-4.5,1,4,1165,"{""answer"":""1"",""confidence"":4}",
140,anthropic/claude-haiku-4.5,4,4,1449,"{""answer"":""4"",""confidence"":4}",
