id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
1,meta-llama/llama-4-scout,3,80,1,"{""3"": 5}",FALSE,1968.8,2740,3,80,"با توجه به ماده 674 ق.م.، سبب انفساخ عقد ممکن است ارادی باشد اما انفساخ در هر حال قهری است.",,3,80,"بر اساس ماده 674 ق.م.، انفساخ عقد ممکن است به سبب ارادی یا قهری باشد. در مواردی مانند عقد جایز، انفساخ می‌تواند ارادی باشد. بنابراین، گزاره 3 صحیح است.",,3,80,"بر اساس ماده 674 ق.م.، انفساخ عقد ممکن است به سبب توافق طرفین یا شرطی که در قرارداد پیش بینی شده باشد، بنابراین سبب انفساخ عقد می تواند ارادی باشد. همچنین انفساخ عقد در برخی موارد قهری است مانند فوت یا محجور شدن یکی از طرفین در عقود جایز. با این حال، اصل بر این است که انفساخ عقد می تواند هم به صورت ارادی و هم به صورت قهری رخ دهد.",,3,80,بر اساس ماده 674 ق.م. سبب انفساخ عقد ممکن است ارادی باشد اما انفساخ در هر حال قهری است.,,3,80,"بر اساس ماده 674 ق.م.، انفساخ عقد ممکن است به علت شرطی که ضمن عقد برای یکی از طرفین یا هر دو طرف قرار داده شده است، صورت گیرد. بنابراین، سبب انفساخ عقد می‌تواند ارادی باشد.",
2,meta-llama/llama-4-scout,2,90,0.8,"{""2"": 4}",FALSE,1766.6,2741,2,90,"بر اساس ماده ۳ قانون بیمه اجباری، بیمه‌گر موظف است در صورت وقوع حادثه، خسارات وارده به اشخاص ثالث را تا سقف تعهدات بیمه‌نامه جبران کند. در این مورد، بیمه‌گر مسئولیت شخص «الف» موظف به پرداخت دیه شخص «ب» به میزان تعیین شده توسط قانون و خسارات مالی وارد شده به موتورسیکلت تا سقف تعهدات بیمه‌نامه است.",,2,90,"بر اساس ماده 21 قانون بیمه اجباری، بیمه گر موظف به پرداخت دیه و خسارات مالی تا سقف تعهدات بیمه نامه است. در این حادثه، بیمه گر مسئولیت شخص 'الف' موظف به جبران دیه شخص 'ب' به میزان تعیین شده در قانون و خسارات مالی وارد شده به موتورسیکلت تا سقف تعهدات است.",,,,,No valid JSON in response,2,90,"بر اساس ماده 3 قانون بیمه اجباری، بیمه گر موظف است در صورت وقوع حادثه، خسارات وارده به اشخاص ثالث را تا سقف تعهدات بیمه نامه جبران کند. در این مورد، بیمه گر مسئولیت شخص ""الف"" موظف است دیه شخص ""ب"" را به میزان قانونی و خسارات مالی وارد شده به موتورسیکلت را تا سقف تعهدات جبران کند.",,2,90,"بر اساس ماده ۱ قانون بیمه اجباری، بیمه‌گر مسئول جبران خسارات وارده به اشخاص ثالث (شخص ب) و همچنین خسارات مالی وارده به وسیله نقلیه شخص ثالث (موتورسیکلت) است. همچنین بر اساس ماده ۳ همان قانون، بیمه‌گر موظف است تا سقف تعهدات خود خسارت را جبران کند.",
3,meta-llama/llama-4-scout,4,80,1,"{""4"": 5}",FALSE,1981.2,2774,4,80,"بر اساس ماده ۱۴۸ قانون مدنی، تصرف به تنهایی ممکن است در مواردی سبب تملک باشد، مانند تملک مالکانه که با تصرف همراه است.",,4,80,"بر اساس ماده ۲۷ قانون مدنی، تصرف به تنهایی ممکن است در مواردی سبب تملک باشد، مانند تملک مالکانه که با تصرف همراه است. همچنین اصل ۴۱ قانون اساسی و ماده ۱۴۱ قانون مدنی بر مالکیت و تصرفات مشروع تاکید دارد.",,4,80,"تصرف ممکن است در مواردی به تنهایی سبب تملک باشد، مانند ماده 1072 قانون مدنی که در خصوص تملک متصرف با حسن نیت در مال غیر منقول بدون ثبت صحبت کرده است.",,4,80,"با توجه به ماده ۲۲۱ قانون مدنی، تصرف به تنهایی نمی‌تواند سبب تملک باشد مگر در مواردی که قانون تصریح کرده است، مانند ماده ۱۴۱ قانون مدنی در خصوص پیدا کردن اشیاء مفقود.",,4,80,"بر اساس ماده ۱۴۷ قانون مدنی، تصرفات مادی نسبت به ملک دیگران بدون اذن یا اجازه مالک، غیر نافذ است مگر این که تصرف کننده قصد تملک داشته باشد. در این صورت، صرف تصرف، کافی برای تملک نیست و باید شرایط دیگری نیز فراهم باشد. بنابراین، گزینه ۴ صحیح است زیرا ممکن است تصرف به تنهایی در مواردی سبب تملک باشد اگرچه به تنهایی کافی نیست.",
4,meta-llama/llama-4-scout,4,88,1,"{""4"": 5}",FALSE,2330,2892,4,80,"با توجه به ماده ۳ قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه مصوب ۱۳۹۵ که به طور مشابه می توان آن را در خصوص مسئولیت مدنی پزشکان نیز اعمال کرد و همچنین ماده ۱۰ قانون بیمه، بیمه گر مسئولیت مدنی موظف به پرداخت خسارت است.",,4,90,"بر اساس قانون بیمه، بیمه‌گر مسئولیت مدنی در قبال زیان‌های وارده به اشخاص ثالث مسئول است. با توجه به ماده 1 قانون بیمه مسئولیت مدنی، بیمه‌گر مسئول جبران خسارات وارده به اشخاص ثالث است. بنابراین، در صورت فوت بیمار به دلیل تقصیر پزشک، بیمه‌گر مسئولیت مدنی موظف به پرداخت دیه به بازماندگان متوفی است.",,4,90,"بر اساس ماده ۳ قانون بیمه اجباری مسئولیت مدنی ناشی از حوادث رانندگی و همچنین ماده ۱۰ قانون تنظیم بخشی از مقررات مالی دولت، بیمه‌گر مسئولیت مدنی موظف به پرداخت خسارت است. با توجه به اینکه شخص الف تحت پوشش کامل بیمه مسئولیت مدنی است، بنابراین بیمه‌گر مسئولیت مدنی موظف به پرداخت دیه کامل مرد مسلمان است.",,4,90,"با توجه به ماده ۳ قانون بیمه اجباری خسارات وارد شده به افراد ثالث در اثر حوادث ناشی از وسایل نقلیه و همچنین ماده ۱۰ قانون تنظیم مقررات داخلی بیمه، مسئولیت پرداخت دیه در این مورد بر عهده بیمه‌گر مسئولیت مدنی است. زیرا پزشک تحت پوشش کامل بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای است و بیمه‌گر موظف به پرداخت خسارت است.",,4,90,"بر اساس ماده ۱ قانون بیمه اجباری مسئولیت مدنی ناشی از حوادث رانندگی و همچنین ماده ۱۰ قانون تنظیم مقررات داخلی بیمه، بیمه‌گر مسئولیت مدنی موظف به پرداخت خسارت به زیان‌دیدگان است. با توجه به اینکه شخص ""الف"" تحت پوشش بیمه مسئولیت مدنی است، بنابراین بیمه‌گر مسئولیت مدنی موظف به پرداخت دیه کامل مرد مسلمان به بازماندگان واجد شرایط متوفی است.",
5,meta-llama/llama-4-scout,3,90,1,"{""3"": 5}",FALSE,1687.6,2185,3,90,"بر اساس ماده 1119 ق.م.، شرط وکالت زن در طلاق می تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا عقد دیگری باشد. این ماده قانونی به صراحت اجازه داده است که زن حق وکالت در طلاق را در قالب شرط نتیجه یا فعل، در ضمن عقد نکاح یا عقد دیگری از زوج اخذ کند.",,3,90,"با توجه به ماده 1119 ق.م.، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا عقد دیگری باشد. این ماده امکان شرط وکالت را در قالب‌های مختلف عقدی پیش‌بینی کرده است.",,3,90,"بر اساس ماده 1119 ق.م، شرط وکالت زن در طلاق می تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری باشد. این ماده امکان شرط وکالت را در قالب های مختلف ضمن عقد نکاح یا سایر عقود می دهد.",,3,90,"بر اساس ماده ۱۱۳۳ ق.م. و فتاوای مراجع، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری باشد. این امر با اصل ۴۹ ق.ا. و ماده ۱۹ ق.م. نیز هماهنگ است.",,3,90,"بر اساس ماده 1119 ق.م.، شرط وکالت زن در طلاق می تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا عقد دیگری واقع شود.",
6,meta-llama/llama-4-scout,3,84,1,"{""3"": 5}",FALSE,2152.8,2918,3,80,"با توجه به ماده 803 ق.م. در خصوص هبه و ماده 867 ق.م. در خصوص وصیت تملیکی، می‌توان گفت که در هر دو امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له یا متهب قبض شده باشد.",,3,80,"در خصوص تشابه هبه و وصیت تملیکی، می توان گفت که در هر دو امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له یا متهب قبض شده باشد. مطابق ماده 803 ق.م. در خصوص هبه، واهب می تواند در هر زمانی که متهب مال را نگرفته است رجوع کند و طبق ماده 841 ق.م. در خصوص وصیت، موصی می تواند تا زمان قبض موصی له رجوع کند.",,3,90,"در خصوص تشابه هبه و وصیت تملیکی، گزینه 3 صحیح است زیرا طبق ماده ۸۰۳ ق.م. هبه دهنده حق رجوع دارد و طبق ماده ۸۴۱ ق.م. موصی نیز می تواند تا زمان قبض، رجوع کند.",,3,90,"در خصوص تشابه هبه و وصیت تملیکی، مورد صحیح این است که در هر دو امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له با متهب قبض شده باشد. مطابق ماده 805 ق.م. «ماده 805 ق.م.» و ماده 478 ق.م. «ماده 478 ق.م.»",,3,80,"در خصوص تشابه هبه و وصیت تملیکی، مورد صحیح این است که در هر دو امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له یا متهب قبض شده باشد. طبق ماده ۸۳۱ ق.م، واهب بعد از قبض متهب می‌تواند رجوع کند و طبق ماده ۸۳۴ ق.م، وصیت تملیکی نیز قابل رجوع است.",
7,meta-llama/llama-4-scout,1,80,0.5,"{""1"": 3, ""2"": 1, ""4"": 1}",FALSE,1859.5,5838,1,80,"بر اساس ماده 730 ق.م.، در مواردی که چند نفر به صورت مستعیر، مالک مشترک یک عین مثلی (مثل طلا و نقره) باشند و آن مال نزد آنها تلف شود، مسئولیت آنها به صورت تسهیم است. در حالی که در سایر موارد، مسئولیت می‌تواند به صورت تضامنی باشد.",,1,80,"بر اساس ماده 730 ق.م.، در مواردی که چند نفر به صورت اشتراکی در امری شرکت کنند و نتیجه آن زیان برای غیر باشد، مسئولیت آنها به صورت تسهیم است. این در حالی است که در مسئولیت تضامنی، هر یک از مسئولین به طور کامل مسئول جبران خسارت هستند. در خصوص چند مستعیر در عاربه طلا و نقره، ماده 616 ق.م. مسئولیت آنها را به صورت تسهیم تعیین کرده است.",,,,,No valid JSON in response,2,90,"بر اساس ماده 714 قانون مدنی، چند نفر که به طور مشترک مسئولیت دارند، در صورتی که مسئولیت آنها ناشی از ضمانت به طور مشترک باشد، به طور تضامنی مسئول هستند. اما در مواردی که مسئولیت به موجب قانون باشد، مانند مسئولیت چند نفر به عنوان قیم، به موجب ماده 771 قانون مدنی، هر یک از آنها به طور جداگانه مسئول جبران خسارت هستند و مسئولیت آنها به صورت تسهیم است.",,4,90,"بر اساس ماده 673 ق.م.، مسئولیت چند ضامن در ضمانت به صورت تضامنی است مگر در ضمانت به صورت ضم ذمه به ذمه که به تسهیم است. در خصوص گزینه 1، طبق ماده 633 ق.م.، مسئولیت مستعیران در عاریه طلا و نقره به صورت تضامنی است. در خصوص گزینه 2، طبق ماده 141 قانون مدنی، مسئولیت چند قیم به صورت تضامنی است. در خصوص گزینه 3، طبق ماده 14 قانون کار، مسئولیت کارفرما و کارگر به صورت تسهیم است لیکن در این قانون در خصوص مسئولیت چند عامل زیان به صراحت اشاره ای نشده لیکن می توان از ماده 12 قانون کار مسئولیت چند عامل زیان را به صورت تضامنی دانست.",
8,meta-llama/llama-4-scout,2,85,0.8,"{""2"": 4, ""3"": 1}",FALSE,1963.2,2742,2,90,"بر اساس ماده 729 ق.م، در صورت عدم پرداخت وجه حواله توسط محال علیه، محیل (فروشنده) می تواند به طرفیت محال علیه برای مطالبه وجه حواله طرح دعوا کند و یا در صورت وجود شرط فسخ معامله، آن را فسخ کند.",,2,80,"بر اساس ماده 728 ق.م، در صورتی که محال علیه به محیل بدهکار نباشد، حق فسخ معامله برای فروشنده (محتال) محفوظ است. همچنین، فروشنده می تواند برای دریافت مبلغ حواله علیه محال علیه طرح دعوا کند.",,3,90,"بر اساس ماده 730 ق.م.، در صورتی که محال علیه حواله را قبول کند، نمی تواند بعدا به عدم بدهکاری به محیل استناد کند. بنابراین، فروشنده (محتال) فقط می تواند معامله را فسخ کند.",,2,90,"بر اساس ماده ۷۲۹ قانون مدنی، در صورتی که محال علیه (کسی که حواله به او داده شده) قبول حواله را کرده باشد، نمی‌تواند به رابطه حقوقی بین محیل (فروشنده) و خود استناد کرده و از پرداخت خودداری کند. بنابراین، فروشنده می‌تواند برای وصول مبلغ حواله علیه محال علیه طرح دعوا کند یا معامله را فسخ کند.",,2,80,"بر اساس ماده ۷۲۹ قانون مدنی، در صورتی که محال علیه به محیل بدهکار نباشد، می‌تواند به طرفیت صادر کننده حواله (محتال) یا دارنده حواله (فروشنده) دعوا مطرح کند. بنابراین فروشنده می‌تواند برای گرفتن مبلغ حواله علیه محال علیه طرح دعوا کند و یا معامله را فسخ کند.",
9,meta-llama/llama-4-scout,4,90,0.5,"{""3"": 2, ""2"": 1, ""4"": 3}",FALSE,2060.3,5986,3,90,"بر اساس ماده ۷۳۳ ق.م.، در صورتی که شخص مضطر برای رفع خطر از خود یا دیگری مجبور به ارتکاب فعل شود و مال غیر را تلف کند، مسئولیت مدنی نخواهد داشت. این در حالی است که سایر موارد می‌توانند تحت شرایط خاصی مسئول شناخته شوند.",,2,90,"بر اساس ماده ۷۳۳ ق.م.، در صورتی که خسارت وارده توسط کارگر، ناشی از فعل کارگر و کارفرما احتیاط های لازم را به عمل آورده باشد، کارفرما مسئول نخواهد بود. همچنین، بر اساس ماده ۱۲ قانون مدنی، در مورد مکره، اگر اکراه غیرمادی باشد و شخص مکره اقدام به تلف مال دیگری کند، مسئولیت مدنی ندارد. ولی در مورد کودک و مضطر، مسئولیت مدنی وجود دارد. پس گزینه ۲ صحیح است.",,4,90,"بر اساس ماده ۳۷۵ ق.م.، در مسئولیت مدنی مبتنی بر تقصیر، اگر کسی مجبور به انجام عملی شده است (مکره) و در این حالت به مال دیگری خسارت وارد کند، مسئول شناخته نمی‌شود. همچنین ماده ۹۵ ق.ت.ج. نیز به این موضوع اشاره دارد.",,3,90,"بر اساس ماده ۹۵۵ قانون مدنی، کسی که در اثر اضطرار مال غیر را تلف کند، مسئولیت ندارد. همچنین بر اساس ماده ۳۰۷ قانون مدنی، مکره در اکراه غیرمادی مسئولیت ندارد. اما در مورد کودک، اگرچه سرپرست مسئول است (ماده ۱۱۱۷ قانون مدنی)، اما اگر کارفرما تمام احتیاط‌ها را کرده باشد، مسئول نخواهد بود (ماده ۱۲۸۸ قانون مدنی). با این حال، گزینه ۲ به صراحت مسئولیت را در صورت احتیاط نفی می‌کند.",,4,90,"بر اساس ماده 371 قانون مدنی، در صورتی که مضطر (کسی که به علت اضطرار، اقدام به فعلی می کند) مرتکب خسارتی شود، مسئولیت مدنی ندارد. همچنین، طبق ماده 372 قانون مدنی، اگر کسی به اکراه اقدام به عملی کند، مسئولیت مدنی ندارد. اما در خصوص مسئولیت کارفرما، ماده 12 قانون کار می گوید: کارفرما مسئول خسارات وارده به کارگر و اشخاص ثالث در نتیجه عدم اجرای مقررات ایمنی و حفاظت فنی است. با این حال، در خصوص کودک، ماده 7 قانون مدنی می گوید: «کودک غیر ممیز مسئول نیست». با توجه به این مواد، گزینه 4 صحیح است.",
10,meta-llama/llama-4-scout,3,88,1,"{""3"": 5}",FALSE,1522.6,2395,3,90,"بر اساس ماده 1183 ق.م.، وصی می تواند در حدود اختیارات خود به کسی وکالت دهد. همچنین، با توجه به اصل 1185 ق.م. و ماده 1183 ق.م.، وصی می تواند برای بعد از فوت خود وصی دیگری تعیین کند اگر به او حق امضاء تفویض شده باشد.",,3,90,"بر اساس ماده 1183 قانون مدنی، وصی می تواند در حدود اختیارات خود به دیگری وکالت دهد. همچنین، با توجه به اصل 1185 قانون مدنی، وصی می تواند برای بعد از فوت خود وصی دیگری تعیین کند، مشروط بر اینکه حق امضاء به وی تفویض شده باشد.",,3,90,"بر اساس ماده 1183 قانون مدنی، وصی می تواند در حدود اختیارات خود و بدون نیاز به اذن قاضی به کسی وکالت دهد و همچنین می تواند برای بعد از فوت خود وصی دیگری تعیین کند مشروط بر اینکه در حدود اختیارات خود عمل کند.",,3,80,"بر اساس ماده 1232 قانون مدنی، وصی می‌تواند در حدود اختیارات خود به دیگری وکالت دهد. همچنین، با توجه به ماده 1235 قانون مدنی، وصی می‌تواند در صورت داشتن حق امضاء، وصی دیگری را برای بعد از فوت خود تعیین کند.",,3,90,وصی منصوب پدر برای اداره اموال فرزندان صغیر می تواند در قید حیات خود به دیگری وکالت دهد اما تعیین وصی جدید برای بعد از فوت خود فقط در صلاحیت قاضی است و نه وصی. ماده 1233 ق.م. و اصل 84 ق.ا. در این مورد قابل ذکر است.,
