id,model,answer,confidence,latency_ms,raw,error
1,openai/gpt-4o-mini,3,4,1921,"{""answer"":""3"",""confidence"":4}",
2,openai/gpt-4o-mini,4,4,856,"{""answer"":""4"",""confidence"":4}",
3,openai/gpt-4o-mini,4,4,603,"{""answer"":""4"",""confidence"":4}",
4,openai/gpt-4o-mini,2,4,807,"{""answer"":""2"",""confidence"":4}",
5,openai/gpt-4o-mini,3,4,504,"{""answer"":""3"",""confidence"":4}",
6,openai/gpt-4o-mini,3,4,546,"{""answer"":""3"",""confidence"":4}",
7,openai/gpt-4o-mini,1,4,578,"{""answer"":""1"",""confidence"":4}",
8,openai/gpt-4o-mini,2,4,708,"{""answer"":""2"",""confidence"":4}",
9,openai/gpt-4o-mini,2,4,808,"{""answer"":""2"",""confidence"":4}",
10,openai/gpt-4o-mini,4,4,1041,"{""answer"":""4"",""confidence"":4}",
11,openai/gpt-4o-mini,2,4,625,"{""answer"":""2"",""confidence"":4}",
12,openai/gpt-4o-mini,4,4,842,"{""answer"":""4"",""confidence"":4}",
13,openai/gpt-4o-mini,1,4,1341,"{""answer"":""1"",""confidence"":4}",
14,openai/gpt-4o-mini,4,4,644,"{""answer"":""4"",""confidence"":4}",
15,openai/gpt-4o-mini,2,4,737,"{""answer"":""2"",""confidence"":4}",
16,openai/gpt-4o-mini,2,4,608,"{""answer"":""2"",""confidence"":4}",
17,openai/gpt-4o-mini,3,4,713,"{""answer"":""3"",""confidence"":4}",
18,openai/gpt-4o-mini,3,4,628,"{""answer"":""3"",""confidence"":4}",
19,openai/gpt-4o-mini,3,4,757,"{""answer"":""3"",""confidence"":4}",
20,openai/gpt-4o-mini,4,4,551,"{""answer"":""4"",""confidence"":4}",
21,openai/gpt-4o-mini,4,4,633,"{""answer"":""4"",""confidence"":4}",
22,openai/gpt-4o-mini,1,4,558,"{""answer"":""1"",""confidence"":4}",
23,openai/gpt-4o-mini,4,4,743,"{""answer"":""4"",""confidence"":4}",
24,openai/gpt-4o-mini,1,4,1650,"{""answer"":""1"",""confidence"":4}",
25,openai/gpt-4o-mini,2,4,633,"{""answer"":""2"",""confidence"":4}",
26,openai/gpt-4o-mini,3,4,850,"{""answer"":""3"",""confidence"":4}",
27,openai/gpt-4o-mini,2,4,704,"{""answer"":""2"",""confidence"":4}",
28,openai/gpt-4o-mini,3,4,552,"{""answer"":""3"",""confidence"":4}",
29,openai/gpt-4o-mini,1,4,901,"{""answer"":""1"",""confidence"":4}",
30,openai/gpt-4o-mini,2,4,1016,"{""answer"":""2"",""confidence"":4}",
31,openai/gpt-4o-mini,1,4,609,"{""answer"":""1"",""confidence"":4}",
32,openai/gpt-4o-mini,4,4,594,"{""answer"":""4"",""confidence"":4}",
33,openai/gpt-4o-mini,1,4,837,"{""answer"":""1"",""confidence"":4}",
34,openai/gpt-4o-mini,1,4,640,"{""answer"":""1"",""confidence"":4}",
35,openai/gpt-4o-mini,1,4,859,"{""answer"":""1"",""confidence"":4}",
36,openai/gpt-4o-mini,3,4,734,"{""answer"":""3"",""confidence"":4}",
37,openai/gpt-4o-mini,1,4,1170,"{""answer"":""1"",""confidence"":4}",
38,openai/gpt-4o-mini,4,4,527,"{""answer"":""4"",""confidence"":4}",
39,openai/gpt-4o-mini,1,4,973,"{""answer"":""1"",""confidence"":4}",
40,openai/gpt-4o-mini,1,4,686,"{""answer"":""1"",""confidence"":4}",
41,openai/gpt-4o-mini,1,4,709,"{""answer"":""1"",""confidence"":4}",
42,openai/gpt-4o-mini,1,4,617,"{""answer"":""1"",""confidence"":4}",
43,openai/gpt-4o-mini,2,4,644,"{""answer"":""2"",""confidence"":4}",
44,openai/gpt-4o-mini,3,4,1067,"{""answer"":""3"",""confidence"":4}",
45,openai/gpt-4o-mini,2,4,584,"{""answer"":""2"",""confidence"":4}",
46,openai/gpt-4o-mini,1,4,700,"{""answer"":""1"",""confidence"":4}",
47,openai/gpt-4o-mini,1,5,758,"{""answer"":""1"",""confidence"":5}",
48,openai/gpt-4o-mini,2,4,606,"{""answer"":""2"",""confidence"":4}",
49,openai/gpt-4o-mini,3,4,804,"{""answer"":""3"",""confidence"":4}",
50,openai/gpt-4o-mini,3,4,664,"{""answer"":""3"",""confidence"":4}",
51,openai/gpt-4o-mini,3,4,601,"{""answer"":""3"",""confidence"":4}",
52,openai/gpt-4o-mini,1,4,576,"{""answer"":""1"",""confidence"":4}",
53,openai/gpt-4o-mini,4,4,1300,"{""answer"":""4"",""confidence"":4}",
54,openai/gpt-4o-mini,2,4,1043,"{""answer"":""2"",""confidence"":4}",
55,openai/gpt-4o-mini,2,4,691,"{""answer"":""2"",""confidence"":4}",
56,openai/gpt-4o-mini,2,4,723,"{""answer"":""2"",""confidence"":4}",
57,openai/gpt-4o-mini,4,4,648,"{""answer"":""4"",""confidence"":4}",
58,openai/gpt-4o-mini,4,4,692,"{""answer"":""4"",""confidence"":4}",
59,openai/gpt-4o-mini,4,5,659,"{""answer"":""4"",""confidence"":5}",
60,openai/gpt-4o-mini,1,4,644,"{""answer"":""1"",""confidence"":4}",
