Model,ExplainLenMean_Correct0,ExplainLenMedian_Correct0,ExplainLenMean_Correct1,ExplainLenMedian_Correct1,PromptTok_Correct0,CompletionTok_Correct0,TotalTok_Correct0,PromptTok_Correct1,CompletionTok_Correct1,TotalTok_Correct1,SummaryPromptTok_Mean,SummaryCompletionTok_Mean,SummaryTotalTok_Mean
Claude haiku 4.5,56.26,54,57.35,58,763.31,210.78,974.09,750.5,214.08,964.58,757.76,212.21,969.97
deepseek r1t2 chimera,38.54,38,38.73,39,630.28,544.45,1174.72,603.18,475.39,1078.57,618.76,515.1,1133.86
deepSeek v32 exp,44.2,41,42.22,43,575.33,100.64,675.97,560.54,94.74,655.28,568.67,97.98,666.66
gemini 2.5 flash,43.02,40,41.97,39,563.24,83.61,646.84,557.61,81.2,638.81,560,82.22,642.22
gemini 2.5 flash lite,44.53,43.5,41.95,39.5,572.38,84.81,657.19,567.29,81.82,649.11,570,83.42,653.42
gpt 4.1 mini,41.43,41,39.83,37.5,566.19,78.63,644.82,572.75,76.27,649.02,569.03,77.61,646.64
gpt 4o mini,36.13,35,34.36,34,562.72,69.78,632.5,560.02,66.55,626.57,561.73,68.59,630.33
gpt oss 20,33.23,33,32.08,33,623.17,1474.52,2097.69,619.38,1282.67,1902.05,621.94,1412.17,2034.11
gpt oss 120,35.65,33.5,35.65,36,615.06,782.77,1397.83,625.74,658.04,1283.78,619.87,726.64,1346.51
grok 4 fast,54.97,54,51.34,51,703.9,1894.76,2598.66,685.91,1488.79,2174.71,695.21,1698.54,2393.75
llama 4 maverick,42.67,42,43.45,44,565.47,90.4,655.86,541.85,83.06,624.91,556.22,87.52,643.74
llama 4 scout,60.41,55.5,52.04,48.5,565.76,104.06,669.82,544.35,91.8,636.15,556.12,98.54,654.67
qwen3 80,44.85,44,43.04,43,663.52,143.6,807.12,665.3,136.28,801.58,664.31,140.37,804.68
qwen3 235,49.14,47,44.4,44,674.32,155.62,829.94,653.25,141.63,794.88,664.31,148.98,813.28
