id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
1,deepseek/deepseek-v3.2-exp,3,80,1,"{""3"": 5}",FALSE,5548.6,5834,3,80,"بر اساس ماده ۱۸۸ قانون مدنی، انفساخ عقد قهری است اما سبب آن می‌تواند ارادی باشد. بنابراین سبب انفساخ ممکن است با اراده یکی از طرفین یا وقوع حادثه خارجی محقق شود.",,3,80,"بر اساس ماده ۱۸۷ قانون مدنی، انفساخ عقد به صورت قهری و بدون اراده طرفین رخ می‌دهد، اما سبب انفساخ می‌تواند ارادی باشد مانند فسخ یک‌طرفه.",,3,80,"بر اساس ماده ۱۸۸ قانون مدنی، انفساخ عقد قهری است و نیازی به اراده طرفین ندارد. با این حال، سبب انفساخ می‌تواند ارادی باشد، مانند فسخ یک‌طرفه در عقود جایز. این اصل در حقوق مدنی ایران پذیرفته شده است.",,3,80,"بر اساس ماده ۱۸۸ قانون مدنی، انفساخ عقد قهری است و نیازی به اراده طرفین ندارد. با این حال، سبب انفساخ ممکن است ارادی باشد، مانند فسخ توسط یکی از طرفین. این اصل در حقوق مدنی ایران پذیرفته شده است.",,3,80,"مطابق ماده ۱۸۶ قانون مدنی، انفساخ عقد به صورت قهری و بدون اراده طرفین رخ می‌دهد. با این حال، سبب انفساخ می‌تواند ارادی باشد، مانند فسخ اختیاری. بنابراین انفساخ قهری است ولی سبب آن ممکن است ارادی باشد.",
2,deepseek/deepseek-v3.2-exp,2,86,1,"{""2"": 5}",FALSE,6137,6519,2,90,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی، بیمهگر مسئول جبران خسارت بدنی و مالی اشخاص ثالث است. در اینجا شخص «ب» ثالث محسوب می‌شود و دیه او به هر میزان و خسارت وسیله نقلیه او تا سقف تعهدات پرداخت می‌شود. شخص «الف» راننده مقصر است و دیه او توسط بیمه پرداخت نمی‌شود.",,2,80,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی، بیمهگر مسئول جبران خسارت بدنی و مالی اشخاص ثالث است. شخص «ب» به عنوان ثالث محسوب می‌شود و دیه وی به هر میزان و خسارت وسیله نقلیه‌اش تا سقف تعهدات پرداخت می‌شود. شخص «الف» راننده مقصر است و دیه او توسط بیمه جبران نمی‌شود.",,2,90,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی، بیمهگر مسئول جبران خسارت بدنی و مالی اشخاص ثالث است. شخص «ب» به عنوان ثالث محسوب می‌شود و دیه وی به هر میزان و خسارت وسیله نقلیه‌اش تا سقف تعهدات بیمه پرداخت می‌شود. شخص «الف» راننده مقصر است و دیه او توسط بیمه اجباری جبران نمی‌شود.",,2,90,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی، بیمهگر مسئول جبران خسارت بدنی و مالی اشخاص ثالث است. شخص «ب» به عنوان ثالث محسوب می‌شود و دیه او به طور کامل پرداخت می‌شود. خسارت وارده به موتورسیکلت نیز تا سقف تعهدات بیمه‌نامه جبران می‌گردد.",,2,80,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی، بیمهگر مسئول جبران خسارت جانی و مالی اشخاص ثالث است. شخص «الف» راننده مقصر محسوب می‌شود و شخص «ب» به عنوان ثالث تحت پوشش بیمه قرار می‌گیرد. خسارات جانی شخص «ب» به طور کامل و خسارات مالی تا سقف تعهدات بیمه‌نامه پرداخت می‌شود.",
3,deepseek/deepseek-v3.2-exp,4,84,1,"{""4"": 5}",FALSE,4626.8,5086,4,80,"بر اساس ماده ۳۵ قانون مدنی ایران، تصرف به عنوان مالکیت دلیل مالکیت است مگر آنکه خلاف آن ثابت شود. همچنین ماده ۴۶ ق.م. مقرر می‌دارد که تصرفی که همراه با قصد تملک باشد می‌تواند سبب تملک شود.",,4,90,"بر اساس ماده ۳۵ قانون مدنی ایران، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود. این ماده تصرف همراه با قصد تملک را به عنوان یکی از اسباب تملک می‌پذیرد. بنابراین تصرف می‌تواند به تنهایی سبب تملک باشد.",,4,90,"بر اساس ماده ۳۵ قانون مدنی ایران، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود. همچنین ماده ۳۶ تصریح می‌کند که تصرفی که همراه با قصد تملک باشد، می‌تواند سبب تملک شود. بنابراین تصرف در مواردی به تنهایی سبب تملک است.",,4,80,"بر اساس ماده ۳۵ قانون مدنی ایران، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود. همچنین ماده ۳۶ تصریح می‌کند که تصرفی که همراه با قصد تملک باشد می‌تواند سبب تملک گردد. بنابراین تصرف در مواردی به تنهایی سبب تملک خواهد بود.",,4,80,"بر اساس ماده ۳۵ قانون مدنی ایران، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود. همچنین ماده ۳۶ تصریح می‌کند که تصرفی که همراه با قصد تملک باشد می‌تواند سبب تملک گردد. بنابراین تصرف در موارد خاص به تنهایی سبب تملک محسوب می‌شود.",
4,deepseek/deepseek-v3.2-exp,1,83.3,0.6,"{""4"": 2, ""1"": 3}",FALSE,6207.8,6965,4,80,"بر اساس ماده ۱۰ قانون بیمه مسئولیت مدنی، بیمه‌گر مستقیماً در مقابل زیان‌دیدگان مسئول جبران خسارت است. همچنین ماده ۱ قانون مسئولیت مدنی، مسئولیت ناشی از تقصیر را مقرر می‌دارد. در این حالت، بیمه‌گر مسئولیت مدنی مستقیماً مسئول پرداخت دیه است.",,1,80,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی در مقابل شخص ثالث مصوب ۱۳۹۵، بیمه‌گر مسئولیت مدنی پزشک، مسئول جبران خسارت است. همچنین طبق ماده ۱ قانون اصلاح قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی، صندوق تأمین خسارتهای بدنی در صورت عدم کفایت بیمه یا معافیت بیمه‌گر، تکمیل خسارت را بر عهده دارد.",,1,90,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی در مقابل شخص ثالث مصوب ۱۳۹۵، بیمه‌گر مسئولیت مدنی پزشک، مستقیماً در مقابل زیان‌دیدگان مسئول جبران خسارت است. همچنین صندوق تأمین خسارت‌های بدنی طبق ماده ۱۱ همان قانون در صورت عدم کفایت بیمه یا عدم شناسایی مسئول، تکمیل خسارت را بر عهده دارد.",,4,80,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی در مقابل شخص ثالث، مسئولیت پرداخت خسارت ابتدا بر عهده بیمه‌گر است. همچنین ماده ۱ قانون مسئولیت مدنی، مسئولیت ناشی از تقصیر را بر عهده مقصر قرار می‌دهد اما در اینجا بیمه‌گر مستقیماً مسئول جبران خسارت است.",,1,80,"بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی در مقابل شخص ثالث مصوب ۱۳۹۵، بیمه‌گر مسئولیت مدنی پزشک، مسئول جبران خسارت است. همچنین طبق ماده ۱ قانون اصلاح قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی، صندوق تأمین خسارتهای بدنی در صورت عدم کفایت بیمه یا عدم شناسایی مسئول، تکمیل خسارت را بر عهده دارد.",
5,deepseek/deepseek-v3.2-exp,3,90,1,"{""3"": 5}",FALSE,4959.2,5335,3,90,شرط وکالت در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا هر عقد لازم دیگر منعقد شود. این موضوع در ماده 1119 قانون مدنی ایران تصریح شده است. همچنین رویه قضایی نیز این شکل از شروط را معتبر می‌داند.,,3,90,شرط وکالت در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا هر عقد لازم دیگر منعقد شود. این موضوع در ماده 1119 قانون مدنی ایران تصریح شده است. همچنین رویه قضایی نیز این شکل از شروط را معتبر می‌داند.,,3,90,"بر اساس ماده 1119 قانون مدنی، زن می‌تواند در ضمن عقد نکاح یا عقد دیگری هر شرطی را که مخالف با مقتضای عقد نباشد بگنجاند. شرط وکالت در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل باشد. این شرط در هر عقدی که طرفین توافق کنند قابل درج است.",,3,90,"طبق ماده 1119 قانون مدنی، زن می‌تواند در ضمن عقد نکاح یا عقد دیگری هر شرطی را که مخالف با مقتضای عقد مزبور نباشد بکند. شرط وکالت در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل باشد. این شرط در ضمن عقد نکاح یا هر عقد دیگری قابل درج است.",,3,90,"طبق ماده 1119 قانون مدنی، زن می‌تواند در ضمن عقد نکاح یا عقد دیگری هر شرطی را که مخالف با مقتضای عقد مزبور نباشد بکند. شرط وکالت در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل باشد. این شرط در ضمن عقد نکاح یا هر عقد دیگری قابل درج است.",
6,deepseek/deepseek-v3.2-exp,4,82.5,0.8,"{""2"": 1, ""4"": 4}",FALSE,4699.6,5375,2,80,"در هبه و وصیت تملیکی، موصی له یا متهب ممکن است غیر محصور باشد، مانند وقف برای فقرا. این موضوع در ماده ۸۲۶ قانون مدنی برای وصیت و ماده ۷۹۵ برای هبه تصریح شده است.",,4,80,"بر اساس ماده ۸۲۶ قانون مدنی، وصیت تملیکی با فوت موصی نافذ می‌شود و قبض بعد از فوت موصی محقق می‌گردد. همچنین در هبه، فوت واهب قبل از قبض موجب بطلان عقد است.",,4,80,"بر اساس ماده ۸۳۴ قانون مدنی، وصیت تملیکی با فوت موصی منفسخ نمی‌شود و قبض بعد از فوت موصی نیز صحیح است. همچنین در هبه، فوت واهب قبل از قبض موجب بطلان عقد می‌گردد (مواد ۷۹۶ و ۷۹۸ ق.م.).",,4,90,"بر اساس ماده ۸۳۴ قانون مدنی، وصیت تملیکی با فوت موصی نافذ می‌شود و قبض بعد از فوت موصی نیز امکان‌پذیر است. همچنین ماده ۸۰۲ قانون مدنی تأکید می‌کند که در وصیت تملیکی، موصی‌له می‌تواند بعد از فوت موصی قبول کند.",,4,80,"وصیت تملیکی با فوت موصی منعقد می‌شود و قبض بعد از فوت محقق می‌گردد، در حالی که هبه عقدی است که در زمان حیات واهب نیاز به قبول و قبض دارد. بر اساس ماده ۷۹۵ قانون مدنی، وصیت تملیکی با فوت موصی قطعی می‌شود و قبول موصی‌له پس از فوت شرط است.",
7,deepseek/deepseek-v3.2-exp,4,92,1,"{""4"": 5}",FALSE,4533,5093,4,100,"مسئولیت تضامنی ضامنان در ماده ۷۳۳ قانون مدنی ایران تصریح شده است. در صورت ضم ذمه به ذمه، مسئولیت تضامنی است نه تسهیمی. این حکم مستقیماً از متن قانون استنباط می‌شود.",,4,90,"مسئولیت تضامنی در ضمانت زمانی است که ضامنان به صورت «ضم ذمه به ذمه» تعهد نکرده باشند. بر اساس ماده ۷۳۳ قانون مدنی، اگر چند نفر به صورت «ضم ذمه به ذمه» ضمانت کنند، مسئولیت آنان به تسهیم است.",,4,90,"بر اساس ماده ۶۵۵ قانون مدنی ایران، مسئولیت چند ضامن در صورت ضم ذمه به ذمه به صورت تسهیمی است. این ماده تصریح می‌کند که اگر چند نفر به صورت تضامنی ضمانت نکرده باشند، مسئولیت آنها تسهیمی خواهد بود.",,4,90,"مسئولیت تضامنی ضامنان در ماده ۷۳۳ قانون مدنی ایران تصریح شده است، مگر اینکه شرط تسهیم شده باشد. در ضمانت به صورت «ضم ذمه به ذمه» مسئولیت تضامنی است نه تسهیمی.",,4,90,مسئولیت چند ضامن در صورت ضم ذمه به ذمه به صورت تسهیمی است نه تضامنی. این حکم مستقیماً از ماده ۷۳۳ قانون مدنی ایران استنباط می‌شود که مقرر می‌دارد: «اگر چند نفر ضامن شخصی شوند به نحوی که ذمه هر یک از آنها به ذمه دیگری ضمیمه گردد...».,
8,deepseek/deepseek-v3.2-exp,2,80,1,"{""2"": 5}",FALSE,5008.2,5578,2,80,"بر اساس ماده ۷۳۴ قانون مدنی، حواله تعهد محال علیه را به محتال منتقل می‌کند و محتال می‌تواند مستقیم علیه محال علیه برای دریافت مبلغ طرح دعوا کند. همچنین طبق شرط قراردادی، حق فسخ نیز برای فروشنده محفوظ است.",,2,80,"بر اساس ماده ۷۳۴ قانون مدنی، محتال می‌تواند علیه محال‌علیه برای دریافت وجه حواله اقامه دعوا کند. همچنین طبق شرط فسخ در قرارداد، حق فسخ معامله نیز برای فروشنده محفوظ است. بنابراین هر دو اقدام حقوقی برای محتال مجاز می‌باشد.",,2,80,"بر اساس ماده ۷۳۴ قانون مدنی، محتال می‌تواند علیه محال‌علیه برای دریافت وجه حواله اقامه دعوا کند. همچنین طبق شرط فسخ در قرارداد، حق فسخ معامله نیز برای فروشنده محفوظ است. بنابراین هر دو اقدام حقوقی برای محتال مجاز است.",,2,80,"بر اساس ماده ۷۳۴ قانون مدنی، محال‌له می‌تواند به محال‌علیه رجوع کرده و مبلغ حواله را مطالبه کند. همچنین طبق شرط فسخ در قرارداد، حق فسخ نیز برای فروشنده محفوظ است. بنابراین فروشنده اختیار دارد بین فسخ معامله یا طرح دعوا علیه محال‌علیه اقدام کند.",,2,80,"بر اساس ماده ۷۳۴ قانون مدنی، محال‌له می‌تواند به محال‌علیه رجوع کند و وجه حواله را مطالبه نماید. همچنین طبق شرط قراردادی، حق فسخ معامله نیز برای فروشنده محفوظ است. بنابراین فروشنده اختیار دارد بین فسخ معامله یا طرح دعوا علیه محال‌علیه انتخاب کند.",
9,deepseek/deepseek-v3.2-exp,3,90,1,"{""3"": 5}",FALSE,3851.8,4211,3,90,"بر اساس ماده ۳۲۸ قانون مجازات اسلامی، شخص مضطر در صورت تلف کردن مال غیر مسئول جبران خسارت نیست زیرا اضطرار سبب رفع مسئولیت مدنی می‌شود.",,3,90,"بر اساس ماده 328 قانون مدنی، شخص مضطر در صورت تلف کردن مال غیر مسئول جبران خسارت نیست زیرا اضطرار سبب سقوط مسئولیت مدنی می‌شود.",,3,90,"بر اساس ماده 328 قانون مدنی، شخص مضطر در صورت تلف کردن مال غیر مسئول جبران خسارت نیست. این ماده تصریح می‌کند که اضطرار مسئولیت مدنی را ساقط می‌کند.",,3,90,"بر اساس ماده 328 قانون مدنی، شخص مضطر در صورت تلف کردن مال غیر مسئول جبران خسارت نیست. این ماده تصریح می‌کند که اضطرار مسئولیت مدنی را ساقط می‌کند.",,3,90,"بر اساس ماده 328 قانون مدنی، شخص مضطر در صورت تلف کردن مال غیر مسئول جبران خسارت نیست. این ماده تصریح می‌کند که اضطرار مسئولیت مدنی را ساقط می‌کند.",
10,deepseek/deepseek-v3.2-exp,2,80,0.5,"{""4"": 2, ""2"": 3, ""3"": 1}",FALSE,4864,10221,4,80,وصی نمی‌تواند به دیگری وکالت دهد مگر در امور اجرایی و جزئی طبق ماده ۷۳۳ قانون مدنی. همچنین وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه اختیار تصدی شخص دیگر به او داده شده باشد.,,2,80,وصی منصوب از سوی پدر حق توکیل به غیر ندارد زیرا وصایت مبتنی بر اعتماد شخصی است (ماده ۱۲۴۷ ق.م.). همچنین وصی نمی‌تواند برای پس از فوت خود وصی دیگری تعیین کند مگر اینکه اختیار تصریح شده باشد (ماده ۱۲۵۶ ق.م.).,,2,80,وصی منصوب از سوی پدر حق توکیل به غیر را ندارد زیرا وصایت مبتنی بر اعتماد شخصی است (ماده ۱۲۳۵ ق.م.). همچنین وصی نمی‌تواند برای پس از فوت خود وصی دیگری تعیین کند مگر اینکه اختیار تصریح شده باشد (ماده ۱۲۳۶ ق.م.). در این سوال چنین اختیاری پیش‌بینی نشده است.,,4,80,"وصی تعیین‌شده از طرف پدر نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند زیرا وصایت قائم به شخص است و قابل انتقال نیست (ماده ۱۲۳۲ ق.م.). همچنین، وصی می‌تواند برای انجام امور وصایت به دیگری وکالت دهد مگر آنکه ممنوع شده باشد (ماده ۱۲۳۳ ق.م.).",,3,80,وصی منصوب از سوی پدر نمی‌تواند بدون اجازه دادگاه به دیگری وکالت دهد زیرا اداره اموال صغیر مستلزم مباشرت شخصی است (ماده ۱۲۳۴ ق.م.). همچنین وصی نمی‌تواند برای پس از فوت خود وصی دیگری تعیین کند مگر اینکه در وصیتنامه اختیار تفویض تصریح شده باشد (ماده ۱۲۳۶ ق.م.).,
