id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,tngtech/deepseek-r1t2-chimera:free,3,4.0,مطابق ماده 186 قانون مدنی، سبب انفساخ ممکن است ارادی (مثل شرط فاسخ) یا قهری باشد ولی خود انفساخ همواره به صورت قهری و بدون نیاز به اراده طرفین محقق می‌شود.,17430,1542.0,470.0,2012.0,155.0,31.0,"{""explanation"":""مطابق ماده 186 قانون مدنی، سبب انفساخ ممکن است ارادی (مثل شرط فاسخ) یا قهری باشد ولی خود انفساخ همواره به صورت قهری و بدون نیاز به اراده طرفین محقق می‌شود."",""answer"":""3"",""confidence"":4}",
2,tngtech/deepseek-r1t2-chimera:free,2,4.0,مطابق ماده 10 قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه، بیمهگر فقط دیه راننده مقصر (الف) را تا سقف تعهدات خود پرداخت می‌کند، اما دیه شخص زیاندیده (ب) به هر میزان و خسارت مالی وارده به موتورسیکلت تا سقف تعهدات بیمه‌نامه قابل جبران است.,24585,1694.0,629.0,2323.0,245.0,45.0,"{""explanation"":""مطابق ماده 10 قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه، بیمهگر فقط دیه راننده مقصر (الف) را تا سقف تعهدات خود پرداخت می‌کند، اما دیه شخص زیاندیده (ب) به هر میزان و خسارت مالی وارده به موتورسیکلت تا سقف تعهدات بیمه‌نامه قابل جبران است."",""answer"":""2"",""confidence"":4}",
3,tngtech/deepseek-r1t2-chimera:free,4,5.0,مطابق ماده 35 قانون مدنی، حیازت اشیاء مباحه با قصد تملک سبب مالکیت می‌شود. بنابراین تصرف همراه با قصد تملک در مواردی مانند اشیاء مباحه به تنهایی سبب تملک است.,15974,1540.0,461.0,2001.0,158.0,30.0,"{""explanation"":""مطابق ماده 35 قانون مدنی، حیازت اشیاء مباحه با قصد تملک سبب مالکیت می‌شود. بنابراین تصرف همراه با قصد تملک در مواردی مانند اشیاء مباحه به تنهایی سبب تملک است."",""answer"":""4"",""confidence"":5}",
4,tngtech/deepseek-r1t2-chimera:free,2,4.0,بر اساس ماده 10 قانون بیمه مسئولیت مدنی و اصول مسئولیت مدنی، پزشک به عنوان مباشر تقصیر، مسئول اصلی پرداخت دیه است و پس از جبران خسارت می‌تواند از بیمه‌گر استرداد کند. بیمه مسئولیت مدنی به عنوان ضامن پرداخت، تعهد اصلی را از پزشک ساقط نمی‌کند.,22698,1637.0,606.0,2243.0,241.0,46.0,"{""explanation"":""بر اساس ماده 10 قانون بیمه مسئولیت مدنی و اصول مسئولیت مدنی، پزشک به عنوان مباشر تقصیر، مسئول اصلی پرداخت دیه است و پس از جبران خسارت می‌تواند از بیمه‌گر استرداد کند. بیمه مسئولیت مدنی به عنوان ضامن پرداخت، تعهد اصلی را از پزشک ساقط نمی‌کند."",""answer"":""2"",""confidence"":4}",
5,tngtech/deepseek-r1t2-chimera:free,3,4.0,بر اساس ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا هر عقد دیگری درج شود. این شرط به عنوان یک حق قراردادی در هر توافقی قابل اعمال است.,19690,1534.0,470.0,2004.0,187.0,41.0,"{""explanation"":""بر اساس ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا هر عقد دیگری درج شود. این شرط به عنوان یک حق قراردادی در هر توافقی قابل اعمال است."",""answer"":""3"",""confidence"":4}",
6,tngtech/deepseek-r1t2-chimera:free,2,4.0,مطابق ماده 826 قانون مدنی، در وصیت تملیکی موصی له می‌تواند غیرمحصور باشد (مانند فقرا)، در حالی که در هبه متهب باید مشخص باشد. این وجه تشابه صحیح است.,29924,1591.0,746.0,2337.0,149.0,29.0,"{""explanation"":""مطابق ماده 826 قانون مدنی، در وصیت تملیکی موصی له می‌تواند غیرمحصور باشد (مانند فقرا)، در حالی که در هبه متهب باید مشخص باشد. این وجه تشابه صحیح است."",""answer"":""2"",""confidence"":4}",
7,tngtech/deepseek-r1t2-chimera:free,2,4.0,مطابق ماده 1184 قانون مدنی، مسئولیت قیم‌ها در صورت تقصیر به صورت تسهیمی است زیرا هر قیم فقط در قبال تقصیر خود مسئول است و مسئولیت تضامنی وجود ندارد.,29333,1577.0,570.0,2147.0,148.0,29.0,"{""explanation"":""مطابق ماده 1184 قانون مدنی، مسئولیت قیم‌ها در صورت تقصیر به صورت تسهیمی است زیرا هر قیم فقط در قبال تقصیر خود مسئول است و مسئولیت تضامنی وجود ندارد."",""answer"":""2"",""confidence"":4}",
8,tngtech/deepseek-r1t2-chimera:free,2,4.0,مطابق ماده 724 قانون مدنی، با قبول حواله توسط محال علیه، رابطه مستقیم دینی بین محتال و محال علیه ایجاد می‌شود و محتال حق مراجعه مستقیم به محال علیه را دارد. همچنین به موجب شرط فسخ در قرارداد، محتال اختیار انتخاب بین فسخ معامله یا مطالبه وجه از محال علیه را داراست.,21886,1681.0,631.0,2312.0,264.0,52.0,"{""explanation"":""مطابق ماده 724 قانون مدنی، با قبول حواله توسط محال علیه، رابطه مستقیم دینی بین محتال و محال علیه ایجاد می‌شود و محتال حق مراجعه مستقیم به محال علیه را دارد. همچنین به موجب شرط فسخ در قرارداد، محتال اختیار انتخاب بین فسخ معامله یا مطالبه وجه از محال علیه را داراست."",""answer"":""2"",""confidence"":4}",
9,tngtech/deepseek-r1t2-chimera:free,,,,43005,,,,,,,Model returned no text content
10,tngtech/deepseek-r1t2-chimera:free,2,4.0,مطابق ماده 1188 قانون مدنی، وصی نمی‌تواند بدون اجازه صریح موصی، امور وصایت را به دیگری واگذار یا برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه حق امضاء به او تفویض شده باشد. در این سؤال چنین حقی ذکر نشده است.,20742,1645.0,431.0,2076.0,212.0,44.0,"{""explanation"":""مطابق ماده 1188 قانون مدنی، وصی نمی‌تواند بدون اجازه صریح موصی، امور وصایت را به دیگری واگذار یا برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه حق امضاء به او تفویض شده باشد. در این سؤال چنین حقی ذکر نشده است."",""answer"":""2"",""confidence"":4}",
