id,model,answer,confidence,latency_ms,raw,error
1,anthropic/claude-haiku-4.5,3,4,2016,"{""answer"":""3"",""confidence"":4}",
2,anthropic/claude-haiku-4.5,2,4,896,"{""answer"":""2"",""confidence"":4}",
3,anthropic/claude-haiku-4.5,4,4,898,"{""answer"":""4"",""confidence"":4}",
4,anthropic/claude-haiku-4.5,1,4,2017,"```json
{""answer"":""1"",""confidence"":4}
```",
5,anthropic/claude-haiku-4.5,3,4,784,"{""answer"":""3"",""confidence"":4}",
6,anthropic/claude-haiku-4.5,1,4,1371,"{""answer"":""1"",""confidence"":4}",
7,anthropic/claude-haiku-4.5,4,4,762,"```json
{""answer"":""4"",""confidence"":4}
```",
8,anthropic/claude-haiku-4.5,2,4,761,"{""answer"":""2"",""confidence"":4}",
9,anthropic/claude-haiku-4.5,2,4,988,"{""answer"":""2"",""confidence"":4}",
10,anthropic/claude-haiku-4.5,3,4,1034,"{""answer"":""3"",""confidence"":4}",
11,anthropic/claude-haiku-4.5,1,4,1955,"{""answer"":""1"",""confidence"":4}",
12,anthropic/claude-haiku-4.5,4,4,1103,"```json
{""answer"":""4"",""confidence"":4}
```",
13,anthropic/claude-haiku-4.5,1,4,1728,"{""answer"":""1"",""confidence"":4}",
14,anthropic/claude-haiku-4.5,4,4,826,"```json
{""answer"":""4"",""confidence"":4}
```",
15,anthropic/claude-haiku-4.5,2,4,1237,"```json
{""answer"":""2"",""confidence"":4}
```",
16,anthropic/claude-haiku-4.5,2,4,745,"{""answer"":""2"",""confidence"":4}",
17,anthropic/claude-haiku-4.5,3,4,1073,"{""answer"":""3"",""confidence"":4}",
18,anthropic/claude-haiku-4.5,2,4,1780,"{""answer"":""2"",""confidence"":4}",
19,anthropic/claude-haiku-4.5,1,4,1057,"{""answer"":""1"",""confidence"":4}",
20,anthropic/claude-haiku-4.5,4,4,865,"{""answer"":""4"",""confidence"":4}",
21,anthropic/claude-haiku-4.5,2,4,648,"{""answer"":""2"",""confidence"":4}",
22,anthropic/claude-haiku-4.5,4,4,759,"{""answer"":""4"",""confidence"":4}",
23,anthropic/claude-haiku-4.5,3,4,758,"{""answer"":""3"",""confidence"":4}",
24,anthropic/claude-haiku-4.5,3,4,710,"{""answer"":""3"",""confidence"":4}",
25,anthropic/claude-haiku-4.5,2,4,1322,"{""answer"":""2"",""confidence"":4}",
26,anthropic/claude-haiku-4.5,3,4,1075,"{""answer"":""3"",""confidence"":4}",
27,anthropic/claude-haiku-4.5,2,4,736,"```json
{""answer"":""2"",""confidence"":4}
```",
28,anthropic/claude-haiku-4.5,2,4,1220,"{""answer"":""2"",""confidence"":4}",
29,anthropic/claude-haiku-4.5,1,4,1578,"{""answer"":""1"",""confidence"":4}",
30,anthropic/claude-haiku-4.5,3,4,1004,"{""answer"":""3"",""confidence"":4}",
31,anthropic/claude-haiku-4.5,1,4,984,"{""answer"":""1"",""confidence"":4}",
32,anthropic/claude-haiku-4.5,1,4,894,"{""answer"":""1"",""confidence"":4}",
33,anthropic/claude-haiku-4.5,1,4,979,"{""answer"":""1"",""confidence"":4}",
34,anthropic/claude-haiku-4.5,2,3,768,"```json
{""answer"":""2"",""confidence"":3}
```",
35,anthropic/claude-haiku-4.5,4,4,858,"{""answer"":""4"",""confidence"":4}",
36,anthropic/claude-haiku-4.5,3,4,1839,"{""answer"":""3"",""confidence"":4}",
37,anthropic/claude-haiku-4.5,2,4,1020,"{""answer"":""2"",""confidence"":4}",
38,anthropic/claude-haiku-4.5,4,4,738,"{""answer"":""4"",""confidence"":4}",
39,anthropic/claude-haiku-4.5,1,4,1012,"```json
{""answer"":""1"",""confidence"":4}
```",
40,anthropic/claude-haiku-4.5,2,4,627,"{""answer"":""2"",""confidence"":4}",
41,anthropic/claude-haiku-4.5,2,3,1091,"{""answer"":""2"",""confidence"":3}",
42,anthropic/claude-haiku-4.5,2,4,1732,"{""answer"":""2"",""confidence"":4}",
43,anthropic/claude-haiku-4.5,2,4,1103,"{""answer"":""2"",""confidence"":4}",
