id,model,answer,confidence,latency_ms,raw,error
1,openai/gpt-oss-120b,1,4.0,3296,"{""answer"":""1"",""confidence"":4}",
2,openai/gpt-oss-120b,1,4.0,11468,"{""answer"":""1"",""confidence"":4}",
3,openai/gpt-oss-120b,4,5.0,1764,"{""answer"":""4"",""confidence"":5}",
4,openai/gpt-oss-120b,4,4.0,2080,"{""answer"":""4"",""confidence"":4}",
5,openai/gpt-oss-120b,3,5.0,15580,"{""answer"":""3"",""confidence"":5}",
6,openai/gpt-oss-120b,1,4.0,6472,"{""answer"":""1"",""confidence"":4}",
7,openai/gpt-oss-120b,3,4.0,4458,"{""answer"":""3"",""confidence"":4}",
8,openai/gpt-oss-120b,2,4.0,2155,"{""answer"":""2"",""confidence"":4}",
9,openai/gpt-oss-120b,2,4.0,5726,"{""answer"":""2"",""confidence"":4}",
10,openai/gpt-oss-120b,4,4.0,2962,"{""answer"":""4"",""confidence"":4}",
11,openai/gpt-oss-120b,2,5.0,5865,"{""answer"":""2"",""confidence"":5}",
12,openai/gpt-oss-120b,4,4.0,2911,"{""answer"":""4"",""confidence"":4}",
13,openai/gpt-oss-120b,1,4.0,5161,"{""answer"":""1"",""confidence"":4}",
14,openai/gpt-oss-120b,4,4.0,3287,"{""answer"":""4"",""confidence"":4}",
15,openai/gpt-oss-120b,2,5.0,3155,"{""answer"":""2"",""confidence"":5}",
16,openai/gpt-oss-120b,2,4.0,6930,"{""answer"":""2"",""confidence"":4}",
17,openai/gpt-oss-120b,2,4.0,4606,"{""answer"":""2"",""confidence"":4}",
18,openai/gpt-oss-120b,2,4.0,28574,"{""answer"":""2"",""confidence"":4}",
19,openai/gpt-oss-120b,1,4.0,2952,"{""answer"":""1"",""confidence"":4}",
20,openai/gpt-oss-120b,4,4.0,4430,"{""answer"":""4"",""confidence"":4}",
21,openai/gpt-oss-120b,4,4.0,4833,"{""answer"":""4"",""confidence"":4}",
22,openai/gpt-oss-120b,1,4.0,3477,"{""answer"":""1"",""confidence"":4}",
23,openai/gpt-oss-120b,4,4.0,5543,"{""answer"":""4"",""confidence"":4}",
24,openai/gpt-oss-120b,1,3.0,13494,"{""answer"":""1"",""confidence"":3}",
25,openai/gpt-oss-120b,4,4.0,5187,"{""answer"":""4"",""confidence"":4}",
26,openai/gpt-oss-120b,3,4.0,5853,"{""answer"":""3"",""confidence"":4}",
27,openai/gpt-oss-120b,2,5.0,2818,"{""answer"":""2"",""confidence"":5}",
28,openai/gpt-oss-120b,3,4.0,4484,"{""answer"":""3"",""confidence"":4}",
29,openai/gpt-oss-120b,1,4.0,2924,"{""answer"":""1"",""confidence"":4}",
30,openai/gpt-oss-120b,2,4.0,7070,"{""answer"":""2"",""confidence"":4}",
31,openai/gpt-oss-120b,1,5.0,3869,"{""answer"":""1"",""confidence"":5}",
32,openai/gpt-oss-120b,2,4.0,9300,"{""answer"":""2"",""confidence"":4}",
33,openai/gpt-oss-120b,2,5.0,4174,"{""answer"":""2"",""confidence"":5}",
34,openai/gpt-oss-120b,1,4.0,8162,"{""answer"":""1"",""confidence"":4}",
35,openai/gpt-oss-120b,4,4.0,7547,"{""answer"":""4"",""confidence"":4}",
36,openai/gpt-oss-120b,1,4.0,7347,"{""answer"":""1"",""confidence"":4}",
37,openai/gpt-oss-120b,2,5.0,4997,"{""answer"":""2"",""confidence"":5}",
38,openai/gpt-oss-120b,4,4.0,3368,"{""answer"":""4"",""confidence"":4}",
39,openai/gpt-oss-120b,1,4.0,3682,"{""answer"":""1"",""confidence"":4}",
40,openai/gpt-oss-120b,4,3.0,14881,"{""answer"":""4"",""confidence"":3}",
41,openai/gpt-oss-120b,1,4.0,3935,"{""answer"":""1"",""confidence"":4}",
42,openai/gpt-oss-120b,2,4.0,6324,"{""answer"":""2"",""confidence"":4}",
43,openai/gpt-oss-120b,4,4.0,2442,"{""answer"":""4"",""confidence"":4}",
44,openai/gpt-oss-120b,3,5.0,2101,"{""answer"":""3"",""confidence"":5}",
45,openai/gpt-oss-120b,2,5.0,2115,"{""answer"":""2"",""confidence"":5}",
46,openai/gpt-oss-120b,1,5.0,2821,"{""answer"":""1"",""confidence"":5}",
47,openai/gpt-oss-120b,3,4.0,2791,"{""answer"":""3"",""confidence"":4}",
48,openai/gpt-oss-120b,1,4.0,3396,"{""answer"":""1"",""confidence"":4}",
49,openai/gpt-oss-120b,3,4.0,3278,"{""answer"":""3"",""confidence"":4}",
50,openai/gpt-oss-120b,3,4.0,5199,"{""answer"":""3"",""confidence"":4}",
51,openai/gpt-oss-120b,4,4.0,6109,"{""answer"":""4"",""confidence"":4}",
52,openai/gpt-oss-120b,1,4.0,7349,"{""answer"":""1"",""confidence"":4}",
53,openai/gpt-oss-120b,2,4.0,2340,"{""answer"":""2"",""confidence"":4}",
54,openai/gpt-oss-120b,1,3.0,8354,"{""answer"":""1"",""confidence"":3}",
55,openai/gpt-oss-120b,4,4.0,4515,"{""answer"":""4"",""confidence"":4}",
56,openai/gpt-oss-120b,,,3963,"{""answer2"",""confidence"":5}",Failed to extract valid JSON structure from model output
57,openai/gpt-oss-120b,2,4.0,8901,"{""answer"":""2"",""confidence"":4}",
58,openai/gpt-oss-120b,4,4.0,6429,"{""answer"":""4"",""confidence"":4}",
59,openai/gpt-oss-120b,3,4.0,5714,"{""answer"":""3"",""confidence"":4}",
60,openai/gpt-oss-120b,1,5.0,3130,"{""answer"":""1"",""confidence"":5}",
81,openai/gpt-oss-120b,1,4.0,3178,"{""answer"":""1"",""confidence"":4}",
82,openai/gpt-oss-120b,2,4.0,2728,"{""answer"":""2"",""confidence"":4}",
83,openai/gpt-oss-120b,3,4.0,3009,"{""answer"":""3"",""confidence"":4}",
84,openai/gpt-oss-120b,,,3937,"{""answer"":"""",""confidence"":4}","Invalid answer '', expected one of {'1', '2', '3', '4'}"
85,openai/gpt-oss-120b,1,5.0,3173,"{""answer"":""1"",""confidence"":5}",
86,openai/gpt-oss-120b,2,3.0,4859,"{""answer"":""2"",""confidence"":3}",
87,openai/gpt-oss-120b,3,3.0,4806,"{""answer"":""3"",""confidence"":3}",
88,openai/gpt-oss-120b,1,4.0,3965,"{""answer"":""1"",""confidence"":4}",
89,openai/gpt-oss-120b,2,4.0,6698,"{""answer"":""2"",""confidence"":4}",
90,openai/gpt-oss-120b,3,4.0,3752,"{""answer"":""3"",""confidence"":4}",
91,openai/gpt-oss-120b,,,3600,"{""answer"":""1"","""":4}",Missing 'confidence' field in model output
92,openai/gpt-oss-120b,3,4.0,3298,"{""answer"":""3"",""confidence"":4}",
93,openai/gpt-oss-120b,1,4.0,4130,"{""answer"":""1"",""confidence"":4}",
94,openai/gpt-oss-120b,3,5.0,1494,"{""answer"":""3"",""confidence"":5}",
95,openai/gpt-oss-120b,1,4.0,3553,"{""answer"":""1"",""confidence"":4}",
96,openai/gpt-oss-120b,1,5.0,2504,"{""answer"":""1"",""confidence"":5}",
97,openai/gpt-oss-120b,2,4.0,4408,"{""answer"":""2"",""confidence"":4}",
98,openai/gpt-oss-120b,4,3.0,10361,"{""answer"":""4"",""confidence"":3}",
99,openai/gpt-oss-120b,4,4.0,6781,"{""answer"":""4"",""confidence"":4}",
100,openai/gpt-oss-120b,2,5.0,2083,"{""answer"":""2"",""confidence"":5}",
101,openai/gpt-oss-120b,3,4.0,3322,"{""answer"":""3"",""confidence"":4}",
102,openai/gpt-oss-120b,2,4.0,4765,"{""answer"":""2"",""confidence"":4}",
103,openai/gpt-oss-120b,4,5.0,3638,"{""answer"":""4"",""confidence"":5}",
104,openai/gpt-oss-120b,3,4.0,3964,"{""answer"":""3"",""confidence"":4}",
105,openai/gpt-oss-120b,2,4.0,5157,"{""answer"":""2"",""confidence"":4}",
106,openai/gpt-oss-120b,1,4.0,5543,"{""answer"":""1"",""confidence"":4}",
107,openai/gpt-oss-120b,2,4.0,2046,"{""answer"":""2"",""confidence"":4}",
108,openai/gpt-oss-120b,1,4.0,9906,"{""answer"":""1"",""confidence"":4}",
109,openai/gpt-oss-120b,3,3.0,7291,"{""answer"":""3"",""confidence"":3}",
110,openai/gpt-oss-120b,2,4.0,1944,"{""answer"":""2"",""confidence"":4}",
111,openai/gpt-oss-120b,2,4.0,6071,"{""answer"":""2"",""confidence"":4}",
112,openai/gpt-oss-120b,2,4.0,2272,"{""answer"":""2"",""confidence"":4}",
113,openai/gpt-oss-120b,4,4.0,2931,"{""answer"":""4"",""confidence"":4}",
114,openai/gpt-oss-120b,1,4.0,9644,"{""answer"":""1"",""confidence"":4}",
115,openai/gpt-oss-120b,,,4390,"{"""",""confidence"":4}",Failed to extract valid JSON structure from model output
116,openai/gpt-oss-120b,1,4.0,5134,"{""answer"":""1"",""confidence"":4}",
117,openai/gpt-oss-120b,2,4.0,3048,"{""answer"":""2"",""confidence"":4}",
118,openai/gpt-oss-120b,4,4.0,3055,"{""answer"":""4"",""confidence"":4}",
119,openai/gpt-oss-120b,4,5.0,4024,"{""answer"":""4"",""confidence"":5}",
120,openai/gpt-oss-120b,3,5.0,4748,"{""answer"":""3"",""confidence"":5}",
121,openai/gpt-oss-120b,2,5.0,1563,"{""answer"":""2"",""confidence"":5}",
122,openai/gpt-oss-120b,1,5.0,3706,"{""answer"":""1"",""confidence"":5}",
123,openai/gpt-oss-120b,1,3.0,10958,"{""answer"":""1"",""confidence"":3}",
124,openai/gpt-oss-120b,2,4.0,15068,"{""answer"":""2"",""confidence"":4}",
125,openai/gpt-oss-120b,1,5.0,2971,"{""answer"":""1"",""confidence"":5}",
126,openai/gpt-oss-120b,2,5.0,3785,"{""answer"":""2"",""confidence"":5}",
127,openai/gpt-oss-120b,4,4.0,6070,"{""answer"":""4"",""confidence"":4}",
128,openai/gpt-oss-120b,3,5.0,2938,"{""answer"":""3"",""confidence"":5}",
129,openai/gpt-oss-120b,4,4.0,6026,"{""answer"":""4"",""confidence"":4}",
130,openai/gpt-oss-120b,3,4.0,4912,"{""answer"":""3"",""confidence"":4}",
131,openai/gpt-oss-120b,2,4.0,6756,"{""answer"":""2"",""confidence"":4}",
132,openai/gpt-oss-120b,3,4.0,6886,"{""answer"":""3"",""confidence"":4}",
133,openai/gpt-oss-120b,4,4.0,3966,"{""answer"":""4"",""confidence"":4}",
134,openai/gpt-oss-120b,3,5.0,4877,"{""answer"":""3"",""confidence"":5}",
135,openai/gpt-oss-120b,1,3.0,5786,"{""answer"":""1"",""confidence"":3}",
136,openai/gpt-oss-120b,3,5.0,2809,"{""answer"":""3"",""confidence"":5}",
137,openai/gpt-oss-120b,3,4.0,7032,"{""answer"":""3"",""confidence"":4}",
138,openai/gpt-oss-120b,,,5387,"{""answer"":""4"",""4}",Failed to extract valid JSON structure from model output
139,openai/gpt-oss-120b,1,5.0,4198,"{""answer"":""1"",""confidence"":5}",
140,openai/gpt-oss-120b,4,4.0,4178,"{""answer"":""4"",""confidence"":4}",
