id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,meta-llama/llama-4-scout,3.0,4.0,براساس اصول حقوقی و قانون مدنی، انفساخ عقد می‌تواند به سبب ارادی باشد، مانند توافق طرفین بر فسخ قرارداد که در قالب شرط ضمن عقد یا توافق جداگانه صورت می‌گیرد. از این رو، اگرچه انفساخ عقد به طور معمول به صورت قهری (غیرارادی) اتفاق می‌افتد، اما امکان دارد که سبب انفساخ عقد ارادی باشد.,3314,1395.0,100.0,1495.0,282.0,54.0,"{""explanation"":""براساس اصول حقوقی و قانون مدنی، انفساخ عقد می‌تواند به سبب ارادی باشد، مانند توافق طرفین بر فسخ قرارداد که در قالب شرط ضمن عقد یا توافق جداگانه صورت می‌گیرد. از این رو، اگرچه انفساخ عقد به طور معمول به صورت قهری (غیرارادی) اتفاق می‌افتد، اما امکان دارد که سبب انفساخ عقد ارادی باشد."",""answer"":""3"",""confidence"":4}",
2,meta-llama/llama-4-scout,2.0,4.0,براساس قانون بیمه اجباری، بیمه‌گر مسئولیت موظف است دیه و خسارات مالی را تا سقف تعهدات بیمه‌نامه جبران کند. در این مورد، بیمه‌گر مسئولیت شخص «الف» موظف است دیه شخص «ب» را به میزان تعیین شده توسط قانون و خسارات مالی وارد شده به موتورسیکلت را تا سقف تعهدات بیمه‌نامه پرداخت کند.,644,1521.0,102.0,1623.0,275.0,52.0,"{""explanation"":""براساس قانون بیمه اجباری، بیمه‌گر مسئولیت موظف است دیه و خسارات مالی را تا سقف تعهدات بیمه‌نامه جبران کند. در این مورد، بیمه‌گر مسئولیت شخص «الف» موظف است دیه شخص «ب» را به میزان تعیین شده توسط قانون و خسارات مالی وارد شده به موتورسیکلت را تا سقف تعهدات بیمه‌نامه پرداخت کند."",""answer"":""2"",""confidence"":4}",
3,meta-llama/llama-4-scout,4.0,5.0,براساس ماده 22 قانون مدنی، تصرف به تنهایی ممکن است در مواردی سبب تملک باشد، مانند مالکیت بر مبیع در عقد بیع که با قبض مبیع حاصل می‌شود.,540,1395.0,61.0,1456.0,135.0,28.0,"{""explanation"":""براساس ماده 22 قانون مدنی، تصرف به تنهایی ممکن است در مواردی سبب تملک باشد، مانند مالکیت بر مبیع در عقد بیع که با قبض مبیع حاصل می‌شود."",""answer"":""4"",""confidence"":5}",
4,meta-llama/llama-4-scout,4.0,5.0,براساس قانون بیمه شخص ثالث، بیمه‌گر مسئولیت مدنی در قبال خسارات وارده به اشخاص ثالث (در این مورد، بازماندگان متوفی) مسئول است. با توجه به اینکه تقصیر حرفه‌ای پزشک تحت پوشش بیمه مسئولیت مدنی است، بیمه‌گر موظف به پرداخت خسارت به میزان دیه کامل مرد مسلمان است.,2628,1464.0,94.0,1558.0,257.0,47.0,"{""explanation"":""براساس قانون بیمه شخص ثالث، بیمه‌گر مسئولیت مدنی در قبال خسارات وارده به اشخاص ثالث (در این مورد، بازماندگان متوفی) مسئول است. با توجه به اینکه تقصیر حرفه‌ای پزشک تحت پوشش بیمه مسئولیت مدنی است، بیمه‌گر موظف به پرداخت خسارت به میزان دیه کامل مرد مسلمان است."",""answer"":""4"",""confidence"":5}",
5,meta-llama/llama-4-scout,3.0,4.0,براساس ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری باشد.,1304,1377.0,48.0,1425.0,118.0,25.0,"{""explanation"":""براساس ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری باشد."",""answer"":""3"",""confidence"":4}",
6,meta-llama/llama-4-scout,3.0,4.0,در خصوص تشابه هبه و وصیت تملیکی، باید توجه داشت که در هبه، واهب می تواند در هر زمان قبل از قبض متهب، از هبه رجوع کند و همچنین در وصیت تملیکی نیز موصی می تواند قبل از فوت و قبل از قبض موصی له، از وصیت رجوع کند. این امکان رجوع در هر دو وجود دارد حتی اگر مال توسط متهب یا موصی له قبض شده باشد، اما با شرایط و محدودیت‌های خاصی که در قانون مشخص شده است.,4586,1443.0,133.0,1576.0,348.0,80.0,"{""explanation"":""در خصوص تشابه هبه و وصیت تملیکی، باید توجه داشت که در هبه، واهب می تواند در هر زمان قبل از قبض متهب، از هبه رجوع کند و همچنین در وصیت تملیکی نیز موصی می تواند قبل از فوت و قبل از قبض موصی له، از وصیت رجوع کند. این امکان رجوع در هر دو وجود دارد حتی اگر مال توسط متهب یا موصی له قبض شده باشد، اما با شرایط و محدودیت‌های خاصی که در قانون مشخص شده است."",""answer"":""3"",""confidence"":4}",unterminated character set at position 36
7,meta-llama/llama-4-scout,2.0,5.0,براساس ماده 386 قانون مدنی، مسئولیت چندین قیم در برابر شخص تحت قیمومت در صورت ارتکاب تقصیر، تسهیم است.,1349,1430.0,49.0,1479.0,102.0,19.0,"{""explanation"":""براساس ماده 386 قانون مدنی، مسئولیت چندین قیم در برابر شخص تحت قیمومت در صورت ارتکاب تقصیر، تسهیم است."",""answer"":""2"",""confidence"":5}",
8,meta-llama/llama-4-scout,4.0,4.0,در این مورد، فروشنده (محتال) می‌تواند برای گرفتن مبلغ حواله علیه محال علیه طرح دعوا کند. زیرا با قبول حواله، محال علیه متعهد به پرداخت مبلغ حواله شده است و نمی‌تواند به رابطه بدهکاری یا عدم بدهکاری خود با محیل استناد کند. همچنین، حق فسخ معامله به دلیل عدم پرداخت ثمن در مدت تعیین شده، از بین رفته است زیرا خریدار با صدور حواله، تعهد خود را برای پرداخت ثمن انجام داده است.,2360,1490.0,120.0,1610.0,371.0,73.0,"{""explanation"":""در این مورد، فروشنده (محتال) می‌تواند برای گرفتن مبلغ حواله علیه محال علیه طرح دعوا کند. زیرا با قبول حواله، محال علیه متعهد به پرداخت مبلغ حواله شده است و نمی‌تواند به رابطه بدهکاری یا عدم بدهکاری خود با محیل استناد کند. همچنین، حق فسخ معامله به دلیل عدم پرداخت ثمن در مدت تعیین شده، از بین رفته است زیرا خریدار با صدور حواله، تعهد خود را برای پرداخت ثمن انجام داده است."",""answer"":""4"",""confidence"":4}",
9,meta-llama/llama-4-scout,2.0,5.0,براساس ماده ۹۷۵ قانون مدنی، در مسئولیت مدنی مبتنی بر تقصیر، اگر کسی به دیگری خسارت وارد کند و تقصیر او احراز نشود، مسئول نیست. در مورد گزینه ۲، مطابق ماده ۱۳۶ قانون کار، کارفرما در صورتی که ثابت کند تمام احتیاط‌های لازم را برای جلوگیری از خسارت به عمل آورده است، مسئول نخواهد بود.,2191,1464.0,102.0,1566.0,280.0,55.0,"{""explanation"":""براساس ماده ۹۷۵ قانون مدنی، در مسئولیت مدنی مبتنی بر تقصیر، اگر کسی به دیگری خسارت وارد کند و تقصیر او احراز نشود، مسئول نیست. در مورد گزینه ۲، مطابق ماده ۱۳۶ قانون کار، کارفرما در صورتی که ثابت کند تمام احتیاط‌های لازم را برای جلوگیری از خسارت به عمل آورده است، مسئول نخواهد بود."",""answer"":""2"",""confidence"":5}",
10,meta-llama/llama-4-scout,3.0,4.0,براساس ماده 1218 قانون مدنی، وصی می‌تواند در حدود اختیارات خود وکیل بدهد ولی نمی‌تواند وصی دیگری برای بعد از فوت خود تعیین کند.,1420,1490.0,51.0,1541.0,127.0,24.0,"{""explanation"":""براساس ماده 1218 قانون مدنی، وصی می‌تواند در حدود اختیارات خود وکیل بدهد ولی نمی‌تواند وصی دیگری برای بعد از فوت خود تعیین کند."",""answer"":""3"",""confidence"":4}",
