idx,explanation,model_predict
1,"انفساخ به معنای انحلال قهری عقد است، یعنی بدون نیاز به اراده جدید طرفین یا حکم دادگاه، عقد منحل می‌شود. با این حال، سبب این انحلال قهری ممکن است ناشی از اراده طرفین باشد؛ مثلاً شرط شود که در صورت عدم انجام تعهد خاصی توسط یکی از طرفین، عقد خود به خود منفسخ شود. در این حالت، عدم انجام تعهد (که یک عمل ارادی یا غیرارادی است) سبب انفساخ است، اما خود انفساخ (اثر حقوقی) قهری است. بنابراین، گزینه ۳ صحیح است.",3
2,"طبق قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه (مصوب ۱۳۹۵)، بیمه‌گر موظف است خسارات بدنی وارد شده به شخص ثالث (شخص ب) را بدون لحاظ سقف تعهدات مندرج در بیمه‌نامه (تا هر میزان که طبق قانون تعلق گیرد) جبران کند (ماده ۸). همچنین خسارات مالی وارد شده به شخص ثالث (موتورسیکلت ب) تا سقف تعهدات بیمه‌نامه جبران می‌شود. در مورد راننده مقصر (شخص الف)، بیمه‌نامه اجباری شامل پوشش بیمه حوادث راننده نیز هست که دیه راننده مقصر را تا سقف تعهدات بیمه‌نامه حوادث راننده جبران می‌کند (ماده ۳). بنابراین، گزینه ۲ صحیح است.",2
3,"تصرف به تنهایی، در صورتی که همراه با قصد تملک باشد، در مواردی می‌تواند سبب تملک باشد. مهم‌ترین مثال آن، حیازت مباحات است. طبق ماده ۱۴۰ قانون مدنی، حیازت از اسباب تملک است و حیازت عبارت است از وضع ید و تصرف مادی در شیء با قصد تملک (ماده ۱۴۲ ق.م). بنابراین، تصرف (همراه با قصد تملک) در مواردی به تنهایی سبب تملک است.",4
4,"در فرض سؤال، پزشک دارای پوشش کامل بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای است. هدف از این بیمه، جبران خساراتی است که بیمه‌گذار (پزشک) به دلیل تقصیر حرفه‌ای خود به دیگران وارد می‌کند. در این حالت، مسئولیت پرداخت دیه به بازماندگان متوفی، بر عهده بیمه‌گر مسئولیت مدنی است، زیرا خسارت در محدوده تعهدات بیمه‌نامه قرار دارد.",4
5,"وکالت زن در طلاق (توکیل زوجه در طلاق) می‌تواند به صورت شرط ضمن عقد نکاح یا ضمن هر عقد لازم دیگری (مانند بیع یا صلح) قرار داده شود. این شرط می‌تواند به صورت شرط نتیجه (مانند اینکه زن وکیل زوج در طلاق باشد) یا شرط فعل (مانند اینکه زوج متعهد شود در صورت تحقق شرایطی، به زوجه وکالت در طلاق دهد) باشد. بنابراین، هر دو نوع شرط (نتیجه یا فعل) و هر دو قالب عقد (نکاح یا عقد لازم دیگر) برای تحقق این وکالت قابل قبول است.",3
6,"در حقوق مدنی ایران، هم هبه و هم وصیت تملیکی می‌توانند به نفع اشخاص غیرمحصور (مانند فقرا، امور خیریه یا عموم مردم) واقع شوند. در این موارد، قبول و قبض توسط حاکم یا متولی صورت می‌گیرد. به عنوان مثال، وصیت به مصارف عام‌المنفعه یا هبه به یک نهاد عمومی غیرمحصور مجاز است.",2
7,"طبق ماده ۷۰۹ قانون مدنی، اگر چند نفر ضامن یک دین شوند، ضمانت هر یک به نسبت سهم خود است، مگر اینکه در عقد ضمان شرط تضامن شده باشد. بنابراین، در صورتی که ضمانت به صورت ضم ذمه به ذمه باشد و شرط تضامن نشده باشد، مسئولیت ضامنین در مقابل متعهدله به تسهیم (تناسب) است.",4
8,"حواله با قبول محال‌علیه (ج) محقق می‌شود و ذمه محیل (خریدار/ب) از دین بری می‌گردد (ماده ۷۲۹ ق.م). حواله صحیح است، حتی اگر محال‌علیه مدیون محیل نباشد (ماده ۷۲۷ ق.م). با تحقق حواله، تعهد خریدار به پرداخت ثمن در موعد مقرر انجام شده تلقی می‌شود و حق فسخ فروشنده ساقط می‌گردد. بنابراین، فروشنده (محتال/الف) حق فسخ معامله را ندارد و تنها می‌تواند برای وصول مبلغ حواله علیه محال‌علیه (ج) طرح دعوا کند.",4
9,"طبق ماده ۱۲ قانون مسئولیت مدنی، کارفرما مسئول جبران خساراتی است که از طرف کارکنان او در حین انجام کار یا به مناسبت آن وارد می‌شود، مگر اینکه ثابت کند تمام احتیاط‌هایی را که اوضاع و احوال قضیه ایجاب می‌نموده به عمل آورده است. در صورتی که کارفرما بتواند عدم تقصیر خود را اثبات کند، مسئولیت مدنی مبتنی بر تقصیر از او سلب می‌شود.",2
10,"طبق ماده ۱۱۹۱ قانون مدنی، وصی نمی‌تواند اجرای وصایت را به دیگری تفویض کند، مگر اینکه موصی (پدر) به او اذن داده باشد. همچنین، طبق ماده ۱۱۹۲ قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی تعیین کند، مگر اینکه موصی به او این اختیار را داده باشد. چون در سؤال اشاره‌ای به اذن موصی نشده است، اصل بر عدم جواز است.",2
11,"در تعلیق در اجرای قرارداد (مانند تعیین اجل برای تسلیم مبیع)، عقد به طور صحیح منعقد شده و آثار اصلی آن (مانند انتقال مالکیت در عقد بیع) فوراً جریان پیدا می‌کند، اما اجرای تعهدات فرعی یا اصلی به زمان آینده موکول می‌شود. در حالی که در تعلیق در انعقاد، هیچ اثری از عقد تا رفع تعلیق جریان نمی‌یابد. بنابراین، این ادعا که در هر دو حالت اثر عقد تا رفع تعلیق جریان پیدا نمی‌کند، در مورد تعلیق در اجرا صحیح نیست.",1
12,"اجل (مدت) برای انجام تعهدات قراردادی می‌تواند ناشی از توافق طرفین (اراده طرفین) باشد. همچنین، قانون در موارد خاصی ممکن است مهلت‌هایی را تعیین کند. علاوه بر این، دادگاه نیز می‌تواند در مواردی (مانند اعطای مهلت به مدیون معسر یا تعیین مدت در صورت ابهام در قرارداد) اجل را تعیین کند.",4
13,"ایقاع (مانند فسخ) می‌تواند سبب بازگشت مالکیت (انتقال معکوس) شود. همچنین، ابراء (ایقاع) سبب سقوط دین و تملک ذمه مدیون می‌شود. بنابراین، این ادعا که ایقاع هیچگاه مملک نیست، صحیح نمی‌باشد، زیرا ایقاع می‌تواند به طور غیرمستقیم یا معکوس بر مالکیت تأثیر بگذارد.",1
14,"طبق ماده ۶ قانون روابط موجر و مستأجر مصوب ۱۳۷۶، مستأجر صاحب سرقفلی، حق انتقال سرقفلی خویش به غیر را دارد، مگر اینکه در ضمن عقد اجاره این حق از وی سلب شده باشد.",4
15,"طبق ماده ۲۳ قانون حمایت حقوق مؤلفان، مصنفان و هنرمندان، نقل از آثار منتشر شده و استناد به آنها برای مقاصد علمی، ادبی و آموزشی مجاز است، مشروط بر اینکه مأخذ و نام پدیدآورنده ذکر شود. بنابراین، این نقل و استناد بدون هیچ قید و شرطی مجاز نیست و گزینه ۲ صحیح نمی‌باشد.",2
16,"طبق ماده ۶۶۷ قانون مدنی، وکیل باید در تصرفات و اقدامات خود مصلحت موکل را رعایت کند. اما اگر موکل صراحتاً به وکیل اجازه دهد که ملک را به هر قیمت و حتی به خودش واگذار کند، این اجازه به منزله اسقاط حق رعایت غبطه و مصلحت است. در این حالت، موکل با اعطای چنین اختیاری، خود اقدام به ضرر کرده (مشمول قاعده اقدام) و معامله صحیح و نافذ است.",2
17,"طبق ماده ۲۶۳ قانون امور حسبی، در صورتی که تحریر ترکه صورت گرفته باشد، مهلت یک ماهه برای رد ترکه از تاریخ ابلاغ اخطار مربوط به خاتمه تحریر ترکه آغاز می‌شود.",3
18,"جنین به شرط زنده متولد شدن، ارث می‌برد (ماده ۸۷۵ ق.م). چون جنین زنده متولد شده و بلافاصله فوت کرده، ابتدا سهم خود را از ماترک پدر می‌برد (۱/۸ به همسر و ۷/۸ به جنین). پس از فوت جنین، ماترک او (۷/۸ از ماترک پدر) به ورثه او می‌رسد که در این حالت فقط مادر او (همسر متوفی اصلی) است. در نتیجه، کل ماترک متوفی اصلی (۱/۸ + ۷/۸) به همسر او می‌رسد.",3
19,"هنگامی که متعهد به جای عین معین مورد تعهد، مال دیگری را به متعهدله می‌دهد و متعهدله آن را قبول می‌کند، این عمل وفای به عهد نیست، زیرا عین تعهد شده تسلیم نشده است. این عمل در واقع یک قرارداد جدید است که هدف آن تسویه تعهد قبلی است و ماهیت آن می‌تواند معاوضه، بیع یا صلح در مقام معاوضه/بیع باشد.",2
