id,model,answer,confidence,latency_ms,raw,error
1,x-ai/grok-4-fast,3,4,5933,"{""answer"":""3"",""confidence"":4}",
2,x-ai/grok-4-fast,1,4,16835,"{""answer"":""1"",""confidence"":4}",
3,x-ai/grok-4-fast,4,4,4026,"{""answer"":""4"",""confidence"":4}",
4,x-ai/grok-4-fast,4,4,3765,"{""answer"":""4"",""confidence"":4}",
5,x-ai/grok-4-fast,2,4,4300,"{""answer"":""2"",""confidence"":4}",
6,x-ai/grok-4-fast,4,4,31521,"{""answer"":""4"",""confidence"":4}",
7,x-ai/grok-4-fast,2,3,21082,"{""answer"":""2"",""confidence"":3}",
8,x-ai/grok-4-fast,2,4,4328,"{""answer"":""2"",""confidence"":4}",
9,x-ai/grok-4-fast,1,3,23928,"{""answer"":""1"",""confidence"":3}",
10,x-ai/grok-4-fast,2,5,4931,"{""answer"":""2"",""confidence"":5}",
11,x-ai/grok-4-fast,1,3,17588,"{""answer"":""1"",""confidence"":3}",
12,x-ai/grok-4-fast,4,4,4196,"{""answer"":""4"",""confidence"":4}",
13,x-ai/grok-4-fast,4,4,4863,"{""answer"":""4"",""confidence"":4}",
14,x-ai/grok-4-fast,4,5,2846,"{""answer"":""4"",""confidence"":5}",
15,x-ai/grok-4-fast,2,4,2246,"{""answer"":""2"",""confidence"":4}",
16,x-ai/grok-4-fast,1,4,12259,"{""answer"":""1"",""confidence"":4}",
17,x-ai/grok-4-fast,3,5,13259,"{""answer"":""3"",""confidence"":5}",
18,x-ai/grok-4-fast,2,4,20381,"{""answer"":""2"",""confidence"":4}",
19,x-ai/grok-4-fast,2,4,4445,"{""answer"":""2"",""confidence"":4}",
20,x-ai/grok-4-fast,4,4,4043,"{""answer"":""4"",""confidence"":4}",
21,x-ai/grok-4-fast,2,4,4047,"{""answer"":""2"",""confidence"":4}",
22,x-ai/grok-4-fast,1,4,6246,"{""answer"":""1"",""confidence"":4}",
23,x-ai/grok-4-fast,4,5,5578,"{""answer"":""4"",""confidence"":5}",
24,x-ai/grok-4-fast,1,3,14923,"{""answer"":""1"",""confidence"":3}",
25,x-ai/grok-4-fast,2,4,5969,"{""answer"":""2"",""confidence"":4}",
26,x-ai/grok-4-fast,3,4,3545,"{""answer"":""3"",""confidence"":4}",
27,x-ai/grok-4-fast,2,5,3423,"{""answer"":""2"",""confidence"":5}",
28,x-ai/grok-4-fast,3,3,6897,"{""answer"":""3"",""confidence"":3}",
29,x-ai/grok-4-fast,3,4,4054,"{""answer"":""3"",""confidence"":4}",
30,x-ai/grok-4-fast,2,5,4549,"{""answer"":""2"",""confidence"":5}",
31,x-ai/grok-4-fast,1,4,5474,"{""answer"":""1"",""confidence"":4}",
32,x-ai/grok-4-fast,2,4,4848,"{""answer"":""2"",""confidence"":4}",
33,x-ai/grok-4-fast,1,5,2917,"{""answer"":""1"",""confidence"":5}",
34,x-ai/grok-4-fast,3,4,4807,"{""answer"":""3"",""confidence"":4}",
35,x-ai/grok-4-fast,4,4,7024,"{""answer"":""4"",""confidence"":4}",
36,x-ai/grok-4-fast,1,4,13471,"{""answer"":""1"",""confidence"":4}",
37,x-ai/grok-4-fast,2,4,4195,"{""answer"":""2"",""confidence"":4}",
38,x-ai/grok-4-fast,4,4,4179,"{""answer"":""4"",""confidence"":4}",
39,x-ai/grok-4-fast,3,3,15412,"{""answer"":""3"",""confidence"":3}",
40,x-ai/grok-4-fast,4,4,9713,"{""answer"":""4"",""confidence"":4}",
41,x-ai/grok-4-fast,1,4,2712,"{""answer"":""1"",""confidence"":4}",
42,x-ai/grok-4-fast,1,4,4151,"{""answer"":""1"",""confidence"":4}",
43,x-ai/grok-4-fast,2,5,2666,"{""answer"":""2"",""confidence"":5}",
