id,model,answer,confidence,latency_ms,raw,error
1,meta-llama/llama-4-scout,3,4,1733,"{""answer"":""3"",""confidence"":""4""}",
2,meta-llama/llama-4-scout,2,4,780,"{""answer"":""2"",""confidence"":4}",
3,meta-llama/llama-4-scout,4,4,1051,"{""answer"":""4"",""confidence"":4}",
4,meta-llama/llama-4-scout,1,4,1048,"{""answer"":""1"",""confidence"":4}",
5,meta-llama/llama-4-scout,3,4,819,"{""answer"":""3"",""confidence"":4}",
6,meta-llama/llama-4-scout,2,4,368,"{""answer"":""2"",""confidence"":""4""}",
7,meta-llama/llama-4-scout,2,4,464,"{""answer"":""2"",""confidence"":""4""}",
8,meta-llama/llama-4-scout,2,4,1229,"{""answer"":""2"",""confidence"":4}",
9,meta-llama/llama-4-scout,2,4,873,"{""answer"":""2"",""confidence"":""4""}",
10,meta-llama/llama-4-scout,3,4,1144,"{""answer"":""3"",""confidence"":4}",
11,meta-llama/llama-4-scout,2,4,535,"{""answer"":""2"",""confidence"":""4""}",
12,meta-llama/llama-4-scout,4,5,754,"{""answer"":""4"",""confidence"":5}",
13,meta-llama/llama-4-scout,4,4,748,"{""answer"":""4"",""confidence"":4}",
14,meta-llama/llama-4-scout,4,5,577,"{""answer"":""4"",""confidence"":5}",
15,meta-llama/llama-4-scout,2,4,719,"{""answer"":""2"",""confidence"":4}",
16,meta-llama/llama-4-scout,2,4,415,"{""answer"":""2"",""confidence"":""4""}",
17,meta-llama/llama-4-scout,3,4,784,"{""answer"":""3"",""confidence"":""4""}",
18,meta-llama/llama-4-scout,2,4,606,"{""answer"":""2"",""confidence"":""4""}",
19,meta-llama/llama-4-scout,2,4,633,"{""answer"":""2"",""confidence"":4}",
20,meta-llama/llama-4-scout,4,4,909,"{""answer"":""4"",""confidence"":""4""}",
21,meta-llama/llama-4-scout,2,4,581,"{""answer"":""2"",""confidence"":4}",
22,meta-llama/llama-4-scout,4,5,967,"{""answer"":""4"",""confidence"":5}",
23,meta-llama/llama-4-scout,3,5,623,"{""answer"":""3"",""confidence"":5}",
24,meta-llama/llama-4-scout,3,4,835,"{""answer"":""3"",""confidence"":4}",
25,meta-llama/llama-4-scout,4,5,289,"{""answer"":""4"",""confidence"":""5""}",
26,meta-llama/llama-4-scout,4,5,562,"{""answer"":""4"",""confidence"":5}",
27,meta-llama/llama-4-scout,2,4,597,"{""answer"":""2"",""confidence"":4}",
28,meta-llama/llama-4-scout,3,4,793,"{""answer"":""3"",""confidence"":4}",
29,meta-llama/llama-4-scout,3,4,1099,"{""answer"":""3"",""confidence"":4}",
30,meta-llama/llama-4-scout,3,4,652,"{""answer"":""3"",""confidence"":4}",
31,meta-llama/llama-4-scout,3,4,781,"{""answer"":""3"",""confidence"":4}",
32,meta-llama/llama-4-scout,4,4,1566,"{""answer"":""4"",""confidence"":4}",
33,meta-llama/llama-4-scout,3,4,585,"{""answer"":""3"",""confidence"":""4""}",
34,meta-llama/llama-4-scout,4,4,536,"{""answer"":""4"",""confidence"":4}",
35,meta-llama/llama-4-scout,3,4,745,"{""answer"":""3"",""confidence"":4}",
36,meta-llama/llama-4-scout,3,4,995,"{""answer"":""3"",""confidence"":4}",
37,meta-llama/llama-4-scout,2,4,432,"{""answer"":""2"",""confidence"":""4""}",
38,meta-llama/llama-4-scout,4,4,561,"{""answer"":""4"",""confidence"":""4""}",
39,meta-llama/llama-4-scout,3,4,940,"{""answer"":""3"",""confidence"":4}",
40,meta-llama/llama-4-scout,2,4,736,"{""answer"":""2"",""confidence"":""4""}",
41,meta-llama/llama-4-scout,1,4,966,"{""answer"":""1"",""confidence"":4}",
42,meta-llama/llama-4-scout,2,4,610,"{""answer"":""2"",""confidence"":4}",
43,meta-llama/llama-4-scout,2,4,655,"{""answer"":""2"",""confidence"":4}",
44,meta-llama/llama-4-scout,3,4,917,"{""answer"":""3"",""confidence"":4}",
45,meta-llama/llama-4-scout,4,4,833,"{""answer"":""4"",""confidence"":4}",
46,meta-llama/llama-4-scout,1,4,649,"{""answer"":""1"",""confidence"":4}",
47,meta-llama/llama-4-scout,2,4,614,"{""answer"":""2"",""confidence"":""4""}",
48,meta-llama/llama-4-scout,2,4,560,"{""answer"":""2"",""confidence"":""4""}",
49,meta-llama/llama-4-scout,3,4,639,"{""answer"":""3"",""confidence"":4}",
50,meta-llama/llama-4-scout,3,4,583,"{""answer"":""3"",""confidence"":""4""}",
51,meta-llama/llama-4-scout,2,4,548,"{""answer"":""2"",""confidence"":4}",
52,meta-llama/llama-4-scout,2,4,1693,"{""answer"":""2"",""confidence"":4}",
53,meta-llama/llama-4-scout,4,5,336,"{""answer"":""4"",""confidence"":""5""}",
54,meta-llama/llama-4-scout,2,4,711,"{""answer"":""2"",""confidence"":4}",
55,meta-llama/llama-4-scout,3,4,757,"{""answer"":""3"",""confidence"":4}",
56,meta-llama/llama-4-scout,2,4,742,"{""answer"":""2"",""confidence"":""4""}",
57,meta-llama/llama-4-scout,3,4,882,"{""answer"":""3"",""confidence"":4}",
58,meta-llama/llama-4-scout,3,4,459,"{""answer"":""3"",""confidence"":4}",
59,meta-llama/llama-4-scout,1,5,695,"{""answer"":""1"",""confidence"":5}",
60,meta-llama/llama-4-scout,1,4,1034,"{""answer"":""1"",""confidence"":""4""}",
81,meta-llama/llama-4-scout,4,5,618,"{""answer"":""4"",""confidence"":5}",
82,meta-llama/llama-4-scout,1,4,652,"{""answer"":""1"",""confidence"":4}",
83,meta-llama/llama-4-scout,2,4,298,"{""answer"":""2"",""confidence"":""4""}",
84,meta-llama/llama-4-scout,1,4,618,"{""answer"":""1"",""confidence"":4}",
85,meta-llama/llama-4-scout,1,4,747,"{""answer"":""1"",""confidence"":4}",
86,meta-llama/llama-4-scout,1,4,621,"{""answer"":""1"",""confidence"":""4""}",
87,meta-llama/llama-4-scout,2,3,388,"{""answer"":""2"",""confidence"":""3""}",
88,meta-llama/llama-4-scout,1,4,378,"{""answer"":""1"",""confidence"":4}",
89,meta-llama/llama-4-scout,4,5,1667,"{""answer"":""4"",""confidence"":5}",
90,meta-llama/llama-4-scout,4,4,626,"{""answer"":""4"",""confidence"":4}",
91,meta-llama/llama-4-scout,4,3,706,"{""answer"":""4"",""confidence"":""3""}",
92,meta-llama/llama-4-scout,1,4,607,"{""answer"":""1"",""confidence"":4}",
93,meta-llama/llama-4-scout,4,5,483,"{""answer"":""4"",""confidence"":""5""}",
94,meta-llama/llama-4-scout,3,4,532,"{""answer"":""3"",""confidence"":4}",
95,meta-llama/llama-4-scout,1,4,380,"{""answer"":""1"",""confidence"":4}",
96,meta-llama/llama-4-scout,2,5,1180,"{""answer"":""2"",""confidence"":5}",
97,meta-llama/llama-4-scout,2,4,643,"{""answer"":""2"",""confidence"":""4""}",
98,meta-llama/llama-4-scout,4,3,1039,"{""answer"":""4"",""confidence"":""3""}",
99,meta-llama/llama-4-scout,2,4,833,"{""answer"":""2"",""confidence"":""4""}",
