id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
0,qwen/qwen3-next-80b-a3b-instruct,1,93.3,0.6,"{""1"": 3, ""3"": 1, ""2"": 1}",False,2642.8,3226,1,90,سبب انفساخ عقد می‌تواند ارادی باشد؛ ماده ۷۳۳ قانون مدنی صریحاً امکان انفساخ مبتنی بر توافق طرفین را承认 می‌کند و این نوع انفساخ ارادی محسوب می‌شود.,,3,90,سبب انفساخ عقد می‌تواند ارادی باشد؛ ماده 733 قانون مدنی بیان می‌کند که انفساخ ناشی از شرطی است که طرفین در عقد تعیین کرده‌اند، یعنی ارادی است.,,1,90,سبب انفساخ عقد می‌تواند ارادی باشد، مانند توافق طرفین بر فسخ قرارداد که مطابق ماده 733 قانون مدنی امکان‌پذیر است، و این امر با قهری بودن انفساخ در موارد غیرتوافقی تضاد ندارد.,,1,100,سبب انفساخ عقد می‌تواند ارادی باشد؛ ماده ۷۳۳ قانون مدنی صراحتاً اجازه انفساخ مبتنی بر توافق طرفین را می‌دهد و این امر نشان‌دهنده ارادی بودن سبب انفساخ است.,,2,90.0,سبب انفساخ عقد می‌تواند ارادی باشد، چنانچه طرفین به صورت صریح در قرارداد شرطی برای انفساخ مندرج کنند؛ ماده 733 قانون مدنی اجازه انفساخ مبتنی بر اراده طرفین را می‌دهد.,
1,qwen/qwen3-next-80b-a3b-instruct,2,90.0,0.6,"{""2"": 3, ""1"": 2}",False,2091.4,3019,2,90,بیمه‌گر متعهد به جبران دیه شخص غیرمقصر (ب) تا سقف تعهدات بیمه اجباری و خسارات مالی وارد بر وسیله نقلیه او (موتورسیکلت) تا حد سقف تعهدات است؛ ماده ۱۷۳ قانون بیمه و ماده ۷۳۳ قانون مدنی.,,1,90,بر اساس ماده 733 قانون مجازات اسلامی و ماده 3 قانون بیمه اجباری مسئولیت بیمه‌گر تنها شامل دیه م受害者 (شخص «ب») تا سقف تعهدات و خسارات مالی وارده به وسیله نقلیه شخص «ب» است، نه دیه متجاوز (شخص «الف»).,,1,90,بر اساس ماده 733 قانون مدنی و مواد 3 و 4 قانون بیمه اجباری مسئولیت بیمه‌گر تنها شامل جبران دیه مضرور (شخص «ب») تا سقف تعهدات و خسارات مالی وسیله نقلیه مضرور (موتورسیکلت) تا سقف تعهدات است؛ دیه مسبب (شخص «الف») جزء تعهدات بیمه‌گر نیست.,,2,90,طبق ماده 733 قانون مدنی و ماده 4 قانون بیمه اجباری مسئولیت بیمه‌گر تنها شامل دیه مبتلا (شخص «ب») و خسارات مالی وارده به وسیله نقلیه او تا سقف تعهدات بیمه است، نه دیه مقصر (شخص «الف»).,,2,90.0,طبق ماده 733 قانون مدنی و ماده 173 قانون بیمه، بیمه‌گر موظف به جبران دیه مصوبه شخص بیمه‌شده و خسارات مالی وارده به وسیله نقلیه غیربیمه‌شده تا سقف تعهدات بیمه‌نامه است؛ بنابراین دیه شخص «ب» به هر میزان و خسارات مالی موتورسیکلت تا سقف تعهدات جبران می‌شود.,
2,qwen/qwen3-next-80b-a3b-instruct,4,96.0,1.0,"{""4"": 5}",False,1743.4,2905,4,100,تصرف همراه با قصد تملک می‌تواند سبب تملک شود؛ ماده 733 قانون مدنی به صراحت بیان می‌کند که تملک از طریق تصرف با قصد مالکیت صورت می‌گیرد.,,4,90,تصرف همراه با قصد تملک در شرایط خاص می‌تواند سبب تملک شود؛ ماده ۷۳۳ قانون مدنی صراحتاً تصرف با قصد مالکیت را به عنوان یکی از اسباب تملک مقرراتی می‌داند.,,4,100,تصرف همراه با قصد تملک می‌تواند سبب تملک شود؛ ماده 733 قانون مدنی بیان می‌کند: «تملک از طریق تصرف با قصد مالکیت صورت می‌گیرد».,,4,90,تصرف همراه با قصد تملک در شرایط خاص می‌تواند سبب تملک شود؛ ماده ۷۳۳ قانون مدنی بیان می‌کند که تملک از طریق تصرف موجبات انتقال مالکیت را فراهم می‌آورد، چنانچه قصد تملک وجود داشته باشد.,,4,100.0,تصرف همراه با قصد تملک می‌تواند سبب تملک شود؛ طبق ماده 733 قانون مدنی، تملک از طریق تصرف عینی با قصد مالکیت معتبر است.,
3,qwen/qwen3-next-80b-a3b-instruct,2,90.0,0.6,"{""4"": 2, ""2"": 3}",False,1984.0,2525,4,90,بر اساس ماده 733 قانون مدنی، بیمه‌گر مسئولیت مدنی موظف به پرداخت خسارت ناشی از تقصیر حرفه‌ای بیمه‌شده است، و ماده 456 قانون تأمین اجتماعی نیز بیمه‌گر را مسئول پرداخت دیه کامل در موارد تقصیر پزشکی می‌داند.,,2,90,طبق ماده 733 قانون مدنی، پزشک مقصر به عنوان عامل تقصیر، مسئول پرداخت دیه کامل مرد مسلمان است؛ و با توجه به ماده 26 قانون بیمه مسئولیت مدنی، بیمه‌گر متعهد به جبران خسارت ناشی از تقصیر حرفه‌ای است، اما پرداخت اولیه بر عهده مقصر است و سپس مسترد می‌شود.,,4,100,بر اساس ماده 733 قانون مدنی، بیمه‌گر مسئولیت مدنی در جایگاه مرتکب تقصیر قرار می‌گیرد و متعهد به پرداخت خسارت است؛ همچنین ماده 23 قانون بیمه مسئولیت مدنی پزشکان، پرداخت دیه کامل را بر عهده بیمه‌گر می‌گذارد.,,2,90,بر اساس ماده 733 قانون مدنی، مسئولیت خسارت ناشی از تقصیر حرفه‌ای بر عهده پزشک مقصر است و بیمه‌گر مسئولیت مدنی تنها به عنوان ضامن و تعهددهنده عمل می‌کند؛ اما پس از پرداخت خسارت، پزشک می‌تواند از بیمه‌گر مسترد کند. ماده 49 قانون بیمه نیز تأیید می‌کند که بیمه‌گر در برابر ضامن اولیه مسئولیت ندارد.,,2,90.0,بر اساس ماده 733 قانون مدنی، پزشک مقصر به عنوان فاعل تقصیر، مسئول پرداخت دیه کامل مرد مسلمان است و بیمه‌گر مسئولیت مدنی تنها به جایگاه پرداخت مالی ناشی از قرارداد بیمه عمل می‌کند، نه به عنوان مسئول اولیه. ماده 733 ق.م. همچنین تعیین می‌کند که مسئولیت مدنی به فاعل تقصیر متوقف است، مگر در موارد خاصی که قانون صراحتاً آن را به بیمه‌گر منتقل کند، که در اینجا صریحاً اینگونه نیست.,
4,qwen/qwen3-next-80b-a3b-instruct,3,90.0,1.0,"{""3"": 5}",False,1775.8,2191,3,90,شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل در عقد نکاح یا عقد دیگری تحقق یابد، چرا که ماده ۱۱۱۱ قانون مدنی اجازه‌ی تعیین شرط‌های معتبر در عقود را می‌دهد و ماده ۱۱۱۲ آن شرط‌های مربوط به طلاق را شامل می‌شود.,,3,90,شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل در عقد نکاح یا عقد دیگری قرار گیرد، زیرا ماده ۷۳۳ قانون مدنی اجازه‌ی تعیین شرط‌های معتبر در عقود زناشویی را شامل شرط‌های نتیجه و فعل می‌کند.,,3,90,شرط وکالت زن در طلاق بر اساس ماده ۱۱۱۱ قانون مدنی، می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا عقد دیگری قابل تحقق باشد، چرا که قانون اجازه دارد شرط‌های مربوط به طلاق در عقود مرتبط با زناشویی یا مکاتبات بعدی مطرح شود.,,3,90,شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل در عقد نکاح یا عقد دیگری قابل تحقق باشد؛ طبق ماده ۱۱۱۰ قانون مدنی، شرط‌های مربوط به طلاق در عقد نکاح یا عقود مستقل مجاز است.,,3,90.0,شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا عقد دیگری باشد؛ چراکه ماده ۱۱۱۱ قانون مدنی امکان قرار دادن شرطی در عقود مختلف را اعتراف می‌کند و ماده ۷۳۳ ق.م. اجازه وکالت در طلاق را با شرط مقرر می‌کند.,
5,qwen/qwen3-next-80b-a3b-instruct,4,90.0,1.0,"{""4"": 5}",False,1425.2,2031,4,90,در هر دو هبه و وصیت تملیکی، قبول متهب یا موصی له شرط صحت است و اگر قبل از قبول واهب یا موصی فوت کند، عقد باطل می‌شود؛ ماده 733 ق.م. و ماده 978 ق.م. هر دو بر شرط قبول قبل از فوت تاکید می‌کنند.,,4,90,در هر دو هبه و وصیت تمکینی، اگر واهب یا موصی قبل از قبول متهب یا موصی له فوت کند، عقد باطل می‌شود؛ چون هبه عقدی عینی و وصیت تمکینی نیز مستلزم قبول موصی له است و بدون قبول قبل از مرگ، اثر قانونی ندارد (ماده 733 ق.م. و ماده 908 ق.م.).,,4,90,در هر دو هبه و وصیت تملیکی، قبول متهب یا موصی له شرط صحت است و اگر قبل از قبول واهب یا موصی فوت کند، عقد باطل می‌شود (ماده 733 ق.م. و ماده 983 ق.م.).,,4,90,در هر دو هبه و وصیت تملیکی، قبول متهب یا موصی له شرط صحت است و اگر قبل از قبول واهب یا موصی فوت کند، عقد باطل می‌شود (ماده 733 ق.م. و ماده 909 ق.م.).,,4,90.0,در هر دو هبه و وصیت تملیکی، اگر واهب یا موصی قبل از قبول متهب یا موصی له فوت کند، عقد باطل می‌شود، چرا که هر دو نیازمند قبول ذی‌نفع در زمان حیات واگذارکننده هستند؛ ماده 733 قانون مدنی و ماده 948 قانون مدنی.,
6,qwen/qwen3-next-80b-a3b-instruct,1,90.0,1.0,"{""1"": 5}",False,1521.2,2093,1,90,طبق ماده 733 قانون مدنی، مستعیران در عاریه طلا و نقره که مال عاریه تلف شده باشد، در برابر متعهدله مسئولیت تسهیمی دارند، نه تضامنی، چراکه این مسئولیت ناشی از تصرف غیرمجاز مال مودع است و قانون به طور صریح آن را تسهیمی می‌داند.,,1,90,ماده 733 قانون مدنی؛ مسئولیت مستعیران در مورد مال عاریه که تلف شده، تسهیمی است و نه تضامنی، چراکه هر کدام مسئولیت تنها در حد سهم خود را دارند.,,1,90,ماده 733 قانون مدنی مشخص می‌کند که در موارد عاریه، مسئولیت مستعیران به صورت تسهیمی است، نه تضامنی، مگر در صورت تقصیر مشترک که در اینجا ذکر نشده است.,,1,90,ماده 733 قانون مدنی مشخص می‌کند که در موارد عاریه، مسئولیت مستعیران در صورت تلف شدن مال، تسهیمی است نه تضامنی. این مسئولیت بر اساس سهم هر یک از مستعیران تعیین می‌شود.,,1,90.0,ماده 733 قانون مدنی مشخص می‌کند که در موارد عاریه، مسئولیت مستعیران به صورت تسهیمی است، نه تضامنی، مگر در صورت تقصیر مشترک که در این مورد هم تضامن لازم نیست.,
7,qwen/qwen3-next-80b-a3b-instruct,2,90.0,1.0,"{""2"": 5}",False,2205.6,4731,2,90,بر اساس ماده 733 قانون مدنی، حواله پرداخت به عنوان وسیله اجرای تعهد معتبر است و محال علیه پس از قبول حواله، متعهد به پرداخت می‌شود، صرف نظر از وجود یا عدم وجود بدهی اصلی. پس فروشنده می‌تواند یا معامله را فسخ کند یا از محال علیه مبلغ حواله را طلب کند.,,2,90,بر اساس ماده 733 قانون مدنی، حواله پرداخت به عنوان وسیله اجرای تعهد می‌باشد و پذیرش آن توسط محال علیه، تعهد مستقل و مستقل از رابطه اولیه ایجاد می‌کند؛ بنابراین فروشنده می‌تواند یا از حق فسخ معامله استفاده کند یا علیه محال علیه دعوای پرداخت حواله را مطرح نماید.,,2,90,بر اساس ماده 733 قانون مدنی، حواله پرداخت، تعهد مستقلی ایجاد می‌کند و محال علیه در برابر محیل ملزم به پرداخت می‌باشد، حتی اگر بین او و محیل رابطه بدهی وجود نداشته باشد. بنابراین فروشنده می‌تواند از طریق دعوی علیه محال علیه مبلغ حواله را طلب کند.,,2,90,بر اساس ماده 733 قانون مدنی، حواله پرداخت به عنوان وسیله اجرای تعهد مالی، مستقل از رابطه اولیه بین محیل و محال علیه است و پذیرش حواله توسط محال علیه، تعهد مستقلی به پرداخت ایجاد می‌کند؛ بنابراین فروشنده می‌تواند یا معامله را فسخ کند یا علیه محال علیه دعوا کند.,,2,90.0,بر اساس ماده 733 قانون مدنی، حواله پرداخت به عنوان وسیله اجرای تعهد، مستقل از رابطه اصلی بین محيّل و محال علیه است و پرداخت از طرف محال علیه الزامی است، چه به او بدهکار باشد چه نباشد؛ بنابراین فروشنده می‌تواند یا معامله را فسخ کند یا علیه محال علیه دعوای پرداخت حواله را مطرح نماید.,
8,qwen/qwen3-next-80b-a3b-instruct,4,100.0,1.0,"{""4"": 5}",False,1696.4,1908,4,100,طبق ماده 733 قانون مدنی، مکره در اکراه غیرمادی اگر مال دیگری را تلف کند، مسئولیت مدنی ندارد، چرا که اکراه غیرمادی مانع از تقصیر محسوب می‌شود.,,4,100,بر اساس ماده 728 قانون مدنی، مکره در اکراه غیرمادی از مسئولیت مدنی معذور است، چرا که اراده وی در عمل تلف مال مختل شده و از این رو شرط تقصیر وجود ندارد.,,4,100,طبق ماده 733 قانون مدنی، مکره در اکراه غیرمادی اگر مال دیگری را تلف کند، مسئولیت مدنی ندارد، زیرا فعل او تحت تأثیر اکراه غیرمادی بوده و اراده آزادانه ندارد.,,4,100,طبق ماده 733 قانون مدنی، مکره در اکراه غیرمادی در صورتی مسئول نیست که اکراه به حدی باشد که اراده او را کاملاً متوقف کند و این امر در مورد تلف مال دیگری نیز اعمال می‌شود. این اصل در فقه و قضای ایران به‌طور ثابت پذیرفته شده است.,,4,100.0,بر اساس ماده 733 قانون مدنی، مکره در اکراه غیر مادی (مانند تهدید نفسی) اگر مال دیگری را تلف کند، مسئولیت مدنی ندارد، چون فعل او تحت فشار غیرقانونی بوده و اراده آزادانه ندارد.,
9,qwen/qwen3-next-80b-a3b-instruct,4,90.0,0.6,"{""4"": 3, ""2"": 2}",False,2263.4,3507,4,90,وصی می‌تواند به دیگری وکالت دهد، اما نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، زیرا وصیت به وصی نهاده شده توسط مورث، اختیاری غیرقابل انتقال به وصایت بعدی است (ماده 958 قانون مدنی).,,4,90,طبق ماده 933 قانون مدنی، وصی فقط می‌تواند وکالت در انجام وصایت دهد، اما تعیین وصی جانشین پس از فوت خود، بدون تفویض صریح این اختیار از طرف موصی، ممنوع است. ماده 934 قانون مدنی نیز تفویض اختیار تعیین وصی جانشین را مستلزم رضایت صریح موصی می‌داند.,,2,100,بر اساس ماده 968 قانون مدنی، وصی مجاز به تفویض اختیارات خود به غیر نیست مگر در موارد صریح قانونی که در این مورد وجود ندارد؛ و همچنین ماده 970 قانون مدنی صراحتاً می‌گوید وصی نمی‌تواند وصی دیگری تعیین کند، چه در حیات خود و چه پس از فوت.,,2,100,طبق ماده 933 قانون مدنی، وصی مجاز به تفویض وکالت در امور وصایت نیست، مگر در مواردی که صراحتاً از طرف موصی حق وکالت تفویض شده باشد؛ و ماده 936 قانون مدنی صریحاً منع می‌کند که وصی، وصی دیگری تعیین کند.,,4,90.0,طبق ماده 938 قانون مدنی، وصی فوت‌کننده نمی‌تواند وصی دیگری تعیین کند، چرا که وصایت بر عهده وصی مقرر شده توسط مورث است و انتقال آن غیرمجاز است. همچنین ماده 941 قانون مدنی اجازه وکالت به وصی را در مواردی که حق امضاء به وی تفویض شده باشد می‌دهد، اما تعیین وصی جایگزین ممنوع است.,
