law_code	law_name	article_number	text
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	1	ماده 1- هرکس به موجب حکم دادگاه به دادن هر نوع مالی به دیگری محکوم شود و از اجرای حکم خودداری کند، هرگاه محکومٌ‌به عین‌ معین باشد آن مال اخذ و به محکومٌ‌ له تسلیم می‌شود و در صورتی‌ که ردّ عین ممکن نباشد یا محکومٌ‌به عین ‌معین نباشد، اموال محکومٌ‌علیه با رعایت مستثنیات دین و مطابق قانون اجرای احکام مدنی و سایر مقررات مربوط، توقیف و از محل آن حسب‌ مورد محکومٌ‌ به یا مثل یا قیمت آن استیفاء می‌شود.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	2	ماده 2- مرجع اجراءکننده ‌رأی، اعم از قسمت اجرای دادگاه صادرکننده اجرائیه یا مجری نیابت، مکلف است به تقاضای محکومٌ‌ له از طرق پیش‌بینی‌شده در این قانون و نیز به هر نحو دیگر که قانوناً ممکن باشد، نسبت به شناسایی اموال محکومٌ‌ علیه و توقیف آن به میزان محکومٌ‌ به اقدام کند. تبصره - در موردی که محکومٌ‌ به عین معین بوده و محکومٌ‌ له شناسایی و تحویل آن را تقاضا کرده باشد نیز مرجع اجراءکننده رأی مکلف به شناسایی و توقیف آن مال است.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	3	ماده 3- اگر استیفای محکومٌ‌ به از طرق مذکور در این قانون ممکن نگردد محکومٌ‌علیه به تقاضای محکومٌ‌ له تا زمان اجرای حکم یا پذیرفته‌ شدن ادعای اعسار او یا جلب رضایت محکومٌ‌ له حبس می‌شود. چنانچه محکومٌ‌علیه تا سی روز پس از ابلاغ اجرائیه، ضمن ارائه صورت کلیه اموال خود، دعوای اعسار خویش را اقامه کرده ‌باشد حبس نمی‌شود، مگر اینکه دعوای اعسار مسترد یا به موجب حکم قطعی رد شود. تبصره1- چنانچه محکومٌ‌علیه خارج از مهلت مقرر در این ماده، ضمن ارائه صورت کلیه اموال خود، دعوای اعسار خود را اقامه کند، هرگاه محکومٌ‌ له آزادی وی را بدون اخذ تأمین بپذیرد یا محکومٌ‌علیه به تشخیص دادگاه کفیل یا وثیقه معتبر و معادل محکومٌ‌ به ارائه نماید، دادگاه با صدور قرار قبولی وثیقه یا کفیل تا روشن شدن وضعیت اعسار از حبس محکومٌ‌علیه خودداری و در صورت حبس، او را آزاد می‌کند. در صورت ردّ دعوای اعسار به موجب حکم قطعی، به کفیل یا وثیقه‌ گذار ابلاغ می‌شود که ظرف مهلت بیست روز پس از ابلاغ واقعی نسبت به تسلیم محکومٌ‌علیه اقدام کند. در صورت عدم تسلیم ظرف مهلت مذکور حسب مورد به دستور دادستان یا رئیس دادگاهی که حکم تحت نظر آن اجراء می‌شود نسبت به استیفای محکومٌ‌به و هزینه‌های اجرائی از محل وثیقه یا وجه‌ الکفاله اقدام می‌شود. در این مورد دستور دادگاه ظرف مهلت ده روز پس از ابلاغ واقعی قابل اعتراض در دادگاه تجدید نظر است. نحوه صدور قرارهای تأمینی مزبور، مقررات اعتراض نسبت به دستور دادستان و سایر مقررات مربوط به این دستورها تابع قانون آیین دادرسی کیفری است. تبصره2- مقررات راجع به تعویق و موانع اجرای مجازات حبس در خصوص کسانی که به استناد این ماده حبس می‌شوند نیز مجری است.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	4	ماده 4- چنانچه به موجب ماده (3) این قانون محکومٌ‌علیه حبس شده یا مستحق حبس باشد، هرگاه مالی معرفی کند و یا با رعایت مستثنیات دین مالی از او کشف شود به نحوی که طبق نظر کارشناس رسمی ‌مال مزبور تکافوی محکومٌ‌به و هزینه‌های اجرائی را نماید، حبس نخواهد شد و اگر در حبس باشد آزاد می‌گردد. در این‌صورت مال معرفی یا کشف‌ شده را مرجع اجراءکننده رأی توقیف می‌کند و محکومٌ‌ به از محل آن استیفاء می‌شود.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	5	ماده 5- قوه قضائیه مکلف است افرادی را که به استناد ماده (3) این قانون حبس می‌شوند جدای از محکومان کیفری نگهداری و با همکاری دولت (وزارت تعاون، کار و رفاه اجتماعی) زمینه انجام فعالیت‌های اقتصادی و درآمدزا را برای محبوسان متقاضی کار فراهم کند. شیوه نگهداری، به‌کارگیری، پرداخت و هزینه‌کرد اجرت این اشخاص مطابق آیین‌ نامه‌ای است که به‌وسیله سازمان زندان‌ها و اقدامات تأمینی و تربیتی کشور و با همکاری وزارت تعاون، کار و رفاه اجتماعی تهیه می‌شود و ظرف سه‌ ماه پس از لازم‌الاجراء شدن این قانون به تصویب رئیس قوه‌ قضائیه می‌رسد.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	6	ماده 6- معسر کسی است که به دلیل نداشتن مالی به‌ جز مستثنیات دین، قادر به تأدیه دیون خود نباشد. تبصره - عدم قابلیت دسترسی به مال درحکم نداشتن مال است. اثبات عدم قابلیت دسترسی به مال برعهده مدیون است.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	7	ماده 7- در مواردی که وضعیت سابق مدیون دلالت بر ملائت وی داشته یا مدیون در عوض دین، مالی دریافت کرده یا به هر نحو تحصیل مال کرده باشد اثبات اعسار برعهده اوست مگر اینکه ثابت کند آن مال تلف حقیقی یا حکمی شده است در این‌صورت و نیز در مواردی که مدیون در عوض دین، مالی دریافت نکرده یا تحصیل نکرده باشد هرگاه خوانده دعوای اعسار نتواند ملائت فعلی یا سابق او را ثابت کند یا ملائت فعلی یا سابق او نزد قاضی محرز نباشد ادعای اعسار با سوگند مدیون مطابق تشریفات مقرر در قانون آیین‌دادرسی مدنی پذیرفته می‌شود.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	8	ماده 8- مدعی اعسار باید صورت کلیه اموال خود شامل تعداد یا مقدار و قیمت کلیه اموال منقول و غیرمنقول، به‌ طور مشروح، مشتمل بر میزان وجوه نقدی که وی به هر عنوان نزد بانکها و یا مؤسسات مالی و اعتباری ایرانی و خارجی دارد، به همراه مشخصات دقیق حسابهای مذکور و نیز کلیه اموالی که او به هر نحو نزد اشخاص ثالث دارد و کلیه مطالبات او از اشخاص ثالث و نیز فهرست نقل و انتقالات و هر نوع تغییر دیگر در اموال مذکور از زمان یک‌سال قبل از طرح دعوای اعسار به بعد را ضمیمه دادخواست اعسار خود کند. در مواردی که بار اثبات اعسار برعهده مدیون است و نیز در مواردی که سابقه ملائت او اثبات شده باشد هرگاه مدیون بخواهد ادعای خود را با شهادت شهود ثابت کند باید شهادتنامه کتبی حداقل دو شاهد را به مدتی که بتوانند نسبت به وضعیت معیشت فرد اطلاع کافی داشته باشند به دادخواست اعسار خود ضمیمه نماید. شهادتنامه مذکور باید علاوه بر هویت و اقامتگاه شاهد، متضمن منشأ اطلاعات و موارد مندرج در ماده (9) این قانون باشد.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	9	ماده 9- شاهد باید علاوه بر هویت، شغل، میزان درآمد و نحوه قانونی امرار معاشِ مدعی اعسار، به این امر تصریح کند که با مدیون به مدتی که بتواند نسبت به وضعیت معیشت وی اطلاع کافی داشته باشد، معاشرت داشته و او افزون بر مستثنیات دین هیچ مال قابل دسترسی ندارد که بتواند به‌ وسیله آن دین خود را بپردازد.
ejraye_mahkumiyat_mali	قانون نحوه اجرای محکومیت‌های مالی	10	ماده 10- پس از ثبت دادخواست اعسار دادگاه مکلف است فوراً با استعلام از مراجع ذی‌ربط و به هر نحو دیگر که ممکن باشد نسبت به بررسی وضعیت مالی محکومٌ‌علیه جهت روشن شدن اعسار یا ایسار او اقدام کند.
