id,model,answer,confidence,latency_ms,raw,error
1,deepseek/deepseek-v3.2-exp,3,4,3692,"{""answer"":""3"",""confidence"":4}",
2,deepseek/deepseek-v3.2-exp,2,4,1966,"{""answer"":""2"",""confidence"":4}",
3,deepseek/deepseek-v3.2-exp,4,4,2914,"{""answer"":""4"",""confidence"":4}",
4,deepseek/deepseek-v3.2-exp,4,4,1808,"{""answer"":""4"",""confidence"":4}",
5,deepseek/deepseek-v3.2-exp,3,4,1997,"{""answer"":""3"",""confidence"":4}",
6,deepseek/deepseek-v3.2-exp,4,4,1694,"{""answer"":""4"",""confidence"":4}",
7,deepseek/deepseek-v3.2-exp,4,4,1808,"{""answer"":""4"",""confidence"":4}",
8,deepseek/deepseek-v3.2-exp,2,4,1709,"{""answer"":""2"",""confidence"":4}",
9,deepseek/deepseek-v3.2-exp,2,4,1649,"{""answer"":""2"",""confidence"":4}",
10,deepseek/deepseek-v3.2-exp,3,3,1607,"{""answer"":""3"",""confidence"":3}",
11,deepseek/deepseek-v3.2-exp,1,4,2141,"{""answer"":""1"",""confidence"":4}",
12,deepseek/deepseek-v3.2-exp,4,4,1571,"{""answer"":""4"",""confidence"":4}",
13,deepseek/deepseek-v3.2-exp,1,4,2431,"{""answer"":""1"",""confidence"":4}",
14,deepseek/deepseek-v3.2-exp,4,4,1679,"{""answer"":""4"",""confidence"":4}",
15,deepseek/deepseek-v3.2-exp,2,4,2502,"{""answer"":""2"",""confidence"":4}",
16,deepseek/deepseek-v3.2-exp,2,4,1491,"{""answer"":""2"",""confidence"":4}",
17,deepseek/deepseek-v3.2-exp,3,4,2447,"{""answer"":""3"",""confidence"":4}",
18,deepseek/deepseek-v3.2-exp,2,4,1521,"{""answer"":""2"",""confidence"":4}",
19,deepseek/deepseek-v3.2-exp,3,4,1628,"{""answer"":""3"",""confidence"":4}",
20,deepseek/deepseek-v3.2-exp,4,4,1809,"{""answer"":""4"",""confidence"":4}",
21,deepseek/deepseek-v3.2-exp,2,4,2744,"{""answer"":""2"",""confidence"":4}",
22,deepseek/deepseek-v3.2-exp,4,4,1928,"{""answer"":""4"",""confidence"":4}",
23,deepseek/deepseek-v3.2-exp,3,4,1897,"{""answer"":""3"",""confidence"":4}",
24,deepseek/deepseek-v3.2-exp,3,4,1812,"{""answer"":""3"",""confidence"":4}",
25,deepseek/deepseek-v3.2-exp,2,3,1878,"{""answer"":""2"",""confidence"":3}",
26,deepseek/deepseek-v3.2-exp,1,4,2333,"{""answer"":""1"",""confidence"":4}",
27,deepseek/deepseek-v3.2-exp,2,4,1763,"{""answer"":""2"",""confidence"":4}",
28,deepseek/deepseek-v3.2-exp,2,4,1960,"{""answer"":""2"",""confidence"":4}",
29,deepseek/deepseek-v3.2-exp,1,4,2086,"{""answer"":""1"",""confidence"":4}",
30,deepseek/deepseek-v3.2-exp,3,4,1726,"{""answer"":""3"",""confidence"":4}",
31,deepseek/deepseek-v3.2-exp,1,3,1556,"{""answer"":""1"",""confidence"":3}",
32,deepseek/deepseek-v3.2-exp,4,4,1624,"{""answer"":""4"",""confidence"":4}",
33,deepseek/deepseek-v3.2-exp,3,4,1574,"{""answer"":""3"",""confidence"":4}",
34,deepseek/deepseek-v3.2-exp,4,4,2331,"{""answer"":""4"",""confidence"":4}",
35,deepseek/deepseek-v3.2-exp,1,3,1682,"{""answer"":""1"",""confidence"":3}",
36,deepseek/deepseek-v3.2-exp,3,4,1837,"{""answer"":""3"",""confidence"":4}",
37,deepseek/deepseek-v3.2-exp,2,4,2031,"{""answer"":""2"",""confidence"":4}",
38,deepseek/deepseek-v3.2-exp,3,4,2155,"{""answer"":""3"",""confidence"":4}",
39,deepseek/deepseek-v3.2-exp,1,4,2123,"{""answer"":""1"",""confidence"":4}",
40,deepseek/deepseek-v3.2-exp,2,4,1870,"{""answer"":""2"",""confidence"":4}",
41,deepseek/deepseek-v3.2-exp,1,4,1671,"{""answer"":""1"",""confidence"":4}",
42,deepseek/deepseek-v3.2-exp,2,4,1898,"{""answer"":""2"",""confidence"":4}",
43,deepseek/deepseek-v3.2-exp,2,4,1933,"{""answer"":""2"",""confidence"":4}",
44,deepseek/deepseek-v3.2-exp,3,4,1830,"{""answer"":""3"",""confidence"":4}",
45,deepseek/deepseek-v3.2-exp,4,4,1567,"{""answer"":""4"",""confidence"":4}",
46,deepseek/deepseek-v3.2-exp,1,4,2296,"{""answer"":""1"",""confidence"":4}",
47,deepseek/deepseek-v3.2-exp,2,3,1601,"{""answer"":""2"",""confidence"":3}",
48,deepseek/deepseek-v3.2-exp,2,4,1977,"{""answer"":""2"",""confidence"":4}",
49,deepseek/deepseek-v3.2-exp,3,4,1598,"{""answer"":""3"",""confidence"":4}",
50,deepseek/deepseek-v3.2-exp,3,4,1952,"{""answer"":""3"",""confidence"":4}",
51,deepseek/deepseek-v3.2-exp,3,4,2084,"{""answer"":""3"",""confidence"":4}",
52,deepseek/deepseek-v3.2-exp,3,3,2256,"{""answer"":""3"",""confidence"":3}",
53,deepseek/deepseek-v3.2-exp,4,4,1934,"{""answer"":""4"",""confidence"":4}",
54,deepseek/deepseek-v3.2-exp,2,4,1731,"{""answer"":""2"",""confidence"":4}",
55,deepseek/deepseek-v3.2-exp,3,4,2224,"{""answer"":""3"",""confidence"":4}",
56,deepseek/deepseek-v3.2-exp,2,4,1596,"{""answer"":""2"",""confidence"":4}",
57,deepseek/deepseek-v3.2-exp,3,4,1606,"{""answer"":""3"",""confidence"":4}",
58,deepseek/deepseek-v3.2-exp,3,4,2063,"{""answer"":""3"",""confidence"":4}",
59,deepseek/deepseek-v3.2-exp,3,4,2088,"{""answer"":""3"",""confidence"":4}",
60,deepseek/deepseek-v3.2-exp,2,4,2046,"{""answer"":""2"",""confidence"":4}",
81,deepseek/deepseek-v3.2-exp,3,3,1594,"{""answer"":""3"",""confidence"":3}",
82,deepseek/deepseek-v3.2-exp,4,4,1746,"{""answer"":""4"",""confidence"":4}",
83,deepseek/deepseek-v3.2-exp,3,4,2254,"{""answer"":""3"",""confidence"":4}",
84,deepseek/deepseek-v3.2-exp,3,4,1913,"{""answer"":""3"",""confidence"":4}",
85,deepseek/deepseek-v3.2-exp,3,3,1859,"{""answer"":""3"",""confidence"":3}",
86,deepseek/deepseek-v3.2-exp,1,4,2249,"{""answer"":""1"",""confidence"":4}",
87,deepseek/deepseek-v3.2-exp,3,4,1566,"{""answer"":""3"",""confidence"":4}",
88,deepseek/deepseek-v3.2-exp,1,4,1425,"{""answer"":""1"",""confidence"":4}",
89,deepseek/deepseek-v3.2-exp,1,3,1919,"{""answer"":""1"",""confidence"":3}",
90,deepseek/deepseek-v3.2-exp,3,4,1557,"{""answer"":""3"",""confidence"":4}",
91,deepseek/deepseek-v3.2-exp,4,4,1644,"{""answer"":""4"",""confidence"":4}",
92,deepseek/deepseek-v3.2-exp,3,4,1842,"{""answer"":""3"",""confidence"":4}",
93,deepseek/deepseek-v3.2-exp,4,4,2430,"{""answer"":""4"",""confidence"":4}",
94,deepseek/deepseek-v3.2-exp,3,4,2086,"{""answer"":""3"",""confidence"":4}",
95,deepseek/deepseek-v3.2-exp,4,4,2023,"{""answer"":""4"",""confidence"":4}",
96,deepseek/deepseek-v3.2-exp,3,4,2009,"{""answer"":""3"",""confidence"":4}",
97,deepseek/deepseek-v3.2-exp,2,4,1618,"{""answer"":""2"",""confidence"":4}",
98,deepseek/deepseek-v3.2-exp,4,4,2434,"{""answer"":""4"",""confidence"":4}",
99,deepseek/deepseek-v3.2-exp,3,4,1968,"{""answer"":""3"",""confidence"":4}",
100,deepseek/deepseek-v3.2-exp,2,4,2510,"{""answer"":""2"",""confidence"":4}",
101,deepseek/deepseek-v3.2-exp,2,4,1846,"{""answer"":""2"",""confidence"":4}",
102,deepseek/deepseek-v3.2-exp,4,4,1545,"{""answer"":""4"",""confidence"":4}",
103,deepseek/deepseek-v3.2-exp,4,3,2430,"{""answer"":""4"",""confidence"":3}",
104,deepseek/deepseek-v3.2-exp,3,4,1958,"{""answer"":""3"",""confidence"":4}",
105,deepseek/deepseek-v3.2-exp,2,3,2417,"{""answer"":""2"",""confidence"":3}",
106,deepseek/deepseek-v3.2-exp,3,4,1471,"{""answer"":""3"",""confidence"":4}",
107,deepseek/deepseek-v3.2-exp,2,4,1869,"{""answer"":""2"",""confidence"":4}",
108,deepseek/deepseek-v3.2-exp,4,4,2368,"{""answer"":""4"",""confidence"":4}",
109,deepseek/deepseek-v3.2-exp,3,4,2980,"{""answer"":""3"",""confidence"":4}",
110,deepseek/deepseek-v3.2-exp,2,4,2245,"{""answer"":""2"",""confidence"":4}",
111,deepseek/deepseek-v3.2-exp,2,4,1709,"{""answer"":""2"",""confidence"":4}",
112,deepseek/deepseek-v3.2-exp,2,4,1971,"{""answer"":""2"",""confidence"":4}",
113,deepseek/deepseek-v3.2-exp,1,4,1878,"{""answer"":""1"",""confidence"":4}",
114,deepseek/deepseek-v3.2-exp,3,4,1783,"{""answer"":""3"",""confidence"":4}",
115,deepseek/deepseek-v3.2-exp,2,4,1790,"{""answer"":""2"",""confidence"":4}",
116,deepseek/deepseek-v3.2-exp,4,4,1691,"{""answer"":""4"",""confidence"":4}",
117,deepseek/deepseek-v3.2-exp,3,4,2206,"{""answer"":""3"",""confidence"":4}",
118,deepseek/deepseek-v3.2-exp,2,4,2053,"{""answer"":""2"",""confidence"":4}",
119,deepseek/deepseek-v3.2-exp,4,4,2155,"{""answer"":""4"",""confidence"":4}",
120,deepseek/deepseek-v3.2-exp,3,4,1757,"{""answer"":""3"",""confidence"":4}",
121,deepseek/deepseek-v3.2-exp,2,4,1819,"{""answer"":""2"",""confidence"":4}",
122,deepseek/deepseek-v3.2-exp,4,4,3793,"{""answer"":""4"",""confidence"":4}",
123,deepseek/deepseek-v3.2-exp,3,4,2003,"{""answer"":""3"",""confidence"":4}",
124,deepseek/deepseek-v3.2-exp,2,4,2279,"{""answer"":""2"",""confidence"":4}",
125,deepseek/deepseek-v3.2-exp,1,4,2001,"{""answer"":""1"",""confidence"":4}",
126,deepseek/deepseek-v3.2-exp,2,4,1886,"{""answer"":""2"",""confidence"":4}",
127,deepseek/deepseek-v3.2-exp,4,3,2209,"{""answer"":""4"",""confidence"":3}",
128,deepseek/deepseek-v3.2-exp,3,4,1910,"{""answer"":""3"",""confidence"":4}",
129,deepseek/deepseek-v3.2-exp,4,4,2128,"{""answer"":""4"",""confidence"":4}",
130,deepseek/deepseek-v3.2-exp,3,4,1785,"{""answer"":""3"",""confidence"":4}",
131,deepseek/deepseek-v3.2-exp,1,4,2080,"{""answer"":""1"",""confidence"":4}",
132,deepseek/deepseek-v3.2-exp,3,3,2363,"{""answer"":""3"",""confidence"":3}",
133,deepseek/deepseek-v3.2-exp,4,3,2127,"{""answer"":""4"",""confidence"":3}",
134,deepseek/deepseek-v3.2-exp,4,4,1565,"{""answer"":""4"",""confidence"":4}",
135,deepseek/deepseek-v3.2-exp,1,3,1965,"{""answer"":""1"",""confidence"":3}",
136,deepseek/deepseek-v3.2-exp,3,4,1838,"{""answer"":""3"",""confidence"":4}",
137,deepseek/deepseek-v3.2-exp,1,3,2088,"{""answer"":""1"",""confidence"":3}",
138,deepseek/deepseek-v3.2-exp,3,4,1586,"{""answer"":""3"",""confidence"":4}",
139,deepseek/deepseek-v3.2-exp,1,4,2180,"{""answer"":""1"",""confidence"":4}",
140,deepseek/deepseek-v3.2-exp,4,3,2045,"{""answer"":""4"",""confidence"":3}",
