id,model,answer,confidence,latency_ms,raw,error
1,tngtech/deepseek-r1t2-chimera:free,3,3,14016,"{""answer"":""3"",""confidence"":3}",
2,tngtech/deepseek-r1t2-chimera:free,2,3,38711,"{""answer"":""2"",""confidence"":3}",
3,tngtech/deepseek-r1t2-chimera:free,4,4,13024,"{""answer"":""4"",""confidence"":4}",
4,tngtech/deepseek-r1t2-chimera:free,2,3,19192,"{""answer"":""2"",""confidence"":3}",
5,tngtech/deepseek-r1t2-chimera:free,3,3,15188,"{""answer"":""3"",""confidence"":3}",
6,tngtech/deepseek-r1t2-chimera:free,4,2,51091,"{""answer"":""4"",""confidence"":2}",
7,tngtech/deepseek-r1t2-chimera:free,1,3,15269,"{""answer"":""1"",""confidence"":3}",
8,tngtech/deepseek-r1t2-chimera:free,2,3,14323,"{""answer"":""2"",""confidence"":3}",
9,tngtech/deepseek-r1t2-chimera:free,2,4,24592,"{""answer"":""2"",""confidence"":4}",
10,tngtech/deepseek-r1t2-chimera:free,2,3,17071,"{""answer"":""2"",""confidence"":3}",
11,tngtech/deepseek-r1t2-chimera:free,2,3,15976,"{""answer"":""2"",""confidence"":3}",
12,tngtech/deepseek-r1t2-chimera:free,4,4,15546,"{""answer"":""4"",""confidence"":4}",
13,tngtech/deepseek-r1t2-chimera:free,1,3,11950,"{""answer"":""1"",""confidence"":3}",
14,tngtech/deepseek-r1t2-chimera:free,2,3,18962,"{""answer"":""2"",""confidence"":3}",
15,tngtech/deepseek-r1t2-chimera:free,2,4,7114,"{""answer"":""2"",""confidence"":4}",
16,tngtech/deepseek-r1t2-chimera:free,4,3,17564,"{""answer"":""4"",""confidence"":3}",
17,tngtech/deepseek-r1t2-chimera:free,2,3,12987,"{""answer"":""2"",""confidence"":3}",
18,tngtech/deepseek-r1t2-chimera:free,3,4,24992,"{""answer"":""3"",""confidence"":4}",
19,tngtech/deepseek-r1t2-chimera:free,1,3,16473,"{""answer"":""1"",""confidence"":3}",
20,tngtech/deepseek-r1t2-chimera:free,4,3,9534,"{""answer"":""4"",""confidence"":3}",
21,tngtech/deepseek-r1t2-chimera:free,2,3,16006,"{""answer"":""2"",""confidence"":3}",
22,tngtech/deepseek-r1t2-chimera:free,4,3,18329,"{""answer"":""4"",""confidence"":3}",
23,tngtech/deepseek-r1t2-chimera:free,2,3,16659,"{""answer"":""2"",""confidence"":3}",
24,tngtech/deepseek-r1t2-chimera:free,3,3,16848,"{""answer"":""3"",""confidence"":3}",
25,tngtech/deepseek-r1t2-chimera:free,4,3,16957,"{""answer"":""4"",""confidence"":3}",
26,tngtech/deepseek-r1t2-chimera:free,2,3,17128,"{""answer"":""2"",""confidence"":3}",
27,tngtech/deepseek-r1t2-chimera:free,2,3,11688,"{""answer"":""2"",""confidence"":3}",
28,tngtech/deepseek-r1t2-chimera:free,3,3,15703,"{""answer"":""3"",""confidence"":3}",
29,tngtech/deepseek-r1t2-chimera:free,3,3,13748,"{""answer"":""3"",""confidence"":3}",
30,tngtech/deepseek-r1t2-chimera:free,4,3,15756,"{""answer"":""4"",""confidence"":3}",
31,tngtech/deepseek-r1t2-chimera:free,1,3,11540,"{""answer"":""1"",""confidence"":3}",
32,tngtech/deepseek-r1t2-chimera:free,4,3,19514,"{""answer"":""4"",""confidence"":3}",
33,tngtech/deepseek-r1t2-chimera:free,1,4,20607,"{""answer"":""1"",""confidence"":4}",
34,tngtech/deepseek-r1t2-chimera:free,4,3,14057,"{""answer"":""4"",""confidence"":3}",
35,tngtech/deepseek-r1t2-chimera:free,1,4,10909,"{""answer"":""1"",""confidence"":4}",
36,tngtech/deepseek-r1t2-chimera:free,3,4,11755,"{""answer"":""3"",""confidence"":4}",
37,tngtech/deepseek-r1t2-chimera:free,2,3,14448,"{""answer"":""2"",""confidence"":3}",
38,tngtech/deepseek-r1t2-chimera:free,3,3,17295,"{""answer"":""3"",""confidence"":3}",
39,tngtech/deepseek-r1t2-chimera:free,3,3,9125,"{""answer"":""3"",""confidence"":3}",
40,tngtech/deepseek-r1t2-chimera:free,4,2,27668,"{""answer"":""4"",""confidence"":2}",
41,tngtech/deepseek-r1t2-chimera:free,1,4,9114,"{""answer"":""1"",""confidence"":4}",
42,tngtech/deepseek-r1t2-chimera:free,2,3,7438,"{""answer"":""2"",""confidence"":3}",
43,tngtech/deepseek-r1t2-chimera:free,2,3,7751,"{""answer"":""2"",""confidence"":3}",
44,tngtech/deepseek-r1t2-chimera:free,3,4,9810,"{""answer"":""3"",""confidence"":4}",
45,tngtech/deepseek-r1t2-chimera:free,4,3,8487,"{""answer"":""4"",""confidence"":3}",
