id,model,answer,confidence,latency_ms,raw,error,explanation,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words
1,openai/gpt-oss-120b,2.0,4.0,9044,"{""answer"":""2"",""confidence"":4}",,,,,,,
2,openai/gpt-oss-120b,1.0,4.0,18532,"{""answer"":""1"",""confidence"":4}",,,,,,,
3,openai/gpt-oss-120b,4.0,5.0,2710,"{""answer"":""4"",""confidence"":5}",,,,,,,
4,openai/gpt-oss-120b,4.0,4.0,3560,"{""answer"":""4"",""confidence"":4}",,,,,,,
5,openai/gpt-oss-120b,3.0,4.0,2797,"{""answer"":""3"",""confidence"":4}",,,,,,,
6,openai/gpt-oss-120b,1.0,4.0,14489,"{""answer"":""1"",""confidence"":4}",Failed to extract valid JSON structure from model output,,969.0,965.0,1934.0,0.0,0.0
7,openai/gpt-oss-120b,4.0,5.0,8764,"{""answer"":""4"",""confidence"":5}",,,,,,,
8,openai/gpt-oss-120b,2.0,4.0,3984,"{""answer"":""2"",""confidence"":4}",,,,,,,
9,openai/gpt-oss-120b,1.0,4.0,14763,"{""answer"":""1"",""confidence"":4}",,,,,,,
10,openai/gpt-oss-120b,4.0,4.0,5647,"{""answer"":""4"",""confidence"":4}",,,,,,,
11,openai/gpt-oss-120b,2.0,4.0,4406,"{""answer"":""2"",""confidence"":4}",,,,,,,
12,openai/gpt-oss-120b,4.0,5.0,3992,"{""answer"":""4"",""confidence"":5}",,,,,,,
13,openai/gpt-oss-120b,2.0,4.0,4121,"{""answer"":""2"",""confidence"":4}",,,,,,,
14,openai/gpt-oss-120b,4.0,5.0,7102,"{""answer"":""4"",""confidence"":5}",,,,,,,
15,openai/gpt-oss-120b,2.0,5.0,3032,"{""answer"":""2"",""confidence"":5}",,,,,,,
16,openai/gpt-oss-120b,2.0,4.0,2777,"{""answer"":""2"",""confidence"":4}",,,,,,,
17,openai/gpt-oss-120b,2.0,4.0,7027,"{""answer"":""2"",""confidence"":4}",,,,,,,
18,openai/gpt-oss-120b,4.0,4.0,9644,"{""answer"":""4"",""confidence"":4}",,,,,,,
19,openai/gpt-oss-120b,4.0,4.0,3962,"{""answer"":""4"",""confidence"":4}",,,,,,,
20,openai/gpt-oss-120b,4.0,4.0,4398,"{""answer"":""4"",""confidence"":4}",,,,,,,
21,openai/gpt-oss-120b,4.0,5.0,5177,"{""answer"":""4"",""confidence"":5}",,,,,,,
22,openai/gpt-oss-120b,1.0,4.0,4765,"{""answer"":""1"",""confidence"":4}",,,,,,,
23,openai/gpt-oss-120b,4.0,4.0,2638,"{""answer"":""4"",""confidence"":4}",,,,,,,
24,openai/gpt-oss-120b,3.0,3.0,4291,"{""answer"":""3"",""confidence"":3}",,,,,,,
25,openai/gpt-oss-120b,4.0,4.0,6035,"{""answer"":""4"",""confidence"":4}",,,,,,,
26,openai/gpt-oss-120b,3.0,4.0,2867,"{""answer"":""3"",""confidence"":4}",,,,,,,
27,openai/gpt-oss-120b,2.0,4.0,5894,"{""answer"":""2"",""confidence"":4}",,,,,,,
28,openai/gpt-oss-120b,3.0,4.0,3006,"{""answer"":""3"",""confidence"":4}",,,,,,,
29,openai/gpt-oss-120b,1.0,4.0,4054,"{""answer"":""1"",""confidence"":4}",,,,,,,
30,openai/gpt-oss-120b,2.0,4.0,3865,"{""answer"":""2"",""confidence"":4}",,,,,,,
31,openai/gpt-oss-120b,3.0,4.0,4102,"{""answer"":""3"",""confidence"":4}",,,,,,,
32,openai/gpt-oss-120b,4.0,3.0,16156,"{""answer"":""4"",""confidence"":3}",,,,,,,
33,openai/gpt-oss-120b,2.0,4.0,3386,"{""answer"":""2"",""confidence"":4}",,,,,,,
