id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,x-ai/grok-4-fast,3,4.0,بر اساس قواعد فقهی و حقوقی مندرج در قانون مدنی ایران، انفساخ عقد قهری است و بدون نیاز به اراده طرفین یا حکم دادگاه رخ می‌دهد، اما سبب آن می‌تواند ارادی باشد مانند خروج مالک از مضاربه که منجر به انفساخ خودکار می‌شود. این قاعده گزینه ۳ را صحیح می‌سازد.,17234,671.0,816.0,1487.0,250.0,50.0,"{""explanation"":""بر اساس قواعد فقهی و حقوقی مندرج در قانون مدنی ایران، انفساخ عقد قهری است و بدون نیاز به اراده طرفین یا حکم دادگاه رخ می‌دهد، اما سبب آن می‌تواند ارادی باشد مانند خروج مالک از مضاربه که منجر به انفساخ خودکار می‌شود. این قاعده گزینه ۳ را صحیح می‌سازد."",""answer"":""3"",""confidence"":4}",
2,x-ai/grok-4-fast,1,3.0,طبق ماده ۸ قانون بیمه اجباری مسئولیت مدنی رانندگان وسایل نقلیه، بیمه‌گر موظف به جبران خسارت بدنی اشخاص ثالث تا سقف دیه کامل و خسارت مالی اموال ثالث تا سقف تعهدات بیمه‌نامه است. در این حادثه، شخص «ب» به عنوان ثالث، دیه و خسارت موتورسیکلت وی تا سقف مربوطه جبران می‌شود و گزینه ۱ با تأکید بر سقف دیه کامل و تعهدات مالی برای موتورسیکلت، این قاعده را بیان می‌کند.,27399,783.0,4237.0,5020.0,358.0,70.0,"{""explanation"":""طبق ماده ۸ قانون بیمه اجباری مسئولیت مدنی رانندگان وسایل نقلیه، بیمه‌گر موظف به جبران خسارت بدنی اشخاص ثالث تا سقف دیه کامل و خسارت مالی اموال ثالث تا سقف تعهدات بیمه‌نامه است. در این حادثه، شخص «ب» به عنوان ثالث، دیه و خسارت موتورسیکلت وی تا سقف مربوطه جبران می‌شود و گزینه ۱ با تأکید بر سقف دیه کامل و تعهدات مالی برای موتورسیکلت، این قاعده را بیان می‌کند."",""answer"":""1"",""confidence"":3}",
3,x-ai/grok-4-fast,4,4.0,بر اساس قاعده فقهی 'الید علی ما أخذت حَقّ' و مواد مرتبط قانون مدنی ایران (مانند ماده ۱۴۰)، تصرف همراه با قصد تملک در مواردی مانند تملک بالتصرف یا احراز مالکیت از طریق ید، می‌تواند به تنهایی سبب تملک باشد.,6747,655.0,923.0,1578.0,204.0,40.0,"{""explanation"":""بر اساس قاعده فقهی 'الید علی ما أخذت حَقّ' و مواد مرتبط قانون مدنی ایران (مانند ماده ۱۴۰)، تصرف همراه با قصد تملک در مواردی مانند تملک بالتصرف یا احراز مالکیت از طریق ید، می‌تواند به تنهایی سبب تملک باشد."",""answer"":""4"",""confidence"":4}",
4,x-ai/grok-4-fast,4,4.0,طبق مواد ۱۰ و ۱۱ قانون بیمه مصوب ۱۳۱۶ و مقررات مربوط به بیمه مسئولیت حرفه‌ای پزشکان، بیمه‌گر مسئولیت مدنی موظف به جبران خسارات ناشی از تقصیر حرفه‌ای تا سقف تعهدات بیمه‌نامه است و با توجه به پوشش کامل، پرداخت دیه کامل مرد مسلمان به بازماندگان در نهایت بر عهده بیمه‌گر قرار دارد.,9491,721.0,1313.0,2034.0,277.0,53.0,"{""explanation"":""طبق مواد ۱۰ و ۱۱ قانون بیمه مصوب ۱۳۱۶ و مقررات مربوط به بیمه مسئولیت حرفه‌ای پزشکان، بیمه‌گر مسئولیت مدنی موظف به جبران خسارات ناشی از تقصیر حرفه‌ای تا سقف تعهدات بیمه‌نامه است و با توجه به پوشش کامل، پرداخت دیه کامل مرد مسلمان به بازماندگان در نهایت بر عهده بیمه‌گر قرار دارد."",""answer"":""4"",""confidence"":4}",
5,x-ai/grok-4-fast,3,4.0,بر اساس ماده ۱۱۱۹ قانون مدنی، شرط وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری (مانند وکالت‌نامه جداگانه) پیش‌بینی شود، زیرا این شرط‌ها باطل نبوده و قابل تحقق هستند. این قاعده اجازه می‌دهد تا وکالت طلاق هم به طور مستقیم (نتیجه) یا از طریق الزام به اعطای وکالت (فعل) در قالب‌های مختلف محقق گردد.,7364,654.0,1112.0,1766.0,330.0,64.0,"{""explanation"":""بر اساس ماده ۱۱۱۹ قانون مدنی، شرط وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری (مانند وکالت‌نامه جداگانه) پیش‌بینی شود، زیرا این شرط‌ها باطل نبوده و قابل تحقق هستند. این قاعده اجازه می‌دهد تا وکالت طلاق هم به طور مستقیم (نتیجه) یا از طریق الزام به اعطای وکالت (فعل) در قالب‌های مختلف محقق گردد."",""answer"":""3"",""confidence"":4}",
6,x-ai/grok-4-fast,2,3.0,در حقوق ایران بر اساس قواعد فقهی و مواد ۷۹۵ و ۸۲۵ قانون مدنی، تشابه هبه و وصیت تملیکی در این است که متهب یا موصی‌له می‌تواند غیرمحصور (مانند انتقال به طبقه یا گروه مشخص) باشد، زیرا هر دو انتقال رایگان اجازه چنین ساختاری را می‌دهند.,43353,705.0,7776.0,8481.0,231.0,46.0,"{""explanation"":""در حقوق ایران بر اساس قواعد فقهی و مواد ۷۹۵ و ۸۲۵ قانون مدنی، تشابه هبه و وصیت تملیکی در این است که متهب یا موصی‌له می‌تواند غیرمحصور (مانند انتقال به طبقه یا گروه مشخص) باشد، زیرا هر دو انتقال رایگان اجازه چنین ساختاری را می‌دهند."",""answer"":""2"",""confidence"":3}",
7,x-ai/grok-4-fast,3,5.0,بر اساس ماده ۵۳۵ قانون مدنی ایران، در صورتی که چند نفر مجتمعاً سبب ورود زیان به دیگری شوند، هر یک به قدر تقصیر خود ضامن است مگر تقصیر مساوی باشد که در این صورت مساوی ضامن خواهند بود؛ بنابراین مسئولیت عاملان زیان تسهیمی است نه تضامنی.,32938,694.0,2401.0,3095.0,233.0,47.0,"{""explanation"":""بر اساس ماده ۵۳۵ قانون مدنی ایران، در صورتی که چند نفر مجتمعاً سبب ورود زیان به دیگری شوند، هر یک به قدر تقصیر خود ضامن است مگر تقصیر مساوی باشد که در این صورت مساوی ضامن خواهند بود؛ بنابراین مسئولیت عاملان زیان تسهیمی است نه تضامنی."",""answer"":""3"",""confidence"":5}",
8,x-ai/grok-4-fast,2,4.0,طبق مواد ۶۶۳ تا ۶۸۰ قانون مدنی، محتال (فروشنده) حق دارد علیه محال‌علیه که حواله را قبول کرده، دعوای وصول وجه حواله را مطرح کند، زیرا قبول حواله الزام‌آور است. همچنین، بر اساس شرط فسخ در قرارداد فروش (ماده ۳۹۹ قانون مدنی)، در صورت عدم پرداخت ثمن ظرف مهلت مقرر، فروشنده اختیار فسخ معامله را دارد و می‌تواند یکی از این دو اقدام را انتخاب کند.,6412,753.0,860.0,1613.0,339.0,66.0,"{""explanation"":""طبق مواد ۶۶۳ تا ۶۸۰ قانون مدنی، محتال (فروشنده) حق دارد علیه محال‌علیه که حواله را قبول کرده، دعوای وصول وجه حواله را مطرح کند، زیرا قبول حواله الزام‌آور است. همچنین، بر اساس شرط فسخ در قرارداد فروش (ماده ۳۹۹ قانون مدنی)، در صورت عدم پرداخت ثمن ظرف مهلت مقرر، فروشنده اختیار فسخ معامله را دارد و می‌تواند یکی از این دو اقدام را انتخاب کند."",""answer"":""2"",""confidence"":4}",
9,x-ai/grok-4-fast,2,4.0,طبق ماده ۳۱۷ قانون مدنی، کارفرما در قبال خسارات ناشی از فعل کارگر مسئول است مگر اینکه ثابت کند تمام احتیاط‌های لازم را به عمل آورده است؛ بنابراین در صورت اثبات این امر، کارفرما تقصیری مرتکب نشده و فاقد مسئولیت مدنی مبتنی بر تقصیر خواهد بود.,52048,723.0,7736.0,8459.0,240.0,46.0,"{""explanation"":""طبق ماده ۳۱۷ قانون مدنی، کارفرما در قبال خسارات ناشی از فعل کارگر مسئول است مگر اینکه ثابت کند تمام احتیاط‌های لازم را به عمل آورده است؛ بنابراین در صورت اثبات این امر، کارفرما تقصیری مرتکب نشده و فاقد مسئولیت مدنی مبتنی بر تقصیر خواهد بود."",""answer"":""2"",""confidence"":4}",
10,x-ai/grok-4-fast,4,4.0,ماده ۸۵۶ قانون مدنی بیان می‌دارد که در صورت فوت وصی پیش از انجام وصیت، ورثه یا دادگاه وصی دیگری تعیین می‌کنند، لذا وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند. اما بر اساس ماده ۶۶۷ قانون مدنی، وصی می‌تواند در زمان حیات خود وظایف را به دیگری وکالت دهد مگر اینکه منع شده باشد.,9172,754.0,1235.0,1989.0,284.0,58.0,"{""explanation"":""ماده ۸۵۶ قانون مدنی بیان می‌دارد که در صورت فوت وصی پیش از انجام وصیت، ورثه یا دادگاه وصی دیگری تعیین می‌کنند، لذا وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند. اما بر اساس ماده ۶۶۷ قانون مدنی، وصی می‌تواند در زمان حیات خود وظایف را به دیگری وکالت دهد مگر اینکه منع شده باشد."",""answer"":""4"",""confidence"":4}",
