id,model,answer,confidence,latency_ms,raw,error
1,qwen/qwen3-235b-a22b-2507,3,4,1660,"{""answer"":""3"",""confidence"":4}",
2,qwen/qwen3-235b-a22b-2507,1,4,810,"{""answer"":""1"",""confidence"":4}",
3,qwen/qwen3-235b-a22b-2507,4,4,952,"{""answer"":""4"",""confidence"":4}",
4,qwen/qwen3-235b-a22b-2507,4,4,1312,"{""answer"":""4"",""confidence"":4}",
5,qwen/qwen3-235b-a22b-2507,1,4,489,"{""answer"":""1"",""confidence"":4}",
6,qwen/qwen3-235b-a22b-2507,2,3,2005,"{""answer"":""2"",""confidence"":3}",
7,qwen/qwen3-235b-a22b-2507,4,4,1192,"{""answer"":""4"",""confidence"":4}",
8,qwen/qwen3-235b-a22b-2507,2,4,954,"{""answer"":""2"",""confidence"":4}",
9,qwen/qwen3-235b-a22b-2507,4,4,7396,"{""answer"":""4"",""confidence"":4}",
10,qwen/qwen3-235b-a22b-2507,3,4,1323,"{""answer"":""3"",""confidence"":4}",
11,qwen/qwen3-235b-a22b-2507,1,3,1807,"{""answer"":""1"",""confidence"":3}",
12,qwen/qwen3-235b-a22b-2507,4,5,4442,"{""answer"":""4"",""confidence"":5}",
13,qwen/qwen3-235b-a22b-2507,1,4,800,"{""answer"":""1"",""confidence"":4}",
14,qwen/qwen3-235b-a22b-2507,4,4,1112,"{""answer"":""4"",""confidence"":4}",
15,qwen/qwen3-235b-a22b-2507,2,4,588,"{""answer"":""2"",""confidence"":4}",
16,qwen/qwen3-235b-a22b-2507,2,4,782,"{""answer"":""2"",""confidence"":4}",
17,qwen/qwen3-235b-a22b-2507,2,4,442,"{""answer"":""2"",""confidence"":4}",
18,qwen/qwen3-235b-a22b-2507,2,4,590,"{""answer"":""2"",""confidence"":4}",
19,qwen/qwen3-235b-a22b-2507,3,4,7372,"{""answer"":""3"",""confidence"":4}",
20,qwen/qwen3-235b-a22b-2507,4,4,9739,"{""answer"":""4"",""confidence"":4}",
21,qwen/qwen3-235b-a22b-2507,2,4,868,"{""answer"":""2"",""confidence"":4}",
22,qwen/qwen3-235b-a22b-2507,3,4,905,"{""answer"":""3"",""confidence"":4}",
23,qwen/qwen3-235b-a22b-2507,4,4,2009,"{""answer"":""4"",""confidence"":4}",
24,qwen/qwen3-235b-a22b-2507,1,3,7448,"{""answer"":""1"",""confidence"":3}",
25,qwen/qwen3-235b-a22b-2507,2,4,3436,"{""answer"":""2"",""confidence"":4}",
26,qwen/qwen3-235b-a22b-2507,3,4,737,"{""answer"":""3"",""confidence"":4}",
27,qwen/qwen3-235b-a22b-2507,2,4,597,"{""answer"":""2"",""confidence"":4}",
