id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
1,openai/gpt-4o-mini,2,90,0.5,"{""2"": 3, ""4"": 2, ""3"": 1}",FALSE,2800.7,6009,2,90,"بر اساس ماده 233 قانون مدنی، انفساخ عقد به موجب قانون و یا به دلیل تخلف از شرایط مقرر در عقد قهری است و لذا نمی‌تواند ارادی باشد.",,2,90,"بر اساس ماده ۳۸۲ قانون مدنی، انفساخ عقد به صورت قهری است و نمی‌تواند ارادی باشد. بنابراین، این گزینه صحیح است.",,4,90,"طبق ماده 236 قانون مدنی، انفساخ عقد به دلایل معین و قهری می‌باشد و نمی‌تواند به اراده طرفین بستگی داشته باشد.",,3,90,"طبق ماده ۲۱۹ ق.م.، انفساخ قرارداد به صورت قهری است و اراده طرفین نمی‌تواند آن را از بین ببرد. بنابراین، انفساخ به خودی خود و بدون نیاز به اراده طرفین انجام می‌شود.",,4,90,"بر اساس ماده ۷۲۱ قانون مدنی، انفساخ قرارداد به صورت قهری به وقوع می‌پیوندد و اراده طرفین نمی‌تواند آن را از بین ببرد. بنابراین، انفساخ عقد نمی‌تواند به اراده طرفین باشد و این موضوع با اصول حقوقی ایران مطابقت دارد.",
2,openai/gpt-4o-mini,2,87.5,0.8,"{""2"": 4, ""1"": 1}",FALSE,2482.8,2851,2,80,"بر اساس ماده 4 قانون بیمه اجباری، بیمه‌گر باید دیه شخص ثالث را تا سقف تعهدات خود پرداخت کند و همچنین خسارات مالی را نیز تا سقف تعهدات جبران نماید.",,2,90,"بر اساس ماده ۲۹ قانون بیمه اجباری خسارات وارد شده به اشخاص ثالث و خسارات مالی تا سقف تعهدات بیمه‌گذار جبران می‌شود. لذا دیه شخص «الف» تا سقف تعهدات خود و دیه شخص «ب» به هر میزان که طبق قانون تعلق گیرد، تحت پوشش بیمه قرار می‌گیرد.",,2,90,"بر اساس «ماده 300 ق.م.»، در تصادفات رانندگی، بیمه‌گر مسئول جبران خسارات وارده به اشخاص ثالث و خسارات مالی به میزان تعهدات خود است. بنابراین، بیمه‌گر باید دیه شخص «ب» را به هر میزان که قانون تعیین کرده و خسارات مالی موتورسیکلت را تا سقف تعهدات خود جبران کند.",,1,80,"بر اساس «ماده 17 قانون بیمه اجباری» بیمه‌گر مسئول جبران خسارات وارده به شخص ثالث است و دیه شخص مقصر نیز باید توسط خود او پرداخت شود. بدین ترتیب، بیمه‌گر فقط مسئول پرداخت دیه شخص «ب» به میزان دیه کامل و خسارات مالی موتورسیکلت تا سقف تعهدات خود می‌باشد.",,2,90,"بر اساس «ماده 300 ق.م.ا.»، بیمه‌گر مسئولیت باید دیه را به میزان کامل پرداخت کند و خسارات مالی نیز تا سقف تعهدات بیمه‌نامه جبران خواهد شد. بنابراین، دیه شخص «ب» به هر میزان که باشد و خسارات مالی وارده به موتورسیکلت تا سقف تعهدات بیمه‌گر جبران می‌شود.",
3,openai/gpt-4o-mini,4,88,1,"{""4"": 5}",FALSE,1770.6,2438,4,90,"بر اساس ماده 30 قانون مدنی، تصرف همراه با قصد تملک می‌تواند سبب مالکیت باشد و در این موارد، تصرف مملک است.",,4,90,"طبق ماده 30 قانون مدنی، تصرفی که همراه با قصد تملک باشد، می‌تواند سبب تملک گردد. به همین دلیل، تصرف ممکن است به تنهایی سبب تملک باشد.",,4,90,"تصرف همراه با قصد تملک می‌تواند موجب تملک مالکیت شود، زیرا طبق ماده ۳۰ ق.م. تصرف به عنوان سبب مالکیت شناخته شده است.",,4,80,"طبق ماده ۱۴۸ ق.م، تصرف با قصد تملک می‌تواند سبب ایجاد مالکیت شود و در موارد خاصی ممکن است به تنهایی سبب تملک باشد.",,4,90,طبق ماده ۳۰ ق.م. تصرف به همراه قصد تملک می‌تواند موجب انتقال مالکیت شود و تصرف در این حالت مملک است.,
4,openai/gpt-4o-mini,2,88,1,"{""2"": 5}",FALSE,2231,2532,2,90,"بر اساس «ماده 661 ق.م.»، پزشک مقصر مسئول پرداخت دیه کامل است و می‌تواند بعد از پرداخت از بیمه‌گر مسئولیت مدنی آن را دریافت کند. همچنین، بیمه‌گر مسئولیت مدنی نیز موظف به جبران خسارت است.",,2,90,"بر اساس «ماده 570 ق.م.» و «ماده 73 قانون بیمه»، مسئولیت پزشک مقصر در پرداخت دیه کامل بر عهده اوست و بیمه‌گر مسئولیت مدنی می‌تواند خسارت را پس از پرداخت دریافت کند.",,2,90,"طبق «ماده ۱۶ قانون بیمه مسئولیت مدنی» بیمه‌گر مسئولیت مدنی موظف به جبران خسارت ناشی از تقصیر پزشک است. بنابراین دیه کامل به عهده بیمه‌گر است و پزشک می‌تواند پس از پرداخت، آن را از بیمه‌گر مسترد کند.",,2,80,"بر اساس ماده ۳۲۳ قانون مدنی، مسئولیت مدنی ناشی از تقصیر بر عهده شخص مقصر است و در این مورد پزشک مقصر مسئول پرداخت دیه کامل است. همچنین طبق ماده ۵۰ قانون بیمه، بیمه‌گر مسئولیت مدنی مکلف به پرداخت خسارت به زیان‌دیدگان است، اما در ابتدا مسئولیت بر عهده پزشک است.",,2,90,"بر اساس «ماده ۴۲ قانون بیمه مسئولیت مدنی» در صورتی که شخصی در اثر تقصیر حرفه‌ای به دیگری خسارتی وارد کند، بیمه‌گر مسئولیت مدنی موظف به پرداخت خسارت است. همچنین پزشک مقصر می‌تواند خسارت پرداخت شده را از بیمه‌گر مسترد کند. بنابراین، مسئولیت اولیه بر عهده بیمه‌گر است.",
5,openai/gpt-4o-mini,3,84,1,"{""3"": 5}",FALSE,1885.4,2290,3,80,"بر اساس «ماده 1133 ق.م.»، زن می‌تواند حق وکالت در طلاق را به شکل شرط فعل یا شرط نتیجه ضمن عقد نکاح یا عقد دیگری دریافت کند.",,3,90,شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل در ضمن عقد نکاح یا عقد دیگری تحقق یابد که مطابق با «ماده 1119 ق.م.» به رسمیت شناخته شده است.,,3,80,شرط وکالت زن در طلاق می‌تواند به شکل شرط فعل یا شرط نتیجه در ضمن عقد نکاح یا عقد دیگری تحقق یابد که مطابق با «ماده 1119 ق.م.» به رسمیت شناخته شده است.,,3,90,"طبق ماده 1133 قانون مدنی، زن می‌تواند در ضمن عقد نکاح یا عقد دیگری شرط وکالت در طلاق را داشته باشد. بنابراین، هر دو نوع شرط فعل و شرط نتیجه در این زمینه قابل تحقق هستند.",,3,80,"بر اساس ماده 1133 قانون مدنی، زن می‌تواند در ضمن عقد نکاح یا عقد دیگری حق طلاق را به عنوان شرط نتیجه یا شرط فعل دریافت کند. این موضوع نشان می‌دهد که هر دو نوع شرط در این زمینه معتبر هستند.",
6,openai/gpt-4o-mini,2,83.3,0.6,"{""2"": 3, ""4"": 1, ""3"": 1}",FALSE,2135.4,2831,2,80,"در خصوص وصیت تملیکی، طبق «ماده 828 ق.م.»، وصیت ممکن است به شخص غیر محصور انجام شود. همچنین، در هبه نیز شرایط مشابهی وجود دارد که می‌تواند شامل اشخاص غیر محصور باشد. بنابراین گزینه 2 صحیح است.",,2,90,"هر دو هبه و وصیت تملیکی ممکن است به افراد غیر محصور تعلق بگیرد، زیرا در ماده 791 قانون مدنی، عدم محدودیت در تعیین موصی له تصریح شده است.",,4,90,"در هر دو مورد هبه و وصیت تملیکی، در صورتی که واهب یا موصی قبل از قبول فوت کند، عقد باطل می‌شود. این موضوع در ماده 829 قانون مدنی به وضوح ذکر شده است که در صورت فوت قبل از قبول، هبه باطل است.",,2,80,"در هر دو مورد، هبه و وصیت تملیکی، موصی له یا متهب می‌تواند غیر محصور باشد که در ماده 791 قانون مدنی به آن اشاره شده است.",,3,90,"بر اساس ماده 792 قانون مدنی، در هر دو مورد، وصیت و هبه، امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له با متهب قبض شده باشد.",
7,openai/gpt-4o-mini,1,86.7,0.6,"{""4"": 2, ""1"": 3}",FALSE,2355.2,2598,4,80,"بر اساس «ماده 722 ق.م.» در مورد مسئولیت تضامنی، هر یک از ضامنان مسئولیت تضامنی دارند، اما در صورتی که ضمانت به صورت ضم ذمه به ذمه باشد، مسئولیت آنها به تسهیم تغییر می‌کند.",,1,90,"مسئولیت چند مستعیر در عاربه طلا و نقره به صورت تسهیم است زیرا مطابق «ماده 661 ق.م.» عاریه‌گیران در خصوص زیان وارده نسبت به عاریه، مسئولیت تضامنی ندارند و هر یک به نسبت سهم خود مسئول هستند.",,1,90,"مسئولیت چند مستعیر در عاربه طلا و نقره به دلیل ماهیت عاریه، تسهیمی است و هر یک از آنان به نسبت سهم خود در تلف مسئول‌اند، مطابق «ماده 563 ق.م.» که بیان می‌کند مسئولیت عاریه‌دهنده به صورت تسهیمی است.",,4,90,"بر اساس «ماده 273 ق.م.»، مسئولیت اشخاص در مورد ضرر به صورت تسهیم در صورتی است که هر یک از آنها به طور مستقل و به تناسب سهم خود مسئولیت داشته باشند. به همین دلیل، چند ضامن که ضمانت آنان به صورت ضم ذمه به ذمه باشد، مسئولیت تضامنی ندارند.",,1,80,"در مورد چند مستعیر که مال عاریه تلف شده باشد، مسئولیت آنها به صورت تسهیم است، زیرا هر یک تنها به نسبت سهم خود در تلف مال مسئول هستند و تضامنی نیستند. این موضوع مطابق با «ماده ۴۹۶ ق.م.» قابل استناد است.",
8,openai/gpt-4o-mini,2,86,1,"{""2"": 5}",FALSE,2699.4,5026,2,90,"بر اساس ماده ۲۷۰ قانون مدنی، محتال می‌تواند برای مطالبه وجه حواله علیه محال علیه اقدام کند و همچنین طبق ماده ۳۷۶ ق.م. اختیار فسخ نیز برای وی محفوظ است.",,2,90,"فروشنده می‌تواند هم معامله را فسخ کند و هم علیه محال علیه برای وصول مبلغ حواله دعوا کند، زیرا حق فسخ و حق اقدام قانونی برای وصول طلب از محال علیه به موجب اصول قراردادها و همچنین ماده ۴۵۹ ق.م. محفوظ است.",,2,80,فروشنده می‌تواند به موجب ماده ۲۲۵ ق.م. برای دریافت مبلغ حواله علیه محال علیه طرح دعوا کند و همچنین بر اساس ماده ۲۴۵ ق.م. حق فسخ معامله را نیز دارد.,,2,80,"فروشنده می‌تواند علیه محال علیه طرح دعوا کند و همچنین حق فسخ معامله را دارد، چرا که عدم وجود بدهی محال علیه به محیل مانع از اجرای حواله نمی‌شود و مطابق «ماده ۲۶۰ ق.م.» می‌تواند از حق خود استفاده کند.",,2,90,"فروشنده (محتال) می‌تواند علیه محال علیه طرح دعوا کند زیرا حواله به عنوان یک قرارداد مستقل دارای اثر حقوقی است. مطابق «ماده ۳۴۷ ق.م.»، محال علیه ملزم به پرداخت وجه حواله است حتی اگر به محیل بدهکار نباشد. بنابراین، او می‌تواند علاوه بر فسخ معامله، برای دریافت مبلغ حواله نیز به دادگاه مراجعه کند.",
9,openai/gpt-4o-mini,3,90,0.33,"{""4"": 1, ""3"": 2, ""1"": 1}",FALSE,1827.5,3727,,,,Invalid answer: ۳,4,90,"طبق ماده 4 قانون مسئولیت مدنی، در صورت وجود اکراه، شخص مکره مسئولیت مدنی ندارد. لذا در مورد مکره در اکراه غیر مادی، وی نمی‌تواند به خاطر تلف مال دیگری مسئول شناخته شود.",,3,90,"طبق «ماده 301 ق.م.»، شخصی که در شرایط اضطرار مال غیر را تلف کند، مسئولیت مدنی ندارد. بنابراین مضطر در این مورد مسئولیتی نخواهد داشت.",,1,90,"بر اساس ماده 301 ق.م.، کودک در صورتی که تحت سرپرستی باشد و سرپرست او تقصیر کرده باشد، مسئولیت مدنی ندارد. همچنین، در صورتی که سرپرست توانایی جبران خسارت نداشته باشد، مسئولیت کودک نیز منتفی می‌شود.",,,,,Invalid answer: ۴
10,openai/gpt-4o-mini,4,86.7,0.5,"{""3"": 1, ""2"": 2, ""4"": 3}",FALSE,2094.8,4255,3,80,"طبق ماده 835 قانون مدنی، وصی می‌تواند برای انجام امور مربوط به وصایت به شخص دیگری وکالت دهد. اما وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند چون این امر خلاف اصل آزادی اراده در وصیت است.",,2,90,"طبق ماده 80 قانون مدنی، وصی نمی‌تواند در مواردی که به موجب وصیت تعیین شده، به دیگری وکالت دهد یا وصی دیگری تعیین کند. بنابراین، وصی تنها می‌تواند در حدود اختیارات خود عمل کند و این محدودیت به وضوح در قانون مشخص شده است.",,4,80,وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند زیرا طبق «ماده 847 ق.م.» فقط شخص وصی می‌تواند وظایف خود را انجام دهد و نمی‌تواند حق خود را به شخص دیگری تفویض کند. اما او می‌تواند در زمان حیات خود به دیگری وکالت دهد.,,4,90,"وصی تعیین شده نمی تواند برای بعد از فوت خود وصی دیگری تعیین کند زیرا طبق «ماده ۲۳۹ ق.م.»، وصایت فقط برای شخص وصی معین است و نمی تواند به دیگری تفویض شود. همچنین، طبق «ماده ۲۴۱ ق.م.»، وصی نمی تواند وکالت دهد مگر در مواردی که صریحاً در وصیت قید شده باشد.",,2,90,"طبق ماده 87 قانون مدنی، وصی نمی‌تواند برای انجام وصایت خود به دیگری وکالت دهد و همچنین نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند. بنابراین، وصی تعیین شده صرفاً می‌تواند وظایف خود را انجام دهد و حق تفویض وکالت ندارد.",
