id,model,rag_top_k,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,deepseek/deepseek-v3.2-exp,5,3,4,بر اساس ماده 224 قانون مدنی، انفساخ عقد قهری است اما سبب آن می‌تواند ارادی باشد مانند شرط انفساخ که با توافق طرفین ایجاد می‌شود، بنابراین انفساخ خود به خود و بدون نیاز به اراده جدید محقق می‌گردد.,8121,4660,84,4744,195,38,"results{explanation,answer,confidence}:
بر اساس ماده 224 قانون مدنی، انفساخ عقد قهری است اما سبب آن می‌تواند ارادی باشد مانند شرط انفساخ که با توافق طرفین ایجاد می‌شود، بنابراین انفساخ خود به خود و بدون نیاز به اراده جدید محقق می‌گردد.,3,4",
2,deepseek/deepseek-v3.2-exp,5,1,4,بر اساس ماده ۱۴ قانون بیمه اجباری، بیمه‌گر مکلف است خسارت زیان‌دیده (شخص «ب») را بدون هیچ شرطی پرداخت کند، اما راننده مقصر (شخص «الف») به عنوان شخص ثالث محسوب نمی‌شود و بیمه‌گر تعهدی نسبت به دیه او ندارد. همچنین خسارات مالی تا سقف تعهدات پرداخت می‌شود.,7453,5289,119,5408,252,47,"results{explanation,answer,confidence}:
بر اساس ماده ۱۴ قانون بیمه اجباری، بیمه‌گر مکلف است خسارت زیان‌دیده (شخص «ب») را بدون هیچ شرطی پرداخت کند، اما راننده مقصر (شخص «الف») به عنوان شخص ثالث محسوب نمی‌شود و بیمه‌گر تعهدی نسبت به دیه او ندارد. همچنین خسارات مالی تا سقف تعهدات پرداخت می‌شود.,1,4",
3,deepseek/deepseek-v3.2-exp,5,4,5,مطابق ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است و می‌تواند به تنهایی سبب تملک باشد مگر اینکه خلاف آن ثابت شود.,4913,2718,59,2777,125,25,"results{explanation,answer,confidence}:
مطابق ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است و می‌تواند به تنهایی سبب تملک باشد مگر اینکه خلاف آن ثابت شود.,4,5",
4,deepseek/deepseek-v3.2-exp,5,4,4,بر اساس ماده 2 قانون مسئولیت مدنی و رویه قضایی موجود در آراء مشابه، مسئولیت اولیه پرداخت دیه با پزشک مقصر است و بیمه مسئولیت مدنی نیز به موجب قرارداد بیمه ملزم به جبران خسارت می‌باشد.,7698,4924,82,5006,183,36,"results{explanation,answer,confidence}:
بر اساس ماده 2 قانون مسئولیت مدنی و رویه قضایی موجود در آراء مشابه، مسئولیت اولیه پرداخت دیه با پزشک مقصر است و بیمه مسئولیت مدنی نیز به موجب قرارداد بیمه ملزم به جبران خسارت می‌باشد.,4,4",
5,deepseek/deepseek-v3.2-exp,5,1,4,بر اساس ماده 1119 قانون مدنی، وکالت در طلاق باید ضمن عقد نکاح شرط شود و در قالب شرط نتیجه یا شرط فعل قابل تحقق است، نه در عقد دیگر.,8152,5058,62,5120,131,30,"results{explanation,answer,confidence}:
بر اساس ماده 1119 قانون مدنی، وکالت در طلاق باید ضمن عقد نکاح شرط شود و در قالب شرط نتیجه یا شرط فعل قابل تحقق است، نه در عقد دیگر.,1,4",
6,deepseek/deepseek-v3.2-exp,5,4,4,بر اساس ماده 826 قانون مدنی، وصیت تملیکی پس از فوت موصی اجرا می‌شود و در صورت فوت موصی قبل از قبول موصی له، وصیت باطل نمی‌شود، در حالی که هبه طبق ماده 795 نیاز به قبض دارد و در صورت فوت واهب قبل از قبض توسط متهب، عقد باطل می‌شود.,8831,3682,114,3796,229,51,"results{explanation,answer,confidence}:
بر اساس ماده 826 قانون مدنی، وصیت تملیکی پس از فوت موصی اجرا می‌شود و در صورت فوت موصی قبل از قبول موصی له، وصیت باطل نمی‌شود، در حالی که هبه طبق ماده 795 نیاز به قبض دارد و در صورت فوت واهب قبل از قبض توسط متهب، عقد باطل می‌شود.,4,4",
7,deepseek/deepseek-v3.2-exp,5,4,5,بر اساس ماده 721 قانون مدنی، در ضمانت به نحو تسهیم (ضم ذمه به ذمه)، مسئولیت ضامنین در مقابل مضمون‌له به تسهیم است نه تضامنی، و هر ضامن فقط به اندازه سهم خود مسئول است.,4858,2790,79,2869,167,35,"results{explanation,answer,confidence}:
بر اساس ماده 721 قانون مدنی، در ضمانت به نحو تسهیم (ضم ذمه به ذمه)، مسئولیت ضامنین در مقابل مضمون‌له به تسهیم است نه تضامنی، و هر ضامن فقط به اندازه سهم خود مسئول است.,4,5",
8,deepseek/deepseek-v3.2-exp,5,2,4,بر اساس ماده 724 قانون مدنی، حواله تعهد محال علیه به پرداخت دین محیل به محتال است و محتال می‌تواند علیه محال علیه برای دریافت مبلغ حواله اقامه دعوا کند، همچنین با توجه به شرط فسخ در قرارداد اصلی، حق فسخ نیز برای فروشنده محفوظ است.,10013,4118,101,4219,230,46,"results{explanation,answer,confidence}:
بر اساس ماده 724 قانون مدنی، حواله تعهد محال علیه به پرداخت دین محیل به محتال است و محتال می‌تواند علیه محال علیه برای دریافت مبلغ حواله اقامه دعوا کند، همچنین با توجه به شرط فسخ در قرارداد اصلی، حق فسخ نیز برای فروشنده محفوظ است.,2,4",
9,deepseek/deepseek-v3.2-exp,5,2,4,بر اساس نظریه مسئولیت مبتنی بر تقصیر، شخصی که تمامی احتیاطات لازم را به عمل آورده باشد، فاقد تقصیر بوده و مسئولیتی نخواهد داشت. این قاعده در مورد کارفرمای محتاط (گزینه ۲) که احتیاط لازم را رعایت کرده، صادق است.,41620,4959,93,5052,210,40,"results{explanation,answer,confidence}:
بر اساس نظریه مسئولیت مبتنی بر تقصیر، شخصی که تمامی احتیاطات لازم را به عمل آورده باشد، فاقد تقصیر بوده و مسئولیتی نخواهد داشت. این قاعده در مورد کارفرمای محتاط (گزینه ۲) که احتیاط لازم را رعایت کرده، صادق است.,2,4",
10,deepseek/deepseek-v3.2-exp,5,2,4,بر اساس ماده 856 قانون مدنی، وصی باید شخصاً امور وصایت را انجام دهد و نمی‌تواند به دیگری وکالت دهد یا برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه موصی به او چنین اختیاری داده باشد.,4901,3164,75,3239,186,39,"results{explanation,answer,confidence}:
بر اساس ماده 856 قانون مدنی، وصی باید شخصاً امور وصایت را انجام دهد و نمی‌تواند به دیگری وکالت دهد یا برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه موصی به او چنین اختیاری داده باشد.,2,4",
