id,model,rag_top_k,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,openai/gpt-oss-120b,5,3,5,"بر اساس ماده ۳۴۸ قانون مدنی، انفساخ عقد به سبب وقوع شرط یا رویداد معین رخ می‌دهد؛ این انفساخ صرفاً به دلیل وقوع آن قهری است، هرچند سبب آن می‌تواند ارادی (مانند عدم پرداخت) باشد.",16139,4079,615,4694,177,35,"results{explanation,answer,confidence}:
بر اساس ماده ۳۴۸ قانون مدنی، انفساخ عقد به سبب وقوع شرط یا رویداد معین رخ می‌دهد؛ این انفساخ صرفاً به دلیل وقوع آن قهری است، هرچند سبب آن می‌تواند ارادی (مانند عدم پرداخت) باشد.,3,5",
2,openai/gpt-oss-120b,5,2,4,"بر اساس ماده 14 قانون بیمه اجباری، بیمه‌گر مسئول پرداخت دیه و خسارت مالی به شخص ثالث (موتورسوار) تا سقف تعهدات بیمه‌نامه است؛ در عین حال، راننده مقصر (الف) به‌عنوان شخص ثالث محسوب نمی‌شود و دیه او تحت پوشش بیمه قرار نمی‌گیرد، لذا بیمه‌گر دیه الف را تا سقف تعهدات خود (در صورت وجود پوشش) و دیه ب را مطابق قانون تا سقف تعهدات پرداخت می‌کند و خسارت مالی موتورسیکلت نیز تا سقف تعهدات پرداخت می‌شود.",60399,4658,1457,6115,394,76,"results{explanation,answer,confidence}:
بر اساس ماده 14 قانون بیمه اجباری، بیمه‌گر مسئول پرداخت دیه و خسارت مالی به شخص ثالث (موتورسوار) تا سقف تعهدات بیمه‌نامه است؛ در عین حال، راننده مقصر (الف) به‌عنوان شخص ثالث محسوب نمی‌شود و دیه او تحت پوشش بیمه قرار نمی‌گیرد، لذا بیمه‌گر دیه الف را تا سقف تعهدات خود (در صورت وجود پوشش) و دیه ب را مطابق قانون تا سقف تعهدات پرداخت می‌کند و خسارت مالی موتورسیکلت نیز تا سقف تعهدات پرداخت می‌شود.,2,4",
3,openai/gpt-oss-120b,5,4,5,"ماده 35 قانون مدنی صراحتاً می‌گوید تصرف به عنوان مالکیت دلیل مالکیت است، مگر اینکه خلاف آن ثابت شود؛ بنابراین تصرف همراه با قصد تملک می‌تواند به تنهایی سبب مملک باشد.",3885,2500,307,2807,166,31,"results{explanation,answer,confidence}:
ماده 35 قانون مدنی صراحتاً می‌گوید تصرف به عنوان مالکیت دلیل مالکیت است، مگر اینکه خلاف آن ثابت شود؛ بنابراین تصرف همراه با قصد تملک می‌تواند به تنهایی سبب مملک باشد.,4,5",
4,openai/gpt-oss-120b,5,4,5,"بر اساس ماده 5 قانون بیمه مسئولیت مدنی و آراء قضایی (منابع 2 و 3) که می‌گویند در صورت وجود مسئولیت تقصیر حرفه‌ای، بیمه‌گر موظف به جبران دیه است، پرداخت دیه کامل مرد مسلمان بر عهده بیمه‌گر مسئولیت مدنی می‌باشد.",7583,4288,549,4837,209,40,"results{explanation,answer,confidence}:
بر اساس ماده 5 قانون بیمه مسئولیت مدنی و آراء قضایی (منابع 2 و 3) که می‌گویند در صورت وجود مسئولیت تقصیر حرفه‌ای، بیمه‌گر موظف به جبران دیه است، پرداخت دیه کامل مرد مسلمان بر عهده بیمه‌گر مسئولیت مدنی می‌باشد.,4,5",
5,openai/gpt-oss-120b,5,3,5,ماده ۱۱۱۹ قانون مدنی اجازه می‌دهد شرط وکالت زوجه برای طلاق به صورت شرط نتیجه یا شرط فعل تنظیم شود و این شرط می‌تواند در خود عقد نکاح یا در عقدی جداگانه (مانند قرارداد تفویض) باشد.,5870,4434,441,4875,179,36,"results{explanation,answer,confidence}:
ماده ۱۱۱۹ قانون مدنی اجازه می‌دهد شرط وکالت زوجه برای طلاق به صورت شرط نتیجه یا شرط فعل تنظیم شود و این شرط می‌تواند در خود عقد نکاح یا در عقدی جداگانه (مانند قرارداد تفویض) باشد.,3,5",
6,openai/gpt-oss-120b,5,1,4,"طبق ماده 795 قانون مدنی هبه یک عقد عینی است که برای صحت آن پذیرش موصیه لازم است؛ همچنین وصیت تملیکی نیز به‌عنوان انتقال رایگان مالکیت پس از فوت، از نظر ماهیت شبیه هبه است و پذیرش یا قیض موصیه شرط صحت آن محسوب می‌شود.",9433,3337,1465,4802,216,45,"results{explanation,answer,confidence}:
طبق ماده 795 قانون مدنی هبه یک عقد عینی است که برای صحت آن پذیرش موصیه لازم است؛ همچنین وصیت تملیکی نیز به‌عنوان انتقال رایگان مالکیت پس از فوت، از نظر ماهیت شبیه هبه است و پذیرش یا قیض موصیه شرط صحت آن محسوب می‌شود.,1,4",
7,openai/gpt-oss-120b,5,4,5,"ماده 721 قانون مدنی مقرر می‌دارد که در صورت ضم ذمه به ذمه، هر ضامن فقط به قدر سهم خود نسبت به متعهدله مسئول است؛ لذا مسئولیت به صورت تسهیم است نه تضامنی.",15537,2551,764,3315,153,33,"results{explanation,answer,confidence}:
ماده 721 قانون مدنی مقرر می‌دارد که در صورت ضم ذمه به ذمه، هر ضامن فقط به قدر سهم خود نسبت به متعهدله مسئول است؛ لذا مسئولیت به صورت تسهیم است نه تضامنی.,4,5",
8,openai/gpt-oss-120b,5,2,5,"بر اساس مواد 219‑220 قانون مدنی عدم پرداخت ثمن در مدت یک ماه به فروشنده حق فسخ می‌دهد؛ همچنین طبق قانون حواله (ماده ۲ قانون تجاری) دارنده حواله می‌تواند علیه محال دعوی طلب پرداخت وجه را طرح کند، لذا فروشنده می‌تواند یا قرارداد را فسخ کند یا دعوی طلب مبلغ حواله را علیه محال مطرح نماید.",80601,3604,1354,4958,285,56,"results{explanation,answer,confidence}:
بر اساس مواد 219‑220 قانون مدنی عدم پرداخت ثمن در مدت یک ماه به فروشنده حق فسخ می‌دهد؛ همچنین طبق قانون حواله (ماده ۲ قانون تجاری) دارنده حواله می‌تواند علیه محال دعوی طلب پرداخت وجه را طرح کند، لذا فروشنده می‌تواند یا قرارداد را فسخ کند یا دعوی طلب مبلغ حواله را علیه محال مطرح نماید.,2,5",
9,openai/gpt-oss-120b,5,3,4,"بر اساس اصل عدم مسئولیت در شرایط اضطراری (مضطر) که در ماده ۳۴۸ قانون مدنی و اصول مسئولیت مدنی مبتنی بر تقصیر آمده است، شخصی که به دلیل اضطرار مال غیر را تلف کند، تقصیر ندارد و در نتیجه مسئولیت مدنی نخواهد داشت.",31026,4391,899,5290,210,43,"results{explanation,answer,confidence}:
بر اساس اصل عدم مسئولیت در شرایط اضطراری (مضطر) که در ماده ۳۴۸ قانون مدنی و اصول مسئولیت مدنی مبتنی بر تقصیر آمده است، شخصی که به دلیل اضطرار مال غیر را تلف کند، تقصیر ندارد و در نتیجه مسئولیت مدنی نخواهد داشت.,3,4",
10,openai/gpt-oss-120b,5,2,4,"بر اساس ماده ۸۵۶ قانون مدنی، وصی (قیم) نمی‌تواند به‌صورت یک‌جانبه وظایف خود را به دیگری واگذار کند؛ همچنین تعیین وصی جدید پس از فوت وصی فعلی صرفاً به اختیار دادگاه یا وصی‌گذار (پدر) است و وصی نمی‌تواند به‌خودی خود وصی دیگری منصوب کند.",6227,2865,731,3596,234,44,"results{explanation,answer,confidence}:
بر اساس ماده ۸۵۶ قانون مدنی، وصی (قیم) نمی‌تواند به‌صورت یک‌جانبه وظایف خود را به دیگری واگذار کند؛ همچنین تعیین وصی جدید پس از فوت وصی فعلی صرفاً به اختیار دادگاه یا وصی‌گذار (پدر) است و وصی نمی‌تواند به‌خودی خود وصی دیگری منصوب کند.,2,4",
11,openai/gpt-oss-120b,5,2,5,"تعلیق عقد یا اجرای آن می‌تواند به‌دلیل اراده طرفین یا به‌دلیل وقوع قوه قهریه (قانون) باشد؛ بنابراین ادعای اینکه در هر دو حالت صرفاً ناشی از اراده است، نادرست است.",6842,3205,658,3863,162,30,"results{explanation,answer,confidence}:
تعلیق عقد یا اجرای آن می‌تواند به‌دلیل اراده طرفین یا به‌دلیل وقوع قوه قهریه (قانون) باشد؛ بنابراین ادعای اینکه در هر دو حالت صرفاً ناشی از اراده است، نادرست است.,2,5",
