id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
0,x-ai/grok-4-fast,3,88.0,1.0,"{""3"": 5}",False,6401.0,7043,3,90,انفساخ عقد به معنای فسخ خودبه‌خودی و قهری است که بدون نیاز به اقدام طرفین رخ می‌دهد، طبق مواد ۳۹۹ و ۴۴۲ قانون مدنی. سبب انفساخ می‌تواند ارادی باشد، مانند تخلف از شرط فسخ یا انقضای مدت در عقد جایز. بنابراین، گزینه ۳ با اصول حقوقی انفساخ همخوانی دارد.,,3,90,در حقوق مدنی ایران، انفساخ عقد قهری است و بدون نیاز به اقدام طرفین یا دادگاه رخ می‌دهد، اما سبب آن می‌تواند ارادی باشد، مانند عزل یا استعفاء در عقد وکالت طبق ماده ۶۷۸ قانون مدنی. این امر در عقود جایز مانند وکالت یا اجاره با تخلیه ارادی مستأجر مشاهده می‌شود. بنابراین، سبب انفساخ ممکن است ارادی باشد در حالی که خود انفساخ قهری است.,,3,90,بر اساس ماده ۴۴۲ قانون مدنی، انفساخ عقد قهری است و بدون اراده متعاقدین به سبب حصول شرط پیش‌بینی‌شده در عقد رخ می‌دهد. سبب انفساخ می‌تواند ارادی باشد، مانند اقدامی از سوی یکی از طرفین که شرط انفساخ را محقق سازد. بنابراین، گزینه ۳ با اصول حقوقی انفساخ همخوانی دارد.,,3,80,طبق اصول حقوق مدنی ایران، انفساخ عقد به معنای انحلال قهری و خودکار عقد است، اما سبب آن می‌تواند ارادی باشد، مانند تحقق شرطی که منجر به انفساخ می‌شود. این امر با مواد مرتبط قانون مدنی مانند ماده ۳۹۹ (در عقود جایز) و دکترین فقهی همخوانی دارد که انفساخ را قهری اما سبب‌پذیر از اراده می‌داند.,,3,90,طبق حقوق مدنی ایران، انفساخ عقد قهری است و بدون نیاز به دخالت طرفین یا قاضی، عقد خودبه‌خود منفسخ می‌شود (ماده ۲۳۹ ق.م. در خصوص عقود جایز و لازم). سبب انفساخ می‌تواند ارادی باشد، مانند اقدامی از سوی یکی از طرفین که شرط انفساخ را محقق سازد. بنابراین، گزینه ۳ با اصول حقوقی انفساخ همخوانی دارد.,
1,x-ai/grok-4-fast,1,87.5,0.8,"{""1"": 4, ""2"": 1}",False,18541.4,27727,1,90,طبق ماده ۴ قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه مصوب ۱۳۹۵، بیمه‌گر موظف به جبران دیه رانندگان (شامل مقصر و ثالث) تا سقف تعهدات و خسارات مالی وارد بر وسیله نقلیه ثالث (موتورسیکلت) تا سقف تعهدات است. این پوشش شامل دیه هر دو راننده تا میزان دیه کامل و خسارت به موتورسیکلت می‌شود.,,1,100,طبق تبصره ۲ ماده ۱ قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه مصوب ۱۳۹۵، بیمه‌گر مکلف به جبران خسارات بدنی راننده مقصر (شخص الف) تا سقف تعهدات است. همچنین، دیه و خسارات بدنی شخص ثالث (شخص ب) تا سقف دیه کامل جبران می‌شود. خسارات مالی فقط وسیله ثالث (موتورسیکلت) تا سقف تعهدات تحت پوشش قرار می‌گیرد.,,1,80,طبق ماده ۱۶ قانون بیمه اجباری خسارات وارد شده به شخص ثالث در حوادث رانندگی، بیمه‌گر مکلف به پرداخت دیه تا سقف دیه کامل مرد مسلم است. همچنین بر اساس ماده ۱۸ همان قانون، خسارات مالی وارد بر وسیله نقلیه ثالث (موتورسیکلت) تا سقف تعهدات بیمه‌نامه جبران می‌شود. در این سناریو، دیه هر دو راننده تا دیه کامل و خسارات موتورسیکلت تا سقف تعهدات پوشش داده می‌شود.,,1,80,طبق ماده ۱۶ قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه مصوب ۱۳۹۵، بیمه‌گر موظف به پرداخت دیه اشخاص ثالث تا میزان دیه کامل است. همچنین، بر اساس ماده ۱۷ همان قانون، خسارات مالی وارد بر اموال شخص ثالث مانند موتورسیکلت تا سقف تعهدات جبران می‌شود. در این حادثه، شخص ب به عنوان ثالث شناخته می‌شود و دیه وی تا دیه کامل تحت پوشش قرار می‌گیرد.,,2,90,طبق ماده ۱۸ قانون بیمه اجباری خسارات وارد شده به شخص ثالث، بیمه‌گر تعهدی به جبران دیه راننده مقصر (شخص الف) ندارد و پرداخت محدود به سقف تعهدات (در واقع عدم تعهد) است. دیه شخص ب به عنوان ثالث به هر میزان که طبق قانون (ماده ۲۱) تعلق گیرد، جبران می‌شود. خسارات مالی وارد به موتورسیکلت به عنوان مال ثالث تا سقف تعهدات بیمه (ماده ۸) پرداخت می‌گردد.,
2,x-ai/grok-4-fast,4,90.0,1.0,"{""4"": 5}",False,5658.6,6749,4,80,در حقوق مدنی ایران، تصرف همراه با قصد تملک می‌تواند در مواردی به تنهایی سبب تملک مالکیت شود، مانند اثبات مالکیت در اموال غیرمنقول. بر اساس ماده ۱۴۰۹ قانون مدنی، 'تصرف به عنوان مالکیت در اموال غیر منقول دلیل مالکیت است مگر اینکه خلاف آن ثابت شود.' این امر گزینه ۴ را تأیید می‌کند.,,4,90,طبق ماده ۱۴۰ قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است و می‌تواند به تنهایی سبب تملک تلقی شود. بنابراین، تصرف همراه با قصد تملک در مواردی سبب تملک است.,,4,100,طبق ماده ۱۴۱ قانون مدنی ایران، اموالی که مالک معینی ندارد به تصرف و اقتناء متعلق می‌شود و اقتناء مستلزم قصد تملک است. بنابراین، تصرف همراه با قصد تملک در مواردی مانند اموال بی‌صاحب به تنهایی سبب تملک می‌گردد.,,4,90,بر اساس ماده ۱۴۰ قانون مدنی، تصرف به عنوان مالکیت که همراه با قصد تملک است، سبب تملک اموال غیرمنقول می‌گردد مگر اینکه خلاف آن ثابت شود. بنابراین، تصرف در مواردی به تنهایی سبب تملک است.,,4,90,بر اساس ماده ۳۵ قانون مدنی، تصرف به عنوان مالکیت در اموال منقول دلیل بر مالکیت است و می‌تواند در مواردی به تنهایی سبب تملک تلقی شود. همچنین، در احیای موات طبق ماده ۹۳ قانون مدنی، تصرف احیاکننده سبب تملک مالکیت می‌گردد. بنابراین، گزینه ۴ صحیح است زیرا تصرف در شرایط خاص سبب تملک است.,
3,x-ai/grok-4-fast,4,90.0,1.0,"{""4"": 5}",False,8006.2,8978,4,90,طبق ماده ۱۸ قانون بیمه مصوب ۱۳۱۶، در بیمه‌های مسئولیت مدنی، بیمه‌گر موظف است خسارت وارده را مستقیماً به زیان‌دیدگان پرداخت نماید. در این مورد، با توجه به پوشش کامل بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای، پرداخت دیه کامل مرد مسلمان بر عهده بیمه‌گر است.,,4,90,در بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای، بیمه‌گر مکلف به پرداخت مستقیم خسارت به زیان‌دیدگان است. طبق ماده ۱۰ قانون بیمه مصوب ۱۳۱۶، بیمه‌گر خسارت را به ذی‌نفع می‌پردازد و پزشک مقصر از این امر معاف می‌شود. در موارد فوت ناشی از تقصیر پزشکی، دیه کامل بر عهده بیمه‌گر قرار می‌گیرد.,,4,90,بر اساس ماده ۱۰ قانون بیمه مصوب ۱۳۱۶، بیمه‌گر مسئولیت مدنی در مقابل زیان‌دیدگان مستقیماً مسئول پرداخت خسارات ناشی از تقصیر بیمه‌شده است. در بیمه مسئولیت حرفه‌ای پزشکان طبق قانون بیمه پزشکان و دامپزشکان مصوب ۱۳۸۴، بیمه‌گر موظف به جبران دیه کامل مطالبه‌شده توسط بازماندگان است. بنابراین، پرداخت دیه بر عهده بیمه‌گر مسئولیت مدنی قرار دارد.,,4,90,طبق ماده ۱ قانون بیمه مسئولیت حرفه‌ای پزشکان و دامپزشکان و پیراپزشکان مصوب ۱۳۸۵، بیمه‌گر موظف به جبران خسارات ناشی از تقصیر حرفه‌ای، از جمله دیه در موارد فوت، است. با توجه به پوشش کامل بیمه مسئولیت مدنی، پرداخت دیه کامل مرد مسلمان به بازماندگان بر عهده بیمه‌گر قرار دارد. این امر مستقیماً از تعهد بیمه‌گر در قبال زیان‌دیدگان ناشی می‌شود.,,4,90,طبق ماده ۱۷ قانون بیمه پزشکان و دامپزشکان مصوب ۱۳۸۵، بیمه‌گر مسئولیت مدنی ناشی از تقصیر حرفه‌ای مکلف است خسارت‌های وارده از جمله دیه را مستقیماً به زیان‌دیدگان پرداخت نماید. در این فرض، با توجه به پوشش کامل بیمه، پرداخت دیه کامل مرد مسلمان به بازماندگان بر عهده بیمه‌گر است. این امر با اصل مسئولیت مدنی بیمه‌گر در قبال زیان‌دیدگان همخوانی دارد.,
4,x-ai/grok-4-fast,3,90.0,0.8,"{""3"": 4, ""2"": 1}",False,4954.2,5519,3,90,طبق ماده ۱۱۱۹ قانون مدنی، شروط ضمن عقد نکاح معتبر است و وکالت زن در طلاق می‌تواند به صورت شرط نتیجه (انتقال حق طلاق) یا شرط فعل (تعهد به طلاق) ضمن عقد نکاح یا عقد دیگری مانند وکالت‌نامه بلاعزل تحقق یابد. این امر با مقتضای ذات عقد منافاتی ندارد و در رویه قضایی پذیرفته شده است.,,3,90,طبق ماده ۱۱۱۹ قانون مدنی، طرفین می‌توانند شرایطی از قبیل وکالت در طلاق را به صورت شرط فعل یا نتیجه ضمن عقد نکاح یا عقد دیگری مانند وکالت‌نامه جداگانه معتبر سازند، مشروط بر عدم مخالفت با مقتضای عقد. این امر با اصل آزادی اراده در عقود و فقه امامیه همخوانی دارد. بنابراین گزینه ۳ جامع و صحیح است.,,3,90,طبق ماده ۱۱۱۹ قانون مدنی، وکالت زن در طلاق می‌تواند به عنوان شرط ضمن عقد نکاح به صورت شرط نتیجه یا شرط فعل پیش‌بینی شود. این وکالت همچنین در عقد دیگری مانند وکالت‌نامه جداگانه قابل تحقق است. مواد ۲۳۲ و ۲۳۳ قانون مدنی انواع شروط نتیجه و فعل را مجاز می‌دانند.,,2,90,طبق ماده ۱۱۱۹ قانون مدنی، وکالت زن در طلاق به عنوان شرط فعل ضمن عقد نکاح معتبر است و زوج را ملزم به اعطای وکالت می‌کند. همچنین، این وکالت می‌تواند از طریق عقد وکالت جداگانه (ماده ۶۵۶ ق.م.) نیز محقق شود. این قالب‌ها تحقق شرط وکالت را تضمین می‌کنند.,,3,90,طبق ماده ۱۱۱۹ قانون مدنی، شروط ضمن عقد نکاح می‌تواند شامل شرط نتیجه یا شرط فعل برای وکالت زن در طلاق باشد. علاوه بر عقد نکاح، این وکالت می‌تواند ضمن عقد دیگری مانند عقد وکالت نیز منعقد شود. این امر با اصول فقهی و رویه قضایی ایران سازگار است.,
5,x-ai/grok-4-fast,1,86.7,0.6,"{""1"": 3, ""2"": 1, ""3"": 1}",False,23396.6,27186,1,90,هبه و وصیت تملیکی هر دو عقود عینی تلقی می‌شوند، زیرا انتقال مالکیت در آن‌ها با قبض کامل می‌گردد. قبول ذی‌نفع در هبه (ماده ۷۹۵ ق.م.) و در وصیت تملیکی (ماده ۸۲۶ ق.م.) شرط صحت است. همچنین، قبض شرط انتقال عین در هر دو است (ماده ۸۴۱ ق.م. برای وصیت و ماده ۷۹۶ ق.م. برای هبه).,,2,80,در حقوق ایران، هم در هبه و هم در وصیت تملیکی، امکان تملیک مال به اشخاص غیر محصور مانند فقرا یا عامه وجود دارد که در حکم وقف است. این تشابه بر اساس فقه امامیه و مواد قانونی مربوطه معتبر است. استناد به «ماده ۸۳۹ ق.م.» برای وصیت و قاعده فقهی مشابه برای هبه طبق «ماده ۷۹۵ ق.م.».,,1,90,هبه و وصیت تملیکی هر دو از عقود عینی محسوب می‌شوند و صحت آن‌ها مستلزم قبول و قبض ذی‌نفع است. این تشابه بر اساس ماده ۷۹۵ قانون مدنی برای هبه که عقد عینی است و نیاز به قبض دارد، و مواد ۸۲۵ و ۸۲۶ قانون مدنی برای وصیت تملیکی که با قبول موصی‌له نافذ شده و در صورت قبول قبل از فوت، مانند هبه عینی و نیازمند قبض است، برقرار است.,,3,80,در هبه، رجوع واهب طبق ماده ۸۰۳ ق.م. حتی پس از قبض متهب در موارد خاص ممکن است. در وصیت تملیکی، موصی بر اساس مواد ۸۲۸ و ۸۳۱ ق.م. می‌تواند تا فوت رجوع کند، زیرا تملیک از زمان فوت مؤثر است و قبض پیشین مانع رجوع نیست.,,1,80,هبه و وصیت تملیکی هر دو از عقود تملیکی مجانی هستند و جزو عقود عینی محسوب می‌شوند، زیرا صحت آن‌ها منوط به قبول ذی‌نفع و قبض مال است. در هبه، طبق مواد ۷۹۵ و ۷۹۶ ق.م.، ایجاب و قبول و قبض شرط است. در وصیت تملیکی نیز، قبول موصی‌له (ماده ۸۳۱ ق.م.) و قبض توسط وصی (ماده ۸۶۹ ق.م.) ضروری است.,
6,x-ai/grok-4-fast,1,83.3,0.6,"{""2"": 2, ""1"": 3}",False,14143.8,21305,2,90,در صورت تعدد قیم، هر قیم مسئول حفظ و نگهداری اموال مولی‌علیه است و نسبت به عمل دیگری ضامن نیست مگر اینکه به اتفاق عمل کرده باشند، بنابراین مسئولیت آن‌ها تسهیمی است نه تضامنی. این حکم بر اساس ماده ۶۹ قانون امور حسبی مقرر است.,,2,80,در حقوق ایران، مسئولیت قیم‌ها در قبال زیان به شخص تحت قیمومت، محدود به تقصیر شخصی هر قیم است و تضامنی نیست. طبق ماده ۱۱۸۵ قانون مدنی، قیم مسئول حفظ و تربیت است و قانون امور حسبی (ماده ۵۶) تأکید دارد که هر قیم مسئول اعمال خود است، لذا مسئولیت آن‌ها تسهیمی است. این امر با اصل مسئولیت شخصی در قیمومیت همخوانی دارد.,,1,80,در عقد عاریه طلا و نقره، مسئولیت مستعیران در قبال تلف مال عاریه بر اساس ماده ۶۴۷ قانون مدنی به صورت تعهدی و تسهیمی است، نه تضامنی. هر مستعیر مسئول حفظ مال به قدر تصرف خود محسوب می‌شود و قانون مدنی تعدد متعهدین را بدون ذکر تضامنی، تسهیمی فرض می‌کند.,,1,80,در عاریه طلا و نقره که اموال مثلی محسوب می‌شوند، اگر مال عاریه نزد چند مستعیر تلف شود، مسئولیت آن‌ها به صورت تسهیمی است زیرا عین معین نبوده و ضمان به مثل یا قیمت به نسبت سهم تقسیم می‌گردد. این امر بر اساس ماده ۶۳۷ قانون مدنی (صحت عاریه از مال مثلی) و ماده ۶۴۲ قانون مدنی (ضمان مستعیر در تلف) و قواعد فقهی تسهیم در اموال مثلی مقرر است.,,1,90,در عاریه طلا و نقره که اموال مثلی محسوب می‌شوند، مسئولیت چند مستعیر برای جبران خسارت ناشی از تلف، تسهیمی است زیرا عقد عاریه الزام قراردادی ایجاد می‌کند. طبق ماده ۳۰۱ قانون مدنی، هرگاه چند نفر مدیون دینی واحد شوند مگر در موارد استثنای قانونی، هر یک به قدر حصه خویش ضامن است. این قاعده بر مسئولیت مستعیران در عاریه اعمال شده و تضامنی نیست.,
7,x-ai/grok-4-fast,2,86.0,1.0,"{""2"": 5}",False,6000.0,6628,2,90,طبق ماده ۷۲۷ قانون مدنی، قبول حواله توسط محال‌علیه وی را متعهد به پرداخت طلب محتال می‌نماید، حتی اگر به محیل بدهکار نباشد؛ بنابراین فروشنده می‌تواند برای وصول مبلغ حواله علیه محال‌علیه دعوا طرح کند. از سوی دیگر، با عدم پرداخت واقعی ثمن ظرف مهلت مقرر، شرط فسخ معامله فعال شده و فروشنده حق فسخ دارد (ماده ۳۹۶ قانون مدنی). فروشنده اختیار هر دو اقدام را دارد.,,2,80,بر اساس ماده ۷۳۳ قانون مدنی، محتال (فروشنده) می‌تواند مستقیماً از محال‌علیه مطالبه وجه حواله را بنماید، حتی اگر محال‌علیه به محیل (خریدار) بدهکار نباشد، زیرا قبول حواله الزام‌آور است. همچنین، شرط فسخ معامله در قرارداد معتبر است و فروشنده اختیار فسخ را دارد، چرا که ثمن هنوز پرداخت نشده است. بنابراین، فروشنده می‌تواند هر دو اقدام را انتخاب کند.,,2,90,فروشنده به عنوان محتال، با توجه به قبول حواله توسط محال‌علیه (ماده ۷۲۴ ق.م.)، می‌تواند برای وصول ثمن علیه وی طرح دعوا کند. همچنین، عدم پرداخت ثمن ظرف مهلت مقرر، حق فسخ معامله را طبق شرط مندرج در عقد (ماده ۳۹۹ ق.م.) به وی اعطا می‌نماید. بنابراین، اختیار هر دو اقدام را دارد.,,2,90,طبق مواد ۷۲۵ و ۷۲۶ قانون مدنی، قبول حواله توسط محال‌علیه موجب ضمان وی نسبت به محتال (فروشنده) می‌شود و محتال حق مطالبه مستقیم وجه حواله از محال‌علیه را دارد. همچنین، بر اساس شرط ضمن عقد فروش مندرج در ماده ۳۹۹ قانون مدنی، عدم پرداخت ثمن ظرف مهلت مقرر، فروشنده را صاحب حق فسخ معامله می‌نماید. بنابراین، فروشنده اختیار هر دو اقدام را دارد.,,2,80,طبق مواد ۷۱۹ و ۷۲۶ قانون تجارت، محتال (فروشنده) حق مطالبه وجه حواله از محال‌علیه را دارد و می‌تواند علیه وی طرح دعوا کند. همچنین، شرط فسخ معامله بر عدم پرداخت ثمن (ماده ۲۳۲ قانون مدنی در خصوص شروط ضمن عقد) به فروشنده اجازه فسخ می‌دهد، زیرا حواله بدون وصول، پرداخت قطعی ثمن محسوب نمی‌شود. بنابراین، فروشنده اختیار هر دو اقدام را دارد.,
8,x-ai/grok-4-fast,2,93.3,0.6,"{""2"": 3, ""3"": 2}",False,31768.8,47761,2,100,طبق ماده ۱۲ قانون مسئولیت مدنی، کارفرما و پیمانکار مسئول جبران خسارات ناشی از عمل کارگر یا پیمانکار هستند مگر اینکه ثابت شود تمام احتیاط‌های لازم مطابق اوضاع و احوال را به عمل آورده‌اند. در این صورت، کارفرما فاقد تقصیر بوده و مسئولیت مدنی مبتنی بر تقصیر ندارد.,,2,90,در مسئولیت مدنی مبتنی بر تقصیر، کارفرما طبق ماده ۱۲ قانون مسئولیت مدنی، مسئول زیان‌های ناشی از فعل کارگر است مگر آنکه ثابت کند تمام احتیاط‌های لازم را که عرفاً مقتضی است به عمل آورده است. در این صورت، فقدان تقصیر موجب عدم مسئولیت مدنی او می‌گردد.,,2,90,در حقوق ایران، مسئولیت مدنی کارفرما نسبت به خسارات ناشی از فعل کارگر، در چارچوب مسئولیت مبتنی بر تقصیر، بر اساس ماده ۱۳۸ قانون مدنی است. چنانچه ثابت شود کارفرما تمام احتیاط‌های لازم را مطابق اوضاع و احوال به عمل آورده، تقصیری نداشته و بنابراین مسئول جبران خسارت در برابر زیان‌دیده نخواهد بود. این امر با اصل کلی ماده ۱ قانون مسئولیت مدنی همخوانی دارد که تقصیر را شرط مسئولیت می‌داند.,,3,90,مضطر در حال ضرورت، مال غیر را تلف می‌کند تا ضرر قریب‌الوقوع از خود یا دیگری دفع شود و عمل وی مطابق شرع و عرف است، لذا تقصیری مرتکب نشده و مسئول جبران خسارت نیست. این امر بر اساس استثنای مندرج در ماده ۱۰ قانون مسئولیت مدنی معتبر است.,,3,90,در مسئولیت مدنی مبتنی بر تقصیر، مضطر که مال غیر را به سبب اضطرار تلف می‌کند، ضامن نیست زیرا اضطرار موجب مشروع بودن فعل و ساقط شدن مسئولیت می‌گردد. این حکم صریحاً در ماده ۱۵۹ قانون مدنی مقرر شده است.,
9,x-ai/grok-4-fast,3,82.0,1.0,"{""3"": 5}",False,8444.4,12407,3,80,بر اساس ماده ۸۳۶ قانون مدنی، وصی می‌تواند در حدود صلاحیت خود به دیگری وکالت دهد. همچنین، در صورتی که حق امضا و اداره امور به وی تفویض شده باشد، می‌تواند برای ادامه وصایت پس از فوت خود وصی دیگری تعیین کند، مطابق اصول وکالت و وصایت در مواد ۸۳۱ و ۶۶۷ ق.م.,,3,90,بر اساس ماده ۸۳۲ قانون مدنی، وصی در وصیت عهدی می‌تواند وکالت تفویض کند مگر اینکه منع شده باشد، و همچنین اگر حق توکیل (امضا) به وی اعطا شده باشد، می‌تواند وصی دیگری برای بعد از فوت خود تعیین کند. در این مورد، وصیت پدر برای اداره اموال فرزندان، وصیت عهدی است و تفویض وکالت مجاز است. بنابراین، گزینه ۳ با مقررات قانونی همخوانی دارد.,,3,80,طبق ماده ۸۲۸ قانون مدنی، وصی در حدود وکالت خود می‌تواند به دیگری وکالت دهد. همچنین، اگر حق امضا به وی تفویض شده باشد، بر اساس قواعد وکالت توکیلی در مواد ۶۷۸ و ۶۷۹ قانون مدنی، می‌تواند وکالت بلاعزل با حق توکیل اعطا کند که امکان تعیین وصی جانشین پس از فوت را فراهم می‌سازد.,,3,80,وصی می‌تواند برای انجام وظایف وصایت به دیگری وکالت دهد، زیرا اداره اموال صغیر در حدود اختیارات وصی است. با این حال، تعیین وصی دیگر برای بعد از فوت خود تنها در صورتی ممکن است که موصی حق توکیل یا امضاء را به وصی تفویض کرده باشد. این امر بر اساس مواد ۸۳۲ و ۸۳۷ قانون مدنی مقرر است.,,3,80,طبق ماده ۸۳۱ قانون مدنی، وصیت عهدی به وصی اجازه اداره اموال را می‌دهد که شامل امکان وکالت به دیگری برای انجام وظایف است. همچنین، بر اساس ماده ۶۶۷ قانون مدنی در باب وکالت، اگر حق امضا و اداره کامل به وصی تفویض شده باشد، وی می‌تواند برای بعد از فوت خود وصی دیگری تعیین کند.,
