idx,explanation,model_predict
1,"انفساخ به معنای انحلال قهری عقد است، یعنی با تحقق سبب، عقد خود به خود منحل می‌شود و نیازی به اراده جدید (مانند فسخ) نیست. سبب انفساخ می‌تواند ناشی از اراده طرفین باشد (مانند تحقق شرط فاسخ مندرج در قرارداد)، اما خود عمل انحلال (انفساخ) همواره قهری است و نتیجه مستقیم تحقق سبب است. بنابراین، این گزاره که ""سبب انفساخ عقد ممکن است ارادی باشد اما انفساخ در هر حال قهری است"" صحیح است.",3
2,"بیمه اجباری شخص ثالث، مسئولیت بیمه‌گر را در قبال خسارات جانی شخص ثالث (ب) تا سقف تعهدات جانی بیمه‌نامه و همچنین خسارات جانی شخص بیمه‌شده (الف) تا سقف تعهدات راننده مقصر پوشش می‌دهد. همچنین خسارات مالی وارده به وسیله نقلیه شخص ثالث (موتورسیکلت ب) تا سقف تعهدات مالی جبران می‌شود. گزینه (2) این تفکیک را به درستی بیان می‌کند که دیه الف محدود به سقف تعهدات خود و دیه ب بر اساس میزان قانونی تعلق گرفته (تا سقف تعهدات بیمه‌گر در قبال ثالث) و خسارات مالی موتورسیکلت تا سقف تعهدات خود جبران می‌شود.",2
3,"تملک به معنای کسب مالکیت است. در حقوق مدنی، تصرف همراه با قصد تملک (مانند تصرف به عنوان مالک) یکی از اسباب تملک محسوب می‌شود، هرچند تحقق آن منوط به شرایط قانونی خاصی (مانند مرور زمان) است. بنابراین، این امکان وجود دارد که تصرف به تنهایی (همراه با عنصر روانی قصد تملک) سبب تملک شود.",4
4,"از آنجا که جراح تحت پوشش کامل بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای است، بیمه‌گر متعهد است که خسارت وارده به زیان‌دیده (بازماندگان متوفی) را تا سقف تعهدات مندرج در بیمه‌نامه پرداخت نماید. در نتیجه، پرداخت خسارت در نهایت بر عهده بیمه‌گر مسئولیت مدنی خواهد بود.",4
5,"شرط وکالت زن در طلاق می‌تواند به شکل شرط فعل (تعهد به انجام دادن طلاق) یا شرط نتیجه (اعطای مستقیم حق طلاق) درآید. همچنین، این شرط می‌تواند ضمن عقد نکاح یا به صورت یک عقد مستقل دیگر (مانند عقد وکالت) محقق شود. گزینه (3) هر دو قالب شرط (نتیجه و فعل) و هر دو قالب انعقاد (ضمن عقد نکاح یا عقد دیگر) را پوشش می‌دهد.",3
6,"تشابه اصلی بین هبه و وصیت تملیکی در این است که هر دو در صورت فوت واهب یا موصی قبل از قبول متهب یا موصی‌له، باطل می‌شوند. در هبه، اگر واهب قبل از قبض توسط متهب فوت کند، عقد باطل است (ماده 718 ق.م). در وصیت تملیکی نیز اگر موصی‌له قبل از موصی فوت کند، وصیت باطل است (ماده 829 ق.م).",4
7,"مسئولیت تضامنی زمانی است که هر یک از مسئولین به تنهایی مسئول کل خسارت هستند. مسئولیت تسهیمی زمانی است که هر کس فقط به اندازه سهم خود مسئول است. در مورد چند مستعیر که مال عاریه نزد آنها تلف شده است (به ویژه اگر مال مثلی باشد یا تلف ناشی از تقصیر غیر مشترک باشد)، مسئولیت آنها تسهیمی است. در مقابل، قیم‌ها، عاملان زیان مشترک و ضامنین معمولاً به صورت تضامنی مسئول هستند.",1
8,"فروشنده (محتال) دو حق دارد: اول، اجرای شرط فاسخ قرارداد بیع به دلیل عدم پرداخت ثمن در مهلت مقرر (فسخ معامله). دوم، اجرای تعهد ناشی از حواله قبول شده علیه محال‌علیه. از آنجا که محال‌علیه حواله را قبول کرده است، تعهد مستقلی برای پرداخت به محتال ایجاد شده است و ادعای عدم بدهکاری به محیل (خریدار) مانع از اجرای تعهد در برابر محتال نیست. بنابراین، فروشنده حق انتخاب دارد که یا معامله را فسخ کند یا برای وصول مبلغ حواله علیه محال‌علیه طرح دعوا نماید.",2
9,"مسئولیت مدنی مبتنی بر تقصیر مستلزم احراز تعدی یا تقصیر فاعل است. در مورد کارفرمای مشمول قانون کار، اگر کارفرما بتواند ثابت کند که تمام احتیاط‌های لازم را برای جلوگیری از فعل زیان‌بار کارگر به عمل آورده است، تقصیر از او منتفی شده و در نتیجه مسئولیت مدنی مبتنی بر تقصیر نخواهد داشت.",2
10,"طبق مواد 831 و 832 قانون مدنی، وصی نمی‌تواند وصایت خود را به دیگری منتقل کند (وکالت دهد) و همچنین نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، مگر اینکه موصی (پدر) صراحتاً به او اذن داده باشد. از آنجا که در فرض سؤال اذن صریحی ذکر نشده است، وصی نمی‌تواند هیچ یک از این دو اقدام را انجام دهد.",2
