id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,openai/gpt-4o-mini,4,5,طبق ماده 232 قانون مدنی، انفساخ عقد به صورت قهری است و نمی‌تواند به اراده طرفین وابسته باشد، بنابراین گزینه 4 صحیح است.,3038,1401,49,1450,119,23,"{""explanation"":""طبق ماده 232 قانون مدنی، انفساخ عقد به صورت قهری است و نمی‌تواند به اراده طرفین وابسته باشد، بنابراین گزینه 4 صحیح است."",""answer"":""4"",""confidence"":5}",
2,openai/gpt-4o-mini,2,4,بر اساس ماده 3 قانون بیمه اجباری خسارت وارد به شخص ثالث، بیمه‌گر مسئول جبران دیه شخص زیان‌دیده به هر میزان که قانون تعیین کرده و خسارات مالی تا سقف تعهدات خود است.,2201,1530,65,1595,163,33,"{""explanation"":""بر اساس ماده 3 قانون بیمه اجباری خسارت وارد به شخص ثالث، بیمه‌گر مسئول جبران دیه شخص زیان‌دیده به هر میزان که قانون تعیین کرده و خسارات مالی تا سقف تعهدات خود است."",""answer"":""2"",""confidence"":4}",
3,openai/gpt-4o-mini,4,4,طبق ماده 30 قانون مدنی، تصرف به همراه قصد تملک می‌تواند سبب مملکیت باشد و در برخی موارد، تصرف به تنهایی نیز می‌تواند موجب تملک شود.,1501,1402,55,1457,131,26,"{""explanation"":""طبق ماده 30 قانون مدنی، تصرف به همراه قصد تملک می‌تواند سبب مملکیت باشد و در برخی موارد، تصرف به تنهایی نیز می‌تواند موجب تملک شود."",""answer"":""4"",""confidence"":4}",
4,openai/gpt-4o-mini,2,4,طبق ماده 1 قانون بیمه مسئولیت مدنی، بیمه‌گر مسئولیت مدنی موظف به جبران خسارت ناشی از تقصیر پزشک است، اما پزشک نیز به عنوان مقصر مسئولیت اولیه را دارد و می‌تواند خسارت را از بیمه‌گر مطالبه کند.,1878,1475,77,1552,192,37,"{""explanation"":""طبق ماده 1 قانون بیمه مسئولیت مدنی، بیمه‌گر مسئولیت مدنی موظف به جبران خسارت ناشی از تقصیر پزشک است، اما پزشک نیز به عنوان مقصر مسئولیت اولیه را دارد و می‌تواند خسارت را از بیمه‌گر مطالبه کند."",""answer"":""2"",""confidence"":4}",
5,openai/gpt-4o-mini,3,4,طبق ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل در ضمن عقد نکاح یا عقد دیگری تحقق یابد.,1388,1383,50,1433,123,27,"{""explanation"":""طبق ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل در ضمن عقد نکاح یا عقد دیگری تحقق یابد."",""answer"":""3"",""confidence"":4}",
6,openai/gpt-4o-mini,2,4,طبق ماده 795 قانون مدنی، هبه و وصیت تملیکی هر دو از عقود تملیکی هستند، اما در هبه، قبول و قیض شرط صحت است و در وصیت، این شرط وجود ندارد. بنابراین گزینه 3 صحیح نیست.,1821,1439,67,1506,164,36,"{""explanation"":""طبق ماده 795 قانون مدنی، هبه و وصیت تملیکی هر دو از عقود تملیکی هستند، اما در هبه، قبول و قیض شرط صحت است و در وصیت، این شرط وجود ندارد. بنابراین گزینه 3 صحیح نیست."",""answer"":""2"",""confidence"":4}",
7,openai/gpt-4o-mini,1,4,طبق ماده 515 قانون مدنی، در مواردی که چند نفر به طور مشترک مسئولیت دارند و مسئولیت آنها به صورت تسهیمی است، مانند چند مستعیر که مال عاریه نزد آنها تلف شده باشد، مسئولیت آنها به تسهیم تقسیم می‌شود.,1875,1437,71,1508,196,39,"{""explanation"":""طبق ماده 515 قانون مدنی، در مواردی که چند نفر به طور مشترک مسئولیت دارند و مسئولیت آنها به صورت تسهیمی است، مانند چند مستعیر که مال عاریه نزد آنها تلف شده باشد، مسئولیت آنها به تسهیم تقسیم می‌شود."",""answer"":""1"",""confidence"":4}",
8,openai/gpt-4o-mini,2,4,طبق ماده 265 قانون مدنی، محیل می‌تواند در صورت عدم پرداخت وجه حواله، علیه محال علیه دعوا کند و همچنین حق فسخ معامله را نیز دارد، بنابراین هر دو گزینه برای او ممکن است.,1658,1498,58,1556,167,34,"{""explanation"":""طبق ماده 265 قانون مدنی، محیل می‌تواند در صورت عدم پرداخت وجه حواله، علیه محال علیه دعوا کند و همچنین حق فسخ معامله را نیز دارد، بنابراین هر دو گزینه برای او ممکن است."",""answer"":""2"",""confidence"":4}",
9,openai/gpt-4o-mini,2,4,طبق ماده 328 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و در مواردی که شخصی به دلیل عدم توانایی در جبران خسارت یا عدم تقصیر مسئولیت نداشته باشد، از جمله کارفرما در صورت رعایت احتیاط، مسئولیت نخواهد داشت.,2680,1472,79,1551,204,39,"{""explanation"":""طبق ماده 328 قانون مدنی، مسئولیت مدنی مبتنی بر تقصیر است و در مواردی که شخصی به دلیل عدم توانایی در جبران خسارت یا عدم تقصیر مسئولیت نداشته باشد، از جمله کارفرما در صورت رعایت احتیاط، مسئولیت نخواهد داشت."",""answer"":""2"",""confidence"":4}",
10,openai/gpt-4o-mini,4,4,طبق ماده 84 قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، اما می‌تواند در زمان حیات خود به دیگری وکالت دهد.,1431,1496,50,1546,128,26,"{""explanation"":""طبق ماده 84 قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، اما می‌تواند در زمان حیات خود به دیگری وکالت دهد."",""answer"":""4"",""confidence"":4}",
