id,model,rag_top_k,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,openai/gpt-4o-mini,5,4,5,"بر اساس ماده 224 قانون مدنی، انفساخ عقد به معنای پایان یافتن آن به صورت قهری است و نمی‌تواند به اراده طرفین وابسته باشد؛ بنابراین، انفساخ به صورت قهری و غیر ارادی است.",3566,4015,67,4082,167,33,"results{explanation,answer,confidence}:
بر اساس ماده 224 قانون مدنی، انفساخ عقد به معنای پایان یافتن آن به صورت قهری است و نمی‌تواند به اراده طرفین وابسته باشد؛ بنابراین، انفساخ به صورت قهری و غیر ارادی است.,4,5",
2,openai/gpt-4o-mini,5,2,4,"بر اساس ماده 14 قانون بیمه اجباری، بیمه‌گر مکلف است خسارت زیان‌دیده را بدون هیچ شرط و اخذ تضمین پرداخت کند و در این مورد، دیه شخص «ب» به هر میزان که طبق قانون تعلق گیرد و خسارات مالی وارده به موتورسیکلت تا سقف تعهدات بیمه‌گر پرداخت می‌شود.",3909,4595,94,4689,239,48,"results{explanation,answer,confidence}:
بر اساس ماده 14 قانون بیمه اجباری، بیمه‌گر مکلف است خسارت زیان‌دیده را بدون هیچ شرط و اخذ تضمین پرداخت کند و در این مورد، دیه شخص «ب» به هر میزان که طبق قانون تعلق گیرد و خسارات مالی وارده به موتورسیکلت تا سقف تعهدات بیمه‌گر پرداخت می‌شود.,2,4",
3,openai/gpt-4o-mini,5,4,4,"طبق ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است و در صورتی که تصرف همراه با قصد تملک باشد، می‌تواند به عنوان سبب مملک محسوب شود.",4087,2438,58,2496,141,29,"results{explanation,answer,confidence}:
طبق ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است و در صورتی که تصرف همراه با قصد تملک باشد، می‌تواند به عنوان سبب مملک محسوب شود.,4,4",
4,openai/gpt-4o-mini,5,4,4,"بر اساس ماده 2 قانون مسئولیت مدنی و با توجه به اینکه پزشک تحت پوشش بیمه مسئولیت مدنی است، مسئولیت پرداخت دیه به عهده بیمه‌گر مسئولیت مدنی است و پزشک می‌تواند پس از پرداخت، مبلغ را از بیمه‌گر مسترد کند.",3526,4224,79,4303,201,40,"results{explanation,answer,confidence}:
بر اساس ماده 2 قانون مسئولیت مدنی و با توجه به اینکه پزشک تحت پوشش بیمه مسئولیت مدنی است، مسئولیت پرداخت دیه به عهده بیمه‌گر مسئولیت مدنی است و پزشک می‌تواند پس از پرداخت، مبلغ را از بیمه‌گر مسترد کند.,4,4",
5,openai/gpt-4o-mini,5,3,4,"بر اساس ماده 1119 قانون مدنی، وکالت زن در طلاق می‌تواند به شکل شرط فعل یا شرط نتیجه ضمن عقد نکاح یا عقد دیگری محقق شود، بنابراین گزینه 3 صحیح است.",4043,4372,57,4429,146,31,"results{explanation,answer,confidence}:
بر اساس ماده 1119 قانون مدنی، وکالت زن در طلاق می‌تواند به شکل شرط فعل یا شرط نتیجه ضمن عقد نکاح یا عقد دیگری محقق شود، بنابراین گزینه 3 صحیح است.,3,4",
6,openai/gpt-4o-mini,5,3,4,"هر دو «هبه» و «وصیت تملیکی» به موجب مواد 826 و 795 قانون مدنی، به تملیک مال به دیگری اشاره دارند و در هر دو مورد، امکان رجوع برای واهب و موصی وجود دارد، حتی اگر مال قبض شده باشد. بنابراین گزینه 3 صحیح است.",2810,3269,81,3350,205,45,"results{explanation,answer,confidence}:
هر دو «هبه» و «وصیت تملیکی» به موجب مواد 826 و 795 قانون مدنی، به تملیک مال به دیگری اشاره دارند و در هر دو مورد، امکان رجوع برای واهب و موصی وجود دارد، حتی اگر مال قبض شده باشد. بنابراین گزینه 3 صحیح است.,3,4",
7,openai/gpt-4o-mini,5,4,4,"طبق ماده 721 قانون مدنی، در صورتی که چند ضامن به صورت ضم ذمه به ذمه ضمانت کرده باشند، مسئولیت آنها به تسهیم تقسیم می‌شود و هر یک فقط به قدر سهم خود مسئول است.",3250,2521,63,2584,158,35,"results{explanation,answer,confidence}:
طبق ماده 721 قانون مدنی، در صورتی که چند ضامن به صورت ضم ذمه به ذمه ضمانت کرده باشند، مسئولیت آنها به تسهیم تقسیم می‌شود و هر یک فقط به قدر سهم خود مسئول است.,4,4",
8,openai/gpt-4o-mini,5,2,4,"بر اساس ماده 219 قانون مدنی، فروشنده در صورت عدم پرداخت ثمن حق فسخ معامله را دارد و همچنین می‌تواند برای دریافت مبلغ حواله علیه محال علیه طرح دعوا کند، بنابراین گزینه 2 صحیح است.",2986,3541,61,3602,178,35,"results{explanation,answer,confidence}:
بر اساس ماده 219 قانون مدنی، فروشنده در صورت عدم پرداخت ثمن حق فسخ معامله را دارد و همچنین می‌تواند برای دریافت مبلغ حواله علیه محال علیه طرح دعوا کند، بنابراین گزینه 2 صحیح است.,2,4",
9,openai/gpt-4o-mini,5,4,4,"بر اساس اصول مسئولیت مدنی، در صورتی که شخصی در شرایط اضطرار یا اکراه قرار داشته باشد، مسئولیت مدنی او به دلیل عدم وجود تقصیر محقق نمی‌شود. بنابراین، مکره در اکراه غیر مادی مسئولیت نخواهد داشت.",3656,4328,72,4400,192,36,"results{explanation,answer,confidence}:
بر اساس اصول مسئولیت مدنی، در صورتی که شخصی در شرایط اضطرار یا اکراه قرار داشته باشد، مسئولیت مدنی او به دلیل عدم وجود تقصیر محقق نمی‌شود. بنابراین، مکره در اکراه غیر مادی مسئولیت نخواهد داشت.,4,4",
10,openai/gpt-4o-mini,5,4,4,"طبق ماده 1188 قانون مدنی، وصی تعیین شده از طرف پدر می‌تواند برای اداره اموال فرزندان صغیر وکالت دهد، اما نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، زیرا این حق به وصی داده نشده است.",3006,2803,71,2874,189,38,"results{explanation,answer,confidence}:
طبق ماده 1188 قانون مدنی، وصی تعیین شده از طرف پدر می‌تواند برای اداره اموال فرزندان صغیر وکالت دهد، اما نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، زیرا این حق به وصی داده نشده است.,4,4",
