id,model,answer,confidence,latency_ms,raw,error
1,google/gemini-2.5-flash,3,4,1682,"{""answer"":""3"",""confidence"":4}",
2,google/gemini-2.5-flash,2,4,710,"{""answer"":""2"",""confidence"":4}",
3,google/gemini-2.5-flash,4,4,1083,"{""answer"":""4"",""confidence"":4}",
4,google/gemini-2.5-flash,4,4,555,"{""answer"":""4"",""confidence"":4}",
5,google/gemini-2.5-flash,3,4,462,"{""answer"":""3"",""confidence"":4}",
6,google/gemini-2.5-flash,2,3,462,"{""answer"":""2"",""confidence"":3}",
7,google/gemini-2.5-flash,4,4,560,"{""answer"":""4"",""confidence"":4}",
8,google/gemini-2.5-flash,2,3,573,"{""answer"":""2"",""confidence"":3}",
9,google/gemini-2.5-flash,2,4,462,"{""answer"":""2"",""confidence"":4}",
10,google/gemini-2.5-flash,4,4,531,"{""answer"":""4"",""confidence"":4}",
11,google/gemini-2.5-flash,2,3,673,"{""answer"":""2"",""confidence"":3}",
12,google/gemini-2.5-flash,4,4,618,"{""answer"":""4"",""confidence"":4}",
13,google/gemini-2.5-flash,1,2,460,"{""answer"":""1"",""confidence"":2}",
14,google/gemini-2.5-flash,4,4,614,"{""answer"":""4"",""confidence"":4}",
15,google/gemini-2.5-flash,2,4,556,"{""answer"":""2"",""confidence"":4}",
16,google/gemini-2.5-flash,2,4,616,"{""answer"":""2"",""confidence"":4}",
17,google/gemini-2.5-flash,3,3,639,"{""answer"":""3"",""confidence"":3}",
18,google/gemini-2.5-flash,2,4,1360,"{""answer"":""2"",""confidence"":4}",
19,google/gemini-2.5-flash,2,3,550,"{""answer"":""2"",""confidence"":3}",
20,google/gemini-2.5-flash,4,3,631,"{""answer"":""4"",""confidence"":3}",
21,google/gemini-2.5-flash,2,4,448,"{""answer"":""2"",""confidence"":4}",
22,google/gemini-2.5-flash,4,4,545,"{""answer"":""4"",""confidence"":4}",
23,google/gemini-2.5-flash,4,4,548,"{""answer"":""4"",""confidence"":4}",
24,google/gemini-2.5-flash,2,4,546,"{""answer"":""2"",""confidence"":4}",
25,google/gemini-2.5-flash,2,4,459,"{""answer"":""2"",""confidence"":4}",
26,google/gemini-2.5-flash,1,4,480,"{""answer"":""1"",""confidence"":4}",
27,google/gemini-2.5-flash,2,4,625,"{""answer"":""2"",""confidence"":4}",
28,google/gemini-2.5-flash,1,3,472,"{""answer"":""1"",""confidence"":3}",
29,google/gemini-2.5-flash,2,4,461,"{""answer"":""2"",""confidence"":4}",
30,google/gemini-2.5-flash,2,3,587,"{""answer"":""2"",""confidence"":3}",
31,google/gemini-2.5-flash,1,3,604,"{""answer"":""1"",""confidence"":3}",
32,google/gemini-2.5-flash,2,4,446,"{""answer"":""2"",""confidence"":4}",
33,google/gemini-2.5-flash,3,4,452,"{""answer"":""3"",""confidence"":4}",
34,google/gemini-2.5-flash,2,3,560,"{""answer"":""2"",""confidence"":3}",
35,google/gemini-2.5-flash,1,3,406,"{""answer"":""1"",""confidence"":3}",
36,google/gemini-2.5-flash,1,4,562,"{""answer"":""1"",""confidence"":4}",
37,google/gemini-2.5-flash,2,4,451,"{""answer"":""2"",""confidence"":4}",
38,google/gemini-2.5-flash,3,4,590,"{""answer"":""3"",""confidence"":4}",
39,google/gemini-2.5-flash,3,4,583,"{""answer"":""3"",""confidence"":4}",
40,google/gemini-2.5-flash,2,4,596,"{""answer"":""2"",""confidence"":4}",
41,google/gemini-2.5-flash,1,3,550,"{""answer"":""1"",""confidence"":3}",
42,google/gemini-2.5-flash,2,4,560,"{""answer"":""2"",""confidence"":4}",
43,google/gemini-2.5-flash,2,4,476,"{""answer"":""2"",""confidence"":4}",
44,google/gemini-2.5-flash,3,4,564,"{""answer"":""3"",""confidence"":4}",
45,google/gemini-2.5-flash,4,4,653,"{""answer"":""4"",""confidence"":4}",
46,google/gemini-2.5-flash,3,3,565,"{""answer"":""3"",""confidence"":3}",
47,google/gemini-2.5-flash,4,4,551,"{""answer"":""4"",""confidence"":4}",
48,google/gemini-2.5-flash,1,4,552,"{""answer"":""1"",""confidence"":4}",
49,google/gemini-2.5-flash,3,4,625,"{""answer"":""3"",""confidence"":4}",
50,google/gemini-2.5-flash,3,4,487,"{""answer"":""3"",""confidence"":4}",
51,google/gemini-2.5-flash,3,4,641,"{""answer"":""3"",""confidence"":4}",
52,google/gemini-2.5-flash,2,4,471,"{""answer"":""2"",""confidence"":4}",
53,google/gemini-2.5-flash,4,4,647,"{""answer"":""4"",""confidence"":4}",
54,google/gemini-2.5-flash,2,4,505,"{""answer"":""2"",""confidence"":4}",
55,google/gemini-2.5-flash,4,3,586,"{""answer"":""4"",""confidence"":3}",
56,google/gemini-2.5-flash,2,4,1241,"{""answer"":""2"",""confidence"":4}",
57,google/gemini-2.5-flash,3,4,611,"{""answer"":""3"",""confidence"":4}",
58,google/gemini-2.5-flash,4,4,1292,"{""answer"":""4"",""confidence"":4}",
59,google/gemini-2.5-flash,3,4,571,"{""answer"":""3"",""confidence"":4}",
60,google/gemini-2.5-flash,1,4,606,"{""answer"":""1"",""confidence"":4}",
81,google/gemini-2.5-flash,2,4,541,"{""answer"":""2"",""confidence"":4}",
82,google/gemini-2.5-flash,3,4,2411,"{""answer"":""3"",""confidence"":4}",
83,google/gemini-2.5-flash,1,4,634,"{""answer"":""1"",""confidence"":4}",
84,google/gemini-2.5-flash,1,4,595,"{""answer"":""1"",""confidence"":4}",
85,google/gemini-2.5-flash,2,3,517,"{""answer"":""2"",""confidence"":3}",
86,google/gemini-2.5-flash,1,4,704,"{""answer"":""1"",""confidence"":4}",
87,google/gemini-2.5-flash,4,4,572,"{""answer"":""4"",""confidence"":4}",
88,google/gemini-2.5-flash,1,4,609,"{""answer"":""1"",""confidence"":4}",
89,google/gemini-2.5-flash,4,3,848,"{""answer"":""4"",""confidence"":3}",
90,google/gemini-2.5-flash,3,4,588,"{""answer"":""3"",""confidence"":4}",
91,google/gemini-2.5-flash,4,4,609,"{""answer"":""4"",""confidence"":4}",
92,google/gemini-2.5-flash,1,3,552,"{""answer"":""1"",""confidence"":3}",
93,google/gemini-2.5-flash,4,4,592,"{""answer"":""4"",""confidence"":4}",
94,google/gemini-2.5-flash,3,3,627,"{""answer"":""3"",""confidence"":3}",
95,google/gemini-2.5-flash,2,2,1411,"{""answer"":""2"",""confidence"":2}",
96,google/gemini-2.5-flash,3,4,626,"{""answer"":""3"",""confidence"":4}",
97,google/gemini-2.5-flash,2,4,562,"{""answer"":""2"",""confidence"":4}",
98,google/gemini-2.5-flash,4,3,582,"{""answer"":""4"",""confidence"":3}",
99,google/gemini-2.5-flash,4,3,592,"{""answer"":""4"",""confidence"":3}",
100,google/gemini-2.5-flash,4,3,613,"{""answer"":""4"",""confidence"":3}",
101,google/gemini-2.5-flash,2,4,664,"{""answer"":""2"",""confidence"":4}",
102,google/gemini-2.5-flash,4,4,768,"{""answer"":""4"",""confidence"":4}",
103,google/gemini-2.5-flash,4,4,755,"{""answer"":""4"",""confidence"":4}",
104,google/gemini-2.5-flash,1,4,608,"{""answer"":""1"",""confidence"":4}",
105,google/gemini-2.5-flash,4,4,414,"{""answer"":""4"",""confidence"":4}",
106,google/gemini-2.5-flash,4,4,605,"{""answer"":""4"",""confidence"":4}",
107,google/gemini-2.5-flash,2,4,613,"{""answer"":""2"",""confidence"":4}",
108,google/gemini-2.5-flash,4,4,649,"{""answer"":""4"",""confidence"":4}",
109,google/gemini-2.5-flash,3,4,615,"{""answer"":""3"",""confidence"":4}",
110,google/gemini-2.5-flash,2,4,812,"{""answer"":""2"",""confidence"":4}",
111,google/gemini-2.5-flash,1,4,595,"{""answer"":""1"",""confidence"":4}",
112,google/gemini-2.5-flash,3,4,609,"{""answer"":""3"",""confidence"":4}",
113,google/gemini-2.5-flash,1,4,552,"{""answer"":""1"",""confidence"":4}",
114,google/gemini-2.5-flash,3,4,588,"{""answer"":""3"",""confidence"":4}",
115,google/gemini-2.5-flash,2,4,577,"{""answer"":""2"",""confidence"":4}",
116,google/gemini-2.5-flash,4,4,509,"{""answer"":""4"",""confidence"":4}",
117,google/gemini-2.5-flash,3,4,457,"{""answer"":""3"",""confidence"":4}",
118,google/gemini-2.5-flash,2,4,603,"{""answer"":""2"",""confidence"":4}",
119,google/gemini-2.5-flash,1,4,657,"{""answer"":""1"",""confidence"":4}",
120,google/gemini-2.5-flash,3,4,546,"{""answer"":""3"",""confidence"":4}",
121,google/gemini-2.5-flash,2,5,766,"{""answer"":""2"",""confidence"":5}",
122,google/gemini-2.5-flash,4,5,444,"{""answer"":""4"",""confidence"":5}",
