id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
1,google/gemini-2.5-flash-lite,3,90,1,"{""3"": 5}",FALSE,3091.4,3410,3,90,"انفساخ عقد به معنای انحلال قهری آن است و ممکن است سبب آن ارادی باشد، مانند شرطی که طرفین به صورت ارادی در قرارداد گنجانده‌اند و در صورت تحقق، باعث انفساخ عقد می‌شود. اما خود انفساخ، یعنی پایان یافتن عقد، به صورت قهری و بدون نیاز به اراده طرفین یا حکم دادگاه رخ می‌دهد.",,3,90,"طبق ماده 222 قانون مدنی، انفساخ عقد در صورت تحقق شرط مزبور به عمل می‌آید و این شرط می‌تواند ارادی باشد. با این حال، خود انفساخ به محض تحقق شرط، قهری است و نیازی به اعلام ندارد.",,3,90,"انفساخ به معنی انحلال قهری عقد است و ممکن است سبب آن ارادی باشد، مانند شرط انفساخ در عقد که اراده طرفین در ایجاد آن دخیل بوده است. اما خود انحلال در زمان تحقق شرط، قهری و خارج از اراده طرفین است.",,3,90,"انفساخ به معنای انقضای اثر عقد است و می‌تواند ناشی از اراده طرفین (مانند شرط انفساخ) یا حکم قانون باشد. بنابراین، سبب انفساخ می‌تواند ارادی باشد، هرچند خود انفساخ در صورت تحقق سبب، به صورت قهری رخ می‌دهد. این امر با مفهوم شرط ضمن عقد که در قانون مدنی پیش‌بینی شده، مطابقت دارد. (ماده 449 ق.م.)",,3,90,"انفساخ عقد به صورت قهری و خود به خودی است و به اراده طرفین وابسته نیست. با این حال، سبب انفساخ می‌تواند ارادی باشد، به عنوان مثال، شرطی که در قرارداد درج می‌شود و در صورت تحقق، منجر به انفساخ می‌شود. این امر با ماهیت قهری انفساخ منافاتی ندارد زیرا خود انفساخ پس از تحقق شرط، خود به خود رخ می‌دهد. به موجب ماده 445 قانون مدنی، اثر فسخ یا انفساخ در عقود جایزه، از زمان وقوع آن است و در عقود لازمه، اثر آن نسبت به آینده است، که نشان‌دهنده ماهیت قهری و خودبه‌خودی انفساخ است.",
2,google/gemini-2.5-flash-lite,2,80,0.6,"{""4"": 1, ""2"": 3, ""1"": 1}",FALSE,1036.2,1168,4,80,"طبق قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان در حوادث رانندگی، بیمه‌گر وسیله نقلیه مقصر، مکلف به جبران دیات بدنی و خسارات مالی وارده به زیان‌دیدگان (اعم از راننده، سرنشین یا عابر) تا سقف تعهدات مندرج در بیمه‌نامه و قانون است. این شامل دیه راننده مقصر نیز می‌شود.",,2,80,"طبق ماده 1 قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان ناشی از حوادث انواع وسایل نقلیه، بیمه‌گر موظف است خسارت بدنی و مالی وارد شده به زیان‌دیدگان را جبران کند. در این حادثه، شخص «ب» (موتورسوار) زیان‌دیده است و بیمه «الف» مسئول جبران دیه او تا سقف تعهدات بیمه‌نامه و همچنین خسارات مالی وارد شده به موتورسیکلت تا سقف تعهدات است.",,2,80,"طبق قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان اعم از صدمات بدنی و مالی را تا سقف تعهدات بیمه‌گر جبران می‌کند. در تصادفات منجر به جرح یا فوت، بیمهگر مسئول جبران دیه زیان‌دیده تا میزان مقرر در قانون است. همچنین خسارات مالی وارده به زیان‌دیده نیز تا سقف تعهدات بیمه‌گر جبران می‌گردد.",,1,90,"بر اساس قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان ناشی از حوادث بند (ب) ماده 19 قانون مذکور، شرکت بیمه مکلف به پرداخت دیه و خسارات بدنی و مالی زیان‌دیده تا سقف تعهدات مندرج در بیمه‌نامه است. در این حادثه، زیان‌دیده شخص «ب» (موتورسوار) است و بیمه‌گر مسئول جبران دیه وی تا سقف تعهدات و همچنین خسارات مالی وارد به موتورسیکلت وی تا سقف تعهدات نیز می‌باشد.",,2,80,"طبق قانون بیمه اجباری خسارات وارد شده به زیان‌دیدگان اعم از صدمات بدنی و خسارات مالی که ناشی از تقصیر راننده مقصر باشد، توسط بیمه گر مسبب حادثه جبران می‌شود. در این حادثه، شخص الف ۱۰۰٪ مقصر است و بیمه اجباری وی مسئول جبران دیه شخص ب و خسارات مالی موتورسیکلت وی تا سقف تعهدات بیمه‌نامه و همچنین دیه شخص الف در صورت داشتن پوشش بیمه‌ای مناسب و خسارات مالی خودروی وی تا سقف تعهدات است. با این حال، با توجه به گزینه‌ها، گزینه ۲ به بهترین شکل مسئولیت بیمه‌گر در قبال زیان‌دیدگان حادثه را با لحاظ نمودن سقف تعهدات و میزان دیه قانونی بیان می‌کند.",
3,google/gemini-2.5-flash-lite,4,87.5,0.8,"{""4"": 4}",FALSE,1120.6,2289,4,90,"طبق ماده 160 قانون مدنی، تصرف به عنوان یکی از اسباب تملک شناخته شده است. در مواردی که تصرف با قصد تملک همراه باشد، می‌تواند به تنهایی موجب مالکیت گردد، مانند تصرف در اموال بلاصاحب.",,4,90,"طبق ماده 147 قانون مدنی، تصرفی که با قصد تملک همراه باشد، می‌تواند یکی از اسباب مالکیت باشد. این ماده تصرف را به عنوان یکی از راه‌های احراز مالکیت در نظر گرفته است. بنابراین، تصرف به تنهایی و با وجود قصد تملک، می‌تواند سبب تملک قرار گیرد.",,4,90,"بر اساس ماده 147 قانون مدنی، تصرفی که با قصد تملک همراه باشد، می‌تواند در حکم تصرفی باشد که مالک آن را اجازه داده است و در نتیجه منجر به مالکیت شود. این اصل در مواردی که تصرف بدون اذن مالک صورت گرفته اما با قصد مالک شدن است، کاربرد دارد.",,4,80,"بر اساس ماده 269 قانون مدنی، تصرفی که در تصرفات غیرقانونی وارد شده است، در صورتی که با قصد تملک باشد، می‌تواند سبب مالکیت شود. تصرف به تنهایی و بدون مواردی دیگر، مانند تصرف عدوانی، نمی‌تواند سبب تملک شود.",,,,,No valid JSON in response
4,google/gemini-2.5-flash-lite,2,85,0.33,"{""4"": 2, ""2"": 2, ""1"": 2}",TRUE,1127.5,2477,4,80,"مطابق ماده 60 قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه مصوب 1393، بیمه‌گر مکلف است خسارت بدنی وارده به زیان‌دیدگان را در حدود تعهدات خود بپردازد. با توجه به اینکه تقصیر پزشک حرفه‌ای محسوب می‌شود و بیمه مسئولیت وی پوشش کامل دارد، بیمه‌گر مسئولیت مدنی در ابتدا پرداخت کننده خسارت است.",,2,80,"طبق ماده 59 قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، در صورتیکه بیمه گر اعسار یا ورشکستگی داشته باشد، صندوق تامین خسارات بدنی مکلف به پرداخت خسارت است. همچنین، با توجه به اصول کلی مسئولیت مدنی، پزشک مقصر در قبال زیان دیدگان مسئول است و می تواند خسارت پرداختی را از بیمه گر خود مطالبه کند.",,1,80,"طبق ماده 59 قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، در صورت تقصیر راننده و وجود بیمه، بیمه‌گر ابتدا خسارت را پرداخت و سپس در صورت اثبات عدم پوشش بیمه یا فراتر رفتن خسارت از تعهدات بیمه، صندوق تأمین خسارات بدنی وارد عمل می‌شود. در این مورد خاص، با توجه به پوشش بیمه مسئولیت مدنی پزشک، بیمه‌گر مسئولیت مدنی ابتدا باید خسارت را پرداخت کند و در صورت عدم کفایت یا وجود شرایط خاص، صندوق تأمین خسارات بدنی نیز ممکن است دخیل شود.",,2,90,"مطابق ماده 1 قانون مسئولیت مدنی، هر کس بدون مجوز قانونی عمداً یا در نتیجه بی‌احتیاطی به جان یا سلامتی یا مال یا آزادی یا حیثیت یا شهرت تجارتی یا به هر حق دیگر که به موجب قانون برای اشخاص به رسمیت شناخته شده لطمه وارد نماید که موجب ضرر مادی یا معنوی دیگران شود مسئول جبران خسارت ناشی از عمل خود است. در فرض سؤال، پزشک مقصر است و طبق ماده 729 قانون مجازات اسلامی، در موارد قصور یا تقصیر پزشک در معالجاتی که منجر به فوت یا نقص عضو شود، مسئول پرداخت دیه است. بیمه‌گر نیز طبق قرارداد بیمه مسئولیت مدنی، مکلف به جبران خسارت است.",,4,80,"طبق ماده 59 قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث سوانح وسایل نقلیه مصوب 1397، در صورتیکه بیمه‌گر به علت ورشکستگی یا دلایل دیگر قادر به پرداخت خسارت نباشد، صندوق تأمین خسارتهای بدنی مسئول پرداخت خسارت خواهد بود. همچنین، ماده 10 همین قانون، بیمه‌گر را مکلف به پرداخت خسارت تا سقف تعهدات خود کرده است. در فرض سوال، با توجه به اینکه پزشک مقصر است و تحت پوشش بیمه مسئولیت مدنی حرفه ای قرار دارد، بیمه‌گر اولیه مسئول پرداخت خسارت است و در صورت عدم توانایی بیمه‌گر، صندوق تأمین خسارتهای بدنی وارد عمل می‌شود. اما با توجه به گزینه‌ها و فرض اینکه بیمه‌گر مسئولیت مدنی فعال و قادر به پرداخت است، گزینه 4 اولویت دارد. اگرچه در برخی موارد خاص و با توجه به شرایط ورشکستگی یا عدم پوشش کامل بیمه، صندوق تامین خسارات بدنی نیز دخیل می‌شود، اما اصل بر پرداخت توسط بیمه‌گر است.",
5,google/gemini-2.5-flash-lite,1,90,0.6,"{""1"": 3, ""3"": 1}",FALSE,1109.6,1923,1,90,"طبق ماده 1119 قانون مدنی، زن می‌تواند در ضمن عقد نکاح، شرط کند که به او اجازه داده شود تا از شخصی وکالت در طلاق داشته باشد. این شرط می‌تواند به صورت شرط فعل (دادن وکالت) یا شرط نتیجه (حق داشتن وکالت در طلاق) باشد و مختص عقد نکاح است.",,3,90,"بر اساس ماده 1119 قانون مدنی، زن می‌تواند ضمن عقد نکاح، حق طلاق را به صورت شرط فعل یا شرط نتیجه برای خود شرط کند. این شرط می‌تواند در عقد نکاح یا عقود تبعی یا مستقل دیگر نیز گنجانده شود.",,1,90,"مطابق ماده 1119 قانون مدنی، زن می‌تواند ضمن عقد نکاح، شرط کند که اگر زوج شرایط معینی را در مورد طلاق به کار نبرد، وکیل در طلاق باشد. این شرط می‌تواند به صورت شرط فعل (انجام دادن یا ندادن کاری) یا شرط نتیجه (حصول نتیجه‌ای خاص) ضمن عقد نکاح گنجانده شود.",,1,90,"مطابق ماده 1119 قانون مدنی، زن می‌تواند ضمن عقد نکاح، شرط کند که در صورت تحقق شرایطی، وکیل در طلاق باشد. این شرط می‌تواند به صورت شرط فعل (انجام کاری توسط شوهر) یا شرط نتیجه (تحقق نتیجه‌ای خاص) در ضمن عقد نکاح گنجانده شود.",,,,,No valid JSON in response
6,google/gemini-2.5-flash-lite,2,82.5,0.8,"{""2"": 4, ""4"": 1}",FALSE,1009.6,1202,2,90,"وصیت تملیکی، مانند هبه، ممکن است در مورد موصی‌له غیر محصور باشد. این امر در ماده 791 قانون مدنی در خصوص وصیت به نفع گروهی از اشخاص و در ماده 1074 و 1075 قانون مدنی در خصوص هبه به اشخاص غیر معین و غیر محصور، قابل استنباط است.",,2,90,"هبه و وصیت تملیکی هر دو در صورتی که موصی له یا متهب، شخصی غیر محصور مانند «مسلمین» یا «فقرا» باشند، صحیح است. این امر در ماده 790 قانون مدنی برای هبه و ماده 826 همان قانون برای وصیت تملیکی تصریح شده است.",,4,70,"وصیت تملیکی یک ایقاع است و ایقاع با فوت موصی قبل از قبول موصی‌له باطل نمی‌شود، بلکه پس از فوت موصی نافذ و لازم‌الاجرا است. همچنین، هبه عقدی است که با قبض مال توسط متهب کامل می‌شود و رجوع از آن طبق شرایط ماده 797 و 798 قانون مدنی امکان‌پذیر است، اما رجوع از وصیت مطلقا جایز نیست.",,2,80,"وصیت تملیکی، عقدی است که به موجب آن یک نفر (موصی) تمام یا بخشی از دارایی خود را برای بعد از فوتش به دیگری (موصی له) تملیک می‌کند. این عقد با ایجاب موصی و قبول موصی له پس از فوت موصی محقق می‌شود. در مقابل، هبه عقدی است که به موجب آن یک نفر (واهب) مالی را به رایگان به دیگری (متهب) تملیک می‌کند و این تملیک با قبض مال توسط متهب کامل می‌شود. در مورد سوال، گزینه «2» صحیح است زیرا موصی له در وصیت تملیکی و متهب در هبه می‌توانند اشخاص غیر محصور (مانند جهات عام‌المنفعه) باشند.",,2,70,"وصیت تملیکی، عقدی است که به موجب آن یک نفر (موصی) تمام یا قسمتی از دارایی خود را برای بعد از فوتش به دیگری (موصی له) تملیک می‌کند و این تملیک با فوت موصی واقع می‌شود. هبه عقدی است که به موجب آن یک نفر (واهب) مالی را مجاناً به دیگری (متهب) تملیک می‌کند و تملیک با قبض مال توسط متهب کامل می‌شود. بنابراین، هر دو تملیک مال به دیگری است اما زمان و نحوه آن متفاوت است",
7,google/gemini-2.5-flash-lite,4,86.7,0.6,"{""4"": 3, ""1"": 1, ""2"": 1}",FALSE,983.4,1063,4,90,"طبق ماده 441 قانون مدنی، اگر چند نفر در یک امر مشترک، ضامن شوند و ضمانت آنان به صورت ضم ذمه به ذمه باشد، مسئولیت آنان در مقابل طلبکار تسهیمی است، نه تضامنی. به این معنی که هر ضامن به اندازه سهم خود مسئول پرداخت دین است.",,1,80,"طبق ماده 728 قانون مدنی، اگر اشیاء متعددی به صورت مشترک نزد اشخاص به عاریه داده شود و تلف آن مستند به تقصیر همه باشد، مسئولیت ایشان در مقابل عاریه‌دهنده تسهیمی است. این بدان معناست که هر مستعیر به نسبت سهم خود مسئول جبران خسارت است.",,4,90,"طبق ماده 691 قانون مدنی، اگر چند نفر در یک امر مشترک، مرتکب تقصیر شوند و زیانی به دیگری وارد کنند، مسئولیت آنها تضامنی است. اما در مورد ضمان، طبق ماده 697 ق.م. اگر ضمانت به صورت ضم ذمه به ذمه باشد، هر یک از ضامنین در مقابل مضمون‌له به طور مستقل مسئول هستند، نه به صورت تضامنی.",,4,80,"در فرض ضمان به نحو ضم ذمه به ذمه، هر یک از ضامنین به تنهایی مسئول کل دین در مقابل طلبکار هستند و طلبکار می‌تواند به هر یک از آنان رجوع کند. این نوع ضمان، تضامنی است نه تسهیمی. مسئولیت تسهیمی زمانی است که هر یک از مسئولین فقط به اندازه سهم خود مسئول باشد. در سایر گزینه‌ها، مسئولیت به صورت تسهیمی یا بر اساس سهم تقصیر قابل تقسیم است.",,2,80,"طبق ماده 719 قانون مدنی، در صورتی که چند نفر در اثر تقصیر مشترک خسارتی وارد کنند، مسئولیت آنها مشترک و به نسبت تقصیرشان خواهد بود، مگر اینکه قانون طور دیگری مقرر کرده باشد. در مورد قیم‌ها (گزینه 2) نیز در صورت تعدد و ارتکاب تقصیر مشترک، مسئولیت تضامنی وجود ندارد و هر یک به نسبت تقصیر خود مسئول است.",
8,google/gemini-2.5-flash-lite,4,86,1,"{""4"": 5}",FALSE,1055.4,1204,4,80,"فروشنده (محتال) به دلیل قبول حواله توسط محال علیه، طلبکار محسوب می‌شود و می‌تواند برای وصول طلب خود علیه محال علیه اقامه دعوا کند. این حق ناشی از قاعده «قبول حواله موجب ضمان محال علیه می‌شود» است. بنابراین، فروشنده اختیار دارد برای وصول ثمن معامله اقدام نماید.",,4,90,"طبق ماده 614 قانون مدنی، محال‌علیه پس از قبول حواله، ملزم به پرداخت آن به محتال است و ادعای عدم بدهی به محیل، مانع از اجرای تعهد وی نمی‌باشد. بنابراین، فروشنده (محتال) می‌تواند برای وصول وجه حواله علیه محال‌علیه طرح دعوا نماید.",,4,90,"طبق ماده 733 قانون مدنی، اگر حواله به جای دین یا برای ادای دین صادر شده باشد و محال علیه دین خود را به محیل نپردازد، محتال (فروشنده) می تواند به جای رجوع به محیل، به محال علیه رجوع کرده و وجه حواله را مطالبه نماید. بنابراین، فروشنده حق مطالبه وجه از محال علیه را دارد.",,4,90,"با توجه به اینکه محال علیه حواله را قبول کرده است، ملزم به پرداخت وجه آن به محتال (فروشنده) می‌باشد. در صورت عدم پرداخت، محتال می‌تواند با طرح دعوای مطالبه وجه حواله علیه محال علیه اقدام نماید. ماده ۷۳۳ قانون مدنی در خصوص مسئولیت محال علیه پس از قبول حواله، مقرر می‌دارد: «بعد از اینکه حواله قبول شد، محال علیه مسئولیت تضامنی با محیل پیدا می‌کند.»",,4,80,"طبق ماده 705 قانون مدنی، حواله عقدی است که به موجب آن طلب شخصی از ذمه مدیون منتقل می شود. در اینجا، فروشنده (محتال) حق دارد به جای فسخ معامله، برای وصول ثمن معامله از طریق اقامه دعوا علیه محال علیه (صادرکننده حواله) اقدام نماید. این امر در صورت احراز مسئولیت محال علیه امکان پذیر است.",
9,google/gemini-2.5-flash-lite,2,90,0.8,"{""2"": 4}",FALSE,1247.2,2286,2,90,"طبق ماده ۱۲ قانون مسئولیت مدنی، کارفرما در قبال خسارات وارده از جانب کارگر خود مسئول است مگر آنکه ثابت کند تمام احتیاط‌های لازم را به عمل آورده است. این ماده ناظر به مسئولیت مبتنی بر تقصیر است و اثبات عدم تقصیر کارفرما رافع مسئولیت او می‌دانند.",,2,90,"طبق ماده ۱۲ قانون مسئولیت مدنی، کارفرما در قبال خسارات وارده از جانب کارگر مسئول نیست، مشروط بر اینکه ثابت کند تمام احتیاط‌های لازم را به عمل آورده است. این ماده در واقع استثنایی بر قاعده کلی مسئولیت کارفرما محسوب می‌شود.",,2,90,"طبق ماده ۱۲ قانون مسئولیت مدنی، کارفرما در قبال خسارات وارده از جانب کارگر خود مسئول نخواهد بود، مشروط بر اینکه ثابت کند تقصیر یا عدم رعایت احتیاط لازم از جانب وی نبوده است. این ماده استثنایی بر قاعده کلی مسئولیت تسبیب است و بر لزوم اثبات تقصیر کارفرما تاکید دارد.",,2,90,"بر اساس ماده ۱۲ قانون مسئولیت مدنی، کارفرما در صورت اثبات رعایت احتیاط‌های لازم، در قبال خسارات ناشی از فعل کارگر مسئول نخواهد بود. این ماده استثنایی بر اصل کلی مسئولیت کارفرما در قبال اعمال کارگران خود است.",,,,,No valid JSON in response
10,google/gemini-2.5-flash-lite,2,90,0.6,"{""2"": 3, ""4"": 2}",FALSE,913.2,1042,2,90,"طبق ماده 628 قانون مدنی، وصی نمی‌تواند برای اداره اموال دیگری وکالت دهد مگر اینکه موصی (پدر) صراحتاً به او اجازه داده باشد. همچنین، وصی نمی‌تواند برای بعد از وفات خود وصی دیگری تعیین کند، مگر اینکه موصی به او این اختیار را داده باشد.",,4,80,"طبق ماده 831 قانون مدنی، وصی نمی‌تواند در مورد وصایت برای خود تعیین جانشین کند مگر اینکه این اجازه به او داده شده باشد. همچنین، در خصوص وکالت دادن، وصی در حدود اختیاراتی که از طرف موصی به او تفویض شده است، می‌تواند اعمال نمایندگی کند.",,2,90,"بر اساس ماده 834 قانون مدنی، وصی نمی‌تواند برای اداره امور وصایت به دیگری وکالت دهد، مگر اینکه صراحتاً توسط موصی (پدر) اذن داشته باشد. همچنین، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، مگر اینکه موصی به او این اختیار را داده باشد.",,2,90,"طبق ماده 846 قانون مدنی، وصی نمی‌تواند حق خود را به دیگری منتقل کند، مگر اینکه موصی (پدر) صراحتاً به او اجازه داده باشد. همچنین، وصی نمی‌تواند برای بعد از وفات خود وصی دیگری تعیین کند، مگر اینکه موصی صراحتاً این اختیار را به او داده باشد.",,4,90,"طبق ماده 828 قانون مدنی، وصی در مورد وصایت خود، مانند وکیل است در وکالت خود، مگر در اموری که شخصاً باید انجام دهد. همچنین، طبق ماده 834 قانون مدنی، وصی نمی‌تواند کسی را به جای خود برای انجام تمام یا قسمتی از وصایت تعیین نماید، مگر اینکه موصی (پدر) صراحتاً به او اجازه داده باشد.",
