id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,x-ai/grok-4-fast,3,4.0,براساس مواد ۱۸۲ و ۱۸۳ قانون مدنی، در عقود جایز سبب انفساخ می‌تواند ارادی (مانند انصراف یکی از طرفین) باشد، اما انفساخ عقد به صورت قهری و خودبه‌خودی رخ می‌دهد بدون نیاز به اقدام قضایی.,4336,1554.0,692.0,2246.0,183.0,35.0,"{""explanation"":""براساس مواد ۱۸۲ و ۱۸۳ قانون مدنی، در عقود جایز سبب انفساخ می‌تواند ارادی (مانند انصراف یکی از طرفین) باشد، اما انفساخ عقد به صورت قهری و خودبه‌خودی رخ می‌دهد بدون نیاز به اقدام قضایی."",""answer"":""3"",""confidence"":4}",
2,x-ai/grok-4-fast,2,5.0,براساس ماده ۳ قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه مصوب ۱۳۹۵، بیمه‌گر مسئولیت دیه راننده مقصر (الف) را تا سقف تعهدات بیمه‌نامه و دیه شخص ثالث (ب) را به طور کامل (هر میزان طبق قانون) جبران می‌نماید، و خسارات مالی وارد بر اموال شخص ثالث (موتورسیکلت ب) را تا سقف تعهدات پوشش می‌دهد.,8679,1666.0,1370.0,3036.0,320.0,62.0,"{""explanation"":""براساس ماده ۳ قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه مصوب ۱۳۹۵، بیمه‌گر مسئولیت دیه راننده مقصر (الف) را تا سقف تعهدات بیمه‌نامه و دیه شخص ثالث (ب) را به طور کامل (هر میزان طبق قانون) جبران می‌نماید، و خسارات مالی وارد بر اموال شخص ثالث (موتورسیکلت ب) را تا سقف تعهدات پوشش می‌دهد."",""answer"":""2"",""confidence"":5}",
3,x-ai/grok-4-fast,4,5.0,مطابق مواد ۱۴۰ و ۱۴۲ قانون مدنی، تصرف مالکانه (همراه با قصد تملک) می‌تواند از طریق عُقْل (تصرف طولانی‌مدت، علنی، آرام و بدون منازعه) سبب تملک شود و در مواردی به تنهایی کافی است.,5559,1538.0,676.0,2214.0,177.0,34.0,"{""explanation"":""مطابق مواد ۱۴۰ و ۱۴۲ قانون مدنی، تصرف مالکانه (همراه با قصد تملک) می‌تواند از طریق عُقْل (تصرف طولانی‌مدت، علنی، آرام و بدون منازعه) سبب تملک شود و در مواردی به تنهایی کافی است."",""answer"":""4"",""confidence"":5}",
4,x-ai/grok-4-fast,4,4.0,براساس قانون بیمه مسئولیت مدنی ناشی از تقصیر پزشکان و کادر درمانی (مصوب ۱۳۷۶) و ماده ۱۰ قانون بیمه، بیمه‌گر مسئولیت مدنی موظف به پرداخت مستقیم خسارات بدنی و جانی از جمله دیه به زیان‌دیدگان است، بنابراین پرداخت دیه کامل مرد مسلمان بر عهده بیمه‌گر است.,7077,1604.0,1057.0,2661.0,250.0,46.0,"{""explanation"":""براساس قانون بیمه مسئولیت مدنی ناشی از تقصیر پزشکان و کادر درمانی (مصوب ۱۳۷۶) و ماده ۱۰ قانون بیمه، بیمه‌گر مسئولیت مدنی موظف به پرداخت مستقیم خسارات بدنی و جانی از جمله دیه به زیان‌دیدگان است، بنابراین پرداخت دیه کامل مرد مسلمان بر عهده بیمه‌گر است."",""answer"":""4"",""confidence"":4}",
5,x-ai/grok-4-fast,2,4.0,مطابق ماده ۱۱۱۹ قانون مدنی، وکالت زن در طلاق به عنوان شرط فعل ضمن عقد نکاح یا از طریق عقد جداگانه (مانند عقد وکالت) قابل تحقق است، زیرا وکالت نوعی تعهد به انجام فعل (اعطای اختیار طلاق) است و نه شرط نتیجه که مستقیماً نتیجه‌ای مانند طلاق را ایجاد کند.,9496,1537.0,1411.0,2948.0,249.0,50.0,"{""explanation"":""مطابق ماده ۱۱۱۹ قانون مدنی، وکالت زن در طلاق به عنوان شرط فعل ضمن عقد نکاح یا از طریق عقد جداگانه (مانند عقد وکالت) قابل تحقق است، زیرا وکالت نوعی تعهد به انجام فعل (اعطای اختیار طلاق) است و نه شرط نتیجه که مستقیماً نتیجه‌ای مانند طلاق را ایجاد کند."",""answer"":""2"",""confidence"":4}",
6,x-ai/grok-4-fast,1,4.0,براساس مواد ۷۹۵ و ۸۰۱ قانون مدنی، هبه از عقود عینی است و قبول و قبض متهب شرط صحت و تکمیل آن محسوب می‌شود؛ در وصیت تملیکی نیز، مطابق ماده ۸۶۹ قانون مدنی، انتقال مالکیت نیازمند قبول موصی‌له و قبض مال است، بنابراین هر دو در عینی بودن و الزام به قبول و قبض مشابه هستند.,65099,1588.0,11090.0,12678.0,265.0,56.0,"{""explanation"":""براساس مواد ۷۹۵ و ۸۰۱ قانون مدنی، هبه از عقود عینی است و قبول و قبض متهب شرط صحت و تکمیل آن محسوب می‌شود؛ در وصیت تملیکی نیز، مطابق ماده ۸۶۹ قانون مدنی، انتقال مالکیت نیازمند قبول موصی‌له و قبض مال است، بنابراین هر دو در عینی بودن و الزام به قبول و قبض مشابه هستند."",""answer"":""1"",""confidence"":4}",
7,x-ai/grok-4-fast,1,5.0,مطابق ماده ۴۱۹ قانون مدنی، در تعهدات قراردادی مانند عاریه با چند مدعی مشترک، مسئولیت هر یک به اندازه سهم خود (تسهیم) است مگر اینکه قانون یا توافق تضامنی مقرر کند؛ در اینجا عاریه طلا و نقره که تلف شده، تعهد به پرداخت ارزش آن است که قابل تقسیم بوده و مسئولیت تضامنی ندارد.,23375,1577.0,3906.0,5483.0,270.0,54.0,"{""explanation"":""مطابق ماده ۴۱۹ قانون مدنی، در تعهدات قراردادی مانند عاریه با چند مدعی مشترک، مسئولیت هر یک به اندازه سهم خود (تسهیم) است مگر اینکه قانون یا توافق تضامنی مقرر کند؛ در اینجا عاریه طلا و نقره که تلف شده، تعهد به پرداخت ارزش آن است که قابل تقسیم بوده و مسئولیت تضامنی ندارد."",""answer"":""1"",""confidence"":5}",
8,x-ai/grok-4-fast,2,4.0,بر اساس مواد ۷۲۰ و ۷۲۱ قانون مدنی، قبول حواله توسط محال‌علیه او را متعهد به پرداخت وجه به محتال می‌کند، حتی بدون بدهی به محیل؛ بنابراین فروشنده می‌تواند علیه محال‌علیه دعوا کند. همچنین، شرط فسخ معامله به دلیل عدم پرداخت ثمن ظرف مهلت مقرر (ماده ۳۹۹ قانون مدنی) معتبر است و فروشنده اختیار فسخ یا پیگیری وجه حواله را دارد.,6536,1636.0,811.0,2447.0,319.0,61.0,"{""explanation"":""بر اساس مواد ۷۲۰ و ۷۲۱ قانون مدنی، قبول حواله توسط محال‌علیه او را متعهد به پرداخت وجه به محتال می‌کند، حتی بدون بدهی به محیل؛ بنابراین فروشنده می‌تواند علیه محال‌علیه دعوا کند. همچنین، شرط فسخ معامله به دلیل عدم پرداخت ثمن ظرف مهلت مقرر (ماده ۳۹۹ قانون مدنی) معتبر است و فروشنده اختیار فسخ یا پیگیری وجه حواله را دارد."",""answer"":""2"",""confidence"":4}",
9,x-ai/grok-4-fast,3,5.0,براساس ماده ۱۷۵ قانون مدنی، مضطر در تلف مال غیر به سبب اضطرار ضامن نیست، زیرا اضطرار عذر قانونی و موجب عدم تقصیر است و در چارچوب مسئولیت مدنی مبتنی بر تقصیر، مسئولیت ایجاد نمی‌کند.,55843,1606.0,9941.0,11547.0,180.0,35.0,"{""explanation"":""براساس ماده ۱۷۵ قانون مدنی، مضطر در تلف مال غیر به سبب اضطرار ضامن نیست، زیرا اضطرار عذر قانونی و موجب عدم تقصیر است و در چارچوب مسئولیت مدنی مبتنی بر تقصیر، مسئولیت ایجاد نمی‌کند."",""answer"":""3"",""confidence"":5}",
10,x-ai/grok-4-fast,4,4.0,مطابق مواد ۸۳۱ و ۸۳۲ قانون مدنی، وصی می‌تواند برای انجام وظایف اجرایی وصایت در زمان حیات خود به دیگری وکالت دهد، اما واگذاری وصایت به دیگری برای بعد از فوت خود بدون اجازه قیم یا دادگاه ممنوع است و تحت هیچ شرایطی مجاز نیست.,7298,1637.0,1048.0,2685.0,222.0,45.0,"{""explanation"":""مطابق مواد ۸۳۱ و ۸۳۲ قانون مدنی، وصی می‌تواند برای انجام وظایف اجرایی وصایت در زمان حیات خود به دیگری وکالت دهد، اما واگذاری وصایت به دیگری برای بعد از فوت خود بدون اجازه قیم یا دادگاه ممنوع است و تحت هیچ شرایطی مجاز نیست."",""answer"":""4"",""confidence"":4}",
