id,model,answer,confidence,latency_ms,raw,error
1,openai/gpt-4.1-mini,3,5,2734,"{""answer"":""3"",""confidence"":5}",
2,openai/gpt-4.1-mini,1,5,692,"{""answer"":""1"",""confidence"":5}",
3,openai/gpt-4.1-mini,4,5,852,"{""answer"":""4"",""confidence"":5}",
4,openai/gpt-4.1-mini,2,5,787,"{""answer"":""2"",""confidence"":5}",
5,openai/gpt-4.1-mini,3,5,1543,"{""answer"":""3"",""confidence"":5}",
6,openai/gpt-4.1-mini,2,4,776,"{""answer"":""2"",""confidence"":4}",
7,openai/gpt-4.1-mini,4,5,1711,"{""answer"":""4"",""confidence"":5}",
8,openai/gpt-4.1-mini,2,4,2120,"{""answer"":""2"",""confidence"":4}",
9,openai/gpt-4.1-mini,2,5,755,"{""answer"":""2"",""confidence"":5}",
10,openai/gpt-4.1-mini,4,4,774,"{""answer"":""4"",""confidence"":4}",
11,openai/gpt-4.1-mini,2,4,796,"{""answer"":""2"",""confidence"":4}",
12,openai/gpt-4.1-mini,4,5,1251,"{""answer"":""4"",""confidence"":5}",
13,openai/gpt-4.1-mini,1,5,972,"{""answer"":""1"",""confidence"":5}",
14,openai/gpt-4.1-mini,4,5,931,"{""answer"":""4"",""confidence"":5}",
15,openai/gpt-4.1-mini,2,5,784,"{""answer"":""2"",""confidence"":5}",
16,openai/gpt-4.1-mini,2,4,743,"{""answer"":""2"",""confidence"":4}",
17,openai/gpt-4.1-mini,4,4,810,"{""answer"":""4"",""confidence"":4}",
18,openai/gpt-4.1-mini,2,5,969,"{""answer"":""2"",""confidence"":5}",
19,openai/gpt-4.1-mini,2,4,709,"{""answer"":""2"",""confidence"":4}",
20,openai/gpt-4.1-mini,4,5,782,"{""answer"":""4"",""confidence"":5}",
21,openai/gpt-4.1-mini,2,5,939,"{""answer"":""2"",""confidence"":5}",
22,openai/gpt-4.1-mini,4,4,977,"{""answer"":""4"",""confidence"":4}",
23,openai/gpt-4.1-mini,4,5,743,"{""answer"":""4"",""confidence"":5}",
24,openai/gpt-4.1-mini,1,4,720,"{""answer"":""1"",""confidence"":4}",
25,openai/gpt-4.1-mini,3,5,762,"{""answer"":""3"",""confidence"":5}",
26,openai/gpt-4.1-mini,1,4,1204,"{""answer"":""1"",""confidence"":4}",
27,openai/gpt-4.1-mini,2,5,900,"{""answer"":""2"",""confidence"":5}",
28,openai/gpt-4.1-mini,3,4,816,"{""answer"":""3"",""confidence"":4}",
29,openai/gpt-4.1-mini,1,4,922,"{""answer"":""1"",""confidence"":4}",
30,openai/gpt-4.1-mini,1,4,817,"{""answer"":""1"",""confidence"":4}",
31,openai/gpt-4.1-mini,3,4,1035,"{""answer"":""3"",""confidence"":4}",
32,openai/gpt-4.1-mini,2,4,826,"{""answer"":""2"",""confidence"":4}",
33,openai/gpt-4.1-mini,1,5,910,"{""answer"":""1"",""confidence"":5}",
34,openai/gpt-4.1-mini,1,4,934,"{""answer"":""1"",""confidence"":4}",
35,openai/gpt-4.1-mini,1,4,785,"{""answer"":""1"",""confidence"":4}",
36,openai/gpt-4.1-mini,1,5,867,"{""answer"":""1"",""confidence"":5}",
