id,model,answer,confidence,latency_ms,raw,error
1,deepseek/deepseek-v3.2-exp,3,4,2763,"{""answer"":""3"",""confidence"":4}",
2,deepseek/deepseek-v3.2-exp,2,4,1282,"{""answer"":""2"",""confidence"":4}",
3,deepseek/deepseek-v3.2-exp,4,4,2144,"{""answer"":""4"",""confidence"":4}",
4,deepseek/deepseek-v3.2-exp,4,4,1899,"{""answer"":""4"",""confidence"":4}",
5,deepseek/deepseek-v3.2-exp,3,4,2265,"{""answer"":""3"",""confidence"":4}",
6,deepseek/deepseek-v3.2-exp,4,3,1706,"{""answer"":""4"",""confidence"":3}",
7,deepseek/deepseek-v3.2-exp,4,4,1180,"{""answer"":""4"",""confidence"":4}",
8,deepseek/deepseek-v3.2-exp,2,4,2047,"{""answer"":""2"",""confidence"":4}",
9,deepseek/deepseek-v3.2-exp,2,4,1472,"{""answer"":""2"",""confidence"":4}",
10,deepseek/deepseek-v3.2-exp,3,4,3398,"{""answer"":""3"",""confidence"":4}",
11,deepseek/deepseek-v3.2-exp,1,4,3173,"{""answer"":""1"",""confidence"":4}",
12,deepseek/deepseek-v3.2-exp,4,4,1223,"{""answer"":""4"",""confidence"":4}",
13,deepseek/deepseek-v3.2-exp,1,4,1873,"{""answer"":""1"",""confidence"":4}",
14,deepseek/deepseek-v3.2-exp,4,4,2325,"{""answer"":""4"",""confidence"":4}",
15,deepseek/deepseek-v3.2-exp,2,4,2014,"{""answer"":""2"",""confidence"":4}",
16,deepseek/deepseek-v3.2-exp,2,4,1635,"{""answer"":""2"",""confidence"":4}",
17,deepseek/deepseek-v3.2-exp,2,4,2135,"{""answer"":""2"",""confidence"":4}",
18,deepseek/deepseek-v3.2-exp,2,4,2010,"{""answer"":""2"",""confidence"":4}",
19,deepseek/deepseek-v3.2-exp,3,4,1926,"{""answer"":""3"",""confidence"":4}",
20,deepseek/deepseek-v3.2-exp,4,4,1542,"{""answer"":""4"",""confidence"":4}",
21,deepseek/deepseek-v3.2-exp,4,4,1794,"{""answer"":""4"",""confidence"":4}",
22,deepseek/deepseek-v3.2-exp,4,3,2254,"{""answer"":""4"",""confidence"":3}",
23,deepseek/deepseek-v3.2-exp,4,4,1974,"{""answer"":""4"",""confidence"":4}",
24,deepseek/deepseek-v3.2-exp,3,4,1901,"{""answer"":""3"",""confidence"":4}",
25,deepseek/deepseek-v3.2-exp,2,3,1662,"{""answer"":""2"",""confidence"":3}",
26,deepseek/deepseek-v3.2-exp,3,4,1823,"{""answer"":""3"",""confidence"":4}",
27,deepseek/deepseek-v3.2-exp,2,4,1576,"{""answer"":""2"",""confidence"":4}",
28,deepseek/deepseek-v3.2-exp,1,4,1536,"{""answer"":""1"",""confidence"":4}",
29,deepseek/deepseek-v3.2-exp,1,4,1679,"{""answer"":""1"",""confidence"":4}",
30,deepseek/deepseek-v3.2-exp,3,3,1744,"{""answer"":""3"",""confidence"":3}",
31,deepseek/deepseek-v3.2-exp,1,3,1753,"{""answer"":""1"",""confidence"":3}",
32,deepseek/deepseek-v3.2-exp,1,3,1651,"{""answer"":""1"",""confidence"":3}",
33,deepseek/deepseek-v3.2-exp,1,4,1633,"{""answer"":""1"",""confidence"":4}",
34,deepseek/deepseek-v3.2-exp,4,3,1666,"{""answer"":""4"",""confidence"":3}",
35,deepseek/deepseek-v3.2-exp,1,4,1698,"{""answer"":""1"",""confidence"":4}",
36,deepseek/deepseek-v3.2-exp,3,4,1831,"{""answer"":""3"",""confidence"":4}",
37,deepseek/deepseek-v3.2-exp,2,4,2450,"{""answer"":""2"",""confidence"":4}",
38,deepseek/deepseek-v3.2-exp,3,4,1713,"{""answer"":""3"",""confidence"":4}",
39,deepseek/deepseek-v3.2-exp,1,4,1707,"{""answer"":""1"",""confidence"":4}",
40,deepseek/deepseek-v3.2-exp,2,3,1667,"{""answer"":""2"",""confidence"":3}",
41,deepseek/deepseek-v3.2-exp,1,4,2065,"{""answer"":""1"",""confidence"":4}",
42,deepseek/deepseek-v3.2-exp,2,4,1925,"{""answer"":""2"",""confidence"":4}",
43,deepseek/deepseek-v3.2-exp,2,4,2051,"{""answer"":""2"",""confidence"":4}",
44,deepseek/deepseek-v3.2-exp,3,4,1597,"{""answer"":""3"",""confidence"":4}",
45,deepseek/deepseek-v3.2-exp,4,4,2073,"{""answer"":""4"",""confidence"":4}",
46,deepseek/deepseek-v3.2-exp,1,3,1567,"{""answer"":""1"",""confidence"":3}",
47,deepseek/deepseek-v3.2-exp,2,4,1719,"{""answer"":""2"",""confidence"":4}",
48,deepseek/deepseek-v3.2-exp,2,4,1993,"{""answer"":""2"",""confidence"":4}",
49,deepseek/deepseek-v3.2-exp,3,4,1683,"{""answer"":""3"",""confidence"":4}",
50,deepseek/deepseek-v3.2-exp,3,4,2092,"{""answer"":""3"",""confidence"":4}",
51,deepseek/deepseek-v3.2-exp,3,4,1858,"{""answer"":""3"",""confidence"":4}",
52,deepseek/deepseek-v3.2-exp,3,4,2030,"{""answer"":""3"",""confidence"":4}",
53,deepseek/deepseek-v3.2-exp,4,4,1878,"{""answer"":""4"",""confidence"":4}",
54,deepseek/deepseek-v3.2-exp,2,4,1879,"{""answer"":""2"",""confidence"":4}",
55,deepseek/deepseek-v3.2-exp,3,4,1832,"{""answer"":""3"",""confidence"":4}",
56,deepseek/deepseek-v3.2-exp,2,4,1999,"{""answer"":""2"",""confidence"":4}",
57,deepseek/deepseek-v3.2-exp,2,4,2062,"{""answer"":""2"",""confidence"":4}",
58,deepseek/deepseek-v3.2-exp,3,4,1413,"{""answer"":""3"",""confidence"":4}",
59,deepseek/deepseek-v3.2-exp,3,4,1668,"{""answer"":""3"",""confidence"":4}",
60,deepseek/deepseek-v3.2-exp,2,4,1596,"{""answer"":""2"",""confidence"":4}",
81,deepseek/deepseek-v3.2-exp,3,3,2275,"{""answer"":""3"",""confidence"":3}",
82,deepseek/deepseek-v3.2-exp,4,4,2184,"{""answer"":""4"",""confidence"":4}",
83,deepseek/deepseek-v3.2-exp,3,3,1944,"{""answer"":""3"",""confidence"":3}",
84,deepseek/deepseek-v3.2-exp,3,4,1770,"{""answer"":""3"",""confidence"":4}",
85,deepseek/deepseek-v3.2-exp,3,4,1973,"{""answer"":""3"",""confidence"":4}",
86,deepseek/deepseek-v3.2-exp,1,4,1556,"{""answer"":""1"",""confidence"":4}",
87,deepseek/deepseek-v3.2-exp,3,4,1849,"{""answer"":""3"",""confidence"":4}",
88,deepseek/deepseek-v3.2-exp,1,4,2389,"{""answer"":""1"",""confidence"":4}",
89,deepseek/deepseek-v3.2-exp,1,3,1942,"{""answer"":""1"",""confidence"":3}",
90,deepseek/deepseek-v3.2-exp,4,4,2160,"{""answer"":""4"",""confidence"":4}",
91,deepseek/deepseek-v3.2-exp,4,4,1777,"{""answer"":""4"",""confidence"":4}",
92,deepseek/deepseek-v3.2-exp,3,4,1710,"{""answer"":""3"",""confidence"":4}",
93,deepseek/deepseek-v3.2-exp,4,4,2132,"{""answer"":""4"",""confidence"":4}",
94,deepseek/deepseek-v3.2-exp,3,4,2233,"{""answer"":""3"",""confidence"":4}",
95,deepseek/deepseek-v3.2-exp,1,4,1887,"{""answer"":""1"",""confidence"":4}",
96,deepseek/deepseek-v3.2-exp,1,4,2030,"{""answer"":""1"",""confidence"":4}",
97,deepseek/deepseek-v3.2-exp,2,4,1674,"{""answer"":""2"",""confidence"":4}",
98,deepseek/deepseek-v3.2-exp,4,4,2027,"{""answer"":""4"",""confidence"":4}",
99,deepseek/deepseek-v3.2-exp,1,3,2192,"{""answer"":""1"",""confidence"":3}",
100,deepseek/deepseek-v3.2-exp,2,4,2032,"{""answer"":""2"",""confidence"":4}",
101,deepseek/deepseek-v3.2-exp,2,4,2094,"{""answer"":""2"",""confidence"":4}",
102,deepseek/deepseek-v3.2-exp,4,4,1872,"{""answer"":""4"",""confidence"":4}",
103,deepseek/deepseek-v3.2-exp,4,4,1931,"{""answer"":""4"",""confidence"":4}",
104,deepseek/deepseek-v3.2-exp,3,4,1872,"{""answer"":""3"",""confidence"":4}",
105,deepseek/deepseek-v3.2-exp,2,3,1625,"{""answer"":""2"",""confidence"":3}",
106,deepseek/deepseek-v3.2-exp,3,4,2370,"{""answer"":""3"",""confidence"":4}",
107,deepseek/deepseek-v3.2-exp,2,4,1871,"{""answer"":""2"",""confidence"":4}",
108,deepseek/deepseek-v3.2-exp,4,4,1708,"{""answer"":""4"",""confidence"":4}",
109,deepseek/deepseek-v3.2-exp,3,4,1571,"{""answer"":""3"",""confidence"":4}",
110,deepseek/deepseek-v3.2-exp,2,4,1881,"{""answer"":""2"",""confidence"":4}",
111,deepseek/deepseek-v3.2-exp,2,4,1868,"{""answer"":""2"",""confidence"":4}",
112,deepseek/deepseek-v3.2-exp,4,4,2142,"{""answer"":""4"",""confidence"":4}",
113,deepseek/deepseek-v3.2-exp,1,4,1748,"{""answer"":""1"",""confidence"":4}",
114,deepseek/deepseek-v3.2-exp,3,4,1541,"{""answer"":""3"",""confidence"":4}",
115,deepseek/deepseek-v3.2-exp,2,4,1671,"{""answer"":""2"",""confidence"":4}",
116,deepseek/deepseek-v3.2-exp,4,4,1907,"{""answer"":""4"",""confidence"":4}",
117,deepseek/deepseek-v3.2-exp,2,4,2172,"{""answer"":""2"",""confidence"":4}",
118,deepseek/deepseek-v3.2-exp,3,4,1968,"{""answer"":""3"",""confidence"":4}",
119,deepseek/deepseek-v3.2-exp,4,4,1977,"{""answer"":""4"",""confidence"":4}",
120,deepseek/deepseek-v3.2-exp,4,4,1574,"{""answer"":""4"",""confidence"":4}",
121,deepseek/deepseek-v3.2-exp,2,4,2787,"{""answer"":""2"",""confidence"":4}",
122,deepseek/deepseek-v3.2-exp,4,4,1720,"{""answer"":""4"",""confidence"":4}",
123,deepseek/deepseek-v3.2-exp,3,4,1540,"{""answer"":""3"",""confidence"":4}",
124,deepseek/deepseek-v3.2-exp,2,4,1603,"{""answer"":""2"",""confidence"":4}",
125,deepseek/deepseek-v3.2-exp,1,4,2370,"{""answer"":""1"",""confidence"":4}",
126,deepseek/deepseek-v3.2-exp,2,4,2247,"{""answer"":""2"",""confidence"":4}",
127,deepseek/deepseek-v3.2-exp,4,4,1529,"{""answer"":""4"",""confidence"":4}",
128,deepseek/deepseek-v3.2-exp,3,4,1867,"{""answer"":""3"",""confidence"":4}",
129,deepseek/deepseek-v3.2-exp,1,4,1930,"{""answer"":""1"",""confidence"":4}",
130,deepseek/deepseek-v3.2-exp,3,4,1643,"{""answer"":""3"",""confidence"":4}",
131,deepseek/deepseek-v3.2-exp,1,4,1910,"{""answer"":""1"",""confidence"":4}",
132,deepseek/deepseek-v3.2-exp,3,4,1758,"{""answer"":""3"",""confidence"":4}",
133,deepseek/deepseek-v3.2-exp,4,3,1938,"{""answer"":""4"",""confidence"":3}",
134,deepseek/deepseek-v3.2-exp,4,4,2359,"{""answer"":""4"",""confidence"":4}",
135,deepseek/deepseek-v3.2-exp,1,4,2187,"{""answer"":""1"",""confidence"":4}",
136,deepseek/deepseek-v3.2-exp,3,4,1717,"{""answer"":""3"",""confidence"":4}",
137,deepseek/deepseek-v3.2-exp,1,3,1876,"{""answer"":""1"",""confidence"":3}",
138,deepseek/deepseek-v3.2-exp,3,4,2509,"{""answer"":""3"",""confidence"":4}",
139,deepseek/deepseek-v3.2-exp,1,4,1759,"{""answer"":""1"",""confidence"":4}",
140,deepseek/deepseek-v3.2-exp,4,4,1788,"{""answer"":""4"",""confidence"":4}",
