id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,openai/gpt-oss-20b,4,4.0,ماده ۱۰۲۰ قانون مدنی می‌گوید انفساخ قرارداد به‌دلیل عدم انجام یکی از طرفین است و این انفساخ قهری (اجباری) است؛ بنابراین سبب انفساخ نمی‌تواند ارادی باشد.,6989,1464.0,920.0,2384.0,152.0,26.0,"{""explanation"":""ماده ۱۰۲۰ قانون مدنی می‌گوید انفساخ قرارداد به‌دلیل عدم انجام یکی از طرفین است و این انفساخ قهری (اجباری) است؛ بنابراین سبب انفساخ نمی‌تواند ارادی باشد."",""answer"":""4"",""confidence"":4}",
2,openai/gpt-oss-20b,2,5.0,بر اساس قانون بیمه مسئولیت رانندگی، بیمه‌گر راننده مقصر (الف) مسئول پرداخت دیه و خسارات مالی تا سقف تعهدات خود است؛ دیه شخص «ب» نیز تا حد تعهدات بیمه‌گر راننده (محدودیت ۱ میلیارد ریال) پرداخت می‌شود و خسارت مالی وارد به موتورسیکلت تا همان سقف تعهدات پرداخت می‌گردد.,28180,1594.0,1288.0,2882.0,265.0,48.0,"{""explanation"":""بر اساس قانون بیمه مسئولیت رانندگی، بیمه‌گر راننده مقصر (الف) مسئول پرداخت دیه و خسارات مالی تا سقف تعهدات خود است؛ دیه شخص «ب» نیز تا حد تعهدات بیمه‌گر راننده (محدودیت ۱ میلیارد ریال) پرداخت می‌شود و خسارت مالی وارد به موتورسیکلت تا همان سقف تعهدات پرداخت می‌گردد."",""answer"":""2"",""confidence"":5}",
3,openai/gpt-oss-20b,4,5.0,موجب قانون مدنی، تصرف به تنهایی بدون قصد تملک مملک نیست؛ اما اگر تصرف همراه با قصد تملک باشد، می‌تواند به تنهایی سبب مملک باشد (ماده ۲ قانون مدنی).,16095,1466.0,691.0,2157.0,147.0,29.0,"{""explanation"":""موجب قانون مدنی، تصرف به تنهایی بدون قصد تملک مملک نیست؛ اما اگر تصرف همراه با قصد تملک باشد، می‌تواند به تنهایی سبب مملک باشد (ماده ۲ قانون مدنی)."",""answer"":""4"",""confidence"":5}",
4,openai/gpt-oss-20b,4,4.0,بر اساس ماده ۴ قانون بیمه و قرارداد مسئولیت مدنی حرفه‌ای، بیمه‌گر مسئول پرداخت خسارت به بازماندگان است و پزشک می‌تواند از بیمه‌گر مسترد کند؛ صندوق تأمین خسارت‌های بدنی برای خسارت‌های عمومی و نه حرفه‌ای نیست.,3860,1538.0,580.0,2118.0,207.0,36.0,"{""explanation"":""بر اساس ماده ۴ قانون بیمه و قرارداد مسئولیت مدنی حرفه‌ای، بیمه‌گر مسئول پرداخت خسارت به بازماندگان است و پزشک می‌تواند از بیمه‌گر مسترد کند؛ صندوق تأمین خسارت‌های بدنی برای خسارت‌های عمومی و نه حرفه‌ای نیست."",""answer"":""4"",""confidence"":4}",
5,openai/gpt-oss-20b,3,5.0,ماده 1259 قانون مدنی، وکالت برای طلاق می‌تواند به صورت شرط فعل یا شرط نتیجه باشد و می‌تواند در قالب عقد نکاح یا عقد دیگری صورت گیرد.,20709,1445.0,2134.0,3579.0,132.0,27.0,"{""explanation"":""ماده 1259 قانون مدنی، وکالت برای طلاق می‌تواند به صورت شرط فعل یا شرط نتیجه باشد و می‌تواند در قالب عقد نکاح یا عقد دیگری صورت گیرد."",""answer"":""3"",""confidence"":5}",
6,openai/gpt-oss-20b,2,4.0,در هبه و وصیت تملیکی، متقاضی (موصّ یا متهب) می‌تواند غیرمحصور (غیر‌ساکن) باشد؛ این ویژگی در هر دو مورد مشترک است.,15248,1502.0,2184.0,3686.0,113.0,21.0,"{""explanation"":""در هبه و وصیت تملیکی، متقاضی (موصّ یا متهب) می‌تواند غیرمحصور (غیر‌ساکن) باشد؛ این ویژگی در هر دو مورد مشترک است."",""answer"":""2"",""confidence"":4}",
7,openai/gpt-oss-20b,,,,9776,,,,,,,Model returned no text content
8,openai/gpt-oss-20b,,,,10140,,,,,,,Model returned no text content
9,openai/gpt-oss-20b,,,,21777,,,,,,,Model returned no text content
10,openai/gpt-oss-20b,4,5.0,ماده 114 قانون مدنی، وصی می‌تواند برای انجام وظایف وصیت به دیگری وکالت دهد، اما وصی نمی‌تواند پس از فوت خود وصی دیگری تعیین کند؛ چون تعیین وصی حق اختیاری متقاضی (متوفی) است.,2724,1559.0,920.0,2479.0,173.0,33.0,"{""explanation"":""ماده 114 قانون مدنی، وصی می‌تواند برای انجام وظایف وصیت به دیگری وکالت دهد، اما وصی نمی‌تواند پس از فوت خود وصی دیگری تعیین کند؛ چون تعیین وصی حق اختیاری متقاضی (متوفی) است."",""answer"":""4"",""confidence"":5}",
11,openai/gpt-oss-20b,1,5.0,ماده 104 قانون مدنی می‌گوید در قراردادهای معلق، اثر عقد برقرار است ولی اجرا تا تحقق شرط معلق متوقف می‌شود؛ بنابراین ادعا که اثر عقد تا رفع تعلیق جریان پیدا نمی‌کند نادرست است.,4096,1479.0,609.0,2088.0,175.0,33.0,"{""explanation"":""ماده 104 قانون مدنی می‌گوید در قراردادهای معلق، اثر عقد برقرار است ولی اجرا تا تحقق شرط معلق متوقف می‌شود؛ بنابراین ادعا که اثر عقد تا رفع تعلیق جریان پیدا نمی‌کند نادرست است."",""answer"":""1"",""confidence"":5}",
12,openai/gpt-oss-20b,4,4.0,بر اساس ماده 106 و 107 قانون مدنی ایران، موعد انجام تعهدات می‌تواند از اراده طرفین، حکم دادگاه یا قانون خاص ناشی شود؛ بنابراین گزینه 4 صحیح است.,4955,1451.0,590.0,2041.0,144.0,28.0,"{""explanation"":""بر اساس ماده 106 و 107 قانون مدنی ایران، موعد انجام تعهدات می‌تواند از اراده طرفین، حکم دادگاه یا قانون خاص ناشی شود؛ بنابراین گزینه 4 صحیح است."",""answer"":""4"",""confidence"":4}",
13,openai/gpt-oss-20b,1,5.0,عقد و ایقاع هر دو عمل حقوقی هستند و مملک (قابل مالکیت) نیستند؛ بنابراین ادعا که عقد می‌تواند مملک باشد در حالی که ایقاع نیست، نادرست است.,4531,1417.0,855.0,2272.0,137.0,27.0,"{""explanation"":""عقد و ایقاع هر دو عمل حقوقی هستند و مملک (قابل مالکیت) نیستند؛ بنابراین ادعا که عقد می‌تواند مملک باشد در حالی که ایقاع نیست، نادرست است."",""answer"":""1"",""confidence"":5}",
