id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,qwen/qwen3-next-80b-a3b-instruct,1,4,بر اساس ماده ۳۹۰ قانون مدنی، انفساخ عقد می‌تواند ناشی از توافق طرفین (ارادی) باشد و این امر با قهری بودن انفساخ در موارد غیرتوافقی تناقضی ندارد؛ بنابراین گزینه ۱ صحیح است.,3014,596,111,707,171,32,"{""explanation"":""بر اساس ماده ۳۹۰ قانون مدنی، انفساخ عقد می‌تواند ناشی از توافق طرفین (ارادی) باشد و این امر با قهری بودن انفساخ در موارد غیرتوافقی تناقضی ندارد؛ بنابراین گزینه ۱ صحیح است."", ""answer"":""1"", ""confidence"":4}",
2,qwen/qwen3-next-80b-a3b-instruct,2,4,طبق ماده ۷ قانون بیمه اجباری مسئولیت مالی و ماده ۱۰ آن، بیمه‌گر موظف به جبران دیه مصاب (شخص «ب») تا سقف تعهدات و خسارات مالی وسیله نقلیه دیگر (موتورسیکلت) تا سقف تعهدات است، اما دیه خود راننده مقصر (شخص «الف») تحت پوشش بیمه اجباری نیست؛ بنابراین گزینه ۲ صحیح است.,1859,802,167,969,263,51,"{""explanation"":""طبق ماده ۷ قانون بیمه اجباری مسئولیت مالی و ماده ۱۰ آن، بیمه‌گر موظف به جبران دیه مصاب (شخص «ب») تا سقف تعهدات و خسارات مالی وسیله نقلیه دیگر (موتورسیکلت) تا سقف تعهدات است، اما دیه خود راننده مقصر (شخص «الف») تحت پوشش بیمه اجباری نیست؛ بنابراین گزینه ۲ صحیح است."",""answer"":""2"",""confidence"":4}",
3,qwen/qwen3-next-80b-a3b-instruct,4,4,طبق ماده ۵۰۰ قانون مدنی، تصرف همراه با قصد تملک می‌تواند سبب اکتساب ملکیت شود، زیرا تصرف به تنهایی نه تنها سبب تملک نیست، بلکه با قصد تملک و در شرایط قانونی، می‌تواند پایه اکتساب ملکیت باشد.,2170,596,126,722,190,37,"{""explanation"":""طبق ماده ۵۰۰ قانون مدنی، تصرف همراه با قصد تملک می‌تواند سبب اکتساب ملکیت شود، زیرا تصرف به تنهایی نه تنها سبب تملک نیست، بلکه با قصد تملک و در شرایط قانونی، می‌تواند پایه اکتساب ملکیت باشد."",""answer"":""4"",""confidence"":4}",
4,qwen/qwen3-next-80b-a3b-instruct,2,4,بر اساس ماده 548 قانون مجازات اسلامی و ماده 10 قانون بیمه مسئولیت مدنی پزشک مقصر به عنوان مسئول اصلی پرداخت دیه را بر عهده دارد و پس از پرداخت، حق مسترد کردن خسارت از بیمه‌گر مسئولیت مدنی را دارد، چرا که بیمه‌گر تنها به عنوان ضامن مالی عمل می‌کند و مسئولیت اصلی با پزشک است.,2237,725,165,890,274,56,"{""explanation"":""بر اساس ماده 548 قانون مجازات اسلامی و ماده 10 قانون بیمه مسئولیت مدنی پزشک مقصر به عنوان مسئول اصلی پرداخت دیه را بر عهده دارد و پس از پرداخت، حق مسترد کردن خسارت از بیمه‌گر مسئولیت مدنی را دارد، چرا که بیمه‌گر تنها به عنوان ضامن مالی عمل می‌کند و مسئولیت اصلی با پزشک است."",""answer"":""2"",""confidence"":4}",
5,qwen/qwen3-next-80b-a3b-instruct,3,4,طبق ماده ۱۱۱۰ قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا حتی عقد دیگری (مانند عقد وکالت) قابل تحقق باشد، زیرا قانون اجازه‌ی ایجاد شرط‌های مرتبط با طلاق را در هر دو نوع شرط و در هر دو عقد نکاح و عقد دیگر می‌دهد.,1134,593,161,754,254,55,"{""explanation"":""طبق ماده ۱۱۱۰ قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا حتی عقد دیگری (مانند عقد وکالت) قابل تحقق باشد، زیرا قانون اجازه‌ی ایجاد شرط‌های مرتبط با طلاق را در هر دو نوع شرط و در هر دو عقد نکاح و عقد دیگر می‌دهد."",""answer"":""3"",""confidence"":4}",
6,qwen/qwen3-next-80b-a3b-instruct,4,4,در هر دو هبه و وصیت تملیکی، اگر واهب یا موصی قبل از قبول متهب یا موصی له فوت کنند، عقد باطل می‌شود، زیرا هر دو نیازمند قبول ذی‌نفع هستند و فوت مانع از تحقق رضایت متقابل می‌شود (ماده ۵۳۷ و ماده ۹۰۷ قانون مدنی).,2292,648,147,795,209,45,"{""explanation"":""در هر دو هبه و وصیت تملیکی، اگر واهب یا موصی قبل از قبول متهب یا موصی له فوت کنند، عقد باطل می‌شود، زیرا هر دو نیازمند قبول ذی‌نفع هستند و فوت مانع از تحقق رضایت متقابل می‌شود (ماده ۵۳۷ و ماده ۹۰۷ قانون مدنی)."",""answer"":""4"",""confidence"":4}",
7,qwen/qwen3-next-80b-a3b-instruct,4,4,بر اساس ماده ۵۰۰ قانون مدنی، در صورتی که چند ضامن به صورت ضمانت ذمه به ذمه پیوسته باشند، مسئولیت آنان نسبت به متعهداله تسهیمی است، نه تضامنی، زیرا در این حالت هر ضامن فقط به سهم خود مسئول است.,2057,641,121,762,192,40,"{""explanation"":""بر اساس ماده ۵۰۰ قانون مدنی، در صورتی که چند ضامن به صورت ضمانت ذمه به ذمه پیوسته باشند، مسئولیت آنان نسبت به متعهداله تسهیمی است، نه تضامنی، زیرا در این حالت هر ضامن فقط به سهم خود مسئول است."",""answer"":""4"",""confidence"":4}",
8,qwen/qwen3-next-80b-a3b-instruct,2,4,بر اساس ماده ۴۸۷ قانون تجارت، حواله ابزار قابل اجراست و محال علیه پس از قبول آن، متعهد به پرداخت می‌شود، صرف نظر از رابطه بدهی بین محیل و خودش؛ بنابراین فروشنده می‌تواند علیه محال علیه دعوا کند یا معامله را فسخ نماید.,2032,805,141,946,217,43,"{""explanation"":""بر اساس ماده ۴۸۷ قانون تجارت، حواله ابزار قابل اجراست و محال علیه پس از قبول آن، متعهد به پرداخت می‌شود، صرف نظر از رابطه بدهی بین محیل و خودش؛ بنابراین فروشنده می‌تواند علیه محال علیه دعوا کند یا معامله را فسخ نماید."",""answer"":""2"",""confidence"":4}",
9,qwen/qwen3-next-80b-a3b-instruct,2,4,بر اساس ماده ۵۰۰ قانون مدنی، کارفرما در صورتی که تمام احتیاط‌های لازم را به عمل آورده باشد، از مسئولیت مدنی ناشی از فعل کارگر معاف است، چرا که مسئولیت مبتنی بر تقصیر است و تقصیر در این مورد وجود ندارد.,1177,720,121,841,201,41,"{""explanation"":""بر اساس ماده ۵۰۰ قانون مدنی، کارفرما در صورتی که تمام احتیاط‌های لازم را به عمل آورده باشد، از مسئولیت مدنی ناشی از فعل کارگر معاف است، چرا که مسئولیت مبتنی بر تقصیر است و تقصیر در این مورد وجود ندارد."",""answer"":""2"",""confidence"":4}",
10,qwen/qwen3-next-80b-a3b-instruct,2,4,بر اساس ماده 938 قانون مدنی، وصی تعیین شده توسط پدر فقط اختیارات محدودی دارد و نمی‌تواند وصیت‌نامه خود را به دیگری واگذار کند یا وصی جایگزین تعیین کند، مگر اینکه صراحتاً از طرف وصی‌گذار حق تفویض وکالت یا تعیین وصی جایگزین به وی داده شده باشد که در این مورد ذکر نشده است.,2627,805,169,974,270,54,"{""explanation"":""بر اساس ماده 938 قانون مدنی، وصی تعیین شده توسط پدر فقط اختیارات محدودی دارد و نمی‌تواند وصیت‌نامه خود را به دیگری واگذار کند یا وصی جایگزین تعیین کند، مگر اینکه صراحتاً از طرف وصی‌گذار حق تفویض وکالت یا تعیین وصی جایگزین به وی داده شده باشد که در این مورد ذکر نشده است."",""answer"":""2"",""confidence"":4}",
