id,model,answer,confidence,latency_ms,raw,error
1,openai/gpt-oss-120b,2,4,7853,"{""answer"":""2"",""confidence"":4}",
2,openai/gpt-oss-120b,1,3,12025,"{""answer"":""1"",""confidence"":3}",
3,openai/gpt-oss-120b,4,4,4104,"{""answer"":""4"",""confidence"":4}",
4,openai/gpt-oss-120b,4,4,1714,"{""answer"":""4"",""confidence"":4}",
5,openai/gpt-oss-120b,3,4,4552,"{""answer"":""3"",""confidence"":4}",
6,openai/gpt-oss-120b,2,4,11417,"{""answer"":""2"",""confidence"":4}",
7,openai/gpt-oss-120b,4,5,5111,"{""answer"":""4"",""confidence"":5}",
8,openai/gpt-oss-120b,2,5,6026,"{""answer"":""2"",""confidence"":5}",
9,openai/gpt-oss-120b,3,4,25632,"{""answer"":""3"",""confidence"":4}",
10,openai/gpt-oss-120b,2,4,4939,"{""answer"":""2"",""confidence"":4}",
11,openai/gpt-oss-120b,2,4,4957,"{""answer"":""2"",""confidence"":4}",
12,openai/gpt-oss-120b,4,5,2522,"{""answer"":""4"",""confidence"":5}",
13,openai/gpt-oss-120b,2,4,10713,"{""answer"":""2"",""confidence"":4}",
14,openai/gpt-oss-120b,4,4,3651,"{""answer"":""4"",""confidence"":4}",
15,openai/gpt-oss-120b,2,5,3770,"{""answer"":""2"",""confidence"":5}",
16,openai/gpt-oss-120b,2,4,5711,"{""answer"":""2"",""confidence"":4}",
17,openai/gpt-oss-120b,1,4,4714,"{""answer"":""1"",""confidence"":4}",
18,openai/gpt-oss-120b,4,5,7267,"{""answer"":""4"",""confidence"":5}",
19,openai/gpt-oss-120b,1,4,3297,"{""answer"":""1"",""confidence"":4}",
20,openai/gpt-oss-120b,4,4,3476,"{""answer"":""4"",""confidence"":4}",
21,openai/gpt-oss-120b,4,5,2326,"{""answer"":""4"",""confidence"":5}",
22,openai/gpt-oss-120b,1,4,5242,"{""answer"":""1"",""confidence"":4}",
23,openai/gpt-oss-120b,4,4,7459,"{""answer"":""4"",""confidence"":4}",
24,openai/gpt-oss-120b,2,4,11586,"{""answer"":""2"",""confidence"":4}",
25,openai/gpt-oss-120b,4,4,4430,"{""answer"":""4"",""confidence"":4}",
26,openai/gpt-oss-120b,3,5,2151,"{""answer"":""3"",""confidence"":5}",
27,openai/gpt-oss-120b,2,5,4350,"{""answer"":""2"",""confidence"":5}",
28,openai/gpt-oss-120b,4,5,2092,"{""answer"":""4"",""confidence"":5}",
29,openai/gpt-oss-120b,1,4,4358,"{""answer"":""1"",""confidence"":4}",
30,openai/gpt-oss-120b,2,4,11688,"{""answer"":""2"",""confidence"":4}",
31,openai/gpt-oss-120b,1,4,3314,"{""answer"":""1"",""confidence"":4}",
32,openai/gpt-oss-120b,2,4,12948,"{""answer"":""2"",""confidence"":4}",
33,openai/gpt-oss-120b,2,4,3561,"{""answer"":""2"",""confidence"":4}",
34,openai/gpt-oss-120b,4,4,9374,"{""answer"":""4"",""confidence"":4}",
35,openai/gpt-oss-120b,4,5,3673,"{""answer"":""4"",""confidence"":5}",
36,openai/gpt-oss-120b,3,4,6734,"{""answer"":""3"",""confidence"":4}",
37,openai/gpt-oss-120b,2,5,4285,"{""answer"":""2"",""confidence"":5}",
38,openai/gpt-oss-120b,4,4,3099,"{""answer"":""4"",""confidence"":4}",
39,openai/gpt-oss-120b,1,4,3246,"{""answer"":""1"",""confidence"":4}",
40,openai/gpt-oss-120b,2,4,24046,"{""answer"":""2"",""confidence"":4}",
41,openai/gpt-oss-120b,1,4,2088,"{""answer"":""1"",""confidence"":4}",
42,openai/gpt-oss-120b,2,4,6463,"{""answer"":""2"",""confidence"":4",
43,openai/gpt-oss-120b,4,5,3218,"{""answer"":""4"",""confidence"":5}",
44,openai/gpt-oss-120b,3,5,1158,"{""answer"":""3"",""confidence"":5}",
45,openai/gpt-oss-120b,2,5,1654,"{""answer"":""2"",""confidence"":5}",
46,openai/gpt-oss-120b,3,4,4793,"{""answer"":""3"",""confidence"":4}",
47,openai/gpt-oss-120b,3,4,7422,"{""answer"":""3"",""confidence"":4}",
48,openai/gpt-oss-120b,2,4,3572,"{""answer"":""2"",""confidence"":4}",
49,openai/gpt-oss-120b,3,4,2362,"{""answer"":""3"",""confidence"":4}",
50,openai/gpt-oss-120b,3,4,8250,"{""answer"":""3"",""confidence"":4}",
51,openai/gpt-oss-120b,3,4,3980,"{""answer"":""3"",""confidence"":4}",
52,openai/gpt-oss-120b,4,4,5578,"{""answer"":""4"",""confidence"":4}",
53,openai/gpt-oss-120b,4,4,3425,"{""answer"":""4"",""confidence"":4}",
54,openai/gpt-oss-120b,2,4,8327,"{""answer"":""2"",""confidence"":4}",
55,openai/gpt-oss-120b,3,4,4308,"{""answer"":""3"",""confidence"":4}",
56,openai/gpt-oss-120b,2,4,3365,"{""answer"":""2"",""confidence"":4}",
57,openai/gpt-oss-120b,3,4,4710,"{""answer"":""3"",""confidence"":4}",
58,openai/gpt-oss-120b,4,4,3985,"{""answer"":""4"",""confidence"":4}",
59,openai/gpt-oss-120b,3,5,3158,"{""answer"":""3"",""confidence"":5}",
60,openai/gpt-oss-120b,2,4,2272,"{""answer"":""2"",""confidence"":4}",
81,openai/gpt-oss-120b,1,4,4175,"{""answer"":""1"",""confidence"":4}",
82,openai/gpt-oss-120b,3,4,2781,"{""answer"":""3"",""confidence"":4}",
83,openai/gpt-oss-120b,2,3,11533,"{""answer"":""2"",""confidence"":3}",
84,openai/gpt-oss-120b,1,4,5852,"{""answer"":""1"",""confidence"":4}",
85,openai/gpt-oss-120b,1,4,4049,"{""answer"":""1"",""confidence"":4}",
86,openai/gpt-oss-120b,2,4,7821,"{""answer"":""2"",""confidence"":4}",
87,openai/gpt-oss-120b,4,3,5210,"{""answer"":""4"",""confidence"":3}",
88,openai/gpt-oss-120b,1,4,6775,"{""answer"":""1"",""confidence"":4}",
89,openai/gpt-oss-120b,2,3,12964,"{""answer"":""2"",""confidence"":3}",
90,openai/gpt-oss-120b,3,4,3588,"{""answer"":""3"",""confidence"":4}",
91,openai/gpt-oss-120b,1,4,2477,"{""answer"":""1"",""confidence"":4}",
92,openai/gpt-oss-120b,1,4,5000,"{""answer"":""1"",""confidence"":4}",
93,openai/gpt-oss-120b,4,5,6208,"{""answer"":""4"",""confidence"":5}",
94,openai/gpt-oss-120b,3,4,5959,"{""answer"":""3"",""confidence"":4}",
95,openai/gpt-oss-120b,1,4,3813,"{""answer"":""1"",""confidence"":4}",
96,openai/gpt-oss-120b,1,4,2397,"{""answer"":""1"",""confidence"":4}",
97,openai/gpt-oss-120b,2,5,1412,"{""answer"":""2"",""confidence"":5}",
98,openai/gpt-oss-120b,4,4,3827,"{""answer"":""4"",""confidence"":4}",
99,openai/gpt-oss-120b,4,4,6908,"{""answer"":""4"",""confidence"":4}",
100,openai/gpt-oss-120b,2,4,2372,"{""answer"":""2"",""confidence"":4}",
101,openai/gpt-oss-120b,2,4,10857,"{""answer"":""2"",""confidence"":4}",
102,openai/gpt-oss-120b,2,4,3897,"{""answer"":""2"",""confidence"":4}",
103,openai/gpt-oss-120b,4,5,1890,"{""answer"":""4"",""confidence"":5}",
104,openai/gpt-oss-120b,3,4,3127,"{""answer"":""3"",""confidence"":4}",
105,openai/gpt-oss-120b,1,5,2781,"{""answer"":""1"",""confidence"":5}",
106,openai/gpt-oss-120b,4,4,9771,"{""answer"":""4"",""confidence"":4}",
107,openai/gpt-oss-120b,2,4,3137,"{""answer"":""2"",""confidence"":4}",
108,openai/gpt-oss-120b,4,4,3917,"{""answer"":""4"",""confidence"":4}",
109,openai/gpt-oss-120b,3,4,3231,"{""answer"":""3"",""confidence"":4}",
110,openai/gpt-oss-120b,2,4,1859,"{""answer"":""2"",""confidence"":4}",
111,openai/gpt-oss-120b,2,4,4951,"{""answer"":""2"",""confidence"":4}",
112,openai/gpt-oss-120b,2,4,7954,"{""answer"":""2"",""confidence"":4}",
113,openai/gpt-oss-120b,4,4,2925,"{""answer"":""4"",""confidence"":4}",
114,openai/gpt-oss-120b,4,4,4654,"{""answer"":""4"",""confidence"":4}",
115,openai/gpt-oss-120b,1,4,6476,"{""answer"":""1"",""confidence"":4}",
116,openai/gpt-oss-120b,1,4,7930,"{""answer"":""1"",""confidence"":4}",
117,openai/gpt-oss-120b,2,4,3277,"{""answer"":""2"",""confidence"":4}",
118,openai/gpt-oss-120b,3,4,4583,"{""answer"":""3"",""confidence"":4}",
119,openai/gpt-oss-120b,4,4,4487,"{""answer"":""4"",""confidence"":4}",
120,openai/gpt-oss-120b,2,4,7668,"{""answer"":""2"",""confidence"":4}",
121,openai/gpt-oss-120b,2,5,1391,"{""answer"":""2"",""confidence"":5}",
122,openai/gpt-oss-120b,4,4,12215,"{""answer"":""4"",""confidence"":4}",
123,openai/gpt-oss-120b,1,3,9237,"{""answer"":""1"",""confidence"":3}",
124,openai/gpt-oss-120b,3,4,10882,"{""answer"":""3"",""confidence"":4}",
125,openai/gpt-oss-120b,2,4,1692,"{""answer"":""2"",""confidence"":4}",
126,openai/gpt-oss-120b,2,5,1908,"{""answer"":""2"",""confidence"":5}",
127,openai/gpt-oss-120b,2,4,17422,"{""answer"":""2"",""confidence"":4}",
128,openai/gpt-oss-120b,3,3,6563,"{""answer"":""3"",""confidence"":3}",
129,openai/gpt-oss-120b,1,5,2187,"{""answer"":""1"",""confidence"":5}",
130,openai/gpt-oss-120b,3,5,6088,"{""answer"":""3"",""confidence"":5}",
131,openai/gpt-oss-120b,2,4,4938,"{""answer"":""2"",""confidence"":4}",
132,openai/gpt-oss-120b,4,4,6955,"{""answer"":""4"",""confidence"":4}",
133,openai/gpt-oss-120b,3,4,2442,"{""answer"":""3"",""confidence"":4}",
134,openai/gpt-oss-120b,4,4,4699,"{""answer"":""4"",""confidence"":4}",
135,openai/gpt-oss-120b,4,4,7062,"{""answer"":""4"",""confidence"":4}",
136,openai/gpt-oss-120b,3,4,3191,"{""answer"":""3"",""confidence"":4}",
137,openai/gpt-oss-120b,2,4,4320,"{""answer"":""2"",""confidence"":4}",
138,openai/gpt-oss-120b,3,5,5535,"{""answer"":""3"",""confidence"":5}",
139,openai/gpt-oss-120b,1,5,3312,"{""answer"":""1"",""confidence"":5}",
140,openai/gpt-oss-120b,1,4,3501,"{""answer"":""1"",""confidence"":4}",
