id,model,rag_top_k,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,meta-llama/llama-4-scout,5,3,4,"بر اساس مواد 224 و 449 قانون مدنی، انفساخ عقد می‌تواند ناشی از شرط ضمن عقد باشد که به صورت ارادی ایجاد می‌شود، اما اثر آن قهری است. بنابراین، سبب انفساخ عقد ممکن است ارادی باشد اما انفساخ در هر حال قهری است.",3104,3903,79,3982,207,43,"results{explanation,answer,confidence}:
بر اساس مواد 224 و 449 قانون مدنی، انفساخ عقد می‌تواند ناشی از شرط ضمن عقد باشد که به صورت ارادی ایجاد می‌شود، اما اثر آن قهری است. بنابراین، سبب انفساخ عقد ممکن است ارادی باشد اما انفساخ در هر حال قهری است.,3,4",
2,meta-llama/llama-4-scout,5,2,4,"بر اساس ماده 14 قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، بیمه‌گر مکلف است خسارت زیان‌دیده را بدون هیچ شرط و اخذ تضمین پرداخت کند. همچنین، طبق قانون، بیمه‌گر مسئول پرداخت دیه و خسارات مالی تا سقف تعهدات بیمه‌نامه است. در این مورد، بیمه‌گر موظف است دیه شخص «ب» را به هر میزان که طبق قانون تعلق گیرد و خسارات مالی وارد شده به موتورسیکلت را تا سقف تعهدات خود جبران کند؛ اما مسئولیت بیمه‌گر در قبال شخص «الف» (راننده مقصر) محدود به دیه و خسارات مالی تا سقف تعهدات بیمه‌نامه است.",4137,4425,183,4608,511,100,"results{explanation,answer,confidence}:
بر اساس ماده 14 قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، بیمه‌گر مکلف است خسارت زیان‌دیده را بدون هیچ شرط و اخذ تضمین پرداخت کند. همچنین، طبق قانون، بیمه‌گر مسئول پرداخت دیه و خسارات مالی تا سقف تعهدات بیمه‌نامه است. در این مورد، بیمه‌گر موظف است دیه شخص «ب» را به هر میزان که طبق قانون تعلق گیرد و خسارات مالی وارد شده به موتورسیکلت را تا سقف تعهدات خود جبران کند؛ اما مسئولیت بیمه‌گر در قبال شخص «الف» (راننده مقصر) محدود به دیه و خسارات مالی تا سقف تعهدات بیمه‌نامه است.,2,4",
3,meta-llama/llama-4-scout,5,4,4,"بر اساس ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود؛ این ماده نشان می‌دهد که در برخی موارد، تصرف می‌تواند به تنهایی سبب تملک باشد.",2398,2448,66,2514,170,34,"results{explanation,answer,confidence}:
بر اساس ماده 35 قانون مدنی، تصرف به عنوان مالکیت دلیل مالکیت است مگر اینکه خلاف آن ثابت شود؛ این ماده نشان می‌دهد که در برخی موارد، تصرف می‌تواند به تنهایی سبب تملک باشد.,4,4",
4,meta-llama/llama-4-scout,5,4,5,"با توجه به اینکه پزشک «الف» تحت پوشش بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای است، مسئولیت بیمه‌گر در جبران خسارات ناشی از تقصیر پزشک، بر اساس قرارداد بیمه و قوانین مربوطه، از جمله قانون بیمه اجباری و قانون مسئولیت مدنی، می‌باشد. در این مورد، با توجه به تقصیر پزشک و پوشش بیمه‌ای، بیمه‌گر مسئولیت مدنی مسئول پرداخت دیه کامل مرد مسلمان به بازماندگان واجد شرایط متوفی است.",4901,4066,127,4193,369,68,"results{explanation,answer,confidence}:
با توجه به اینکه پزشک «الف» تحت پوشش بیمه مسئولیت مدنی ناشی از تقصیر حرفه‌ای است، مسئولیت بیمه‌گر در جبران خسارات ناشی از تقصیر پزشک، بر اساس قرارداد بیمه و قوانین مربوطه، از جمله قانون بیمه اجباری و قانون مسئولیت مدنی، می‌باشد. در این مورد، با توجه به تقصیر پزشک و پوشش بیمه‌ای، بیمه‌گر مسئولیت مدنی مسئول پرداخت دیه کامل مرد مسلمان به بازماندگان واجد شرایط متوفی است.,4,5",
5,meta-llama/llama-4-scout,5,3,4,"بر اساس ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری باشد. این ماده امکان گنجاندن چنین شرایطی را در قالب‌های مختلف قراردادی ضمن عقد نکاح یا سایر عقود فراهم کرده است.",2841,4274,78,4352,226,46,"results{explanation,answer,confidence}:
بر اساس ماده 1119 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل ضمن عقد نکاح یا عقد دیگری باشد. این ماده امکان گنجاندن چنین شرایطی را در قالب‌های مختلف قراردادی ضمن عقد نکاح یا سایر عقود فراهم کرده است.,3,4",
6,meta-llama/llama-4-scout,5,3,4,"بر اساس ماده 795 قانون مدنی، هبه عقدی است که به موجب آن یک نفر مالی را مجاناً به کس دیگری تملیک می‌کند. همچنین، ماده 826 قانون مدنی وصیت تملیکی را به عنوان تملیک مجانی مال برای زمان بعد از فوت تعریف می‌کند. در خصوص امکان رجوع، در هبه طبق قانون مدنی، واهب می‌تواند تا زمان قبض از هبه رجوع کند و پس از قبض، رجوع منوط به شرایط خاصی است. در وصیت تملیکی، موصی می‌تواند تا زمان فوت خود از وصیت رجوع کند و بعد از فوت، وصیت غیرقابل رجوع است. با توجه به این توضیحات، تنها موردی که در خصوص تشابه هبه و وصیت تملیکی صحیح است این است که در هر دو امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له یا متهب قبض شده باشد، البته با شرایط و محدودیت‌های خاص خود.",2733,3211,233,3444,655,141,"results{explanation,answer,confidence}:
بر اساس ماده 795 قانون مدنی، هبه عقدی است که به موجب آن یک نفر مالی را مجاناً به کس دیگری تملیک می‌کند. همچنین، ماده 826 قانون مدنی وصیت تملیکی را به عنوان تملیک مجانی مال برای زمان بعد از فوت تعریف می‌کند. در خصوص امکان رجوع، در هبه طبق قانون مدنی، واهب می‌تواند تا زمان قبض از هبه رجوع کند و پس از قبض، رجوع منوط به شرایط خاصی است. در وصیت تملیکی، موصی می‌تواند تا زمان فوت خود از وصیت رجوع کند و بعد از فوت، وصیت غیرقابل رجوع است. با توجه به این توضیحات، تنها موردی که در خصوص تشابه هبه و وصیت تملیکی صحیح است این است که در هر دو امکان رجوع برای واهب و موصی وجود دارد حتی اگر مال توسط موصی له یا متهب قبض شده باشد، البته با شرایط و محدودیت‌های خاص خود.,3,4",
7,meta-llama/llama-4-scout,5,4,5,"طبق ماده 721 قانون مدنی، اگر چند نفر به صورت تسهیم ضمانت کنند، مسئولیت آنها به میزان سهم هر یک است و اگر یکی از ضامنین تمام قرض را پرداخت کند، می‌تواند به میزان سهم سایر ضامنین از آنها رجوع کند. این در حالی است که مسئولیت تضامنی در مواردی مانند ماده 249 قانون تجارت، ماده 14 قانون مسئولیت مدنی و ماده 94 قانون امور حسبی پیش‌بینی شده است. بنابراین، مسئولیت چند ضامن در صورتی که ضمانت به صورت ضم ذمه به ذمه باشد، به تسهیم است.",3403,2524,144,2668,424,87,"results{explanation,answer,confidence}:
طبق ماده 721 قانون مدنی، اگر چند نفر به صورت تسهیم ضمانت کنند، مسئولیت آنها به میزان سهم هر یک است و اگر یکی از ضامنین تمام قرض را پرداخت کند، می‌تواند به میزان سهم سایر ضامنین از آنها رجوع کند. این در حالی است که مسئولیت تضامنی در مواردی مانند ماده 249 قانون تجارت، ماده 14 قانون مسئولیت مدنی و ماده 94 قانون امور حسبی پیش‌بینی شده است. بنابراین، مسئولیت چند ضامن در صورتی که ضمانت به صورت ضم ذمه به ذمه باشد، به تسهیم است.,4,5",
8,meta-llama/llama-4-scout,5,2,4,"با توجه به شرایطی که در قرارداد فروش مالی ذکر شده است، فروشنده حق فسخ معامله را در صورت عدم پرداخت ثمن ظرف مدت یک ماه دارد. صدور حواله توسط خریدار به سود فروشنده و بر ذمه شخص ثالث، ایجاد تعهدی برای فروشنده جهت پذیرش آن نمی‌کند. اگر محال علیه (شخص ثالث) مدعی شود که به محیل (خریدار) بدهکار نیست، فروشنده می‌تواند به دو طریق اقدام کند: اولاً، می‌تواند معامله را فسخ کند؛ زیرا شرط قرارداد در خصوص پرداخت ثمن محقق نشده است. ثانیاً، می‌تواند برای وصول مبلغ حواله علیه محال علیه (شخص ثالث) طرح دعوا کند. بنابراین، فروشنده اختیار دارد که معامله را فسخ کند یا برای گرفتن مبلغ حواله علیه محال علیه طرح دعوا کند.",7153,3498,193,3691,602,117,"results{explanation,answer,confidence}:
با توجه به شرایطی که در قرارداد فروش مالی ذکر شده است، فروشنده حق فسخ معامله را در صورت عدم پرداخت ثمن ظرف مدت یک ماه دارد. صدور حواله توسط خریدار به سود فروشنده و بر ذمه شخص ثالث، ایجاد تعهدی برای فروشنده جهت پذیرش آن نمی‌کند. اگر محال علیه (شخص ثالث) مدعی شود که به محیل (خریدار) بدهکار نیست، فروشنده می‌تواند به دو طریق اقدام کند: اولاً، می‌تواند معامله را فسخ کند؛ زیرا شرط قرارداد در خصوص پرداخت ثمن محقق نشده است. ثانیاً، می‌تواند برای وصول مبلغ حواله علیه محال علیه (شخص ثالث) طرح دعوا کند. بنابراین، فروشنده اختیار دارد که معامله را فسخ کند یا برای گرفتن مبلغ حواله علیه محال علیه طرح دعوا کند.,2,4",
9,meta-llama/llama-4-scout,5,4,4,"در مسئولیت مدنی مبتنی بر تقصیر، شخصی مسئول است که تقصیر او احراز شود. مطابق قانون مدنی، در مواردی مانند اکراه غیرمادی، مسئولیت متوجه مکره نیست زیرا در این حالت، فرد مجبور به انجام عمل شده است. همچنین، در مورد مضطر، اگرچه ممکن است مسئولیت وجود داشته باشد ولی در شرایط خاصی مانند تلف مال برای رفع ضرر خود، مستثنی شده است. در مورد کودک و کارفرما نیز مسئولیت تحت شرایط خاصی قابل بررسی است. با این حال، در اکراه غیرمادی، مکره مسئولیت مدنی ندارد.",5052,4217,148,4365,440,85,"results{explanation,answer,confidence}:
در مسئولیت مدنی مبتنی بر تقصیر، شخصی مسئول است که تقصیر او احراز شود. مطابق قانون مدنی، در مواردی مانند اکراه غیرمادی، مسئولیت متوجه مکره نیست زیرا در این حالت، فرد مجبور به انجام عمل شده است. همچنین، در مورد مضطر، اگرچه ممکن است مسئولیت وجود داشته باشد ولی در شرایط خاصی مانند تلف مال برای رفع ضرر خود، مستثنی شده است. در مورد کودک و کارفرما نیز مسئولیت تحت شرایط خاصی قابل بررسی است. با این حال، در اکراه غیرمادی، مکره مسئولیت مدنی ندارد.,4,4",
10,meta-llama/llama-4-scout,5,3,4,"براساس ماده 856 قانون مدنی، وصی می‌تواند در حدود اختیارات خود به دیگری وکالت دهد. همچنین، با توجه به ماده 1188 قانون مدنی، پدر می‌تواند برای بعد از فوت خود وصی دیگری تعیین کند.",3612,2781,67,2848,176,34,"results{explanation,answer,confidence}:
براساس ماده 856 قانون مدنی، وصی می‌تواند در حدود اختیارات خود به دیگری وکالت دهد. همچنین، با توجه به ماده 1188 قانون مدنی، پدر می‌تواند برای بعد از فوت خود وصی دیگری تعیین کند.,3,4",
11,meta-llama/llama-4-scout,5,2,4,"در تعلیق قرارداد در مرحله انعقاد، اثر عقد به طور کلی معلق می‌شود و تا زمان رفع تعلیق، عقدی ایجاد نمی‌شود؛ اما در تعلیق در مرحله اجرای قرارداد، عقد ایجاد شده است و فقط اجرای آن به حالت تعلیق درمی‌آید. بنابراین، تعلیق در مرحله انعقاد ناشی از اراده طرفین برای تعویق انعقاد عقد است، نه تعلیق در مرحله اجرا که ممکن است به دلیل شرایط خارجی مانند مانع قانونی یا شرط معلق باشد. پس گزاره 2 که می گوید در هر دو، تعلیق ناشی از اراده است، صحیح نیست.",2769,3097,155,3252,437,89,"results{explanation,answer,confidence}:
در تعلیق قرارداد در مرحله انعقاد، اثر عقد به طور کلی معلق می‌شود و تا زمان رفع تعلیق، عقدی ایجاد نمی‌شود؛ اما در تعلیق در مرحله اجرای قرارداد، عقد ایجاد شده است و فقط اجرای آن به حالت تعلیق درمی‌آید. بنابراین، تعلیق در مرحله انعقاد ناشی از اراده طرفین برای تعویق انعقاد عقد است، نه تعلیق در مرحله اجرا که ممکن است به دلیل شرایط خارجی مانند مانع قانونی یا شرط معلق باشد. پس گزاره 2 که می گوید در هر دو، تعلیق ناشی از اراده است، صحیح نیست.,2,4",
