id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,deepseek/deepseek-v3.2-exp,3,4,بر اساس ماده ۱۸۶ قانون مدنی ایران، انفساخ عقد قهری است و نیازی به اراده طرفین ندارد، اما سبب انفساخ می‌تواند ارادی باشد مانند فسخ یک‌طرفه. بنابراین گزینه ۳ صحیح است.,16660,521,75,596,165,31,"{""explanation"":""بر اساس ماده ۱۸۶ قانون مدنی ایران، انفساخ عقد قهری است و نیازی به اراده طرفین ندارد، اما سبب انفساخ می‌تواند ارادی باشد مانند فسخ یک‌طرفه. بنابراین گزینه ۳ صحیح است."",""answer"":""3"",""confidence"":4}",
2,deepseek/deepseek-v3.2-exp,2,4,بر اساس ماده ۱ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری، بیمهگر مسئول جبران خسارت بدنی و مالی اشخاص ثالث است. از آنجا که شخص «ب» موتورسوار ثالث محسوب می‌شود، بیمهگر شخص «الف» مکلف به پرداخت دیه کامل شخص «ب» و خسارت وسیله نقلیه او تا سقف تعهدات است.,9999,675,123,798,266,51,"{""explanation"":""بر اساس ماده ۱ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری، بیمهگر مسئول جبران خسارت بدنی و مالی اشخاص ثالث است. از آنجا که شخص «ب» موتورسوار ثالث محسوب می‌شود، بیمهگر شخص «الف» مکلف به پرداخت دیه کامل شخص «ب» و خسارت وسیله نقلیه او تا سقف تعهدات است."",""answer"":""2"",""confidence"":4}",
3,deepseek/deepseek-v3.2-exp,4,4,بر اساس ماده ۳۵ قانون مدنی ایران، تصرفی که همراه با قصد تملک باشد، در مواردی مانند حیازت مباحات به تنهایی سبب تملک می‌شود. بنابراین تصرف ممکن است در شرایط خاصی بدون نیاز به سبب دیگر، مالکیت ایجاد کند.,4735,519,81,600,200,39,"{""explanation"":""بر اساس ماده ۳۵ قانون مدنی ایران، تصرفی که همراه با قصد تملک باشد، در مواردی مانند حیازت مباحات به تنهایی سبب تملک می‌شود. بنابراین تصرف ممکن است در شرایط خاصی بدون نیاز به سبب دیگر، مالکیت ایجاد کند."",""answer"":""4"",""confidence"":4}",
4,deepseek/deepseek-v3.2-exp,1,4,بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی در مقابل شخص ثالث و تبصره ۲ ماده ۱ آیین‌نامه آن، مسئولیت پرداخت خسارت ابتدا با بیمه‌گر مسئولیت مدنی است و در صورت عدم کفایت، صندوق تأمین خسارتهای بدنی تکمیل می‌کند.,6447,616,112,728,245,45,"{""explanation"":""بر اساس ماده ۱۰ قانون بیمه اجباری مسئولیت مدنی دارندگان وسایل نقلیه موتوری زمینی در مقابل شخص ثالث و تبصره ۲ ماده ۱ آیین‌نامه آن، مسئولیت پرداخت خسارت ابتدا با بیمه‌گر مسئولیت مدنی است و در صورت عدم کفایت، صندوق تأمین خسارتهای بدنی تکمیل می‌کند."",""answer"":""1"",""confidence"":4}",
5,deepseek/deepseek-v3.2-exp,3,4,بر اساس ماده ۱۱۱۹ قانون مدنی، زن می‌تواند ضمن عقد نکاح یا عقد دیگری، وکالت در طلاق را به صورت شرط نتیجه یا شرط فعل برای خود قرار دهد. این شرط در هر دو قالب نتیجه و فعل و در ضمن عقد نکاح یا عقد دیگر قابل اعمال است.,5423,513,90,603,213,49,"{""explanation"":""بر اساس ماده ۱۱۱۹ قانون مدنی، زن می‌تواند ضمن عقد نکاح یا عقد دیگری، وکالت در طلاق را به صورت شرط نتیجه یا شرط فعل برای خود قرار دهد. این شرط در هر دو قالب نتیجه و فعل و در ضمن عقد نکاح یا عقد دیگر قابل اعمال است."",""answer"":""3"",""confidence"":4}",
6,deepseek/deepseek-v3.2-exp,4,4,مطابق ماده ۸۲۶ قانون مدنی، وصیت تملیکی با فوت موصی قطعی می‌شود و قبض بعد از فوت نیز صحیح است، در حالی که هبه با فوت واهب قبل از قبض باطل می‌شود. بنابراین تنها گزینه ۴ که به بطلان هبه در صورت فوت واهب قبل از قبض اشاره دارد، صحیح است.,6238,570,111,681,232,51,"{""explanation"":""مطابق ماده ۸۲۶ قانون مدنی، وصیت تملیکی با فوت موصی قطعی می‌شود و قبض بعد از فوت نیز صحیح است، در حالی که هبه با فوت واهب قبل از قبض باطل می‌شود. بنابراین تنها گزینه ۴ که به بطلان هبه در صورت فوت واهب قبل از قبض اشاره دارد، صحیح است."",""answer"":""4"",""confidence"":4}",
7,deepseek/deepseek-v3.2-exp,4,4,بر اساس ماده ۶۵۶ قانون مدنی ایران، مسئولیت چند ضامن در صورت ضم ذمه به ذمه به صورت تسهیمی است نه تضامنی، زیرا هر ضامن فقط به نسبت سهم خود مسئول پرداخت دین است.,4579,556,71,627,158,34,"{""explanation"":""بر اساس ماده ۶۵۶ قانون مدنی ایران، مسئولیت چند ضامن در صورت ضم ذمه به ذمه به صورت تسهیمی است نه تضامنی، زیرا هر ضامن فقط به نسبت سهم خود مسئول پرداخت دین است."",""answer"":""4"",""confidence"":4}",
8,deepseek/deepseek-v3.2-exp,2,4,بر اساس ماده ۷۲۴ قانون مدنی، حواله تعهد محال علیه را به نفع محتال ایجاد می‌کند و محتال می‌تواند مستقیماً برای دریافت مبلغ حواله علیه محال علیه اقامه دعوا کند. همچنین با توجه به شرط فسخ در قرارداد، محتال اختیار دارد بین فسخ معامله یا پیگیری وجه حواله اقدام نماید.,6422,660,116,776,262,50,"{""explanation"":""بر اساس ماده ۷۲۴ قانون مدنی، حواله تعهد محال علیه را به نفع محتال ایجاد می‌کند و محتال می‌تواند مستقیماً برای دریافت مبلغ حواله علیه محال علیه اقامه دعوا کند. همچنین با توجه به شرط فسخ در قرارداد، محتال اختیار دارد بین فسخ معامله یا پیگیری وجه حواله اقدام نماید."",""answer"":""2"",""confidence"":4}",
9,deepseek/deepseek-v3.2-exp,3,4,بر اساس ماده ۳۲۸ قانون مجازات اسلامی، شخص مضطر در صورت تلف کردن مال غیر مسئول جبران خسارت نیست، زیرا اضطرار سبب رفع مسئولیت مدنی می‌شود.,4091,603,63,666,136,26,"{""explanation"":""بر اساس ماده ۳۲۸ قانون مجازات اسلامی، شخص مضطر در صورت تلف کردن مال غیر مسئول جبران خسارت نیست، زیرا اضطرار سبب رفع مسئولیت مدنی می‌شود."",""answer"":""3"",""confidence"":4}",
10,deepseek/deepseek-v3.2-exp,3,4,بر اساس ماده ۱۲۲۴ قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه این اختیار صریحاً به او داده شده باشد. همچنین وصی می‌تواند برای انجام امور وصایت به دیگری وکالت دهد مگر اینکه منع شده باشد.,5332,624,88,712,217,43,"{""explanation"":""بر اساس ماده ۱۲۲۴ قانون مدنی، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند مگر اینکه این اختیار صریحاً به او داده شده باشد. همچنین وصی می‌تواند برای انجام امور وصایت به دیگری وکالت دهد مگر اینکه منع شده باشد."",""answer"":""3"",""confidence"":4}",
