idx,explanation,model_predict
1,"براساس اصول کلی حقوق مدنی، سبب انفساخ عقد (مانند تحقق شرط فاسخ) ممکن است ارادی باشد (مانند عدم انجام تعهد فرعی)، اما خود انفساخ به محض تحقق سبب، قهری و خود به خودی است.",3
2,"بیمه اجباری شخص ثالث مسئولیت جبران خسارات وارده به شخص ثالث (شخص «ب») را تا سقف تعهدات مندرج در بیمه‌نامه پوشش می‌دهد، شامل دیه و خسارات مالی. پوشش دیه شخص مقصر (الف) معمولاً در بیمه شخص ثالث اجباری نیست، اما در صورت وجود تعهدات کلی در بیمه‌نامه، کل خسارات ناشی از تقصیر تا سقف تعهدات پوشش داده می‌شود.",4
3,"تصرفی که همراه با قصد تملک باشد، در مواردی که قانون اجازه داده است (مانند تصرفی که منجر به مالکیت قهری شود)، می‌تواند به تنهایی سبب تملک قرار گیرد.",4
4,"پزشک مقصر (الف) مسئول اصلی جبران خسارت است. بیمه‌گر مسئولیت مدنی موظف است خسارت را تا سقف تعهدات خود به زیان‌دیده پرداخت کند، اما مسئولیت نهایی و کامل (در صورت تجاوز دیه از سقف بیمه) بر عهده پزشک مقصر باقی می‌ماند.",2
5,"شرط وکالت زن در طلاق (تفویض طلاق) می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا عقد دیگری که بین طرفین منعقد می‌شود، محقق گردد.",3
6,"در هبه و وصیت تملیکی، هر دو نهاد حقوقی این امکان را دارند که موصی‌له یا متهب، گروهی غیرمحصور از افراد باشند (مانند فقرا یا نسل‌های آینده).",2
7,"مسئولیت تضامنی در مواردی است که قانون یا قرارداد آن را مقرر کرده باشد. در مواردی که مسئولیت مبتنی بر تقصیر است و میزان تقصیر هر یک قابل تفکیک باشد، مسئولیت تسهیم (نسبی) است. در میان گزینه‌ها، مسئولیت چند قیم در صورت تقصیر مجزا، می‌تواند تسهیم باشد، هرچند در صورت تقصیر مشترک تضامنی است. سایر گزینه‌ها (ضامنین، مستعیرین در تلف مال مشترک، و عاملان زیان در حوادث کار) معمولاً تضامنی تلقی می‌شوند.",1
8,"فروشنده (محتال) حق فسخ معامله را به دلیل عدم تحقق شرط (عدم پرداخت ثمن) دارد و همزمان می‌تواند با استناد به عقد حواله قبولی، برای وصول مبلغ حواله علیه محال‌علیه (که حواله را قبول کرده) طرح دعوا کند.",2
9,"در مسئولیت مبتنی بر تقصیر، اگر تقصیر منتسب به شخص نباشد، مسئولیت مدنی ایجاد نمی‌شود. مضطر (ماده 145 ق.م) به دلیل فقدان اراده و قصد مسئولیت مدنی ندارد، حتی اگر مال غیر را تلف کند.",3
10,"وصی نمی‌تواند بدون اذن موصی، وصایت را به دیگری وکالت دهد (ماده 837 ق.م) و همچنین نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند، مگر اینکه موصی صراحتاً به او اذن داده باشد.",2
