id,model,answer_final,confidence_mean,confidence_vote,votes_map,is_tie,latency_avg_ms,total_time_ms,answer_run1,confidence_run1,explanation_run1,error_run1,answer_run2,confidence_run2,explanation_run2,error_run2,answer_run3,confidence_run3,explanation_run3,error_run3,answer_run4,confidence_run4,explanation_run4,error_run4,answer_run5,confidence_run5,explanation_run5,error_run5
1,google/gemini-2.5-flash,3,90,1,"{""3"": 5}",FALSE,2734.2,3084,3,90,"انفساخ به معنای انحلال قهری عقد است که خارج از اراده طرفین و به حکم قانون یا شرط ضمن عقد واقع می‌شود. حتی اگر سبب انفساخ با اراده طرفین تعیین شده باشد (مثلاً شرط فاسخ)، خود انحلال عقد قهری است و نیاز به اراده جدید ندارد.",,3,90,"انفساخ به معنای انحلال قهری عقد است که بدون نیاز به اراده طرفین یا حکم دادگاه، به محض تحقق سبب آن، عقد منحل می‌شود. بنابراین، حتی اگر سبب انفساخ ارادی باشد، نتیجه انفساخ همواره قهری و خارج از اراده طرفین است و نیازی به اراده جدید برای انحلال ندارد.",,3,90,"انفساخ به معنای انحلال قهری عقد است که خارج از اراده طرفین و به حکم قانون یا شرط ضمن عقد واقع می‌شود. بنابراین، اگرچه سبب انحلال ممکن است ارادی (مانند شرط فاسخ) باشد، اما خود انحلال (یعنی انفساخ) همواره قهری و خارج از اراده فعلی طرفین است. این موضوع از ماهیت خود نهاد انفساخ در حقوق ایران قابل استنباط است.",,3,90,"انفساخ به معنای انحلال قهری عقد است که خارج از اراده طرفین و به حکم قانون یا شرط ضمن عقد واقع می‌شود. حتی اگر سبب انفساخ با اراده طرفین تعیین شده باشد، خودِ انحلال قهری و غیرارادی است.",,3,90,"انفساخ به معنای انحلال قهری عقد است که خارج از اراده طرفین و به حکم قانون یا شرط ضمن عقد واقع می‌شود. حتی در فرضی که شرط انفساخ با اراده طرفین تعیین شده باشد، خود انفساخ (انحلال) قهری و بدون نیاز به اراده جدید است.",
2,google/gemini-2.5-flash,2,88,1,"{""2"": 5}",FALSE,2009.6,2162,2,90,"طبق ماده 13 و 14 قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، بیمه‌گر مکلف به جبران خسارت‌های بدنی و مالی واردشده به اشخاص ثالث است و در این مورد، راننده مقصر نیز مشمول بیمه حوادث راننده می‌شود. همچنین، خسارت مالی وسیله نقلیه ثالث (موتورسیکلت) نیز تا سقف تعهدات بیمه‌نامه جبران می‌گردد.",,2,90,"مطابق ماده 13 قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، بیمه‌گر مکلف به جبران خسارات بدنی وارد شده به راننده مسبب حادثه و همچنین خسارات بدنی و مالی وارد شده به زیان‌دیدگان (شخص ثالث) تا سقف تعهدات مندرج در بیمه‌نامه است. در اینجا شخص «ب» راننده زیان‌دیده و شخص «الف» راننده مسبب حادثه است.",,2,90,"بر اساس ماده ۳ قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، بیمه‌گر مکلف به جبران خسارات بدنی و مالی واردشده به اشخاص ثالث و همچنین جبران خسارت وارده به راننده مسبب حادثه است. دیه راننده مسبب حادثه (شخص الف) تا سقف تعهدات بیمه‌نامه و دیه شخص ثالث (شخص ب) به هر میزان که قانون تعیین کند، پرداخت می‌شود. خسارات مالی نیز تا سقف تعهدات بیمه‌نامه جبران می‌گردد.",,2,90,"بیمهگر مسئولیت موظف به جبران خسارات بدنی وارده به شخص ثالث (شامل راننده مقصر) تا سقف تعهدات بیمه نامه و خسارات مالی وارده به زیاندیده تا سقف تعهدات است. طبق ماده 8 قانون بیمه اجباری خسارات وارده به شخص ثالث، راننده مسبب حادثه نیز مشمول بیمه اجباری است و غرامت فوت و نقص عضو وی جبران می‌شود. همچنین، خسارات مالی وارده به موتورسیکلت شخص ""ب"" (زیان‌دیده) تا سقف تعهدات بیمه جبران می‌شود.",,2,80,"مطابق ماده 13 قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، کلیه خسارات بدنی و مالی وارده به اشخاص ثالث، تا سقف تعهدات مندرج در بیمه‌نامه و قانون، توسط بیمه‌گر جبران می‌شود. راننده مقصر از شمول شخص ثالث خارج است مگر در موارد خاص و میزان دیه شخص ثالث نیز نامحدود نیست.",
3,google/gemini-2.5-flash,4,90,1,"{""4"": 5}",FALSE,1115.6,1620,4,90,"تصرف ممکن است در مواردی مانند حیازت مباحات به تنهایی سبب تملک باشد، مشروط بر اینکه همراه با قصد تملک باشد. این موضوع در ماده 27 قانون مدنی تصریح شده است.",,4,90,"تصرف ممکن است در مواردی مانند حیازت مباحات، به تنهایی سبب تملک شود، مشروط بر اینکه با قصد تملک همراه باشد. این موضوع در ماده ۱۴۶ قانون مدنی بیان شده است.",,4,90,"تصرف در اموال منقول بی‌صاحب (مباحات) با قصد تملک، خود به تنهایی سبب تملک است. این قاعده در ماده ۱۶۳ قانون مدنی تصریح شده است.",,4,90,"تصرف ممکن است در مواردی مانند حیازت مباحات، به تنهایی سبب تملک شود، زیرا با قصد تملک و تصرف فیزیکی، شخص مالک آن می‌شود. این امر بر اساس ماده 27 قانون مدنی و قواعد فقهی مربوط به حیازت مباحات استوار است.",,4,90,"در برخی موارد مانند حیازت مباحات، تصرف به تنهایی و با قصد تملک، سبب ملکیت می‌شود. این امر از قواعد فقهی و حقوقی مربوط به اسباب تملک، مانند «حیازت مباحات» که در ماده 160 قانون مدنی ایران نیز به آن اشاره شده، قابل استنتاج است.",
4,google/gemini-2.5-flash,1,80,0.8,"{""4"": 1, ""1"": 4}",FALSE,1485.8,2023,4,90,"مطابق ماده ۱۲ قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه و ماده ۴۹۹ قانون مجازات اسلامی و با توجه به اینکه بیمه مسئولیت مدنی پزشک، خسارات ناشی از تقصیر حرفه‌ای را پوشش می‌دهد، پرداخت دیه بر عهده بیمه‌گر مسئولیت مدنی است.",,1,80,"مطابق ماده 10 قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، در حوادث رانندگی منجر به فوت یا جرح، صندوق تامین خسارت‌های بدنی مکلف به پرداخت دیه به میزان دیه مرد مسلمان در ماه غیرحرام است. همچنین، با توجه به اینکه پزشک تحت پوشش کامل بیمه مسئولیت مدنی است، بیمه‌گر مسئولیت مدنی نیز مسئول جبران خسارت است.",,1,90,"مطابق ماده ۱۰ قانون بیمه اجباری خسارات واردشده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه و ماده ۱۷ قانون بیمه اجباری، در صورت عدم کفایت تعهدات بیمه‌گر، صندوق تأمین خسارت‌های بدنی مابه‌التفاوت دیه را پرداخت می‌کند.",,1,70,"مطابق ماده ۱۲ قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، در مواردی که راننده مسبب حادثه، فاقد بیمه‌نامه شخص ثالث باشد، صندوق تأمین خسارت‌های بدنی، خسارت‌های بدنی وارده را جبران می‌نماید. اگرچه در اینجا موضوع وسیله نقلیه نیست، اما با توجه به اینکه دیه زن متوفی برابر دیه مرد مسلمان محاسبه شده و بیمه مسئولیت مدنی پزشک نیز پوشش کامل دارد، بیمه‌گر مسئولیت مدنی در چارچوب تعهدات خود و صندوق تأمین خسارتهای بدنی در مواردی که بیمه کافی نباشد یا تعهدات خاص وجود داشته باشد، مسئولیت پرداخت را بر عهده خواهند داشت.",,1,80,"مطابق ماده ۱۰ قانون بیمه اجباری خسارات وارد شده به شخص ثالث در اثر حوادث ناشی از وسایل نقلیه، در مواردی که راننده مسبب حادثه فوت کند، صندوق تأمین خسارتهای بدنی دیه را پرداخت می‌کند. همچنین، این قانون به صورت کلی در خصوص خسارات بدنی ناشی از حوادث (که پزشکی نیز می‌تواند شامل آن باشد) قابل تسری است. در نتیجه، با توجه به اینکه پزشک (شخص الف) فوت کرده است، صندوق تأمین خسارتهای بدنی مسئول پرداخت دیه می‌باشد. از طرفی، بیمه‌گر مسئولیت مدنی نیز به دلیل وجود پوشش بیمه‌ای مسئول جبران خسارت در حدود تعهدات قراردادی است.",
5,google/gemini-2.5-flash,3,87.5,0.8,"{""3"": 4, ""2"": 1}",FALSE,1295.6,1979,3,80,وکالت زوجه در طلاق می‌تواند به صورت شرط نتیجه (توکیل در طلاق) یا شرط فعل (الزام زوج به توکیل) ضمن عقد نکاح یا هر عقد لازم دیگری محقق شود و هیچ محدودیتی از این بابت وجود ندارد.,,2,80,"شرط ضمن عقد نکاح باید به صورت شرط فعل و نه شرط نتیجه باشد تا قابلیت اجرا داشته باشد. همچنین، این شرط می‌تواند در عقد نکاح یا هر عقد لازم دیگری گنجانده شود.",,3,90,وکالت زن در طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل ضمن عقد نکاح یا هر عقد لازم دیگری باشد. این امر بر اساس قواعد عمومی شروط ضمن عقد در ماده ۱۰ و ۲۳۴ قانون مدنی و همچنین رویه قضایی در مورد شروط ضمن عقد نکاح قابل توجیه است.,,3,90,"وکالت زوجه در طلاق می‌تواند هم به عنوان شرط فعل و هم به عنوان شرط نتیجه ضمن عقد نکاح یا هر عقد لازم دیگری قرار گیرد و با عدم انحلال عقد اصلی، شرط نیز به قوت خود باقی خواهد ماند. مستند این امر مواد ۲۳۴ و ۲۳۹ قانون مدنی است که شروط ضمن عقد را به رسمیت می‌شناسد.",,3,90,"وکالت زوجه در طلاق می‌تواند به صورت شرط ضمن عقد نکاح (ماده ۱۱۱۹ قانون مدنی) باشد. این شرط می‌تواند به شکل شرط فعل (مانند وکالت دادن زوج به زوجه برای طلاق در صورت تحقق شرایطی) یا شرط نتیجه (مانند اینکه به محض وقوع شرطی، زوجه وکیل در طلاق باشد) محقق شود. همچنین، این وکالت می‌تواند در ضمن عقد خارج لازم دیگری نیز داده شود تا از اعتبار لازم برخوردار باشد.",
6,google/gemini-2.5-flash,2,82.5,0.8,"{""2"": 4, ""4"": 1}",FALSE,1632,1746,2,80,"در هر دو عقد، یعنی هبه و وصیت تملیکی، امکان تعلق مال به غیر محصور (مانند امور خیریه) وجود دارد که این امر در فقه امامیه و حقوق ایران پذیرفته شده است.",,2,80,"در هر دو عقد، موصی له یا متهب می‌تواند شخص یا اشخاص غیر محصور باشد، مانند وقف یا وصیت بر امور عام‌المنفعه. این موضوع در ماده ۸۱۰ قانون مدنی در مورد وصیت و ماده ۷۵۳ قانون مدنی در مورد وقف (که به هبه نیز تسری می‌یابد) قابل استنباط است.",,4,70,"بر اساس ماده ۸۲۷ قانون مدنی، وصیت تملیکی پس از فوت موصی محقق می‌شود و قبول موصی‌له پس از فوت موصی مؤثر است. در وصیت تملیکی، موصی تا قبل از فوت حق رجوع دارد. این امر تفاوت اساسی با هبه دارد که با قبض کامل می‌شود و رجوع در آن شرایط خاص خود را دارد.",,2,90,"در هر دو عقد هبه و وصیت تملیکی، موصی‌له یا متهب می‌توانند اشخاص نامعین و غیرمحصور (مانند فقرا) باشند. این امر در ماده 826 قانون مدنی برای وصیت و از طریق عمومات فقهی برای هبه نیز پذیرفته شده است.",,2,80,"وصیت تملیکی و هبه هر دو از عقود هستند که قبول در آنها شرط صحت است. در هر دو مورد، شخص ذی‌نفع (موصی‌له یا متهب) می‌تواند غیر محصور باشد، مانند وصیت یا هبه به فقرا یا امور خیریه. این امر با توجه به ماده 826 قانون مدنی در مورد وصیت امکان‌پذیر است.",
7,google/gemini-2.5-flash,1,82.5,0.8,"{""1"": 4, ""2"": 1}",FALSE,1101.8,1253,1,80,"در خصوص عاریه طلا و نقره، ضمان مستعیر تضامنی است هرچند شرط نشده باشد، مگر اینکه به تسهیم توافق کرده باشند. بنابراین، اگر چنین توافقی وجود نداشته باشد، مسئولیت تضامنی است.",,1,90,"در صورت تعدد مستعیر (عارضه طلا و نقره) و تلف مال عاریه نزد آنها، مسئولیت آنها بر اساس ماده ۶۴۱ قانون مدنی اشتراکی و به تساوی است، مگر اینکه شرط دیگری شده باشد.",,1,80,"در صورتی که چند مستعیر در عاریه طلا و نقره مال عاریه نزد آنها تلف شود، مسئولیت هر یک از آنها به نسبت سهم خود و نه به صورت تضامنی است. این امر از حکم کلی ماده ۶۴۰ قانون مدنی در مورد مسئولیت مستعیر و عدم تضامنی بودن مسئولیت متعددین در فرض تلف، قابل استنباط است.",,1,80,"در مورد چند مستعیر در عاریه طلا و نقره، مسئولیت آنها در فرض تلف مال، تضامنی است نه تسهیمی، مگر اینکه شرط دیگری شده باشد. ماده ۶۴۱ قانون مدنی بیان می‌دارد: «اگر عاریه مطلق باشد به هریک از مستعیرین به نحو تضامن مسئول تلف است.»",,2,80,"در صورتی که چند قیم مرتکب تقصیر شوند و زیانی به شخص تحت قیمومت وارد آورند، مسئولیت آنها به نسبت تقصیر هر یک و به صورت تسهیم است، مگر اینکه تقصیر مشترک و غیرقابل تفکیک باشد. این امر از قواعد عمومی مسئولیت مدنی و عدم وجود نص خاص بر تضامنی بودن مسئولیت قیم‌ها استنتاج می‌شود.",
8,google/gemini-2.5-flash,2,80,0.6,"{""1"": 2, ""2"": 3}",FALSE,1092.2,1225,1,90,"طبق ماده ۷۳۳ قانون مدنی، حواله با قبول محال‌علیه کامل می‌شود و او ضامن پرداخت وجه آن به محتال است. اگر محال‌علیه به محیل بدهکار نباشد، حواله صحیح نیست و محتال می‌تواند به محیل رجوع کند و معامله را فسخ کند.",,2,80,"چنانچه محال‌علیه حواله را بپذیرد، دیگر نمی‌تواند به عدم بدهکاری خود به محیل استناد کند و مسئولیت پرداخت حواله بر عهده اوست. بنابراین، محتال می‌تواند برای مطالبه مبلغ حواله به او مراجعه کند و در صورت عدم پرداخت، می‌تواند به دلیل عدم پرداخت ثمن توسط خریدار، معامله را فسخ کند. این امر از قواعد مربوط به حواله و حق فسخ قرارداد ناشی می‌شود.",,2,80,"قبول حواله توسط محال‌علیه باعث بوجود آمدن تعهد مستقل او در برابر محتال می‌شود، لذا محتال می‌تواند مستقیماً علیه محال‌علیه اقامه دعوا کند. هرچند عدم پرداخت ثمن توسط خریدار در موعد مقرر به فروشنده (محتال) حق فسخ قرارداد اصلی را می‌دهد.",,2,80,"با توجه به ماده ۷۰۱ قانون مدنی، حواله با قبول محال‌علیه، حتی اگر مدیون محیل نباشد، صحیح است. بنابراین، محتال می‌تواند هم برای مطالبه وجه حواله به محال‌علیه مراجعه کند و هم در صورت عدم وصول آن، حق فسخ معامله اصلی را به دلیل عدم پرداخت ثمن اعمال نماید.",,1,90,"در صورتی که محال‌علیه به محیل بدهکار نباشد، حواله صحیح نیست و محال‌له (فروشنده) می‌تواند بیع را فسخ کند، زیرا شرط پرداخت ثمن محقق نشده است. این حق فسخ ناشی از عدم انجام به موقع تعهد پرداخت ثمن است. همچنین، در این حالت، محتال می‌تواند به محیل رجوع کند. (ماده ۷۲۴ قانون مدنی)",
9,google/gemini-2.5-flash,2,88,1,"{""2"": 5}",FALSE,1199.4,1494,2,80,"در مسئولیت مدنی مبتنی بر تقصیر، اگر کارفرما اثبات کند که تمامی احتیاط‌های لازم را به عمل آورده است، تقصیری متوجه او نیست و بنابراین مسئولیتی نیز نخواهد داشت. این امر مطابق با عمومات مسئولیت مدنی و قاعده کلی عدم مسئولیت بدون تقصیر است.",,2,90,"مسئولیت مدنی کارفرما در قبال خسارات وارده از ناحیه کارگر، مسئولیت بدون تقصیر یا مسئولیت عینی است. در این نوع مسئولیت، حتی اگر کارفرما تمام احتیاط‌های لازم را رعایت کرده باشد، در صورت وقوع خسارت، مسئول جبران آن خواهد بود. اما سوال از مسئولیت مبتنی بر تقصیر است و این مورد از شمول آن خارج است.",,2,90,"مطابق ماده ۱۲ قانون مسئولیت مدنی، کارفرما در صورتی که ثابت کند تمام احتیاط‌هایی را که اوضاع و احوال قضیه ایجاب می‌نموده به عمل آورده یا این که زیان وارده ناشی از عدم رعایت مقررات از طرف زیان‌دیده بوده، مسئول جبران خسارت نخواهد بود. این ماده ناظر بر مسئولیت کارفرما در قبال فعل کارگر است و در صورت اثبات عدم تقصیر کارفرما، مسئولیتی متوجه او نیست.",,2,90,"در مسئولیت مدنی مبتنی بر تقصیر، کارفرما زمانی مسئول جبران خسارت ناشی از فعل کارگر است که تقصیری از جانب او در عدم رعایت احتیاط‌های لازم ثابت شود. در فرض سؤال که کارفرما تمامی احتیاط‌ها را به عمل آورده و تقصیری ندارد، مسئولیتی نیز متوجه او نخواهد بود، زیرا مسئولیت کارفرما در این حالت مبتنی بر تقصیر مفروض است که با اثبات عدم تقصیر از بین می‌رود (ماده 12 قانون مسئولیت مدنی).",,2,90,"مطابق ماده ۱۲ قانون مسئولیت مدنی، کارفرما مسئول جبران خساراتی است که از ناحیه کارگران او در حین انجام کار یا به مناسبت آن وارد شده، مگر آنکه ثابت نماید تمام احتیاط‌هایی را که اوضاع و احوال قضیه ایجاب می‌نموده به عمل آورده و یا اینکه خسارت مستند به عدم رعایت مقرراتی بوده که کارگر برای جلوگیری از آن مکلف به رعایت آن بوده است. بنابراین در صورت اثبات این امر، کارفرما مسئولیتی ندارد.",
10,google/gemini-2.5-flash,4,83.3,0.6,"{""2"": 2, ""4"": 3}",FALSE,1064,1259,2,90,"مطابق ماده ۸۲۲ قانون مدنی، وصی فقط در صورتی می‌تواند انجام مورد وصایت را به دیگری وکالت دهد که موصی (پدر) اذن داده باشد. همچنین، بر اساس همین ماده، وصی نمی‌تواند برای بعد از فوت خود وصی دیگری تعیین کند.",,4,90,"وصی نمی‌تواند مورد وصایت را به دیگری تفویض کند مگر اینکه موصی صریحاً به او اذن داده باشد، اما می‌تواند برای انجام بعضی از امور به دیگری وکالت دهد. همچنین، وصی نمی‌تواند برای بعد از فوت خود وصی تعیین کند، زیرا وصی منصوب از جانب موصی است و نه وصی جدید.",,4,80,"وصی نمی‌تواند مورد وصایت را به دیگری واگذار کند، مگر اینکه موصی به او اذن داده باشد، اما حق توکیل به غیر را دارد. تعیین وصی برای بعد از فوت خود توسط وصی جایز نیست، زیرا وصایت یک عمل شخصی است و با فوت وصی، به پایان می‌رسد.",,2,90,"طبق ماده ۸۲۳ قانون مدنی، وصی نمی‌تواند اجرای وصایت را به دیگری تفویض کند مگر با اذن موصی. همچنین، وصی نمی‌تواند برای پس از فوت خود وصی تعیین نماید، زیرا وصایت با فوت وصی از بین می‌رود و حاکم شرع برای صغار تعیین قیم می‌کند.",,4,80,"وصی نمی‌تواند مورد وصایت را به دیگری تفویض کند مگر با اذن موصی یا در صورت اضطرار، اما می‌تواند برای انجام بعضی امور به وکیل وکالت دهد. همچنین، وصی نمی‌تواند برای بعد از فوت خود وصی تعیین کند، زیرا وصایت عهدی است و قابل انتقال نیست. این امر از احکام کلی وصایت در قانون مدنی ایران است.",
