id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,qwen/qwen3-next-80b-a3b-instruct,1,4,براساس ماده ۳۹۳ قانون مدنی، انفساخ عقد می‌تواند ناشی از اراده طرفین (سبب ارادی) باشد، مانند توافق بر فسخ قرارداد، و این مفهوم با قهری بودن انفساخ در موارد خاص تناقضی ندارد.,3569,1892,108,2000,172,32,"{""explanation"":""براساس ماده ۳۹۳ قانون مدنی، انفساخ عقد می‌تواند ناشی از اراده طرفین (سبب ارادی) باشد، مانند توافق بر فسخ قرارداد، و این مفهوم با قهری بودن انفساخ در موارد خاص تناقضی ندارد."",""answer"":""1"",""confidence"":4}",
2,qwen/qwen3-next-80b-a3b-instruct,2,5,براساس ماده ۷ قانون بیمه اجباری مسئولیت مدنی رانندگان، بیمه‌گر موظف به جبران دیه مبتلایان (حتی اگر مقصر نباشند) تا سقف تعهدات و خسارات مالی وارده به وسایل نقلیه دیگر تا سقف تعهدات است؛ بنابراین دیه شخص «ب» و خسارت موتورسیکلت تا سقف تعهدات پرداخت می‌شود.,2079,2098,157,2255,253,46,"{""explanation"":""براساس ماده ۷ قانون بیمه اجباری مسئولیت مدنی رانندگان، بیمه‌گر موظف به جبران دیه مبتلایان (حتی اگر مقصر نباشند) تا سقف تعهدات و خسارات مالی وارده به وسایل نقلیه دیگر تا سقف تعهدات است؛ بنابراین دیه شخص «ب» و خسارت موتورسیکلت تا سقف تعهدات پرداخت می‌شود."",""answer"":""2"",""confidence"":5}",
3,qwen/qwen3-next-80b-a3b-instruct,4,5,براساس ماده ۵۰۰ قانون مدنی، تصرف همراه با قصد تملک، شرط لازم برای اکتساب ملکیت از طریق تصرف است و در مواردی مانند اکتساب ملکیت از طریق تصرف مادی و مداوم، تصرف به تنهایی و با قصد تملک، سبب تملک می‌شود.,3636,1892,131,2023,200,41,"{""explanation"":""براساس ماده ۵۰۰ قانون مدنی، تصرف همراه با قصد تملک، شرط لازم برای اکتساب ملکیت از طریق تصرف است و در مواردی مانند اکتساب ملکیت از طریق تصرف مادی و مداوم، تصرف به تنهایی و با قصد تملک، سبب تملک می‌شود."",""answer"":""4"",""confidence"":5}",
4,qwen/qwen3-next-80b-a3b-instruct,2,5,براساس ماده 5 قانون بیمه مسئولیت مدنی پزشکان و ماده 487 قانون مدنی، پزشک مقصر به عنوان مسئول اصلی خسارت، موظف به پرداخت دیه کامل است و پس از پرداخت، حق مسترد کردن خسارت از بیمه‌گر مسئولیت مدنی را دارد.,1002,2021,126,2147,201,40,"{""explanation"":""براساس ماده 5 قانون بیمه مسئولیت مدنی پزشکان و ماده 487 قانون مدنی، پزشک مقصر به عنوان مسئول اصلی خسارت، موظف به پرداخت دیه کامل است و پس از پرداخت، حق مسترد کردن خسارت از بیمه‌گر مسئولیت مدنی را دارد."",""answer"":""2"",""confidence"":5}",
5,qwen/qwen3-next-80b-a3b-instruct,3,5,مطابق ماده 1117 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا حتی عقد دیگری (مانند عقد اجاره یا قرض) قابل تحقق باشد، چرا که قانون اجازه‌ی ایجاد شرط‌های مرتبط با طلاق را در این چارچوب‌ها می‌دهد.,2675,1889,150,2039,234,47,"{""explanation"":""مطابق ماده 1117 قانون مدنی، شرط وکالت زن در طلاق می‌تواند به شکل شرط نتیجه یا شرط فعل، ضمن عقد نکاح یا حتی عقد دیگری (مانند عقد اجاره یا قرض) قابل تحقق باشد، چرا که قانون اجازه‌ی ایجاد شرط‌های مرتبط با طلاق را در این چارچوب‌ها می‌دهد."",""answer"":""3"",""confidence"":5}",
6,qwen/qwen3-next-80b-a3b-instruct,4,5,براساس ماده ۵۸۷ قانون مدنی، هبه عقدی عینی است که برای انتقال ملک نیازمند قبض متهب است، و مطابق ماده ۹۴۳ قانون مدنی، وصیت تملیکی نیز پس از وفات موصی و قبول موصی له، اثر می‌دهد؛ بنابراین در هر دو، اگر واهب یا موصی قبل از قبول طرف دیگر فوت کند، عقد باطل می‌شود.,1874,1944,170,2114,258,54,"{""explanation"":""براساس ماده ۵۸۷ قانون مدنی، هبه عقدی عینی است که برای انتقال ملک نیازمند قبض متهب است، و مطابق ماده ۹۴۳ قانون مدنی، وصیت تملیکی نیز پس از وفات موصی و قبول موصی له، اثر می‌دهد؛ بنابراین در هر دو، اگر واهب یا موصی قبل از قبول طرف دیگر فوت کند، عقد باطل می‌شود."",""answer"":""4"",""confidence"":5}",
7,qwen/qwen3-next-80b-a3b-instruct,4,5,براساس ماده ۵۰۰ قانون مدنی، در ضمانت ذمه به ذمه، ضامنان نسبت به متعهدالیه مسئولیت تسهیمی دارند، نه تضامنی، مگر اینکه صراحتاً تضامنی تعهد شده باشد.,2035,1937,101,2038,146,26,"{""explanation"":""براساس ماده ۵۰۰ قانون مدنی، در ضمانت ذمه به ذمه، ضامنان نسبت به متعهدالیه مسئولیت تسهیمی دارند، نه تضامنی، مگر اینکه صراحتاً تضامنی تعهد شده باشد."",""answer"":""4"",""confidence"":5}",
8,qwen/qwen3-next-80b-a3b-instruct,2,5,براساس ماده 505 قانون مدنی، حواله پرداخت به محال علیه، انتقال حق طلب از محیل به محتال را تحقق می‌بخشد و محال علیه نسبت به محتال متعهد به پرداخت می‌شود، حتی اگر بدهکار محیل نباشد؛ بنابراین فروشنده می‌تواند یا معامله را فسخ کند یا از محال علیه مبلغ حواله را طلب کند.,1227,2101,162,2263,264,52,"{""explanation"":""براساس ماده 505 قانون مدنی، حواله پرداخت به محال علیه، انتقال حق طلب از محیل به محتال را تحقق می‌بخشد و محال علیه نسبت به محتال متعهد به پرداخت می‌شود، حتی اگر بدهکار محیل نباشد؛ بنابراین فروشنده می‌تواند یا معامله را فسخ کند یا از محال علیه مبلغ حواله را طلب کند."",""answer"":""2"",""confidence"":5}",
9,qwen/qwen3-next-80b-a3b-instruct,2,5,براساس ماده ۵۰۰ قانون مدنی، کارفرما در صورتی که تمام احتیاط‌های لازم را به عمل آورده باشد، از مسئولیت مدنی ناشی از فعل کارگر معاف است، چرا که تقصیر در این مورد وجود ندارد.,3474,2016,106,2122,171,34,"{""explanation"":""براساس ماده ۵۰۰ قانون مدنی، کارفرما در صورتی که تمام احتیاط‌های لازم را به عمل آورده باشد، از مسئولیت مدنی ناشی از فعل کارگر معاف است، چرا که تقصیر در این مورد وجود ندارد."",""answer"":""2"",""confidence"":5}",
10,qwen/qwen3-next-80b-a3b-instruct,4,5,براساس ماده 988 قانون مدنی، وصی تنها می‌تواند وکالت برای انجام امور وصایت به دیگری بدهد، اما تعیین وصی جانشین پس از خود مجاز نیست، مگر در موارد خاصی که وصیت‌نامه صریحاً این حق را به وی داده باشد و در این مورد چنین تفویضی وجود ندارد.,1194,2101,146,2247,232,47,"{""explanation"":""براساس ماده 988 قانون مدنی، وصی تنها می‌تواند وکالت برای انجام امور وصایت به دیگری بدهد، اما تعیین وصی جانشین پس از خود مجاز نیست، مگر در موارد خاصی که وصیت‌نامه صریحاً این حق را به وی داده باشد و در این مورد چنین تفویضی وجود ندارد."",""answer"":""4"",""confidence"":5}",
