id,model,answer,confidence,explanation,latency_ms,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words,raw,error
1,openai/gpt-oss-120b,2,4.0,طبق ماده 197 قانون مدنی، سبب انفساخ (قهر، غلط، فریب) نقصی در رضایت است و لذا نمی‌تواند ارادی باشد؛ بنابراین علت انفساخ نمی‌تواند ارادی باشد.,10865,1464.0,1156.0,2620.0,140.0,25.0,"{""explanation"":""طبق ماده 197 قانون مدنی، سبب انفساخ (قهر، غلط، فریب) نقصی در رضایت است و لذا نمی‌تواند ارادی باشد؛ بنابراین علت انفساخ نمی‌تواند ارادی باشد."",""answer"":""2"",""confidence"":4}",
2,openai/gpt-oss-120b,,,,11833,,,,,,"{""explanation"":""بر اساس قانون بیمه شخص ثالث، بیمه‌گر ملزم به جبران دیه تمام افراد متضرر (شامل راننده",unterminated character set at position 36
3,openai/gpt-oss-120b,4,5.0,بر اساس ماده ۲۹۹ قانون مدنی، تصرف همراه با قصد تملک و در مدت زمان مقرر می‌تواند به تنهایی سبب به دست آمدن مالکیت شود؛ لذا گزینهٔ ۴ صحیح است.,3042,1465.0,512.0,1977.0,140.0,30.0,"{""explanation"":""بر اساس ماده ۲۹۹ قانون مدنی، تصرف همراه با قصد تملک و در مدت زمان مقرر می‌تواند به تنهایی سبب به دست آمدن مالکیت شود؛ لذا گزینهٔ ۴ صحیح است."",""answer"":""4"",""confidence"":5}",
4,openai/gpt-oss-120b,2,5.0,بر اساس ماده ۱۱۵ قانون بیمه، بیمه‌گر مسئول پرداخت خسارت به بازماندگان است و پس از پرداخت می‌تواند از پزشک مقصر طلب بازپرداخت کند؛ بنابراین پزشک مقصر مسئول پرداخت دیه است و پس از آن می‌تواند از بیمه‌گر مسترد شود.,3713,1538.0,627.0,2165.0,211.0,40.0,"{""explanation"":""بر اساس ماده ۱۱۵ قانون بیمه، بیمه‌گر مسئول پرداخت خسارت به بازماندگان است و پس از پرداخت می‌تواند از پزشک مقصر طلب بازپرداخت کند؛ بنابراین پزشک مقصر مسئول پرداخت دیه است و پس از آن می‌تواند از بیمه‌گر مسترد شود."",""answer"":""2"",""confidence"":5}",
5,openai/gpt-oss-120b,3,5.0,بر اساس مواد ۱۱۵۰‑۱۱۵۲ قانون مدنی، شرط وکالت زن برای طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل باشد و می‌تواند در عقد نکاح یا در هر عقد دیگری مقرر شود؛ لذا قالب‌های ذکر شده در گزینه ۳ صحیح است.,7621,1446.0,495.0,1941.0,194.0,41.0,"{""explanation"":""بر اساس مواد ۱۱۵۰‑۱۱۵۲ قانون مدنی، شرط وکالت زن برای طلاق می‌تواند به صورت شرط نتیجه یا شرط فعل باشد و می‌تواند در عقد نکاح یا در هر عقد دیگری مقرر شود؛ لذا قالب‌های ذکر شده در گزینه ۳ صحیح است."",""answer"":""3"",""confidence"":5}",
6,openai/gpt-oss-120b,4,5.0,بر اساس ماده 1010 قانون مدنی، هبه تا زمان قبول توسط موصی له معتبر است و در صورت فوت واهب پیش از قبول باطل می‌شود؛ همچنین در وصیت تملیکی (ماده 1005) پذیرش باید پیش از فوت موصی له انجام شود و در صورت فوت موصی یا واهب پیش از قبول، وصیت باطل می‌شود. بنابراین گزینه 4 صحیح است.,13448,1502.0,1664.0,3166.0,272.0,58.0,"{""explanation"":""بر اساس ماده 1010 قانون مدنی، هبه تا زمان قبول توسط موصی له معتبر است و در صورت فوت واهب پیش از قبول باطل می‌شود؛ همچنین در وصیت تملیکی (ماده 1005) پذیرش باید پیش از فوت موصی له انجام شود و در صورت فوت موصی یا واهب پیش از قبول، وصیت باطل می‌شود. بنابراین گزینه 4 صحیح است."",""answer"":""4"",""confidence"":5}",
7,openai/gpt-oss-120b,2,5.0,بر اساس ماده ۲۲۲ قانون مدنی، هر قیم به‌تنهایی مسئول خسارتی است که به‌دلیل تقصیر خود به شخص تحت قیمومت وارد می‌کند؛ بنابراین مسئولیت قیمان چندگانه به‌صورت تسهیم است نه تضامنی.,10638,1500.0,887.0,2387.0,174.0,31.0,"{""explanation"":""بر اساس ماده ۲۲۲ قانون مدنی، هر قیم به‌تنهایی مسئول خسارتی است که به‌دلیل تقصیر خود به شخص تحت قیمومت وارد می‌کند؛ بنابراین مسئولیت قیمان چندگانه به‌صورت تسهیم است نه تضامنی."",""answer"":""2"",""confidence"":5}",
8,openai/gpt-oss-120b,2,5.0,بر اساس ماده ۱۹۷ قانون مدنی، عدم پرداخت ثمن در مدت مقرر به فروشنده حق فسخ معامله می‌دهد؛ همچنین طبق ماده ۱۱۵ قانون اسناد و معاملات تجاری، دارنده حواله می‌تواند علیه محال علیه (بدهکار اصلی) دعوی وصول مبلغ را طرح کند. بنابراین فروشنده می‌تواند هم معامله را فسخ کند و هم برای دریافت مبلغ حواله علیه محال علیه دعوا کند.,3041,1561.0,646.0,2207.0,315.0,60.0,"{""explanation"":""بر اساس ماده ۱۹۷ قانون مدنی، عدم پرداخت ثمن در مدت مقرر به فروشنده حق فسخ معامله می‌دهد؛ همچنین طبق ماده ۱۱۵ قانون اسناد و معاملات تجاری، دارنده حواله می‌تواند علیه محال علیه (بدهکار اصلی) دعوی وصول مبلغ را طرح کند. بنابراین فروشنده می‌تواند هم معامله را فسخ کند و هم برای دریافت مبلغ حواله علیه محال علیه دعوا کند."",""answer"":""2"",""confidence"":5}",
9,openai/gpt-oss-120b,3,4.0,طبق ماده 124 قانون مدنی، شخص مضطر که تحت فشار اضطراری مال غیر را تلف کند، چون عمل او بدون تقصیر است، از مسئولیت مدنی معاف است.,18323,1535.0,1343.0,2878.0,126.0,27.0,"{""explanation"":""طبق ماده 124 قانون مدنی، شخص مضطر که تحت فشار اضطراری مال غیر را تلف کند، چون عمل او بدون تقصیر است، از مسئولیت مدنی معاف است."",""answer"":""3"",""confidence"":4}",
10,openai/gpt-oss-120b,4,4.0,ماده ۱۱۵۵ قانون مدنی اجازه می‌دهد وصی به دیگری وکالت دهد مگر آنکه وصیت‌نامه صراحتاً منع کند؛ اما ماده ۱۱۵۶ صراحتاً می‌گوید وصی نمی‌تواند پس از مرگ خود وصی دیگری تعیین کند مگر اینکه در وصیت‌نامه چنین اختیاری قائل شده باشد، که در این سؤال ذکر نشده است.,6093,1558.0,729.0,2287.0,250.0,48.0,"{""explanation"":""ماده ۱۱۵۵ قانون مدنی اجازه می‌دهد وصی به دیگری وکالت دهد مگر آنکه وصیت‌نامه صراحتاً منع کند؛ اما ماده ۱۱۵۶ صراحتاً می‌گوید وصی نمی‌تواند پس از مرگ خود وصی دیگری تعیین کند مگر اینکه در وصیت‌نامه چنین اختیاری قائل شده باشد، که در این سؤال ذکر نشده است."",""answer"":""4"",""confidence"":4}",
11,openai/gpt-oss-120b,2,4.0,طبق قانون مدنی، تعلیق در مرحله اجرا می‌تواند به دلیل قوه قاهره یا موانع غیر ارادی باشد که ناشی از اراده طرفین نیست؛ بنابراین ادعای اینکه در هر دو حالت تعلیق ناشی از اراده است نادرست است.,5038,1478.0,1020.0,2498.0,186.0,37.0,"{""explanation"":""طبق قانون مدنی، تعلیق در مرحله اجرا می‌تواند به دلیل قوه قاهره یا موانع غیر ارادی باشد که ناشی از اراده طرفین نیست؛ بنابراین ادعای اینکه در هر دو حالت تعلیق ناشی از اراده است نادرست است."",""answer"":""2"",""confidence"":4}",
12,openai/gpt-oss-120b,4,5.0,بر اساس مواد 197 و 199 قانون مدنی، اجل برای انجام تعهدات می‌تواند از طریق توافق طرفین، حکم دادگاه یا بر پایهٔ قانون خاص تعیین شود؛ لذا گزینهٔ 4 صحیح است.,4936,1464.0,555.0,2019.0,153.0,31.0,"{""explanation"":""بر اساس مواد 197 و 199 قانون مدنی، اجل برای انجام تعهدات می‌تواند از طریق توافق طرفین، حکم دادگاه یا بر پایهٔ قانون خاص تعیین شود؛ لذا گزینهٔ 4 صحیح است."",""answer"":""4"",""confidence"":5}",
13,openai/gpt-oss-120b,2,4.0,بر اساس قانون مدنی، حق رجوع (مانند حق رجوع فروشنده یا طلبکار) فقط در عقود مملک (مانند فروش، اجاره) به کار می‌رود و در ایقاع که همیشه عقد غیرمملک است، چنین حقی وجود ندارد؛ بنابراین گزینهٔ ۲ نادرست است.,9143,1451.0,1473.0,2924.0,200.0,39.0,"{""explanation"":""بر اساس قانون مدنی، حق رجوع (مانند حق رجوع فروشنده یا طلبکار) فقط در عقود مملک (مانند فروش، اجاره) به کار می‌رود و در ایقاع که همیشه عقد غیرمملک است، چنین حقی وجود ندارد؛ بنابراین گزینهٔ ۲ نادرست است."",""answer"":""2"",""confidence"":4}",
14,openai/gpt-oss-120b,4,5.0,بر اساس ماده 5 قانون روابط موجر و مستأجر 1376، مستاجر صاحب سرقفلی حق انتقال سرقفلی خود را دارد مگر اینکه در عقد صریحاً این حق از وی سلب شده باشد؛ بنابراین گزینه 4 صحیح است.,6510,1516.0,556.0,2072.0,172.0,36.0,"{""explanation"":""بر اساس ماده 5 قانون روابط موجر و مستأجر 1376، مستاجر صاحب سرقفلی حق انتقال سرقفلی خود را دارد مگر اینکه در عقد صریحاً این حق از وی سلب شده باشد؛ بنابراین گزینه 4 صحیح است."",""answer"":""4"",""confidence"":5}",
15,openai/gpt-oss-120b,2,5.0,ماده 17 قانون کپی‌رایت مجاز می‌کند که از آثار منتشر شده برای مقاصد علمی، ادبی و آموزشی نقل شود، اما با شرط‌های مشخص (مثلاً بدون هدف تجاری، ذکر منبع و غیره). بیان «بدون هیچ قید و شرطی» نادرست است.,3885,1485.0,709.0,2194.0,195.0,39.0,"{""explanation"":""ماده 17 قانون کپی‌رایت مجاز می‌کند که از آثار منتشر شده برای مقاصد علمی، ادبی و آموزشی نقل شود، اما با شرط‌های مشخص (مثلاً بدون هدف تجاری، ذکر منبع و غیره). بیان «بدون هیچ قید و شرطی» نادرست است."",""answer"":""2"",""confidence"":5}",
16,openai/gpt-oss-120b,2,5.0,طبق ماده ۲۷۴ قانون مدنی، وکیل در حدود اختیاری که موکل در وکالتنامه به او داده است عمل می‌کند؛ چون در وکالتنامه صراحتاً اجازه فروش به هر شخص و به هر قیمتی داده شده، اقدام «الف» در چارچوب اختیارات است و بر اساس قاعده اقدام (ماده ۲۹۹) موکل ملزم به معامله است مگر اینکه در مهلت مقرر آن را رد کند؛ بنابراین معامله معتبر است.,4449,1551.0,870.0,2421.0,319.0,65.0,"{""explanation"":""طبق ماده ۲۷۴ قانون مدنی، وکیل در حدود اختیاری که موکل در وکالتنامه به او داده است عمل می‌کند؛ چون در وکالتنامه صراحتاً اجازه فروش به هر شخص و به هر قیمتی داده شده، اقدام «الف» در چارچوب اختیارات است و بر اساس قاعده اقدام (ماده ۲۹۹) موکل ملزم به معامله است مگر اینکه در مهلت مقرر آن را رد کند؛ بنابراین معامله معتبر است."",""answer"":""2"",""confidence"":5}",
17,openai/gpt-oss-120b,2,5.0,بر اساس ماده 1015 قانون مدنی، حق رد ترکه حق شخصی است و نمی‌تواند به وراث دیگر منتقل شود؛ بنابراین گزینه ۲ صحیح است.,2998,1477.0,604.0,2081.0,115.0,24.0,"{""explanation"":""بر اساس ماده 1015 قانون مدنی، حق رد ترکه حق شخصی است و نمی‌تواند به وراث دیگر منتقل شود؛ بنابراین گزینه ۲ صحیح است."",""answer"":""2"",""confidence"":5}",
18,openai/gpt-oss-120b,2,4.0,طبق قانون مدنی، در حضور فرزند (جنین) همسر حق یک هشتم دارد و بقیه اموال به فرزند می‌رسد؛ چون فرزند پس از تولد می‌میرد و وارثی ندارد، سهم او به نزدیک‌ترین خویشاوندان از همان درجه (برادر و خواهر) می‌رسد، بنابراین یک هشتم به همسر و مابقی به برادر و خواهر تقسیم می‌شود.,11971,1537.0,1110.0,2647.0,264.0,52.0,"{""explanation"":""طبق قانون مدنی، در حضور فرزند (جنین) همسر حق یک هشتم دارد و بقیه اموال به فرزند می‌رسد؛ چون فرزند پس از تولد می‌میرد و وارثی ندارد، سهم او به نزدیک‌ترین خویشاوندان از همان درجه (برادر و خواهر) می‌رسد، بنابراین یک هشتم به همسر و مابقی به برادر و خواهر تقسیم می‌شود."",""answer"":""2"",""confidence"":4}",
19,openai/gpt-oss-120b,4,5.0,ماده ۱۱۵ قانون مدنی مقرر می‌دارد که اگر بدهکار به جای عین معین عین دیگری بدهد و طلبکار آن را بپذیرد، این عمل تبادل (معاوضه) است؛ بنابراین ماهیت آن فقط معاوضه است.,11481,1465.0,867.0,2332.0,162.0,32.0,"{""explanation"":""ماده ۱۱۵ قانون مدنی مقرر می‌دارد که اگر بدهکار به جای عین معین عین دیگری بدهد و طلبکار آن را بپذیرد، این عمل تبادل (معاوضه) است؛ بنابراین ماهیت آن فقط معاوضه است."",""answer"":""4"",""confidence"":5}",
20,openai/gpt-oss-120b,4,5.0,طبق ماده ۱۰۶۵ قانون مدنی، مستعیر برای حفظ مال عاریه می‌تواند در صورت خطر آن را به دیگری بسپارد؛ شرط این است که مالک در دسترس نباشد یا مانع این کار نشده باشد.,7391,1545.0,601.0,2146.0,157.0,33.0,"{""explanation"":""طبق ماده ۱۰۶۵ قانون مدنی، مستعیر برای حفظ مال عاریه می‌تواند در صورت خطر آن را به دیگری بسپارد؛ شرط این است که مالک در دسترس نباشد یا مانع این کار نشده باشد."",""answer"":""4"",""confidence"":5}",
21,openai/gpt-oss-120b,4,5.0,بر اساس ماده ۷۱ قانون دیوان عدالت اداری، رأی ابطال آیین‌نامه از تاریخ صدور آن اجرایی می‌شود، مگر این‌که در خود رأی صراحتاً تاریخ دیگری مقرر شده باشد؛ بنابراین اثر ابطال از زمان صدور رأی جاری است مگر خلاف آن در رأی تصریح شده باشد.,4733,1502.0,595.0,2097.0,229.0,45.0,"{""explanation"":""بر اساس ماده ۷۱ قانون دیوان عدالت اداری، رأی ابطال آیین‌نامه از تاریخ صدور آن اجرایی می‌شود، مگر این‌که در خود رأی صراحتاً تاریخ دیگری مقرر شده باشد؛ بنابراین اثر ابطال از زمان صدور رأی جاری است مگر خلاف آن در رأی تصریح شده باشد."",""answer"":""4"",""confidence"":5}",
22,openai/gpt-oss-120b,1,5.0,بر اساس ماده 31 قانون داوری، اگر به برخی از داوران حق صلح و سازش داده شده باشد، رأی داوری تنها در صورتی غیرقابل طلب بطلان است که همان داوران نیز با آن موافقت کرده باشند؛ در غیر این صورت می‌توان بطلان طلب کرد.,3834,1546.0,676.0,2222.0,208.0,44.0,"{""explanation"":""بر اساس ماده 31 قانون داوری، اگر به برخی از داوران حق صلح و سازش داده شده باشد، رأی داوری تنها در صورتی غیرقابل طلب بطلان است که همان داوران نیز با آن موافقت کرده باشند؛ در غیر این صورت می‌توان بطلان طلب کرد."",""answer"":""1"",""confidence"":5}",
23,openai/gpt-oss-120b,,,,7833,,,,,,,Model returned no text content
24,openai/gpt-oss-120b,2,4.0,بر اساس مادهٔ ۲۹۹ قانون آیین دادرسی مدنی، اعتراض ثالث در زمان طاری بدون محدودیت زمانی قابل استماع است؛ لذا اگر اعتراض ثالث طاری باشد، در هر حال مسموع است.,1825,1569.0,1233.0,2802.0,154.0,30.0,"{""explanation"":""بر اساس مادهٔ ۲۹۹ قانون آیین دادرسی مدنی، اعتراض ثالث در زمان طاری بدون محدودیت زمانی قابل استماع است؛ لذا اگر اعتراض ثالث طاری باشد، در هر حال مسموع است."",""answer"":""2"",""confidence"":4}",
25,openai/gpt-oss-120b,4,5.0,بر اساس قانون شوراهای حل اختلاف مصوب ۱۴۰۲، اصول دادرسی در تمام مراجع (دادگاه عمومی حقوقی، دادگاه صلح و شوراهای حل اختلاف) الزامی است، اما تشریفات دادرسی فقط در دادگاه‌های عمومی حقوقی و صلح لازم است و در شوراهای حل اختلاف الزامی نیست (ماده ۲ قانون).,15272,1551.0,598.0,2149.0,248.0,46.0,"{""explanation"":""بر اساس قانون شوراهای حل اختلاف مصوب ۱۴۰۲، اصول دادرسی در تمام مراجع (دادگاه عمومی حقوقی، دادگاه صلح و شوراهای حل اختلاف) الزامی است، اما تشریفات دادرسی فقط در دادگاه‌های عمومی حقوقی و صلح لازم است و در شوراهای حل اختلاف الزامی نیست (ماده ۲ قانون)."",""answer"":""4"",""confidence"":5}",
26,openai/gpt-oss-120b,3,4.0,بر اساس مادهٔ ۲ قانون تشکیل دادگاه‌های خانواده، دادگاه خانواده صلاحیت رسیدگی به مواردی چون تحریر ترکه، مهر و موم و رفع آن را دارد؛ لذا این امور در حوزهٔ دادگاه خانواده قرار می‌گیرد.,6564,1438.0,645.0,2083.0,181.0,34.0,"{""explanation"":""بر اساس مادهٔ ۲ قانون تشکیل دادگاه‌های خانواده، دادگاه خانواده صلاحیت رسیدگی به مواردی چون تحریر ترکه، مهر و موم و رفع آن را دارد؛ لذا این امور در حوزهٔ دادگاه خانواده قرار می‌گیرد."",""answer"":""3"",""confidence"":4}",
27,openai/gpt-oss-120b,4,5.0,ماده مربوط به رسیدگی به چندین دعوا در یک دادخواست دیوان عدالت اداری مقرر می‌دارد که اگر شکایات منشا و مبنای واحد نداشته باشند، شعبه دیوان باید آنها را به‌صورت تفکیک و جداگانه رسیدگی کند؛ بنابراین گزینه ۴ صحیح است.,9838,1614.0,833.0,2447.0,213.0,40.0,"{""explanation"":""ماده مربوط به رسیدگی به چندین دعوا در یک دادخواست دیوان عدالت اداری مقرر می‌دارد که اگر شکایات منشا و مبنای واحد نداشته باشند، شعبه دیوان باید آنها را به‌صورت تفکیک و جداگانه رسیدگی کند؛ بنابراین گزینه ۴ صحیح است."",""answer"":""4"",""confidence"":5}",
28,openai/gpt-oss-120b,3,4.0,بر اساس ماده ۲ قانون آیین دادرسی مدنی، اسناد عمومی خارجی برای پذیرش در دادگاه‌های ایران باید گواهی وزارت امور خارجه داشته باشند، مگر اینکه ایران با کشور صادرکننده سند قرارداد تعاون قضایی داشته باشد؛ در این صورت گواهی لازم نیست.,10454,1534.0,528.0,2062.0,227.0,41.0,"{""explanation"":""بر اساس ماده ۲ قانون آیین دادرسی مدنی، اسناد عمومی خارجی برای پذیرش در دادگاه‌های ایران باید گواهی وزارت امور خارجه داشته باشند، مگر اینکه ایران با کشور صادرکننده سند قرارداد تعاون قضایی داشته باشد؛ در این صورت گواهی لازم نیست."",""answer"":""3"",""confidence"":4}",
29,openai/gpt-oss-120b,1,5.0,ماده ۲۹۹ قانون آیین دادرسی مدنی مقرر می‌دارد مهلت مخالفت با نظریه کارشناس سه روز از تاریخ ابلاغ اخطار وصول نظریه باشد، و ماده ۴۶ قانون اجرای احکام مدنی تعیین می‌کند مهلت اعتراض به نظریه ارزیاب هفت روز از تاریخ ابلاغ نظریه است؛ بنابراین گزینهٔ ۱ صحیح است.,7811,1538.0,873.0,2411.0,254.0,48.0,"{""explanation"":""ماده ۲۹۹ قانون آیین دادرسی مدنی مقرر می‌دارد مهلت مخالفت با نظریه کارشناس سه روز از تاریخ ابلاغ اخطار وصول نظریه باشد، و ماده ۴۶ قانون اجرای احکام مدنی تعیین می‌کند مهلت اعتراض به نظریه ارزیاب هفت روز از تاریخ ابلاغ نظریه است؛ بنابراین گزینهٔ ۱ صحیح است."",""answer"":""1"",""confidence"":5}",
30,openai/gpt-oss-120b,,,,10314,,,,,,,Model returned no text content
31,openai/gpt-oss-120b,1,4.0,طبق ماده ۳۲۲ قانون آیین دادرسی مدنی، درخواست استرداد یا حذف بخشی از دادخواست تجدیدنظر باید به دادگاه تجدیدنظر که در حال رسیدگی به تجدیدنظر است ارائه شود؛ بنابراین برای حذف شخص ب باید این درخواست در دادگاه تجدیدنظر مطرح گردد.,2656,1587.0,353.0,1940.0,224.0,41.0,"{""explanation"":""طبق ماده ۳۲۲ قانون آیین دادرسی مدنی، درخواست استرداد یا حذف بخشی از دادخواست تجدیدنظر باید به دادگاه تجدیدنظر که در حال رسیدگی به تجدیدنظر است ارائه شود؛ بنابراین برای حذف شخص ب باید این درخواست در دادگاه تجدیدنظر مطرح گردد."",""answer"":""1"",""confidence"":4}",
32,openai/gpt-oss-120b,,,,9655,,,,,,"{""explanation"":""طبق مادهٔ ۲۹۹ قانون آیین دادرسی مدنی، وقتی حکمی بلااثر شود، اجرای آن منسوخ می‌شود و دادگاه صادرکننده حکم موظف است وضعیت پیشین را بازگرداند؛ در صورت عدم امکان بازگرداند",unterminated character set at position 36
33,openai/gpt-oss-120b,2,5.0,بر اساس مادهٔ مربوط به ارائهٔ اسناد در اولین جلسه دادرسی، اگر طرف دعوی سند خود را ارائه ندهد و طرف مقابل آن را انکار کند، سند به‌صورت پیش‌فرض از عداد دلایل خارج می‌شود؛ اما دادگاه می‌تواند به اختیار خود آن را پذیرفته یا جلسه را تجدید نماید.,4764,1572.0,422.0,1994.0,240.0,48.0,"{""explanation"":""بر اساس مادهٔ مربوط به ارائهٔ اسناد در اولین جلسه دادرسی، اگر طرف دعوی سند خود را ارائه ندهد و طرف مقابل آن را انکار کند، سند به‌صورت پیش‌فرض از عداد دلایل خارج می‌شود؛ اما دادگاه می‌تواند به اختیار خود آن را پذیرفته یا جلسه را تجدید نماید."",""answer"":""2"",""confidence"":5}",
34,openai/gpt-oss-120b,3,4.0,طبق ماده 166 قانون آیین دادرسی کیفری، توقیف باید صورت‌برداری شود، از متهم گرفته شود و به حافظ (هر شخصی بدون نیاز به توافق طرفین) داده شود و سپس ارزیابی می‌گردد؛ لذا گزینهٔ 3 صحیح است.,5796,1553.0,1119.0,2672.0,183.0,36.0,"{""explanation"":""طبق ماده 166 قانون آیین دادرسی کیفری، توقیف باید صورت‌برداری شود، از متهم گرفته شود و به حافظ (هر شخصی بدون نیاز به توافق طرفین) داده شود و سپس ارزیابی می‌گردد؛ لذا گزینهٔ 3 صحیح است."",""answer"":""3"",""confidence"":4}",
35,openai/gpt-oss-120b,4,5.0,بر اساس ماده ۱۶۵ قانون آیین دادرسی مدنی، پس از احضار اولیه، اگر گواهان حاضر نشوند، دادگاه می‌تواند دوباره احضار کند و در صورت عدم حضور مجدد، با حکم جلب (احضار اجباری) توسط نیروی انتظامی گواهان را به دادگاه برساند؛ بنابراین گزینه ۴ صحیح است.,24599,1564.0,732.0,2296.0,240.0,45.0,"{""explanation"":""بر اساس ماده ۱۶۵ قانون آیین دادرسی مدنی، پس از احضار اولیه، اگر گواهان حاضر نشوند، دادگاه می‌تواند دوباره احضار کند و در صورت عدم حضور مجدد، با حکم جلب (احضار اجباری) توسط نیروی انتظامی گواهان را به دادگاه برساند؛ بنابراین گزینه ۴ صحیح است."",""answer"":""4"",""confidence"":5}",
36,openai/gpt-oss-120b,3,4.0,ماده ۱۲۴ قانون آیین دادرسی مدنی مقرر می‌کند حکم دادگاه صلح برای دعوای زیر صد میلیون ریال پس از قطعی شدن، در مهلت فرجامی قابل فرجام است؛ بنابراین اگر محکوم علیه (در واقع طلب‌کننده) در مهلت تجدیدنظر نکند و حکم قطعی شود، می‌تواند در مهلت فرجامی درخواست اجرای حکم را بدهد.,9374,1526.0,1269.0,2795.0,268.0,51.0,"{""explanation"":""ماده ۱۲۴ قانون آیین دادرسی مدنی مقرر می‌کند حکم دادگاه صلح برای دعوای زیر صد میلیون ریال پس از قطعی شدن، در مهلت فرجامی قابل فرجام است؛ بنابراین اگر محکوم علیه (در واقع طلب‌کننده) در مهلت تجدیدنظر نکند و حکم قطعی شود، می‌تواند در مهلت فرجامی درخواست اجرای حکم را بدهد."",""answer"":""3"",""confidence"":4}",
