id,model,answer,confidence,latency_ms,raw,error
1,qwen/qwen3-next-80b-a3b-instruct,3,4,1983,"{""answer"":""3"",""confidence"":4}",
2,qwen/qwen3-next-80b-a3b-instruct,2,4,1538,"{""answer"":""2"",""confidence"":4}",
3,qwen/qwen3-next-80b-a3b-instruct,4,4,875,"{""answer"":""4"",""confidence"":4}",
4,qwen/qwen3-next-80b-a3b-instruct,2,4,1264,"{""answer"":""2"",""confidence"":4}",
5,qwen/qwen3-next-80b-a3b-instruct,3,4,913,"{""answer"":""3"",""confidence"":4}",
6,qwen/qwen3-next-80b-a3b-instruct,2,4,1000,"{""answer"":""2"",""confidence"":4}",
7,qwen/qwen3-next-80b-a3b-instruct,1,4,1102,"{""answer"":""1"",""confidence"":4}",
8,qwen/qwen3-next-80b-a3b-instruct,2,4,702,"{""answer"":""2"",""confidence"":4}",
9,qwen/qwen3-next-80b-a3b-instruct,2,4,916,"{""answer"":""2"",""confidence"":4}",
10,qwen/qwen3-next-80b-a3b-instruct,4,5,953,"{""answer"":""4"",""confidence"":5}",
11,qwen/qwen3-next-80b-a3b-instruct,4,4,978,"{""answer"":""4"",""confidence"":4}",
12,qwen/qwen3-next-80b-a3b-instruct,4,5,1173,"{""answer"":""4"",""confidence"":5}",
13,qwen/qwen3-next-80b-a3b-instruct,1,4,1530,"{""answer"":""1"",""confidence"":4}",
14,qwen/qwen3-next-80b-a3b-instruct,4,5,1253,"{""answer"":""4"",""confidence"":5}",
15,qwen/qwen3-next-80b-a3b-instruct,2,4,4058,"{""answer"":""2"",""confidence"":4}",
16,qwen/qwen3-next-80b-a3b-instruct,2,4,2653,"{""answer"":""2"",""confidence"":4}",
17,qwen/qwen3-next-80b-a3b-instruct,3,4,737,"{""answer"":""3"",""confidence"":4}",
18,qwen/qwen3-next-80b-a3b-instruct,2,4,612,"{""answer"":""2"",""confidence"":4}",
19,qwen/qwen3-next-80b-a3b-instruct,1,4,915,"{""answer"":""1"",""confidence"":4}",
20,qwen/qwen3-next-80b-a3b-instruct,4,4,3206,"{""answer"":""4"",""confidence"":4}",
21,qwen/qwen3-next-80b-a3b-instruct,2,4,1155,"{""answer"":""2"",""confidence"":4}",
22,qwen/qwen3-next-80b-a3b-instruct,4,4,1400,"{""answer"":""4"",""confidence"":4}",
23,qwen/qwen3-next-80b-a3b-instruct,4,5,906,"{""answer"":""4"",""confidence"":5}",
24,qwen/qwen3-next-80b-a3b-instruct,1,4,1084,"{""answer"":""1"",""confidence"":4}",
25,qwen/qwen3-next-80b-a3b-instruct,2,4,822,"{""answer"":""2"",""confidence"":4}",
26,qwen/qwen3-next-80b-a3b-instruct,3,5,815,"{""answer"":""3"",""confidence"":5}",
27,qwen/qwen3-next-80b-a3b-instruct,2,5,525,"{""answer"":""2"",""confidence"":5}",
28,qwen/qwen3-next-80b-a3b-instruct,2,4,836,"{""answer"":""2"",""confidence"":4}",
29,qwen/qwen3-next-80b-a3b-instruct,1,4,1055,"{""answer"":""1"",""confidence"":4}",
30,qwen/qwen3-next-80b-a3b-instruct,2,4,707,"{""answer"":""2"",""confidence"":4}",
31,qwen/qwen3-next-80b-a3b-instruct,2,4,754,"{""answer"":""2"",""confidence"":4}",
32,qwen/qwen3-next-80b-a3b-instruct,1,4,866,"{""answer"":""1"",""confidence"":4}",
33,qwen/qwen3-next-80b-a3b-instruct,1,4,805,"{""answer"":""1"",""confidence"":4}",
34,qwen/qwen3-next-80b-a3b-instruct,3,4,1040,"{""answer"":""3"",""confidence"":4}",
35,qwen/qwen3-next-80b-a3b-instruct,3,4,1952,"{""answer"":""3"",""confidence"":4}",
