idx,model_predict
1,3
2,2
3,4
4,4
5,3
6,2
7,4
8,4
9,2
10,4
11,1
12,4
13,1
14,4
15,2
16,2
17,3
18,4
19,2
20,4
21,2
22,3
23,4
24,1
25,1
26,4
27,2
28,3
29,3
30,2
31,1
32,2
33,3
34,4
35,1
36,1
37,2
38,3
39,3
40,1
41,1
42,3
43,1
44,3
45,4
46,3
47,2
48,1
49,2
50,3
51,3
52,2
53,1
54,4
55,4
56,2
57,3
58,4
59,3
60,2
81,1
82,3
83,2
84,1
85,2
86,2
87,3
88,1
89,3
90,1
91,1
92,3
93,2
94,3
95,4
96,1
97,3
98,4
99,4
100,4
101,2
102,2
103,4
104,1
105,4
106,3
107,2
108,4
109,3
110,2
111,1
112,3
113,1
114,3
115,2
116,4
117,3
118,3
119,1
120,3
121,2
122,4
123,3
124,2
125,1
126,2
127,2
128,3
129,4
130,3
131,1
132,3
133,2
134,4
135,4
136,4
137,1
138,3
139,1
140,4
