id,model,answer,confidence,latency_ms,raw,error,explanation,prompt_tokens,completion_tokens,total_tokens,explain_len_chars,explain_len_words
1,openai/gpt-oss-120b,1.0,4.0,4966,"{""answer"":""1"",""confidence"":4}",,,,,,,
2,openai/gpt-oss-120b,1.0,3.0,9735,"{""answer"":""1"",""confidence"":3}",,,,,,,
3,openai/gpt-oss-120b,4.0,4.0,4219,"{""answer"":""4"",""confidence"":4}",,,,,,,
4,openai/gpt-oss-120b,4.0,4.0,2612,"{""answer"":""4"",""confidence"":4}",,,,,,,
5,openai/gpt-oss-120b,3.0,4.0,3613,"{""answer"":""3"",""confidence"":4}",,,,,,,
6,openai/gpt-oss-120b,4.0,4.0,5616,"{""answer"":""4"",""confidence"":4}",,,,,,,
7,openai/gpt-oss-120b,1.0,3.0,6929,"{""answer"":""1"",""confidence"":3}",,,,,,,
8,openai/gpt-oss-120b,2.0,4.0,4571,"{""answer"":""2"",""confidence"":4}",,,,,,,
9,openai/gpt-oss-120b,3.0,3.0,16545,"{""answer"":""3"",""confidence"":3}",,,,,,,
10,openai/gpt-oss-120b,4.0,4.0,5213,"{""answer"":""4"",""confidence"":4}",,,,,,,
11,openai/gpt-oss-120b,2.0,4.0,3440,"{""answer"":""2"",""confidence"":4}",,,,,,,
12,openai/gpt-oss-120b,4.0,4.0,2758,"{""answer"":""4"",""confidence"":4}",,,,,,,
13,openai/gpt-oss-120b,2.0,3.0,6969,"{""answer"":""2"",""confidence"":3}",,,,,,,
14,openai/gpt-oss-120b,4.0,5.0,3696,"{""answer"":""4"",""confidence"":5}",,,,,,,
15,openai/gpt-oss-120b,2.0,4.0,3639,"{""answer"":""2"",""confidence"":4}",,,,,,,
16,openai/gpt-oss-120b,2.0,4.0,4371,"{""answer"":""2"",""confidence"":4}",,,,,,,
17,openai/gpt-oss-120b,2.0,4.0,4495,"{""answer"":""2"",""confidence"":4}",,,,,,,
18,openai/gpt-oss-120b,1.0,5.0,5103,"{""answer"":""1"",""confidence"":5}",,,,,,,
19,openai/gpt-oss-120b,1.0,4.0,3040,"{""answer"":""1"",""confidence"":4}",,,,,,,
20,openai/gpt-oss-120b,4.0,4.0,3445,"{""answer"":""4"",""confidence"":4}",,,,,,,
21,openai/gpt-oss-120b,4.0,4.0,3814,"{""answer"":""4"",""confidence"":4}",,,,,,,
22,openai/gpt-oss-120b,1.0,4.0,5585,"{""answer"":""1"",""confidence"":4}",,,,,,,
23,openai/gpt-oss-120b,4.0,4.0,5573,"{""answer"":""4"",""confidence"":4}",,,,,,,
24,openai/gpt-oss-120b,2.0,4.0,10983,"{""answer"":""2"",""confidence"":4}",,,,,,,
25,openai/gpt-oss-120b,4.0,4.0,5816,"{""answer"":""4"",""confidence"":4}",,,,,,,
